"Time","DELETE /v1/endpoint","DELETE /v1/endpoint","DELETE /v1/endpoint","GET /v1/cluster","GET /v1/cluster","GET /v1/cluster","GET /v1/config","GET /v1/config","GET /v1/config","GET /v1/healthz","GET /v1/healthz","GET /v1/healthz","POST /v1/ipam","POST /v1/ipam","POST /v1/ipam","PUT /v1/endpoint","PUT /v1/endpoint","PUT /v1/endpoint"
2023-02-22 11:00:00,,,,,,0.0000661,,,,0.00173,0.00173,0.00137,,,,,,
2023-02-22 11:02:00,,,,,,0.0000668,,,,0.00182,0.00178,0.00146,,,,,,
2023-02-22 11:04:00,,,,,,0.0000631,,,,0.00182,0.00202,0.00139,,,,,,
2023-02-22 11:06:00,,,,,,0.0000589,,,,0.00157,0.00178,0.00145,,,,,,
2023-02-22 11:08:00,,,,,,0.0000620,,,,0.00166,0.00228,0.00140,,,,,,
2023-02-22 11:10:00,,,,,,0.0000586,,,,0.00162,0.00180,0.00141,,,,,,
2023-02-22 11:12:00,,,,,,0.0000508,,,,0.00182,0.00177,0.00144,,,,,,
2023-02-22 11:14:00,,,,,,0.0000650,,,,0.00173,0.00185,0.00127,,,,,,
2023-02-22 11:16:00,,,,,,0.0000622,,,,0.00176,0.00175,0.00135,,,,,,
2023-02-22 11:18:00,,,,,,0.000107,,,,0.00161,0.00184,0.00144,,,,,,
2023-02-22 11:20:00,,,,,,0.0000585,,,,0.00171,0.00179,0.00141,,,,,,
2023-02-22 11:22:00,,,,,,0.0000648,,,,0.00165,0.00175,0.00139,,,,,,
2023-02-22 11:24:00,,,,,,0.0000571,,,,0.00177,0.00178,0.00161,,,,,,
2023-02-22 11:26:00,,,,,,0.0000557,,,,0.00176,0.00177,0.00141,,,,,,
2023-02-22 11:28:00,,,,,,0.0000640,,,,0.00170,0.00178,0.00138,,,,,,
2023-02-22 11:30:00,,,,,,0.0000597,,,,0.00162,0.00180,0.00134,,,,,,
2023-02-22 11:32:00,,,,,,0.0000384,,,,0.00165,0.00184,0.00124,,,,,,
2023-02-22 11:34:00,,,,,,0.0000714,,,,0.00181,0.00177,0.00126,,,,,,
2023-02-22 11:36:00,,,,,,0.0000565,,,,0.00189,0.00180,0.00134,,,,,,
2023-02-22 11:38:00,,,,,,0.0000615,,,,0.00167,0.00176,0.00139,,,,,,
2023-02-22 11:40:00,,,,,,0.0000587,,,,0.00166,0.00190,0.00145,,,,,,
2023-02-22 11:42:00,,,,,,0.0000615,,,,0.00173,0.00176,0.00131,,,,,,
2023-02-22 11:44:00,,,,,,0.0000567,,,,0.00165,0.00181,0.00141,,,,,,
2023-02-22 11:46:00,,,,,,0.0000632,0.00103,,,0.00161,0.00179,0.00140,,,,,,
2023-02-22 11:48:00,,,,,,0.0000488,,,,0.00175,0.00179,0.00141,,,,,,
2023-02-22 11:50:00,,,,,,0.0000650,,,,0.00177,0.00179,0.00142,,,,,,
2023-02-22 11:52:00,,,,,,0.0000675,,,,0.00163,0.00196,0.00136,,,,,,
2023-02-22 11:54:00,,,,,,0.0000695,,,,0.00170,0.00180,0.00138,,,,,,
2023-02-22 11:56:00,,,,,,0.0000480,,,,0.00162,0.00174,0.00139,,,,,,
2023-02-22 11:58:00,,,,,,0.0000728,,,,0.00156,0.00173,0.00132,,,,,,
2023-02-22 12:00:00,,,,,,0.0000694,,,,0.00173,0.00182,0.00151,,,,,,
2023-02-22 12:02:00,,,,,,0.0000643,,,,0.00169,0.00178,0.00143,,,,,,
2023-02-22 12:04:00,,,,,,0.0000594,,,,0.00169,0.00181,0.00133,,,,,,
2023-02-22 12:06:00,,,,,,0.0000912,,,,0.00182,0.00184,0.00136,,,,,,
2023-02-22 12:08:00,,,,,,0.0000640,,,,0.00167,0.00178,0.00149,,,,,,
2023-02-22 12:10:00,,,,,,0.0000381,,,,0.00176,0.00181,0.00152,,,,,,
2023-02-22 12:12:00,,,,,,0.0000618,,,,0.00168,0.00178,0.00143,,,,,,
2023-02-22 12:14:00,,,,,,0.0000472,,,,0.00174,0.00186,0.00145,,,,,,
2023-02-22 12:16:00,,,,,,0.0000573,,,,0.00175,0.00187,0.00133,,,,,,
2023-02-22 12:18:00,,,,,,0.0000610,,,,0.00165,0.00185,0.00137,,,,,,
2023-02-22 12:20:00,,,,,,0.0000656,,,,0.00165,0.00175,0.00124,,,,,,
2023-02-22 12:22:00,,,,,,0.0000555,,,,0.00177,0.00175,0.00133,,,,,,
2023-02-22 12:24:00,,,,,,0.0000995,,,,0.00161,0.00178,0.00134,,,,,,
2023-02-22 12:26:00,,,,,,0.0000575,,,,0.00150,0.00177,0.00131,,,,,,
2023-02-22 12:28:00,,,,,,0.0000671,,,,0.00173,0.00176,0.00152,,,,,,
2023-02-22 12:30:00,,,,,,0.0000565,,,,0.00171,0.00177,0.00144,,,,,,
2023-02-22 12:32:00,,,,,,0.0000706,,,,0.00170,0.00181,0.00139,,,,,,
2023-02-22 12:34:00,,,,,,0.0000641,,,,0.00181,0.00183,0.00142,,,,,,
2023-02-22 12:36:00,,,,,,0.0000676,,,,0.00160,0.00180,0.00146,,,,,,
2023-02-22 12:38:00,,,,,,0.0000613,,,,0.00161,0.00174,0.00138,,,,,,
2023-02-22 12:40:00,,,,,,0.0000602,,,,0.00164,0.00178,0.00139,,,,,,
2023-02-22 12:42:00,,,,,,0.0000681,,,,0.00179,0.00184,0.00137,,,,,,
2023-02-22 12:44:00,,,,,,0.0000440,,,,0.00166,0.00178,0.00143,,,,,,
2023-02-22 12:46:00,,,,,,0.0000752,,,,0.00173,0.00179,0.00124,,,,,,
2023-02-22 12:48:00,,,,,,0.0000608,,,,0.00169,0.00178,0.00132,,,,,,
2023-02-22 12:50:00,,,,,,0.0000664,,,,0.00176,0.00192,0.00128,,,,,,
2023-02-22 12:52:00,,,,,,0.0000543,,,,0.00176,0.00192,0.00115,,,,,,
2023-02-22 12:54:00,,,,,,0.0000707,,,,0.00173,0.00178,0.00147,,,,,,
2023-02-22 12:56:00,,,,,,0.0000670,,,,0.00172,0.00179,0.00135,,,,,,
2023-02-22 12:58:00,,,,,,0.0000666,,,,0.00161,0.00185,0.00143,,,,,,
2023-02-22 13:00:00,,,,,,0.0000587,,,,0.00183,0.00193,0.00124,,,,,,
2023-02-22 13:02:00,,,,,,0.0000516,,,,0.00168,0.00177,0.00141,,,,,,
2023-02-22 13:04:00,,,,,,0.0000597,,,,0.00170,0.00176,0.00125,,,,,,
2023-02-22 13:06:00,,,,,,0.0000637,,,,0.00167,0.00177,0.00142,,,,,,
2023-02-22 13:08:00,,,,,,0.0000583,,,,0.00172,0.00177,0.00130,,,,,,
2023-02-22 13:10:00,,,,,,0.0000692,,,,0.00176,0.00177,0.00137,,,,,,
2023-02-22 13:12:00,,,,,,0.0000651,,,,0.00182,0.00178,0.00141,,,,,,
2023-02-22 13:14:00,,,,,,0.0000425,,,,0.00180,0.00183,0.00147,,,,,,
2023-02-22 13:16:00,,,,,,0.0000675,,,,0.00169,0.00177,0.00136,,,,,,
2023-02-22 13:18:00,,,,,,0.0000452,,,,0.00176,0.00177,0.00126,,,,,,
2023-02-22 13:20:00,,,,,,0.0000660,,,,0.00187,0.00175,0.00136,,,,,,
2023-02-22 13:22:00,,,,,,0.0000539,,,,0.00166,0.00179,0.00139,,,,,,
2023-02-22 13:24:00,,,,,,0.0000630,,,,0.00181,0.00187,0.00138,,,,,,
2023-02-22 13:26:00,,,,,,0.0000655,,,,0.00177,0.00173,0.00148,,,,,,
2023-02-22 13:28:00,,,,,,0.0000639,,,,0.00157,0.00181,0.00143,,,,,,
2023-02-22 13:30:00,,,,,,0.0000674,,,,0.00169,0.00177,0.00141,,,,,,
2023-02-22 13:32:00,,,,,,0.0000696,,,,0.00165,0.00172,0.00146,,,,,,
2023-02-22 13:34:00,,,,,,0.0000670,,,,0.00171,0.00171,0.00143,,,,,,
2023-02-22 13:36:00,,,,,,0.0000652,,,,0.00173,0.00180,0.00152,,,,,,
2023-02-22 13:38:00,,,,,,0.0000684,,,,0.00178,0.00194,0.00131,,,,,,
2023-02-22 13:40:00,,,,,,0.0000558,,,,0.00172,0.00179,0.00115,,,,,,
2023-02-22 13:42:00,,,,,,0.0000691,,,,0.00176,0.00192,0.00127,,,,,,
2023-02-22 13:44:00,,,,,,0.0000525,,,,0.00171,0.00183,0.00142,,,,,,
2023-02-22 13:46:00,,,,,,0.0000583,,,,0.00175,0.00181,0.00188,,,,,,
2023-02-22 13:48:00,,,,,,0.0000591,,,,0.00156,0.00180,0.00132,,,,,,
2023-02-22 13:50:00,,,,,,0.0000583,,,,0.00178,0.00177,0.00137,,,,,,
2023-02-22 13:52:00,,,,,,0.0000602,,,,0.00175,0.00177,0.00133,,,,,,
2023-02-22 13:54:00,,,,,,0.0000649,,,,0.00175,0.00182,0.00138,,,,,,
2023-02-22 13:56:00,,,,,,0.0000587,,,,0.00165,0.00187,0.00138,,,,,,
2023-02-22 13:58:00,,,,,,0.0000653,,,,0.00171,0.00189,0.00133,,,,,,
2023-02-22 14:00:00,,,,,,0.0000973,,,,0.00171,0.00178,0.00150,,,,,,
2023-02-22 14:02:00,,,,,,0.0000623,,,,0.00186,0.00178,0.00141,,,,,,
2023-02-22 14:04:00,,,,,,0.0000635,,,,0.00167,0.00177,0.00138,,,,,,
2023-02-22 14:06:00,,,,,,0.0000610,,,,0.00175,0.00233,0.00143,,,,,,
2023-02-22 14:08:00,,,,,,0.0000676,,,,0.00172,0.00196,0.00117,,,,,,
2023-02-22 14:10:00,,,,,,0.0000572,,,,0.00174,0.00180,0.00136,,,,,,
2023-02-22 14:12:00,,,,,,0.0000612,,,,0.00183,0.00178,0.00140,,,,,,
2023-02-22 14:14:00,,,,,,0.0000536,,,,0.00165,0.00184,0.00135,,,,,,
2023-02-22 14:16:00,,,,,,0.0000634,,,,0.00170,0.00176,0.00135,,,,,,
2023-02-22 14:18:00,,,,,,0.0000724,,,,0.00176,0.00184,0.00133,,,,,,
2023-02-22 14:20:00,,,,,,0.0000661,,,,0.00175,0.00189,0.00140,,,,,,
2023-02-22 14:22:00,,,,,,0.0000546,,,,0.00182,0.00177,0.00146,,,,,,
2023-02-22 14:24:00,,,,,,0.0000561,,,,0.00158,0.00188,0.00138,,,,,,
2023-02-22 14:26:00,,,,,,0.0000592,,,,0.00176,0.00177,0.00142,,,,,,
2023-02-22 14:28:00,,,,,,0.0000646,,,,0.00160,0.00182,0.00145,,,,,,
2023-02-22 14:30:00,,,,,,0.0000602,,,,0.00176,0.00178,0.00128,,,,,,
2023-02-22 14:32:00,,,,,,0.0000490,,,,0.00180,0.00178,0.00143,,,,,,
2023-02-22 14:34:00,,,,,,0.0000662,,,,0.00167,0.00178,0.00141,,,,,,
2023-02-22 14:36:00,,,,,,0.0000638,,,,0.00171,0.00178,0.00141,,,,,,
2023-02-22 14:38:00,,,,,,0.0000648,,,,0.00165,0.00182,0.00144,,,,,,
2023-02-22 14:40:00,,,,,,0.0000472,,,,0.00166,0.00186,0.00144,,,,,,
2023-02-22 14:42:00,,,,,,0.0000656,,,,0.00182,0.00182,0.00136,,,,,,
2023-02-22 14:44:00,,,,,,0.0000309,,,,0.00196,0.00187,0.00144,,,,,,
2023-02-22 14:46:00,,,,,,0.0000648,,,,0.00169,0.00178,0.00138,,,,,,
2023-02-22 14:48:00,,,,,,0.0000722,,,,0.00174,0.00180,0.00142,,,,,,
2023-02-22 14:50:00,,,,,,0.0000612,,,,0.00196,0.00189,0.00160,,,,,,
2023-02-22 14:52:00,,,,,,0.0000602,,,,0.00178,0.00184,0.00128,,,,,,
2023-02-22 14:54:00,,,,,,0.0000825,,,,0.00177,0.00196,0.00146,,,,,,
2023-02-22 14:56:00,,,,,,0.0000634,,,,0.00180,0.00180,0.00159,,,,,,
2023-02-22 14:58:00,,,,,,0.0000617,,,,0.00164,0.00180,0.00149,,,,,,
2023-02-22 15:00:00,,,,,,0.0000644,,,,0.00171,0.00178,0.00144,,,,,,
2023-02-22 15:02:00,,,,,,0.0000650,,,,0.00193,0.00177,0.00153,,,,,,
2023-02-22 15:04:00,,,,,,0.0000649,,,,0.00177,0.00186,0.00131,,,,,,
2023-02-22 15:06:00,,,,,,0.0000545,,,,0.00173,0.00178,0.00138,,,,,,
2023-02-22 15:08:00,,,,,,0.0000617,,,,0.00175,0.00178,0.00142,,,,,,
2023-02-22 15:10:00,,,,,,0.0000716,,,,0.00174,0.00178,0.00141,,,,,,
2023-02-22 15:12:00,,,,,,0.0000571,,,,0.00177,0.00180,0.00128,,,,,,
2023-02-22 15:14:00,,,,,,0.0000651,,,,0.00176,0.00177,0.00136,,,,,,
2023-02-22 15:16:00,,,,,,0.0000549,,,,0.00181,0.00177,0.00141,,,,,,
2023-02-22 15:18:00,,,,,,0.0000927,,,,0.00156,0.00177,0.00130,,,,,,
2023-02-22 15:20:00,,,,,,0.0000562,,,,0.00180,0.00184,0.00164,,,,,,
2023-02-22 15:22:00,,,,,,0.0000675,,,,0.00171,0.00177,0.00136,,,,,,
2023-02-22 15:24:00,,,,,,0.0000582,,,,0.00166,0.00179,0.00162,,,,,,
2023-02-22 15:26:00,,,,,,0.0000876,,,,0.00175,0.00177,0.00141,,,,,,
2023-02-22 15:28:00,,,,,,0.0000555,,,,0.00169,0.00180,0.00143,,,,,,
2023-02-22 15:30:00,,,,,,0.0000634,,,,0.00170,0.00176,0.00120,,,,,,
2023-02-22 15:32:00,,,,,,0.0000587,,,,0.00209,0.00177,0.00130,,,,,,
2023-02-22 15:34:00,,,,,,0.0000660,,,,0.00172,0.00177,0.00142,,,,,,
2023-02-22 15:36:00,,,,,,0.0000569,,,,0.00165,0.00177,0.00136,,,,,,
2023-02-22 15:38:00,,,,,,0.0000606,,,,0.00155,0.00181,0.00148,,,,,,
2023-02-22 15:40:00,,,,,,0.0000528,,,,0.00169,0.00199,0.00137,,,,,,
2023-02-22 15:42:00,,,,,,0.0000700,,,,0.00173,0.00181,0.00153,,,,,,
2023-02-22 15:44:00,,,,,,0.0000542,,,,0.00169,0.00178,0.00140,,,,,,
2023-02-22 15:46:00,,,,,,0.0000623,,,,0.00174,0.00183,0.00138,,,,,,
