"Time","min","avg","max","deleted","deleted max"
2023-02-22 11:00:00,85,96.7,103,1132,2500
2023-02-22 11:02:00,85,96.7,103,1132,2500
2023-02-22 11:04:00,79,197,409,1971,2500
2023-02-22 11:06:00,79,197,409,1971,2500
2023-02-22 11:08:00,79,197,409,1971,2500
2023-02-22 11:10:00,79,197,409,1971,2500
2023-02-22 11:12:00,79,197,409,1971,2500
2023-02-22 11:14:00,79,197,409,1971,2500
2023-02-22 11:16:00,79,201,409,2652,4545
2023-02-22 11:18:00,79,201,409,2652,4545
2023-02-22 11:20:00,82,298,699,3137,4545
2023-02-22 11:22:00,82,298,699,3137,4545
2023-02-22 11:24:00,82,298,699,3137,4545
2023-02-22 11:26:00,82,298,699,3137,4545
2023-02-22 11:28:00,82,298,699,3137,4545
2023-02-22 11:30:00,82,298,699,3137,4545
2023-02-22 11:32:00,82,298,699,3137,4545
2023-02-22 11:34:00,82,298,699,3137,4545
2023-02-22 11:36:00,82,298,699,3137,4545
2023-02-22 11:38:00,82,298,699,3137,4545
2023-02-22 11:40:00,82,298,699,3790,6505
2023-02-22 11:42:00,82,298,699,3790,6505
2023-02-22 11:44:00,82,298,699,3790,6505
2023-02-22 11:46:00,86,581,1545,4789,6505
2023-02-22 11:48:00,86,581,1545,4789,6505
2023-02-22 11:50:00,86,581,1545,4789,6505
2023-02-22 11:52:00,86,581,1545,4789,6505
2023-02-22 11:54:00,86,581,1545,4789,6505
2023-02-22 11:56:00,86,581,1545,4789,6505
2023-02-22 11:58:00,86,581,1545,4789,6505
2023-02-22 12:00:00,86,581,1545,4789,6505
2023-02-22 12:02:00,86,581,1545,4789,6505
2023-02-22 12:04:00,86,581,1545,4789,6505
2023-02-22 12:06:00,86,581,1545,4789,6505
2023-02-22 12:08:00,86,581,1545,4789,6505
2023-02-22 12:10:00,86,581,1545,4789,6505
2023-02-22 12:12:00,86,581,1545,4789,6505
2023-02-22 12:14:00,86,581,1545,4789,6505
2023-02-22 12:16:00,86,581,1545,4789,6505
2023-02-22 12:18:00,86,582,1545,5932,9932
2023-02-22 12:20:00,86,582,1545,5932,9932
2023-02-22 12:22:00,86,582,1545,5932,9932
