"Time","to-endpoint","to-overlay","to-stack"
2023-02-22 11:00:00,50.1,13.8,27.8
2023-02-22 11:02:00,48.2,11.1,27.4
2023-02-22 11:04:00,48.8,13.4,27.3
2023-02-22 11:06:00,48.4,11.4,27.4
2023-02-22 11:08:00,48.4,11.0,27.3
2023-02-22 11:10:00,49.6,13.5,27.5
2023-02-22 11:12:00,61.4,28.6,27.2
2023-02-22 11:14:00,48.8,13.5,27.4
2023-02-22 11:16:00,49.0,11.3,27.2
2023-02-22 11:18:00,48.3,11.1,27.2
2023-02-22 11:20:00,49.5,12.6,27.5
2023-02-22 11:22:00,73.0,54.3,27.1
2023-02-22 11:24:00,48.5,13.0,27.3
2023-02-22 11:26:00,49.0,12.2,27.4
2023-02-22 11:28:00,48.1,11.0,27.2
2023-02-22 11:30:00,49.7,12.5,27.5
2023-02-22 11:32:00,81.5,74.9,27.1
2023-02-22 11:34:00,49.1,12.6,27.4
2023-02-22 11:36:00,48.1,12.8,27.2
2023-02-22 11:38:00,48.3,10.9,27.3
2023-02-22 11:40:00,49.5,12.8,27.5
2023-02-22 11:42:00,93.5,94.5,27.3
2023-02-22 11:44:00,48.5,13.7,27.3
2023-02-22 11:46:00,49.4,13.3,27.6
2023-02-22 11:48:00,48.9,10.9,27.6
2023-02-22 11:50:00,49.9,12.2,27.8
2023-02-22 11:52:00,93.4,95.5,27.2
2023-02-22 11:54:00,48.5,12.8,27.3
2023-02-22 11:56:00,48.8,12.8,27.2
2023-02-22 11:58:00,48.2,10.4,27.5
2023-02-22 12:00:00,50.2,12.5,27.7
2023-02-22 12:02:00,80.6,78.6,27.2
2023-02-22 12:04:00,49.0,12.8,27.4
2023-02-22 12:06:00,48.4,12.2,27.4
2023-02-22 12:08:00,48.1,11.4,27.2
2023-02-22 12:10:00,49.0,12.2,27.3
2023-02-22 12:12:00,69.5,57.1,26.8
2023-02-22 12:14:00,47.8,13.4,26.9
2023-02-22 12:16:00,48.3,12.2,27.1
2023-02-22 12:18:00,47.1,10.8,26.8
2023-02-22 12:20:00,49.5,12.3,27.5
2023-02-22 12:22:00,60.0,33.2,27.1
2023-02-22 12:24:00,49.0,12.9,27.5
2023-02-22 12:26:00,49.2,11.5,27.6
2023-02-22 12:28:00,48.3,10.4,27.3
2023-02-22 12:30:00,50.0,12.3,27.5
2023-02-22 12:32:00,51.8,16.0,27.1
2023-02-22 12:34:00,48.8,12.8,27.3
2023-02-22 12:36:00,48.4,11.2,27.2
2023-02-22 12:38:00,48.7,10.8,27.5
2023-02-22 12:40:00,49.6,12.4,27.5
2023-02-22 12:42:00,48.3,12.7,27.1
2023-02-22 12:44:00,47.9,12.6,27.1
2023-02-22 12:46:00,48.8,11.8,27.2
2023-02-22 12:48:00,47.4,10.6,26.9
2023-02-22 12:50:00,49.3,12.3,27.3
2023-02-22 12:52:00,48.0,12.0,27
2023-02-22 12:54:00,48.5,13.4,27.1
2023-02-22 12:56:00,48.4,11.9,27.1
2023-02-22 12:58:00,48.2,11.2,27.1
2023-02-22 13:00:00,49.0,12.2,27.0
2023-02-22 13:02:00,47.3,11.1,26.8
2023-02-22 13:04:00,48.6,13.4,26.9
2023-02-22 13:06:00,48.0,11.4,27.0
2023-02-22 13:08:00,47.7,10.9,26.9
2023-02-22 13:10:00,48.4,12.3,27.1
2023-02-22 13:12:00,47.7,10.9,26.6
2023-02-22 13:14:00,47.2,12.9,26.7
2023-02-22 13:16:00,48.5,11.5,27.1
2023-02-22 13:18:00,47.3,12.3,27
2023-02-22 13:20:00,49.3,12.1,27.4
2023-02-22 13:22:00,48.1,10.7,27.5
2023-02-22 13:24:00,48.9,15.6,27.4
2023-02-22 13:26:00,49.1,11.2,27.5
2023-02-22 13:28:00,48.7,12.4,27.5
2023-02-22 13:30:00,50.1,12.0,27.8
2023-02-22 13:32:00,48.1,10.9,27.2
2023-02-22 13:34:00,62.7,33.2,27.3
2023-02-22 13:36:00,48.7,11.6,27.5
2023-02-22 13:38:00,48.6,12.1,27.4
2023-02-22 13:40:00,49.7,12.3,27.4
2023-02-22 13:42:00,48.2,10.7,27.1
2023-02-22 13:44:00,68.6,48.7,27.1
2023-02-22 13:46:00,48.3,11.8,26.9
2023-02-22 13:48:00,47.9,11.1,27.2
2023-02-22 13:50:00,49.4,12.4,27.4
2023-02-22 13:52:00,47.8,10.9,26.9
2023-02-22 13:54:00,77.3,65.7,27.3
2023-02-22 13:56:00,48.3,11.4,27.1
2023-02-22 13:58:00,48.0,10.8,27.1
2023-02-22 14:00:00,48.3,12.2,26.9
2023-02-22 14:02:00,47.3,10.9,26.9
2023-02-22 14:04:00,86.0,89.5,27.0
2023-02-22 14:06:00,47.4,11.4,26.8
2023-02-22 14:08:00,47.7,10.1,26.8
2023-02-22 14:10:00,48.4,11.1,27.1
2023-02-22 14:12:00,47.4,10.0,26.7
2023-02-22 14:14:00,91.0,97.2,27
2023-02-22 14:16:00,47.5,10.8,26.6
2023-02-22 14:18:00,46.8,9.62,26.8
2023-02-22 14:20:00,48.7,11.0,27.0
2023-02-22 14:22:00,47.3,9.98,26.6
2023-02-22 14:24:00,91.4,96.8,26.9
2023-02-22 14:26:00,47.8,10.8,26.7
2023-02-22 14:28:00,47,9.74,26.6
2023-02-22 14:30:00,48.9,10.9,27.1
2023-02-22 14:32:00,46.0,9.64,26.2
2023-02-22 14:34:00,80.5,82.0,26.5
2023-02-22 14:36:00,47.3,10.0,26.7
2023-02-22 14:38:00,46.9,9.96,26.4
2023-02-22 14:40:00,48.4,12.0,26.9
2023-02-22 14:42:00,48.0,10.2,27.1
2023-02-22 14:44:00,73.2,63.6,26.9
2023-02-22 14:46:00,48.7,10.4,27.1
2023-02-22 14:48:00,48.0,10.1,27.2
2023-02-22 14:50:00,49.9,12.1,27.8
2023-02-22 14:52:00,48.1,10.2,27
2023-02-22 14:54:00,65.1,44.7,27.2
2023-02-22 14:56:00,49.1,10.4,27.3
2023-02-22 14:58:00,47.9,9.86,27.1
2023-02-22 15:00:00,49.8,12.5,27.6
2023-02-22 15:02:00,48.0,9.72,27.2
2023-02-22 15:04:00,58.7,30.2,27.2
2023-02-22 15:06:00,48.6,10.2,27.3
2023-02-22 15:08:00,48.5,10.2,27.2
2023-02-22 15:10:00,48.8,12.3,27.4
2023-02-22 15:12:00,48.2,10.0,27.2
2023-02-22 15:14:00,51.1,14.3,27.1
2023-02-22 15:16:00,48.4,10.0,27.0
2023-02-22 15:18:00,47.8,10.3,27.0
2023-02-22 15:20:00,48.5,11.8,26.9
2023-02-22 15:22:00,48.0,9.84,27
2023-02-22 15:24:00,47.7,11.9,26.9
2023-02-22 15:26:00,48.5,11.1,27.0
2023-02-22 15:28:00,47.3,10.1,26.9
2023-02-22 15:30:00,49.3,11.8,27.3
2023-02-22 15:32:00,46.6,9.86,26.6
2023-02-22 15:34:00,48.0,11.9,26.8
2023-02-22 15:36:00,47.2,11.0,26.5
2023-02-22 15:38:00,48,10.3,26.8
