"Time","AVG_resident_memory_bytes","MAX_resident_memory_bytes_max","MIN_resident_memory_bytes_min"
2023-02-22 11:00:00,67293184,67293184,67293184
2023-02-22 11:02:00,68370432,68370432,68370432
2023-02-22 11:04:00,67264512,67264512,67264512
2023-02-22 11:06:00,66244608,66244608,66244608
2023-02-22 11:08:00,68927488,68927488,68927488
2023-02-22 11:10:00,69730304,69730304,69730304
2023-02-22 11:12:00,69369856,69369856,69369856
2023-02-22 11:14:00,67887104,67887104,67887104
2023-02-22 11:16:00,67432448,67432448,67432448
2023-02-22 11:18:00,67432448,67432448,67432448
2023-02-22 11:20:00,67960832,67960832,67960832
2023-02-22 11:22:00,67751936,67751936,67751936
2023-02-22 11:24:00,68177920,68177920,68177920
2023-02-22 11:26:00,68448256,68448256,68448256
2023-02-22 11:28:00,66777088,66777088,66777088
2023-02-22 11:30:00,67174400,67174400,67174400
2023-02-22 11:32:00,66822144,66822144,66822144
2023-02-22 11:34:00,67878912,67878912,67878912
2023-02-22 11:36:00,68685824,68685824,68685824
2023-02-22 11:38:00,68956160,68956160,68956160
2023-02-22 11:40:00,67538944,67538944,67538944
2023-02-22 11:42:00,67747840,67747840,67747840
2023-02-22 11:44:00,67751936,67751936,67751936
2023-02-22 11:46:00,67293184,67293184,67293184
2023-02-22 11:48:00,67592192,67592192,67592192
2023-02-22 11:50:00,65822720,65822720,65822720
2023-02-22 11:52:00,67645440,67645440,67645440
2023-02-22 11:54:00,68452352,68452352,68452352
2023-02-22 11:56:00,68452352,68452352,68452352
2023-02-22 11:58:00,68354048,68354048,68354048
2023-02-22 12:00:00,69099520,69099520,69099520
2023-02-22 12:02:00,69009408,69009408,69009408
2023-02-22 12:04:00,69226496,69226496,69226496
2023-02-22 12:06:00,68440064,68440064,68440064
2023-02-22 12:08:00,68440064,68440064,68440064
2023-02-22 12:10:00,69545984,69545984,69545984
2023-02-22 12:12:00,69111808,69111808,69111808
2023-02-22 12:14:00,69505024,69505024,69505024
2023-02-22 12:16:00,68911104,68911104,68911104
2023-02-22 12:18:00,69574656,69574656,69574656
2023-02-22 12:20:00,69574656,69574656,69574656
2023-02-22 12:22:00,66699264,66699264,66699264
2023-02-22 12:24:00,66699264,66699264,66699264
2023-02-22 12:26:00,67149824,67149824,67149824
2023-02-22 12:28:00,68304896,68304896,68304896
2023-02-22 12:30:00,68304896,68304896,68304896
2023-02-22 12:32:00,66899968,66899968,66899968
2023-02-22 12:34:00,67870720,67870720,67870720
2023-02-22 12:36:00,68943872,68943872,68943872
2023-02-22 12:38:00,66924544,66924544,66924544
2023-02-22 12:40:00,67018752,67018752,67018752
2023-02-22 12:42:00,66535424,66535424,66535424
2023-02-22 12:44:00,66355200,66355200,66355200
2023-02-22 12:46:00,67170304,67170304,67170304
2023-02-22 12:48:00,68157440,68157440,68157440
2023-02-22 12:50:00,68255744,68255744,68255744
2023-02-22 12:52:00,67342336,67342336,67342336
