"Time","Cluster","172.16.66.106:9796","172.16.66.107:9796","172.16.66.112:9796"
2023-02-22 11:00:00,5.67,6.27,5.40,5.36
2023-02-22 11:02:00,5.66,6.32,5.30,5.36
2023-02-22 11:04:00,5.68,6.38,5.29,5.35
2023-02-22 11:06:00,5.72,6.32,5.44,5.39
2023-02-22 11:08:00,5.64,6.32,5.22,5.38
2023-02-22 11:10:00,5.72,6.33,5.46,5.38
2023-02-22 11:12:00,5.76,6.40,5.50,5.40
2023-02-22 11:14:00,5.70,6.35,5.41,5.35
2023-02-22 11:16:00,5.77,6.37,5.55,5.40
2023-02-22 11:18:00,5.73,6.39,5.41,5.40
2023-02-22 11:20:00,5.74,6.40,5.49,5.33
2023-02-22 11:22:00,5.74,6.33,5.50,5.38
2023-02-22 11:24:00,5.78,6.45,5.52,5.37
2023-02-22 11:26:00,5.77,6.32,5.57,5.42
2023-02-22 11:28:00,5.72,6.34,5.47,5.36
2023-02-22 11:30:00,5.78,6.44,5.56,5.35
2023-02-22 11:32:00,5.76,6.36,5.49,5.41
2023-02-22 11:34:00,5.75,6.46,5.42,5.36
2023-02-22 11:36:00,5.76,6.45,5.37,5.44
2023-02-22 11:38:00,5.75,6.48,5.42,5.36
2023-02-22 11:40:00,5.75,6.40,5.48,5.35
2023-02-22 11:42:00,5.76,6.41,5.45,5.43
2023-02-22 11:44:00,5.76,6.46,5.47,5.35
2023-02-22 11:46:00,5.89,6.64,5.58,5.43
2023-02-22 11:48:00,5.82,6.61,5.48,5.37
2023-02-22 11:50:00,5.82,6.41,5.71,5.35
2023-02-22 11:52:00,5.83,6.42,5.65,5.43
2023-02-22 11:54:00,5.80,6.51,5.54,5.35
2023-02-22 11:56:00,5.80,6.33,5.66,5.39
2023-02-22 11:58:00,5.73,6.36,5.47,5.36
2023-02-22 12:00:00,5.80,6.44,5.61,5.34
2023-02-22 12:02:00,5.79,6.45,5.52,5.40
2023-02-22 12:04:00,5.82,6.47,5.63,5.34
2023-02-22 12:06:00,5.75,6.35,5.54,5.36
2023-02-22 12:08:00,5.73,6.34,5.47,5.38
2023-02-22 12:10:00,5.74,6.42,5.45,5.35
2023-02-22 12:12:00,5.79,6.45,5.49,5.42
2023-02-22 12:14:00,5.77,6.46,5.51,5.35
2023-02-22 12:16:00,5.76,6.38,5.51,5.39
2023-02-22 12:18:00,5.76,6.35,5.53,5.40
2023-02-22 12:20:00,5.73,6.36,5.49,5.35
2023-02-22 12:22:00,5.75,6.33,5.51,5.39
2023-02-22 12:24:00,5.81,6.48,5.60,5.36
2023-02-22 12:26:00,5.74,6.33,5.49,5.39
2023-02-22 12:28:00,5.79,6.34,5.61,5.41
2023-02-22 12:30:00,5.76,6.41,5.52,5.34
2023-02-22 12:32:00,5.75,6.33,5.55,5.37
2023-02-22 12:34:00,5.76,6.42,5.48,5.38
2023-02-22 12:36:00,5.78,6.37,5.60,5.36
2023-02-22 12:38:00,5.82,6.36,5.70,5.40
2023-02-22 12:40:00,5.81,6.45,5.59,5.38
2023-02-22 12:42:00,5.81,6.47,5.57,5.40
2023-02-22 12:44:00,5.80,6.49,5.50,5.40
2023-02-22 12:46:00,5.78,6.44,5.53,5.38
2023-02-22 12:48:00,5.79,6.43,5.56,5.39
2023-02-22 12:50:00,5.81,6.44,5.60,5.40
2023-02-22 12:52:00,5.79,6.36,5.61,5.39
2023-02-22 12:54:00,5.83,6.47,5.65,5.38
2023-02-22 12:56:00,5.83,6.44,5.68,5.37
2023-02-22 12:58:00,5.82,6.44,5.62,5.39
2023-02-22 13:00:00,5.78,6.34,5.62,5.39
2023-02-22 13:02:00,5.75,6.33,5.54,5.38
2023-02-22 13:04:00,5.83,6.45,5.68,5.38
2023-02-22 13:06:00,5.76,6.38,5.49,5.39
2023-02-22 13:08:00,5.81,6.34,5.71,5.38
2023-02-22 13:10:00,5.73,6.33,5.48,5.38
2023-02-22 13:12:00,5.77,6.39,5.53,5.41
2023-02-22 13:14:00,5.77,6.43,5.51,5.38
2023-02-22 13:16:00,5.75,6.39,5.48,5.38
2023-02-22 13:18:00,5.75,6.35,5.51,5.38
2023-02-22 13:20:00,5.74,6.35,5.49,5.39
2023-02-22 13:22:00,5.80,6.36,5.65,5.39
2023-02-22 13:24:00,5.82,6.48,5.59,5.38
2023-02-22 13:26:00,5.77,6.44,5.50,5.37
2023-02-22 13:28:00,5.77,6.42,5.50,5.39
2023-02-22 13:30:00,5.80,6.34,5.66,5.39
2023-02-22 13:32:00,5.78,6.35,5.58,5.40
2023-02-22 13:34:00,5.81,6.44,5.56,5.41
2023-02-22 13:36:00,5.77,6.37,5.55,5.39
2023-02-22 13:38:00,5.80,6.35,5.68,5.39
2023-02-22 13:40:00,5.80,6.46,5.54,5.40
2023-02-22 13:42:00,5.75,6.37,5.46,5.40
2023-02-22 13:44:00,5.77,6.45,5.46,5.39
2023-02-22 13:46:00,5.79,6.35,5.64,5.39
2023-02-22 13:48:00,5.79,6.35,5.64,5.39
2023-02-22 13:50:00,5.76,6.35,5.56,5.39
2023-02-22 13:52:00,5.76,6.37,5.53,5.39
2023-02-22 13:54:00,5.78,6.41,5.54,5.39
2023-02-22 13:56:00,5.79,6.37,5.60,5.39
2023-02-22 13:58:00,5.76,6.36,5.54,5.40
2023-02-22 14:00:00,5.82,6.43,5.62,5.40
2023-02-22 14:02:00,5.78,6.51,5.45,5.40
2023-02-22 14:04:00,5.85,6.48,5.67,5.39
2023-02-22 14:06:00,5.77,6.37,5.55,5.39
2023-02-22 14:08:00,5.78,6.38,5.57,5.39
2023-02-22 14:10:00,5.75,6.36,5.49,5.39
2023-02-22 14:12:00,5.78,6.42,5.50,5.43
2023-02-22 14:14:00,5.80,6.48,5.54,5.39
2023-02-22 14:16:00,5.75,6.36,5.50,5.40
2023-02-22 14:18:00,5.78,6.38,5.55,5.42
