"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-02-22 11:00:00,4690,3475,3298,7889,167,29774,0,2767,396,120
2023-02-22 11:04:00,4274,3429,3126,6143,176,28765,0.534,2752,360,119
2023-02-22 11:08:00,4265,3376,3013,6289,185,27527,0,2612,356,119
2023-02-22 11:12:00,4326,3452,6386,6224,172,29435,0,5814,363,626
2023-02-22 11:16:00,4538,3875,3695,10749,173,28736,0,3024,417,120
2023-02-22 11:20:00,4217,3410,3577,6461,168,28913,0.228,2976,368,122
2023-02-22 11:24:00,4312,3430,3376,6125,202,28442,0,2842,356,122
2023-02-22 11:28:00,4266,3411,3174,6251,168,29206,0,2663,359,123
2023-02-22 11:32:00,4306,3410,6697,6502,170,29297,0,6980,355,663
2023-02-22 11:36:00,72419,3848,4826,13610,167,28800,0,3949,413,120
2023-02-22 11:40:00,4344,3382,3303,9603,686,29212,0,2705,442,121
2023-02-22 11:44:00,4345,3407,3285,6253,198,28176,0,2746,360,121
2023-02-22 11:48:00,4216,3427,2857,10481,190,28989,0,2496,358,120
2023-02-22 11:52:00,4354,3494,5957,8127,162,27371,0,6790,390,283
2023-02-22 11:56:00,4676,4127,3255,10473,173,29324,0,2866,394,122
2023-02-22 12:00:00,4177,3374,2706,6394,176,27979,0.212,2280,361,118
2023-02-22 12:04:00,4253,3404,2917,6248,187,30602,0,2567,356,120
2023-02-22 12:08:00,4279,3389,2868,6254,168,28798,0,2391,365,118
2023-02-22 12:12:00,4704,3540,4873,8920,176,28274,0,4932,424,202
2023-02-22 12:16:00,75037,4041,3879,8964,178,30195,0,3190,360,123
2023-02-22 12:20:00,4234,3345,3214,6329,185,28270,0,2599,354,121
2023-02-22 12:24:00,4188,3414,3627,6191,181,30572,0,2904,360,128
2023-02-22 12:28:00,4164,3418,3154,7379,169,30282,0,2643,368,120
2023-02-22 12:32:00,4750,3372,3284,8704,189,29823,0,2940,420,121
2023-02-22 12:36:00,4288,3953,3195,8821,179,29184,0,2673,355,119
2023-02-22 12:40:00,69370,3492,3735,6420,180,29271,0,3090,355,122
2023-02-22 12:44:00,4177,3402,3772,6175,179,27528,0,3288,355,137
2023-02-22 12:48:00,4430,3468,3385,8093,177,28045,0,2773,410,120
2023-02-22 12:52:00,4576,3432,3096,7199,184,28884,0.231,2927,391,119
2023-02-22 12:56:00,4440,4028,3006,9970,190,28758,0,2712,360,119
2023-02-22 13:00:00,4222,3411,2833,6293,173,29140,0,2485,373,121
2023-02-22 13:04:00,4186,3382,4291,6563,181,28910,0,3822,367,424
2023-02-22 13:08:00,4808,3476,3154,8852,181,29110,0,2939,422,121
2023-02-22 13:12:00,4163,3401,2905,6238,171,29190,0,2531,353,122
2023-02-22 13:16:00,4157,3894,3102,8706,185,28382,0,2708,357,121
2023-02-22 13:20:00,4244,3329,3042,6306,174,29880,0,2530,353,120
2023-02-22 13:24:00,4243,3388,5604,7925,198,27269,0,5313,389,612
2023-02-22 13:28:00,4584,3386,3547,7510,186,29435,0,2990,399,121
2023-02-22 13:32:00,4217,3431,3074,6194,173,29357,0,2542,351,119
2023-02-22 13:36:00,4274,3894,3234,8579,172,28040,0,2809,354,121
2023-02-22 13:40:00,4237,3389,3021,6405,169,29200,0,2566,369,121
2023-02-22 13:44:00,4631,3451,7275,8452,190,29264,0,7013,421,650
2023-02-22 13:48:00,4460,3331,3366,6751,189,30538,0,2645,375,119
2023-02-22 13:52:00,4170,3381,2913,6220,178,28737,0,2643,360,120
2023-02-22 13:56:00,4348,4051,3179,10358,179,29756,0.198,2715,359,120
2023-02-22 14:00:00,4294,3382,2876,7149,182,29544,0,2563,372,121
2023-02-22 14:04:00,4691,3445,6524,8681,180,31901,0,7542,416,648
2023-02-22 14:08:00,4140,3412,2803,6142,181,28675,0,2576,357,121
2023-02-22 14:12:00,4137,3401,2981,6188,168,30340,0,2526,358,122
2023-02-22 14:16:00,4239,3936,3351,8514,188,28590,0,2644,360,119
2023-02-22 14:20:00,4387,3491,3403,8252,177,28598,0,2714,408,119
2023-02-22 14:24:00,4517,3365,5984,7027,180,28588,0,6874,402,349
2023-02-22 14:28:00,4245,3446,3145,6141,197,29453,0,2637,360,120
2023-02-22 14:32:00,4264,3442,3161,6176,191,29303,0,2686,358,120
2023-02-22 14:36:00,4301,3958,3219,8598,184,27858,0,2548,361,119
2023-02-22 14:40:00,4725,3369,3586,8838,174,28527,0,2868,424,119
2023-02-22 14:44:00,4218,3465,4571,6204,185,28221,0.193,4741,359,241
2023-02-22 14:48:00,4305,3364,3107,6187,180,29713,0,2496,363,119
2023-02-22 14:52:00,4223,3455,3035,6262,167,31437,0.223,2705,358,120
2023-02-22 14:56:00,4363,4010,3098,10778,185,28888,0,2653,371,122
2023-02-22 15:00:00,4683,3382,3091,7988,179,30276,0,2715,411,123
2023-02-22 15:04:00,4295,3441,3255,6186,178,30276,0,3016,359,122
2023-02-22 15:08:00,4319,3437,2973,6103,188,29364,0,2480,359,121
2023-02-22 15:12:00,4283,3401,2980,6168,192,28049,0,2579,359,120
2023-02-22 15:16:00,4412,3948,4146,11069,181,29095,0,3418,405,128
2023-02-22 15:20:00,4407,3458,3224,6919,182,30040,0,2717,380,122
2023-02-22 15:24:00,4206,3412,3284,6113,188,29691,0,2822,352,120
