"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-02-22 11:00:00,1382,1345,4227,2269,144,2931,0,3957,72.3,564
2023-02-22 11:04:00,1369,1333,3930,1429,148,3077,0.198,3761,74.5,560
2023-02-22 11:08:00,1373,1312,3933,1576,157,2692,0,3668,75.3,560
2023-02-22 11:12:00,1392,1339,7161,1535,144,2714,0,6813,72.5,3962
2023-02-22 11:16:00,1407,1384,4584,3429,145,2764,0,4239,72.5,567
2023-02-22 11:20:00,1320,1314,4495,1532,147,2947,0.195,4091,71.6,573
2023-02-22 11:24:00,1397,1330,4100,1482,171,2665,0,3834,70.6,582
2023-02-22 11:28:00,1387,1333,3932,1593,146,2823,0,3693,70.1,573
2023-02-22 11:32:00,1410,1322,8030,1808,149,2748,0,8420,72.9,4834
2023-02-22 11:36:00,3264,1363,6329,3075,148,2818,0,5807,72.8,551
2023-02-22 11:40:00,1406,1320,4899,1746,160,2785,0,4284,73.4,562
2023-02-22 11:44:00,1399,1326,4025,1537,163,2719,0,3672,71.6,583
2023-02-22 11:48:00,1361,1333,4020,1753,161,2894,0,3871,70.7,562
2023-02-22 11:52:00,1413,1353,8009,2926,139,2815,0,8883,73.1,3920
2023-02-22 11:56:00,1409,1475,4294,2090,153,2858,0,4281,72.3,582
2023-02-22 12:00:00,1343,1317,3684,1578,148,2766,0,3294,70.0,543
2023-02-22 12:04:00,1376,1329,3652,1578,159,2709,0,3584,72.0,573
2023-02-22 12:08:00,1348,1306,3765,1530,147,2721,0,3471,71.2,561
2023-02-22 12:12:00,1407,1390,5868,3363,149,2825,0,6322,73.7,2153
2023-02-22 12:16:00,3326,1438,5705,1634,144,2880,0,5342,72.4,578
2023-02-22 12:20:00,1363,1299,4086,1596,154,2783,0,3740,71.2,585
2023-02-22 12:24:00,1372,1334,4266,1543,150,2774,0,3950,71.1,572
2023-02-22 12:28:00,1355,1328,4102,2593,151,2676,0,3775,72.8,560
2023-02-22 12:32:00,1370,1302,4460,3093,158,2860,0,4076,75.3,563
2023-02-22 12:36:00,1385,1408,4155,1591,166,2794,0,3956,69.7,555
2023-02-22 12:40:00,3117,1357,5188,1583,152,3095,0,5172,70.0,579
2023-02-22 12:44:00,1351,1325,4462,1580,162,2907,0,4071,70.3,585
2023-02-22 12:48:00,1377,1340,4244,2848,148,2807,0,3814,72.1,564
2023-02-22 12:52:00,1381,1343,4030,2012,154,2639,0,4055,75.6,567
2023-02-22 12:56:00,1425,1443,3929,1560,156,2726,0,3918,71.7,556
2023-02-22 13:00:00,1358,1317,3808,1502,147,2979,0,3640,76.7,570
2023-02-22 13:04:00,1348,1318,4783,1789,165,2773,0,4489,75.2,887
2023-02-22 13:08:00,1361,1357,4134,3101,157,2751,0.201,4215,73.6,562
2023-02-22 13:12:00,1340,1331,3871,1517,148,2819,0,3638,71.9,565
2023-02-22 13:16:00,1337,1383,4113,1590,157,2818,0,4005,73.3,557
2023-02-22 13:20:00,1365,1287,3843,1545,148,2910,0,3674,73.0,569
2023-02-22 13:24:00,1368,1334,6396,2866,165,2779,0,5979,74.4,2916
2023-02-22 13:28:00,1376,1310,4425,2185,155,2792,0,4212,73.9,566
2023-02-22 13:32:00,1354,1332,3989,1531,152,2989,0,3644,73.9,555
2023-02-22 13:36:00,1376,1397,4169,1541,147,2760,0,3931,72.2,576
2023-02-22 13:40:00,1360,1326,3907,1558,145,2791,0,3659,78.9,563
2023-02-22 13:44:00,1409,1346,8053,3076,163,2868,0,8197,74.6,4371
2023-02-22 13:48:00,1385,1289,4168,1783,161,2836,0,3709,73.4,554
2023-02-22 13:52:00,1357,1320,3871,1488,162,2808,0,3677,73.1,552
2023-02-22 13:56:00,1439,1460,4395,1522,162,2948,0,4071,77.0,564
2023-02-22 14:00:00,1415,1326,3797,2265,159,2913,0.232,3679,75.9,574
2023-02-22 14:04:00,1378,1327,7825,3103,146,2987,0,9133,75.0,4768
2023-02-22 14:08:00,1333,1321,3557,1452,152,2985,0,3662,76.4,579
2023-02-22 14:12:00,1331,1339,3850,1470,137,3082,0,3548,73.5,570
2023-02-22 14:16:00,1359,1394,4325,1558,162,2618,0,3801,74.6,556
2023-02-22 14:20:00,1377,1360,4369,3005,146,2695,0,3862,71.4,565
2023-02-22 14:24:00,1395,1306,7359,1881,165,2664,0,8459,76.0,3727
2023-02-22 14:28:00,1367,1332,3914,1455,162,2844,0,3764,70.2,573
2023-02-22 14:32:00,1410,1337,3898,1488,167,2609,0,3731,73.2,572
2023-02-22 14:36:00,1392,1429,4160,1878,149,2926,0,3814,73.0,563
2023-02-22 14:40:00,1365,1308,4395,3165,148,2625,0,4089,74.8,551
2023-02-22 14:44:00,1365,1363,5603,1561,167,2774,0,5970,73.1,3005
2023-02-22 14:48:00,1391,1310,3850,1522,151,2701,0,3548,76.5,560
2023-02-22 14:52:00,1367,1341,3861,1519,143,2982,0,3787,77.0,547
2023-02-22 14:56:00,1414,1424,4093,2071,154,2855,0,4031,68.7,582
2023-02-22 15:00:00,1398,1316,4059,2532,151,2845,0,3985,71.7,580
2023-02-22 15:04:00,1380,1343,4114,1530,156,2602,0,4104,69.4,571
