"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-02-22 11:00:00,0.00478,0.00549,0.184,0.112,0.00375,0.0248,0.00000174,0.0888,0.0509,0.276
2023-02-22 11:02:00,0.00459,0.00576,0.555,0.124,0.00369,0.0268,0.00000166,0.157,0.0490,0.137
2023-02-22 11:04:00,0.00444,0.00562,0.239,0.114,0.00368,0.0273,0.00000261,0.0871,0.0473,0.131
2023-02-22 11:06:00,0.00505,0.00544,0.665,0.117,0.00374,0.0251,0.00000175,0.0843,0.0485,0.126
2023-02-22 11:08:00,0.00459,0.00542,0.221,0.114,0.00384,0.0278,0.00000200,0.0861,0.0488,0.130
2023-02-22 11:10:00,0.00461,0.00560,0.636,0.111,0.00386,0.0270,0.00000261,0.0855,0.0486,0.124
2023-02-22 11:12:00,0.0234,0.00612,0.316,0.124,0.00391,0.0245,0.00000167,0.112,0.0511,0.135
2023-02-22 11:14:00,0.00472,0.00548,0.551,0.113,0.00397,0.0251,0.00000193,0.0883,0.0470,0.128
2023-02-22 11:16:00,0.00477,0.00532,0.488,0.118,0.00376,0.0266,0.00000356,0.0847,0.0495,0.133
2023-02-22 11:18:00,0.00452,0.00564,0.587,0.112,0.00400,0.0267,0.00000156,0.0855,0.0491,0.122
2023-02-22 11:20:00,0.00473,0.00547,0.539,0.112,0.00396,0.0262,0.00000123,0.0849,0.0492,0.125
2023-02-22 11:22:00,0.00343,0.00593,0.563,0.126,0.00402,0.0285,0.00000266,0.0889,0.0498,0.127
2023-02-22 11:24:00,0.00475,0.00552,0.540,0.113,0.00392,0.0284,0.00000146,0.0848,0.0505,0.122
2023-02-22 11:26:00,0.00422,0.00545,0.381,0.116,0.00363,0.0285,0.00000133,0.0864,0.0491,0.127
2023-02-22 11:28:00,0.00444,0.00552,0.571,0.108,0.00363,0.0266,0.00000310,0.0825,0.0463,0.129
2023-02-22 11:30:00,0.00448,0.00556,0.313,0.109,0.00379,0.0264,0.00000161,0.0871,0.0495,0.133
2023-02-22 11:32:00,0.00339,0.00604,0.518,0.123,0.00397,0.0308,0.00000181,0.0828,0.0506,0.128
2023-02-22 11:34:00,0.00403,0.00562,0.173,0.108,0.00371,0.0256,0.00000256,0.0903,0.0507,0.131
2023-02-22 11:36:00,0.00322,0.00533,0.518,0.117,0.00418,0.0281,0.00000177,0.0965,0.0502,0.124
2023-02-22 11:38:00,0.00455,0.00554,0.264,0.110,0.00381,0.0280,0.00000195,0.0838,0.0485,0.125
2023-02-22 11:40:00,0.00460,0.00543,0.574,0.108,0.00410,0.0275,0.00000197,0.0860,0.0473,0.126
2023-02-22 11:42:00,0.00920,0.00683,0.241,0.152,0.00428,0.0289,0.00000177,0.0844,0.0523,0.129
2023-02-22 11:44:00,0.00332,0.00556,0.623,0.113,0.00364,0.0258,0.00000182,0.0904,0.0519,0.132
2023-02-22 11:46:00,0.00326,0.00605,0.240,0.119,0.00400,0.0286,0.00000215,0.0862,0.0518,0.131
2023-02-22 11:48:00,0.00327,0.00648,0.518,0.114,0.00444,0.0254,0.00000170,0.0844,0.0531,0.129
2023-02-22 11:50:00,0.00339,0.00593,0.514,0.118,0.00442,0.0300,0.00000138,0.0842,0.0513,0.126
2023-02-22 11:52:00,0.00321,0.00581,0.548,0.127,0.00409,0.0266,0.00000216,0.0881,0.0483,0.123
2023-02-22 11:54:00,0.0190,0.00557,0.553,0.108,0.00403,0.0299,0.00000158,0.106,0.0522,0.153
2023-02-22 11:56:00,0.00332,0.00541,0.512,0.110,0.00404,0.0296,0.00000141,0.0866,0.0524,0.125
2023-02-22 11:58:00,0.00330,0.00555,0.530,0.109,0.00378,0.0291,0.00000233,0.0874,0.0502,0.126
2023-02-22 12:00:00,0.00324,0.00560,0.465,0.107,0.00371,0.0258,0.00000164,0.0864,0.0484,0.127
2023-02-22 12:02:00,0.00332,0.00596,0.536,0.121,0.00394,0.0294,0.00000123,0.0839,0.0494,0.124
2023-02-22 12:04:00,0.00315,0.00561,0.191,0.107,0.00384,0.0280,0.00000203,0.118,0.0517,0.157
2023-02-22 12:06:00,0.00321,0.00549,0.541,0.112,0.00375,0.0290,0.00000143,0.0859,0.0506,0.128
2023-02-22 12:08:00,0.00327,0.00538,0.163,0.112,0.00380,0.0285,0.00000166,0.0863,0.0520,0.131
2023-02-22 12:10:00,0.00323,0.00542,0.581,0.108,0.00375,0.0273,0.00000295,0.0842,0.0501,0.123
2023-02-22 12:12:00,0.00975,0.00608,0.214,0.123,0.00374,0.0250,0.00000151,0.0827,0.0496,0.127
2023-02-22 12:14:00,0.00329,0.00531,0.693,0.106,0.00368,0.0302,0.00000144,0.126,0.0515,0.170
2023-02-22 12:16:00,0.00462,0.00560,0.181,0.113,0.00370,0.0285,0.00000293,0.0814,0.0518,0.130
2023-02-22 12:18:00,0.00334,0.00548,0.586,0.123,0.00370,0.0292,0.00000188,0.0869,0.0511,0.130
2023-02-22 12:20:00,0.00324,0.00555,0.145,0.112,0.00406,0.0267,0.00000158,0.0897,0.0475,0.127
2023-02-22 12:22:00,0.00315,0.00569,0.541,0.123,0.00367,0.0298,0.00000220,0.0834,0.0498,0.125
2023-02-22 12:24:00,0.00310,0.00542,0.424,0.108,0.00390,0.0282,0.00000181,0.152,0.0493,0.151
2023-02-22 12:26:00,0.00317,0.00532,0.598,0.112,0.00399,0.0257,0.00000173,0.0838,0.0516,0.125
2023-02-22 12:28:00,0.00330,0.00543,0.436,0.112,0.00384,0.0276,0.00000195,0.0879,0.0505,0.128
2023-02-22 12:30:00,0.00450,0.00547,0.507,0.109,0.00393,0.0273,0.00000149,0.0882,0.0468,0.128
2023-02-22 12:32:00,0.00411,0.00579,0.527,0.118,0.00397,0.0273,0.00000139,0.0853,0.0468,0.125
2023-02-22 12:34:00,0.00318,0.00560,0.311,0.108,0.00379,0.0295,0.00000331,0.147,0.0494,0.151
2023-02-22 12:36:00,0.00320,0.00561,0.511,0.112,0.00392,0.0295,0.00000151,0.0874,0.0495,0.126
2023-02-22 12:38:00,0.00430,0.00551,0.154,0.127,0.00374,0.0302,0.00000172,0.0844,0.0485,0.126
2023-02-22 12:40:00,0.00322,0.00538,0.616,0.110,0.00381,0.0260,0.00000190,0.0891,0.0477,0.129
2023-02-22 12:42:00,0.00786,0.00616,0.177,0.127,0.00395,0.0265,0.00000145,0.0884,0.0475,0.127
2023-02-22 12:44:00,0.00429,0.00539,0.705,0.111,0.00375,0.0258,0.00000129,0.164,0.0488,0.149
2023-02-22 12:46:00,0.00416,0.00561,0.329,0.113,0.00382,0.0272,0.00000219,0.0846,0.0511,0.129
2023-02-22 12:48:00,0.00337,0.00530,0.624,0.115,0.00424,0.0268,0.00000195,0.0840,0.0498,0.127
2023-02-22 12:50:00,0.00460,0.00551,0.132,0.111,0.00371,0.0277,0.00000138,0.0876,0.0482,0.132
2023-02-22 12:52:00,0.00328,0.00591,0.511,0.122,0.00396,0.0270,0.00000204,0.0869,0.0474,0.125
2023-02-22 12:54:00,0.00319,0.00556,0.224,0.114,0.00396,0.0280,0.00000133,0.150,0.0487,0.136
2023-02-22 12:56:00,0.00428,0.00545,0.523,0.113,0.00385,0.0276,0.00000146,0.0876,0.0483,0.129
2023-02-22 12:58:00,0.00328,0.00528,0.417,0.114,0.00372,0.0263,0.00000204,0.0934,0.0483,0.129
2023-02-22 13:00:00,0.00442,0.00540,0.534,0.111,0.00379,0.0258,0.00000166,0.0905,0.0440,0.131
2023-02-22 13:02:00,0.00419,0.00600,0.538,0.122,0.00365,0.0265,0.00000146,0.0867,0.0478,0.126
2023-02-22 13:04:00,0.00327,0.00551,0.384,0.113,0.00379,0.0262,0.00000239,0.136,0.0509,0.136
2023-02-22 13:06:00,0.0169,0.00555,0.538,0.115,0.00366,0.0282,0.00000143,0.0873,0.0486,0.130
2023-02-22 13:08:00,0.00443,0.00546,0.169,0.112,0.00374,0.0284,0.00000114,0.0819,0.0501,0.128
2023-02-22 13:10:00,0.00467,0.00531,0.614,0.112,0.00351,0.0255,0.00000207,0.0867,0.0470,0.128
2023-02-22 13:12:00,0.00791,0.00604,0.267,0.124,0.00380,0.0268,0.00000158,0.0851,0.0474,0.129
2023-02-22 13:14:00,0.00450,0.00538,0.596,0.114,0.00381,0.0295,0.00000150,0.127,0.0475,0.133
2023-02-22 13:16:00,0.00454,0.00560,0.0935,0.116,0.00360,0.0266,0.00000390,0.0869,0.0469,0.129
2023-02-22 13:18:00,0.00435,0.00542,0.645,0.112,0.00380,0.0271,0.00000210,0.0837,0.0486,0.129
2023-02-22 13:20:00,0.00440,0.00542,0.376,0.112,0.00376,0.0284,0.00000129,0.0872,0.0468,0.131
2023-02-22 13:22:00,0.00449,0.00593,0.545,0.120,0.00377,0.0289,0.00000147,0.0870,0.0477,0.126
2023-02-22 13:24:00,0.00471,0.00547,0.418,0.115,0.00375,0.0288,0.00000125,0.118,0.0498,0.135
2023-02-22 13:26:00,0.00444,0.00539,0.638,0.116,0.00370,0.0288,0.00000158,0.0875,0.0490,0.122
2023-02-22 13:28:00,0.00464,0.00544,0.383,0.111,0.00417,0.0294,0.00000219,0.0878,0.0489,0.130
2023-02-22 13:30:00,0.00461,0.00547,0.497,0.112,0.00381,0.0276,0.00000154,0.0809,0.0459,0.126
2023-02-22 13:32:00,0.00446,0.00586,0.421,0.122,0.00363,0.0291,0.00000205,0.0878,0.0494,0.128
2023-02-22 13:34:00,0.00510,0.00551,0.387,0.111,0.00411,0.0302,0.00000233,0.111,0.0493,0.128
2023-02-22 13:36:00,0.00318,0.00531,0.694,0.114,0.00363,0.0267,0.00000139,0.0833,0.0503,0.131
2023-02-22 13:38:00,0.00322,0.00565,0.211,0.111,0.00414,0.0252,0.00000189,0.0883,0.0465,0.131
2023-02-22 13:40:00,0.00440,0.00539,0.632,0.113,0.00393,0.0331,0.00000199,0.0885,0.0484,0.127
2023-02-22 13:42:00,0.00821,0.00608,0.200,0.122,0.00375,0.0260,0.00000200,0.0848,0.0499,0.130
2023-02-22 13:44:00,0.00326,0.00547,0.519,0.112,0.00353,0.0286,0.00000137,0.104,0.0496,0.133
2023-02-22 13:46:00,0.00314,0.00558,0.0926,0.113,0.00391,0.0263,0.00000245,0.0898,0.0476,0.130
2023-02-22 13:48:00,0.00318,0.00529,0.627,0.111,0.00386,0.0256,0.00000172,0.0882,0.0469,0.127
2023-02-22 13:50:00,0.00328,0.00573,0.200,0.115,0.00393,0.0283,0.00000161,0.0893,0.0488,0.125
2023-02-22 13:52:00,0.00315,0.00571,0.586,0.122,0.00393,0.0278,0.00000295,0.0883,0.0476,0.122
2023-02-22 13:54:00,0.00333,0.00555,0.367,0.111,0.00397,0.0276,0.00000163,0.0902,0.0497,0.127
2023-02-22 13:56:00,0.00316,0.00547,0.594,0.114,0.00403,0.0298,0.00000165,0.0938,0.0518,0.129
2023-02-22 13:58:00,0.00320,0.00549,0.441,0.110,0.00366,0.0251,0.00000239,0.0879,0.0481,0.127
2023-02-22 14:00:00,0.00336,0.00543,0.539,0.114,0.00378,0.0291,0.00000166,0.0879,0.0477,0.129
2023-02-22 14:02:00,0.0187,0.00578,0.620,0.123,0.00387,0.0380,0.00000226,0.0863,0.0477,0.126
2023-02-22 14:04:00,0.00320,0.00555,0.420,0.113,0.00377,0.0256,0.00000360,0.0877,0.0490,0.129
2023-02-22 14:06:00,0.00314,0.00555,0.547,0.117,0.00384,0.0286,0.00000115,0.0929,0.0482,0.129
2023-02-22 14:08:00,0.00324,0.00559,0.250,0.114,0.00388,0.0285,0.00000221,0.0855,0.0475,0.127
2023-02-22 14:10:00,0.00330,0.00531,0.556,0.115,0.00391,0.0283,0.00000276,0.0850,0.0462,0.124
2023-02-22 14:12:00,0.00940,0.00609,0.275,0.126,0.00405,0.0278,0.00000178,0.0871,0.0472,0.127
2023-02-22 14:14:00,0.00320,0.00550,0.555,0.111,0.00378,0.0276,0.00000141,0.0875,0.0480,0.130
2023-02-22 14:16:00,0.00445,0.00546,0.0551,0.117,0.00378,0.0274,0.00000219,0.0962,0.0488,0.133
2023-02-22 14:18:00,0.00453,0.00551,0.578,0.112,0.00406,0.0269,0.00000169,0.0839,0.0461,0.127
2023-02-22 14:20:00,0.00326,0.00553,0.276,0.112,0.00381,0.0288,0.00000233,0.0877,0.0476,0.126
2023-02-22 14:22:00,0.00324,0.00854,0.591,0.125,0.00373,0.0281,0.00000279,0.0877,0.0471,0.128
2023-02-22 14:24:00,0.00329,0.00553,0.403,0.111,0.00384,0.0262,0.00000195,0.0865,0.0476,0.129
2023-02-22 14:26:00,0.00321,0.00773,0.494,0.117,0.00399,0.0281,0.00000129,0.105,0.0466,0.141
2023-02-22 14:28:00,0.00314,0.00541,0.489,0.112,0.00392,0.0279,0.00000246,0.0859,0.0445,0.127
2023-02-22 14:30:00,0.00332,0.00558,0.375,0.112,0.00396,0.0306,0.00000195,0.0838,0.0452,0.130
2023-02-22 14:32:00,0.00326,0.00603,0.596,0.128,0.00415,0.0280,0.00000167,0.0821,0.0484,0.130
2023-02-22 14:34:00,0.00330,0.00552,0.446,0.112,0.00372,0.0268,0.00000181,0.0886,0.0476,0.130
2023-02-22 14:36:00,0.00330,0.00526,0.658,0.119,0.00373,0.0281,0.00000181,0.108,0.0471,0.139
2023-02-22 14:38:00,0.00317,0.00545,0.194,0.111,0.00392,0.0291,0.00000142,0.0856,0.0472,0.126
2023-02-22 14:40:00,0.00321,0.00782,0.609,0.111,0.00382,0.0284,0.00000258,0.0884,0.0480,0.132
2023-02-22 14:42:00,0.00790,0.00858,0.174,0.135,0.00427,0.0257,0.00000224,0.0889,0.0477,0.126
2023-02-22 14:44:00,0.00320,0.00545,0.566,0.110,0.00364,0.0262,0.00000160,0.0855,0.0483,0.128
2023-02-22 14:46:00,0.00480,0.00542,0.288,0.117,0.00377,0.0265,0.00000216,0.136,0.0489,0.157
2023-02-22 14:48:00,0.00384,0.00752,0.604,0.112,0.00382,0.0262,0.00000207,0.0827,0.0458,0.128
2023-02-22 14:50:00,0.00432,0.00552,0.286,0.112,0.00390,0.0277,0.00000187,0.0861,0.0475,0.128
2023-02-22 14:52:00,0.00323,0.00593,0.677,0.131,0.00396,0.0260,0.00000348,0.0846,0.0492,0.130
2023-02-22 14:54:00,0.00322,0.00554,0.369,0.111,0.00392,0.0265,0.00000155,0.0793,0.0478,0.126
2023-02-22 14:56:00,0.00473,0.00537,0.508,0.117,0.00387,0.0307,0.00000189,0.146,0.0470,0.144
2023-02-22 14:58:00,0.00320,0.00536,0.553,0.112,0.00402,0.0260,0.00000208,0.0868,0.0463,0.125
2023-02-22 15:00:00,0.00314,0.00552,0.231,0.112,0.00426,0.0277,0.00000144,0.0845,0.0484,0.127
2023-02-22 15:02:00,0.00316,0.00824,0.575,0.122,0.00396,0.0268,0.00000180,0.0852,0.0476,0.125
2023-02-22 15:04:00,0.0199,0.00708,0.285,0.111,0.00367,0.0281,0.00000242,0.0852,0.0488,0.126
