"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-02-22 11:00:00,44531712,81879040,1661820928,829116416,113995776,219037696,20185088,474128384,569159680,1995218944
2023-02-22 11:02:00,44359680,81743872,1786613760,835330048,113020928,246288384,20226048,474329088,572620800,2007879680
2023-02-22 11:04:00,44367872,81715200,1646587904,816508928,112422912,254054400,20234240,488026112,573894656,2007568384
2023-02-22 11:06:00,44453888,81936384,1704349696,851214336,113324032,237477888,20242432,480002048,575938560,2007232512
2023-02-22 11:08:00,44605440,82161664,1481687040,853331968,113983488,236326912,20283392,479612928,576307200,2007445504
2023-02-22 11:10:00,44912640,81993728,1750327296,812281856,114081792,236433408,20287488,493170688,577093632,2003402752
2023-02-22 11:12:00,55439360,83566592,1730215936,849035264,114221056,243073024,20393984,491692032,579334144,2005458944
2023-02-22 11:14:00,49807360,82317312,1772322816,815742976,112906240,236294144,20406272,492130304,579919872,2007281664
2023-02-22 11:16:00,45101056,82456576,1783975936,848044032,113614848,239083520,20504576,490479616,581435392,2004897792
2023-02-22 11:18:00,44613632,82518016,1446789120,848928768,114311168,254844928,20504576,483057664,581771264,2005532672
2023-02-22 11:20:00,44654592,82333696,1733140480,778190848,115200000,255586304,20504576,491372544,582410240,2005508096
2023-02-22 11:22:00,44666880,82456576,1705050112,806092800,115163136,234135552,20439040,495116288,583610368,2010890240
2023-02-22 11:24:00,44699648,82591744,1758470144,795176960,113995776,233504768,20439040,498987008,584187904,2010828800
2023-02-22 11:26:00,44748800,83841024,1612574720,850173952,113967104,238006272,20443136,494702592,585248768,2010976256
2023-02-22 11:28:00,44797952,84078592,1718710272,772751360,114364416,242528256,20410368,487727104,586690560,2012164096
2023-02-22 11:30:00,44539904,82210816,1707769856,771915776,115081216,250830848,20410368,492986368,587505664,2010800128
2023-02-22 11:32:00,44576768,82280448,1731284992,837292032,115105792,261320704,20443136,500867072,587980800,2015207424
2023-02-22 11:34:00,44593152,82403328,1643368448,772780032,115286016,249085952,20414464,499314688,589017088,2015309824
2023-02-22 11:36:00,78348288,82493440,1811492864,835883008,115306496,244305920,20418560,481660928,590917632,2014580736
2023-02-22 11:38:00,49139712,82575360,1661100032,771887104,115490816,271884288,20418560,492699648,591851520,2015817728
2023-02-22 11:40:00,46247936,82591744,1843396608,771489792,116006912,271187968,20488192,486064128,590086144,2016780288
2023-02-22 11:42:00,51335168,84750336,1750757376,852791296,116428800,258727936,20586496,499560448,592261120,2005508096
2023-02-22 11:44:00,46432256,82583552,1876131840,772706304,115892224,279683072,20619264,504782848,591937536,2006646784
2023-02-22 11:46:00,51146752,89051136,1881399296,872652800,133885952,274071552,20623360,500662272,624574464,2005897216
2023-02-22 11:48:00,43991040,96530432,1519247360,831893504,132198400,275214336,20688896,491663360,651964416,2006675456
2023-02-22 11:50:00,45084672,83542016,1927561216,782118912,122601472,255647744,20705280,499896320,611094528,2007339008
2023-02-22 11:52:00,45199360,79400960,1517137920,840155136,114049024,249982976,20705280,510144512,599425024,2007687168
2023-02-22 11:54:00,50286592,81047552,1771749376,766771200,112709632,259051520,20672512,486260736,591364096,2008326144
2023-02-22 11:56:00,44609536,82145280,1687158784,833732608,109006848,251580416,20672512,488427520,592461824,2008530944
2023-02-22 11:58:00,44396544,82419712,1752866816,780910592,108142592,255885312,20672512,486891520,593186816,2008838144
2023-02-22 12:00:00,44339200,80830464,1743478784,766607360,108093440,251858944,20606976,486076416,594583552,2009178112
2023-02-22 12:02:00,44339200,80916480,1841541120,829050880,109694976,252002304,20606976,498454528,595931136,2010693632
2023-02-22 12:04:00,44347392,81186816,1760239616,764956672,109682688,265392128,20639744,499187712,595988480,2014318592
2023-02-22 12:06:00,44351488,81162240,1710690304,787853312,109649920,264630272,20643840,497979392,596303872,2013585408
2023-02-22 12:08:00,44482560,81297408,1675169792,799592448,109682688,259321856,20643840,485818368,596598784,2013954048
2023-02-22 12:10:00,44482560,81362944,1876074496,763932672,109572096,251711488,20746240,486645760,598695936,2014916608
2023-02-22 12:12:00,60874752,83390464,1717633024,840421376,109555712,242118656,20750336,490704896,599068672,2013528064
2023-02-22 12:14:00,42364928,81145856,1847377920,770240512,109797376,254078976,20750336,490786816,598757376,2009255936
2023-02-22 12:16:00,52920320,81162240,1754959872,787353600,109207552,250347520,20750336,493010944,598581248,2009911296
2023-02-22 12:18:00,46657536,81190912,1789804544,825372672,109182976,261165056,20750336,496103424,599564288,2009411584
2023-02-22 12:20:00,46174208,81252352,1706799104,764166144,109768704,264581120,20750336,492589056,598818816,2007531520
2023-02-22 12:22:00,46231552,81289216,1816543232,813273088,109637632,256483328,20754432,478846976,599703552,2006208512
2023-02-22 12:24:00,46260224,81297408,1846824960,778952704,109408256,263598080,20754432,487272448,600338432,2006904832
2023-02-22 12:26:00,46305280,82640896,1775349760,791920640,109486080,246300672,20791296,499539968,600788992,2007416832
2023-02-22 12:28:00,46358528,83050496,1805881344,826204160,109125632,254504960,20791296,499998720,601161728,2008530944
2023-02-22 12:30:00,46362624,81379328,1822044160,762503168,109096960,257204224,20692992,484360192,601489408,2008625152
2023-02-22 12:32:00,46370816,81416192,1753026560,795074560,109019136,244768768,20697088,474202112,601346048,2009112576
2023-02-22 12:34:00,46391296,81522688,1756504064,796635136,109412352,257912832,20668416,492703744,601985024,2012274688
2023-02-22 12:36:00,46399488,81666048,1888649216,783601664,109416448,262934528,20705280,488947712,601714688,2012909568
