"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-02-22 11:00:00,4690,6949,669430,31557,500,59548,0,392913,13084,1686
2023-02-22 11:04:00,4274,6857,634631,24571,527,57529,2.67,390748,11865,1669
2023-02-22 11:08:00,4265,6751,611566,25157,556,55053,0,370960,11744,1669
2023-02-22 11:12:00,4326,6904,1296266,24896,517,58871,0,825623,11969,8758
2023-02-22 11:16:00,4538,7750,750021,42997,519,57473,0,429379,13763,1684
2023-02-22 11:20:00,4217,6820,726147,25843,503,57826,1.14,422620,12144,1711
2023-02-22 11:24:00,4312,6860,685230,24500,605,56884,0,403516,11764,1706
2023-02-22 11:28:00,4266,6821,644230,25006,503,58412,0,378087,11845,1721
2023-02-22 11:32:00,4306,6819,1359572,26008,509,58594,0,991216,11729,9276
2023-02-22 11:36:00,72419,7696,979772,54440,501,57600,0,560783,13637,1683
2023-02-22 11:40:00,4344,6763,670547,38414,2059,58423,0,384058,14581,1696
2023-02-22 11:44:00,4345,6815,666847,25013,595,56351,0,390000,11870,1694
2023-02-22 11:48:00,4216,6854,579957,41923,570,57979,0,354367,11800,1687
2023-02-22 11:52:00,4354,6989,1209295,32509,486,54742,0,964186,12855,3966
2023-02-22 11:56:00,4676,8254,660861,41893,518,58649,0,407010,12994,1705
2023-02-22 12:00:00,4177,6748,549232,25575,528,55957,1.06,323743,11915,1650
2023-02-22 12:04:00,4253,6808,592148,24992,561,61205,0,364574,11755,1685
2023-02-22 12:08:00,4279,6778,582132,25015,503,57597,0,339501,12035,1655
2023-02-22 12:12:00,4704,7079,989162,35678,527,56548,0,700303,14006,2824
2023-02-22 12:16:00,75037,8083,787387,35857,535,60390,0,453010,11894,1725
2023-02-22 12:20:00,4234,6690,652425,25315,554,56540,0,369123,11693,1701
2023-02-22 12:24:00,4188,6829,736210,24765,542,61144,0,412326,11870,1790
2023-02-22 12:28:00,4164,6835,640190,29517,508,60563,0,375335,12152,1679
2023-02-22 12:32:00,4750,6743,666551,34816,566,59645,0,417461,13868,1691
2023-02-22 12:36:00,4288,7906,648627,35285,536,58368,0,379637,11699,1662
2023-02-22 12:40:00,69370,6985,758238,25679,541,58543,0,438743,11708,1715
2023-02-22 12:44:00,4177,6803,765707,24698,538,55056,0,466961,11702,1920
2023-02-22 12:48:00,4430,6937,687127,32371,530,56090,0,393696,13524,1678
2023-02-22 12:52:00,4576,6863,628485,28797,553,57769,1.16,415599,12905,1672
