"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-02-22 11:00:00,9.44,17.7,938,47.4,3.27,18.1,0.0167,653,29.7,18.5
2023-02-22 11:01:00,9.44,17.7,938,47.4,3.27,18.1,0.0167,653,29.7,18.5
2023-02-22 11:02:00,9.44,17.7,938,47.4,3.27,18.1,0.0167,653,29.7,18.5
2023-02-22 11:03:00,9.44,17.7,938,47.4,3.27,18.1,0.0167,653,29.7,18.5
2023-02-22 11:04:00,9.44,17.7,938,47.4,3.27,18.1,0.0167,653,29.7,18.5
2023-02-22 11:05:00,10.2,18.5,1170,48.0,3.45,17.9,0.0167,822,28.6,27.3
2023-02-22 11:06:00,10.2,18.5,1170,48.0,3.45,17.9,0.0167,822,28.6,27.3
2023-02-22 11:07:00,10.2,18.5,1170,48.0,3.45,17.9,0.0167,822,28.6,27.3
2023-02-22 11:08:00,10.2,18.5,1170,48.0,3.45,17.9,0.0167,822,28.6,27.3
2023-02-22 11:09:00,10.2,18.5,1170,48.0,3.45,17.9,0.0167,822,28.6,27.3
2023-02-22 11:10:00,13.5,17.2,957,45.4,3.33,18.6,0,682,28.7,18.4
2023-02-22 11:11:00,13.5,17.2,957,45.4,3.33,18.6,0,682,28.7,18.4
2023-02-22 11:12:00,13.5,17.2,957,45.4,3.33,18.6,0,682,28.7,18.4
2023-02-22 11:13:00,13.5,17.2,957,45.4,3.33,18.6,0,682,28.7,18.4
2023-02-22 11:14:00,13.5,17.2,957,45.4,3.33,18.6,0,682,28.7,18.4
2023-02-22 11:15:00,10.1,18.3,1228,47.4,3.28,17.7,0,879,28.9,27.3
2023-02-22 11:16:00,10.1,18.3,1228,47.4,3.28,17.7,0,879,28.9,27.3
2023-02-22 11:17:00,10.1,18.3,1228,47.4,3.28,17.7,0,879,28.9,27.3
2023-02-22 11:18:00,10.1,18.3,1228,47.4,3.28,17.7,0,879,28.9,27.3
2023-02-22 11:19:00,10.1,18.3,1228,47.4,3.28,17.7,0,879,28.9,27.3
2023-02-22 11:20:00,9.73,18.0,1020,46.4,3.37,17.6,0.00333,691,28.8,18.5
2023-02-22 11:21:00,9.73,18.0,1020,46.4,3.37,17.6,0.00333,691,28.8,18.5
2023-02-22 11:22:00,9.73,18.0,1020,46.4,3.37,17.6,0.00333,691,28.8,18.5
2023-02-22 11:23:00,9.73,18.0,1020,46.4,3.37,17.6,0.00333,691,28.8,18.5
2023-02-22 11:24:00,9.73,18.0,1020,46.4,3.37,17.6,0.00333,691,28.8,18.5
2023-02-22 11:25:00,10.1,18.1,1168,48.6,3.43,18.4,0.0133,838,29.4,27.2
