"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-7bbf9dc945-2lbk4","carts-db-ff8647ccb-hzm4s","catalogue-6479dbb5bd-w8f68","catalogue-db-6b55d8cdb7-dpx5b","cert-manager-5fdbd97fb5-tvn45","cert-manager-cainjector-7c44879bc4-xpx88","cert-manager-webhook-5db84854c8-ckrcq","cilium-69qg9","cilium-lkc2x","cilium-operator-d7fc69fd7-fcthw","cilium-tlt78","coredns-7b5bbc6644-jcrg5","csi-attacher-59db6bb96c-8bmjv","csi-attacher-59db6bb96c-fv2r9","csi-attacher-59db6bb96c-jl4b4","csi-provisioner-6d44d79b88-bq6hb","csi-provisioner-6d44d79b88-gc89r","csi-provisioner-6d44d79b88-hmwlj","csi-resizer-8b789b7d-gkf9b","csi-resizer-8b789b7d-glnxq","csi-resizer-8b789b7d-jd2zh","csi-snapshotter-745f585cbb-mcd7v","csi-snapshotter-745f585cbb-q2nz2","csi-snapshotter-745f585cbb-t7mzj","deathstar-f694cf746-4psnp","deathstar-f694cf746-t4g4g","engine-image-ei-881c42db-b6ztn","engine-image-ei-881c42db-h8dsk","engine-image-ei-881c42db-hh25v","fleet-agent-86bcc7466d-c7m5h","fleet-controller-7bbd96b579-qvq7z","front-end-7f5c844b4c-zgnhh","gitjob-5bd78d7cd9-82bcz","grafana-84476dcf4b-wql4w","hubble-relay-6565cf56c6-zhqlz","hubble-ui-64bd8dcbf5-fhbpp","instance-manager-e-3df56ab4","instance-manager-e-88c04954","instance-manager-e-9475f601","instance-manager-r-30b57ba4","instance-manager-r-a1f2a646","instance-manager-r-e44cdfd3","local-path-provisioner-687d6d7765-h5qwv","longhorn-admission-webhook-6f4d8846df-55c5x","longhorn-admission-webhook-6f4d8846df-dp26w","longhorn-conversion-webhook-8576fd8f86-cbntg","longhorn-conversion-webhook-8576fd8f86-zplcl","longhorn-csi-plugin-gv4j4","longhorn-csi-plugin-nckbw","longhorn-csi-plugin-vqd7j","longhorn-driver-deployer-d4dfb64f-9mz5m","longhorn-manager-g6cjh","longhorn-manager-ktlvn","longhorn-manager-m4cl7","longhorn-ui-7f8b58b9d9-gq82z","metrics-server-667586758d-vmjl7","orders-74f65597c5-vh2z2","orders-db-795cb4dcd8-n29j7","payment-c7df5b49-vwbmf","prometheus-7dbb447479-kjkmz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5q98w","pushprox-k3s-server-client-hmlv6","pushprox-k3s-server-client-wj96v","pushprox-k3s-server-proxy-695c9cdf7d-xfrv6","queue-master-9fc44d68d-vbsqc","rabbitmq-6576689cc9-hmfkp","rancher-7c5dbf46fc-6rx9t","rancher-7c5dbf46fc-cxkn8","rancher-7c5dbf46fc-d8nqb","rancher-monitoring-grafana-586df56bff-jrmjw","rancher-monitoring-kube-state-metrics-77ddfd789b-b8n94","rancher-monitoring-operator-ff6cfcc76-4rlqt","rancher-monitoring-prometheus-adapter-79d8db9697-qkgcd","rancher-monitoring-prometheus-node-exporter-78pnq","rancher-monitoring-prometheus-node-exporter-kkzds","rancher-monitoring-prometheus-node-exporter-zxjdv","rancher-webhook-577b778f8f-pwxm9","session-db-695f7fd48f-sbrcv","shipping-79c568cddc-r7mtz","svclb-traefik-c83bd5b9-9mk9w","svclb-traefik-c83bd5b9-d6kjf","svclb-traefik-c83bd5b9-sglkc","tiefighter","traefik-64b96ccbcd-7szv2","ubuntu","user-79dddf5cc9-grdz6","user-db-b8dfb847c-5jl26","xwing"
2023-02-22 11:00:00,244,19.6,38.7,451,0.233,226,99.1,129,105426,158508,155071,111418,444,269,20.2,19.0,27.9,244,21.3,20.8,29.5,259,257,20.8,19.6,0.233,0.233,0.233,0.233,0.233,1313,1397,6343,1251,3467,65.8,0,40.7,43.1,40.7,41.8,44.1,39.9,4.45,188,184,27.9,24.1,0.233,0.233,0.233,0.233,197,224,210,0.233,2249,18.6,37.5,370,2103,15585,109924,156558,105952,14473,3.89,4.23,1072,3406,1089,276,16158,117,9358,113155,159153,102323,1397,0.593,0.233,0.233,0,0.233,0.233,568,0.233,594,98.9,0.233
2023-02-22 11:02:00,244,19.6,38.7,451,0.233,226,99.1,129,105426,158508,155071,111418,444,269,20.2,19.0,27.9,244,21.3,20.8,29.5,259,257,20.8,19.6,0.233,0.233,0.233,0.233,0.233,1313,1397,6343,1251,3467,65.8,0,40.7,43.1,40.7,41.8,44.1,39.9,4.45,188,184,27.9,24.1,0.233,0.233,0.233,0.233,197,224,210,0.233,2249,18.6,37.5,370,2103,15585,109924,156558,105952,14473,3.89,4.23,1072,3406,1089,276,16158,117,9358,113155,159153,102323,1397,0.593,0.233,0.233,0,0.233,0.233,568,0.233,594,98.9,0.233
2023-02-22 11:04:00,244,19.6,38.7,451,0.233,226,99.1,129,105426,158508,155071,111418,444,269,20.2,19.0,27.9,244,21.3,20.8,29.5,259,257,20.8,19.6,0.233,0.233,0.233,0.233,0.233,1313,1397,6343,1251,3467,65.8,0,40.7,43.1,40.7,41.8,44.1,39.9,4.45,188,184,27.9,24.1,0.233,0.233,0.233,0.233,197,224,210,0.233,2249,18.6,37.5,370,2103,15585,109924,156558,105952,14473,3.89,4.23,1072,3406,1089,276,16158,117,9358,113155,159153,102323,1397,0.593,0.233,0.233,0,0.233,0.233,568,0.233,594,98.9,0.233
2023-02-22 11:06:00,209,262,278,540,94.0,238,92.5,140,126504,199211,199800,141162,475,249,21.1,22.2,30.0,256,21.7,21.7,29.2,246,269,21.9,21.7,0,0,0.233,0,0.233,1421,1480,17803,1301,3593,65.2,0,41.9,41.2,40.4,40.8,43.4,42.1,5.06,179,144,23.5,20.7,0,0,0,0,187,193,189,0,2297,19,40.0,397,2083,20821,148613,203024,125597,14478,4.97,4.37,1049,3727,1046,239,16145,117,10226,142207,201805,131184,1967,19.3,0,0,0.233,0,0.233,14923,0.233,617,111,0
2023-02-22 11:08:00,209,262,278,540,94.0,238,92.5,140,126504,199211,199800,141162,475,249,21.1,22.2,30.0,256,21.7,21.7,29.2,246,269,21.9,21.7,0,0,0.233,0,0.233,1421,1480,17803,1301,3593,65.2,0,41.9,41.2,40.4,40.8,43.4,42.1,5.06,179,144,23.5,20.7,0,0,0,0,187,193,189,0,2297,19,40.0,397,2083,20821,148613,203024,125597,14478,4.97,4.37,1049,3727,1046,239,16145,117,10226,142207,201805,131184,1967,19.3,0,0,0.233,0,0.233,14923,0.233,617,111,0
2023-02-22 11:10:00,223,18.4,38.5,452,0.233,223,97.2,135,102378,174864,154455,129959,456,245,21.9,21.9,29.5,256,21.9,21.9,28.7,250,265,21.7,21.3,0.233,0.233,0,0.233,0,1769,1357,6158,1224,3703,67.5,0.233,39.9,39.7,40.9,43.4,41.8,40.9,9.70,154,177,23.3,20.6,0.233,0.233,0.233,0.233,184,188,186,0.233,2116,18.6,38.5,389,2158,20960,122220,169160,102992,14484,3.66,4.49,1016,3185,1008,229,16124,106,8768,128632,149570,100279,2073,0.593,0.233,0,0,0,0,599,0,581,98.2,0.233
2023-02-22 11:12:00,223,18.4,38.5,452,0.233,223,97.2,135,102378,174864,154455,129959,456,245,21.9,21.9,29.5,256,21.9,21.9,28.7,250,265,21.7,21.3,0.233,0.233,0,0.233,0,1769,1357,6158,1224,3703,67.5,0.233,39.9,39.7,40.9,43.4,41.8,40.9,9.70,154,177,23.3,20.6,0.233,0.233,0.233,0.233,184,188,186,0.233,2116,18.6,38.5,389,2158,20960,122220,169160,102992,14484,3.66,4.49,1016,3185,1008,229,16124,106,8768,128632,149570,100279,2073,0.593,0.233,0,0,0,0,599,0,581,98.2,0.233
2023-02-22 11:14:00,223,18.4,38.5,452,0.233,223,97.2,135,102378,174864,154455,129959,456,245,21.9,21.9,29.5,256,21.9,21.9,28.7,250,265,21.7,21.3,0.233,0.233,0,0.233,0,1769,1357,6158,1224,3703,67.5,0.233,39.9,39.7,40.9,43.4,41.8,40.9,9.70,154,177,23.3,20.6,0.233,0.233,0.233,0.233,184,188,186,0.233,2116,18.6,38.5,389,2158,20960,122220,169160,102992,14484,3.66,4.49,1016,3185,1008,229,16124,106,8768,128632,149570,100279,2073,0.593,0.233,0,0,0,0,599,0,581,98.2,0.233
2023-02-22 11:16:00,228,302,389,539,92.9,218,97.6,135,145892,195993,220629,135952,478,261,22.2,22.2,30.8,253,23.4,22.2,33.2,243,255,23.4,22.8,0,0,0,0,0,1411,1480,18279,1284,3593,66.4,0,41.2,41.1,41.7,40.0,43.0,40.6,5.35,163,152,20.4,20.8,0,0,0,0,181,186,188,0,2387,19.6,38.5,370,2067,15768,129330,203664,145742,14501,4.27,3.77,1056,3256,1082,256,12953,114,9815,137745,218776,141511,2025,18.3,0,0,0,0,0,15067,0,582,94.7,0
2023-02-22 11:18:00,228,302,389,539,92.9,218,97.6,135,145892,195993,220629,135952,478,261,22.2,22.2,30.8,253,23.4,22.2,33.2,243,255,23.4,22.8,0,0,0,0,0,1411,1480,18279,1284,3593,66.4,0,41.2,41.1,41.7,40.0,43.0,40.6,5.35,163,152,20.4,20.8,0,0,0,0,181,186,188,0,2387,19.6,38.5,370,2067,15768,129330,203664,145742,14501,4.27,3.77,1056,3256,1082,256,12953,114,9815,137745,218776,141511,2025,18.3,0,0,0,0,0,15067,0,582,94.7,0
2023-02-22 11:20:00,232,19.2,36.2,445,1.83,225,98.1,138,104886,166891,165539,122795,443,250,22.2,22.2,30.8,251,21.1,22.2,30.0,259,255,21.9,22.2,0,0,0.233,0,0.233,1368,1422,6290,1267,3567,66.2,0,41.2,42.6,41.6,42.3,42.0,41.1,4.18,162,175,23.3,22.9,0,0,0,0,194,176,184,0,2191,19,37.2,393,2042,20549,129249,166675,109325,14488,5.39,4.59,1016,3479,1029,259,19300,112,10422,120984,165681,112574,2022,0.360,0,0.233,0,0.233,0.233,577,0,588,95.9,0
2023-02-22 11:22:00,232,19.2,36.2,445,1.83,225,98.1,138,104886,166891,165539,122795,443,250,22.2,22.2,30.8,251,21.1,22.2,30.0,259,255,21.9,22.2,0,0,0.233,0,0.233,1368,1422,6290,1267,3567,66.2,0,41.2,42.6,41.6,42.3,42.0,41.1,4.18,162,175,23.3,22.9,0,0,0,0,194,176,184,0,2191,19,37.2,393,2042,20549,129249,166675,109325,14488,5.39,4.59,1016,3479,1029,259,19300,112,10422,120984,165681,112574,2022,0.360,0,0.233,0,0.233,0.233,577,0,588,95.9,0
2023-02-22 11:24:00,232,19.2,36.2,445,1.83,225,98.1,138,104886,166891,165539,122795,443,250,22.2,22.2,30.8,251,21.1,22.2,30.0,259,255,21.9,22.2,0,0,0.233,0,0.233,1368,1422,6290,1267,3567,66.2,0,41.2,42.6,41.6,42.3,42.0,41.1,4.18,162,175,23.3,22.9,0,0,0,0,194,176,184,0,2191,19,37.2,393,2042,20549,129249,166675,109325,14488,5.39,4.59,1016,3479,1029,259,19300,112,10422,120984,165681,112574,2022,0.360,0,0.233,0,0.233,0.233,577,0,588,95.9,0
2023-02-22 11:26:00,228,300,419,526,93.5,242,96.0,132,129856,204550,204477,152096,482,253,20.2,20.2,27.7,247,20.8,20.2,27.7,242,261,18.8,19.6,0,0.233,0,0.233,0,1401,1411,17970,1291,3423,63.4,0,38.3,40.7,41.2,41.6,43.4,42.7,8.49,161,149,24.6,22.9,0,0,0,0,175,188,196,0.233,2220,19.2,40.0,393,2141,20655,151603,204335,126036,14528,3.66,3.91,1063,3634,1048,255,16046,315,10049,141824,205484,127271,1868,18.3,0,0,0,0,0,15018,0.233,565,97.9,0.233
2023-02-22 11:28:00,228,300,419,526,93.5,242,96.0,132,129856,204550,204477,152096,482,253,20.2,20.2,27.7,247,20.8,20.2,27.7,242,261,18.8,19.6,0,0.233,0,0.233,0,1401,1411,17970,1291,3423,63.4,0,38.3,40.7,41.2,41.6,43.4,42.7,8.49,161,149,24.6,22.9,0,0,0,0,175,188,196,0.233,2220,19.2,40.0,393,2141,20655,151603,204335,126036,14528,3.66,3.91,1063,3634,1048,255,16046,315,10049,141824,205484,127271,1868,18.3,0,0,0,0,0,15018,0.233,565,97.9,0.233
2023-02-22 11:30:00,225,19,37.2,456,0,226,97.1,135,104989,165124,158663,119345,452,254,22.8,21.7,30.3,253,20.5,22.2,31.0,254,261,22.8,22.2,0.233,0,0,0,0,1407,1410,6097,1241,3685,66.2,0,40.7,42.4,41.4,42.1,41.5,39.7,5.61,158,149,22.3,23.7,0.233,0.233,0.233,0.233,179,182,173,0,2274,19,38.5,378,2154,15869,118548,160363,103444,14503,4.59,4.13,1080,3565,1062,234,12895,121,9589,128070,163764,104281,2019,0.593,0.233,0,0,0,0,581,0,605,95.1,0
2023-02-22 11:32:00,225,19,37.2,456,0,226,97.1,135,104989,165124,158663,119345,452,254,22.8,21.7,30.3,253,20.5,22.2,31.0,254,261,22.8,22.2,0.233,0,0,0,0,1407,1410,6097,1241,3685,66.2,0,40.7,42.4,41.4,42.1,41.5,39.7,5.61,158,149,22.3,23.7,0.233,0.233,0.233,0.233,179,182,173,0,2274,19,38.5,378,2154,15869,118548,160363,103444,14503,4.59,4.13,1080,3565,1062,234,12895,121,9589,128070,163764,104281,2019,0.593,0.233,0,0,0,0,581,0,605,95.1,0
2023-02-22 11:34:00,225,19,37.2,456,0,226,97.1,135,104989,165124,158663,119345,452,254,22.8,21.7,30.3,253,20.5,22.2,31.0,254,261,22.8,22.2,0.233,0,0,0,0,1407,1410,6097,1241,3685,66.2,0,40.7,42.4,41.4,42.1,41.5,39.7,5.61,158,149,22.3,23.7,0.233,0.233,0.233,0.233,179,182,173,0,2274,19,38.5,378,2154,15869,118548,160363,103444,14503,4.59,4.13,1080,3565,1062,234,12895,121,9589,128070,163764,104281,2019,0.593,0.233,0,0,0,0,581,0,605,95.1,0
2023-02-22 11:36:00,228,304,416,536,94,213,98.7,140,130255,219081,214948,142465,463,255,18.8,20.5,28.4,250,20.5,18.8,27.7,254,265,20.0,20.0,0,0,0,0,0,1315,1448,18170,1295,3457,64.9,0,41.6,40.2,40.4,42.1,43.6,41.4,4.00,163,162,20.9,23.7,0,0,0,0,190,186,183,0,2286,19.6,38.5,389,2171,20811,142682,221048,132793,14522,3.66,4.13,1054,3579,1074,265,19188,119,9977,144543,203103,130733,1971,18.3,0,0,0.233,0,0,15015,0,582,97.8,0
2023-02-22 11:38:00,228,304,416,536,94,213,98.7,140,130255,219081,214948,142465,463,255,18.8,20.5,28.4,250,20.5,18.8,27.7,254,265,20.0,20.0,0,0,0,0,0,1315,1448,18170,1295,3457,64.9,0,41.6,40.2,40.4,42.1,43.6,41.4,4.00,163,162,20.9,23.7,0,0,0,0,190,186,183,0,2286,19.6,38.5,389,2171,20811,142682,221048,132793,14522,3.66,4.13,1054,3579,1074,265,19188,119,9977,144543,203103,130733,1971,18.3,0,0,0.233,0,0,15015,0,582,97.8,0
2023-02-22 11:40:00,250,18.4,38.5,429,0,238,91.6,139,119676,152087,180431,122832,472,257,24.6,24.6,33.0,254,24.6,24.6,32.2,254,260,24.1,25.2,0,0,0,0,0,1764,1383,6348,1251,3703,67.5,0.233,42.4,40.7,40.7,42.5,43.1,41.6,6.19,173,173,28.7,23.0,0,0,0,0,179,185,196,0,2245,19,38.5,381,2137,20797,123115,174310,117090,14524,4.59,4.13,1149,3710,1084,229,12866,105,8764,115143,184349,117342,2074,0.360,0,0,0,0,0,583,0,577,95.1,0
2023-02-22 11:42:00,250,18.4,38.5,429,0,238,91.6,139,119676,152087,180431,122832,472,257,24.6,24.6,33.0,254,24.6,24.6,32.2,254,260,24.1,25.2,0,0,0,0,0,1764,1383,6348,1251,3703,67.5,0.233,42.4,40.7,40.7,42.5,43.1,41.6,6.19,173,173,28.7,23.0,0,0,0,0,179,185,196,0,2245,19,38.5,381,2137,20797,123115,174310,117090,14524,4.59,4.13,1149,3710,1084,229,12866,105,8764,115143,184349,117342,2074,0.360,0,0,0,0,0,583,0,577,95.1,0
2023-02-22 11:44:00,250,18.4,38.5,429,0,238,91.6,139,119676,152087,180431,122832,472,257,24.6,24.6,33.0,254,24.6,24.6,32.2,254,260,24.1,25.2,0,0,0,0,0,1764,1383,6348,1251,3703,67.5,0.233,42.4,40.7,40.7,42.5,43.1,41.6,6.19,173,173,28.7,23.0,0,0,0,0,179,185,196,0,2245,19,38.5,381,2137,20797,123115,174310,117090,14524,4.59,4.13,1149,3710,1084,229,12866,105,8764,115143,184349,117342,2074,0.360,0,0,0,0,0,583,0,577,95.1,0
2023-02-22 11:46:00,209,295,417,558,94.1,244,108,133,133112,265359,245369,180497,466,254,22.2,20.5,29.2,262,22.2,22.2,29.2,249,255,21.9,20.5,0,0,0,0,0,1507,1426,17712,1267,3475,65.1,0,40.9,41.6,42.4,41.8,40.6,40.0,5.61,186,191,25.6,26.1,0,0,0,0,222,204,216,0,2153,18.4,38.5,385,1988,15706,177177,236375,135513,14530,4.13,4.69,1198,3741,1246,228,15756,1018,12190,189390,247589,134511,2041,18.3,0,0,0,0,0,15064,0,558,95.9,0
2023-02-22 11:48:00,209,295,417,558,94.1,244,108,133,133112,265359,245369,180497,466,254,22.2,20.5,29.2,262,22.2,22.2,29.2,249,255,21.9,20.5,0,0,0,0,0,1507,1426,17712,1267,3475,65.1,0,40.9,41.6,42.4,41.8,40.6,40.0,5.61,186,191,25.6,26.1,0,0,0,0,222,204,216,0,2153,18.4,38.5,385,1988,15706,177177,236375,135513,14530,4.13,4.69,1198,3741,1246,228,15756,1018,12190,189390,247589,134511,2041,18.3,0,0,0,0,0,15064,0,558,95.9,0
2023-02-22 11:50:00,228,18.4,38.5,430,0,250,129,133,132577,291000,291830,183324,452,254,20.0,20.5,30.0,241,20.5,20.5,29.2,247,266,20.5,20.5,0,0,0,0,0,1379,1468,6223,1240,3685,67.2,0,41.4,41.4,39.2,41.8,42.6,40.9,4.49,212,212,37.8,57.2,0,0,0,0,227,217,226,0,2357,19,38.5,378,2238,20990,180255,299869,137129,14553,3.75,5.05,1368,4007,1272,293,18336,545,9320,181675,296975,135351,2036,0.360,0,0,0,0,0,603,0,582,94.3,0
2023-02-22 11:52:00,228,18.4,38.5,430,0,250,129,133,132577,291000,291830,183324,452,254,20.0,20.5,30.0,241,20.5,20.5,29.2,247,266,20.5,20.5,0,0,0,0,0,1379,1468,6223,1240,3685,67.2,0,41.4,41.4,39.2,41.8,42.6,40.9,4.49,212,212,37.8,57.2,0,0,0,0,227,217,226,0,2357,19,38.5,378,2238,20990,180255,299869,137129,14553,3.75,5.05,1368,4007,1272,293,18336,545,9320,181675,296975,135351,2036,0.360,0,0,0,0,0,603,0,582,94.3,0
2023-02-22 11:54:00,228,18.4,38.5,430,0,250,129,133,132577,291000,291830,183324,452,254,20.0,20.5,30.0,241,20.5,20.5,29.2,247,266,20.5,20.5,0,0,0,0,0,1379,1468,6223,1240,3685,67.2,0,41.4,41.4,39.2,41.8,42.6,40.9,4.49,212,212,37.8,57.2,0,0,0,0,227,217,226,0,2357,19,38.5,378,2238,20990,180255,299869,137129,14553,3.75,5.05,1368,4007,1272,293,18336,545,9320,181675,296975,135351,2036,0.360,0,0,0,0,0,603,0,582,94.3,0
2023-02-22 11:56:00,244,299,415,548,93.2,236,98.6,140,145293,218845,219006,140567,479,250,22.8,22.2,30.0,257,21.1,22.2,30.0,255,261,22.2,23.4,0,0,0.233,0,0.233,1701,1451,17993,1312,3558,66.2,0,39.2,41.9,42.2,39.2,47.1,41.4,5.80,162,169,22.5,21.7,0,0,0,0,181,201,192,0,2219,19,38.5,393,2070,20654,149704,217333,140716,14519,3.85,5.21,1037,3363,1139,233,15234,108,10939,135135,213447,142812,1972,18.3,0,0.233,0,0.233,0.233,14806,0,588,94.0,0
2023-02-22 11:58:00,244,299,415,548,93.2,236,98.6,140,145293,218845,219006,140567,479,250,22.8,22.2,30.0,257,21.1,22.2,30.0,255,261,22.2,23.4,0,0,0.233,0,0.233,1701,1451,17993,1312,3558,66.2,0,39.2,41.9,42.2,39.2,47.1,41.4,5.80,162,169,22.5,21.7,0,0,0,0,181,201,192,0,2219,19,38.5,393,2070,20654,149704,217333,140716,14519,3.85,5.21,1037,3363,1139,233,15234,108,10939,135135,213447,142812,1972,18.3,0,0.233,0,0.233,0.233,14806,0,588,94.0,0
2023-02-22 12:00:00,232,18.4,38.5,438,0,217,91.8,139,104625,158519,155906,111953,446,252,22.8,22.2,31.6,255,23.6,23.0,30.8,246,257,22.8,21.3,0,0,0,0.233,0,1417,1444,6102,1265,3432,66.2,0,42.9,41.1,42.1,43.7,42.9,40.9,5.53,170,156,21.7,20.5,0,0,0,0,191,181,189,0.233,2279,19.9,38.7,385,2117,15960,117134,155662,105556,14546,3.99,3.91,1048,3729,1048,252,15201,119,9081,124298,158055,103140,2076,0.360,0,0,0,0,0,598,0.233,582,97.9,0
2023-02-22 12:02:00,232,18.4,38.5,438,0,217,91.8,139,104625,158519,155906,111953,446,252,22.8,22.2,31.6,255,23.6,23.0,30.8,246,257,22.8,21.3,0,0,0,0.233,0,1417,1444,6102,1265,3432,66.2,0,42.9,41.1,42.1,43.7,42.9,40.9,5.53,170,156,21.7,20.5,0,0,0,0,191,181,189,0.233,2279,19.9,38.7,385,2117,15960,117134,155662,105556,14546,3.99,3.91,1048,3729,1048,252,15201,119,9081,124298,158055,103140,2076,0.360,0,0,0,0,0,598,0.233,582,97.9,0
2023-02-22 12:04:00,232,18.4,38.5,438,0,217,91.8,139,104625,158519,155906,111953,446,252,22.8,22.2,31.6,255,23.6,23.0,30.8,246,257,22.8,21.3,0,0,0,0.233,0,1417,1444,6102,1265,3432,66.2,0,42.9,41.1,42.1,43.7,42.9,40.9,5.53,170,156,21.7,20.5,0,0,0,0,191,181,189,0.233,2279,19.9,38.7,385,2117,15960,117134,155662,105556,14546,3.99,3.91,1048,3729,1048,252,15201,119,9081,124298,158055,103140,2076,0.360,0,0,0,0,0,598,0.233,582,97.9,0
2023-02-22 12:06:00,228,284,379,540,93.5,225,95.4,132,127671,203047,203201,146136,468,255,22.5,24.2,31.8,246,22.2,22.2,33.2,251,252,22.8,23.4,0,0.233,0,0,0,1348,1430,18304,1246,3566,64.7,0,40.2,40.2,40.9,42.9,42.1,40.9,4.98,148,166,22.5,47.4,0.233,0.233,0.233,0.233,192,188,201,0,2233,17.7,37.2,378,2165,21108,138015,204874,127471,14527,5.01,4.13,1026,3539,1028,232,15221,118,9642,139166,203595,130033,2025,18.3,0.233,0,0,0,0,15037,0,581,93.1,0.233
2023-02-22 12:08:00,228,284,379,540,93.5,225,95.4,132,127671,203047,203201,146136,468,255,22.5,24.2,31.8,246,22.2,22.2,33.2,251,252,22.8,23.4,0,0.233,0,0,0,1348,1430,18304,1246,3566,64.7,0,40.2,40.2,40.9,42.9,42.1,40.9,4.98,148,166,22.5,47.4,0.233,0.233,0.233,0.233,192,188,201,0,2233,17.7,37.2,378,2165,21108,138015,204874,127471,14527,5.01,4.13,1026,3539,1028,232,15221,118,9642,139166,203595,130033,2025,18.3,0.233,0,0,0,0,15037,0,581,93.1,0.233
2023-02-22 12:10:00,210,19,38.5,452,0,234,98.2,132,103227,153186,151174,120742,462,249,21.7,21.7,29.2,250,22.2,22.2,30.0,250,269,22.2,22.2,0.233,0,0,0,0,1377,1411,5971,1317,3703,64.9,0,41.1,41.4,40.9,42.5,43.2,41.9,7.83,172,161,23.6,20.8,0,0,0,0,187,183,182,0,2224,19.6,38.5,400,2056,20045,123345,155444,102435,14535,3.24,4.55,1052,3579,1038,248,15230,109,8705,114769,153280,104342,2022,0.360,0,0,0,0,0,581,0,601,98.7,0
2023-02-22 12:12:00,210,19,38.5,452,0,234,98.2,132,103227,153186,151174,120742,462,249,21.7,21.7,29.2,250,22.2,22.2,30.0,250,269,22.2,22.2,0.233,0,0,0,0,1377,1411,5971,1317,3703,64.9,0,41.1,41.4,40.9,42.5,43.2,41.9,7.83,172,161,23.6,20.8,0,0,0,0,187,183,182,0,2224,19.6,38.5,400,2056,20045,123345,155444,102435,14535,3.24,4.55,1052,3579,1038,248,15230,109,8705,114769,153280,104342,2022,0.360,0,0,0,0,0,581,0,601,98.7,0
