"Time","172.16.66.106:10250","172.16.66.107:10250","172.16.66.112:10250"
2023-02-22 11:00:00,0.367,0.0623,0.0773
2023-02-22 11:04:00,0.357,0.0661,0.0776
2023-02-22 11:08:00,0.341,0.0638,0.0775
2023-02-22 11:12:00,0.360,0.0635,0.0763
2023-02-22 11:16:00,0.360,0.0656,0.0786
2023-02-22 11:20:00,0.357,0.0625,0.0783
2023-02-22 11:24:00,0.362,0.0637,0.0779
2023-02-22 11:28:00,0.349,0.0633,0.0766
2023-02-22 11:32:00,0.358,0.0634,0.0761
2023-02-22 11:36:00,0.367,0.0633,0.0767
2023-02-22 11:40:00,0.361,0.0630,0.0777
2023-02-22 11:44:00,0.400,0.0636,0.0763
2023-02-22 11:48:00,0.360,0.0652,0.0777
2023-02-22 11:52:00,0.381,0.0630,0.0775
2023-02-22 11:56:00,0.360,0.0645,0.0770
2023-02-22 12:00:00,0.352,0.0628,0.0760
2023-02-22 12:04:00,0.346,0.0627,0.0760
2023-02-22 12:08:00,0.337,0.0634,0.0772
2023-02-22 12:12:00,0.340,0.0640,0.0770
2023-02-22 12:16:00,0.348,0.0622,0.0769
2023-02-22 12:20:00,0.360,0.0643,0.0760
2023-02-22 12:24:00,0.353,0.0626,0.0753
2023-02-22 12:28:00,0.341,0.0628,0.0770
2023-02-22 12:32:00,0.348,0.0617,0.0770
2023-02-22 12:36:00,0.351,0.0619,0.0780
2023-02-22 12:40:00,0.354,0.0630,0.0773
2023-02-22 12:44:00,0.355,0.0629,0.0756
2023-02-22 12:48:00,0.328,0.0637,0.0755
2023-02-22 12:52:00,0.355,0.0629,0.0757
2023-02-22 12:56:00,0.351,0.0621,0.0767
2023-02-22 13:00:00,0.341,0.0642,0.0765
2023-02-22 13:04:00,0.358,0.0626,0.0776
2023-02-22 13:08:00,0.341,0.0626,0.0754
2023-02-22 13:12:00,0.351,0.0647,0.0750
2023-02-22 13:16:00,0.362,0.0637,0.0767
2023-02-22 13:20:00,0.348,0.0646,0.0771
2023-02-22 13:24:00,0.351,0.0620,0.0765
2023-02-22 13:28:00,0.330,0.0630,0.0761
2023-02-22 13:32:00,0.348,0.0646,0.0776
2023-02-22 13:36:00,0.359,0.0610,0.0772
2023-02-22 13:40:00,0.349,0.0639,0.0769
2023-02-22 13:44:00,0.353,0.0632,0.0771
2023-02-22 13:48:00,0.337,0.0644,0.0776
2023-02-22 13:52:00,0.350,0.0630,0.0759
2023-02-22 13:56:00,0.348,0.0628,0.0789
2023-02-22 14:00:00,0.359,0.0636,0.0776
2023-02-22 14:04:00,0.351,0.0640,0.0761
2023-02-22 14:08:00,0.338,0.0634,0.0764
