"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-02-22 11:00:00,0,450,0,0,0,469
2023-02-22 11:02:00,0,641,0,0,0,670
2023-02-22 11:04:00,0,477,0,0,0,497
2023-02-22 11:06:00,0,466,0,0,0,480
2023-02-22 11:08:00,0,459,0,0,0,459
2023-02-22 11:10:00,0,488,0,0,0,493
2023-02-22 11:12:00,0,683,0,0,0,701
2023-02-22 11:14:00,0,600,0,0,0,588
2023-02-22 11:16:00,0,488,0,0,0,476
2023-02-22 11:18:00,0,471,0,0,0,473
2023-02-22 11:20:00,0,485,0,0,0,470
2023-02-22 11:22:00,0,684,0,0,0,690
2023-02-22 11:24:00,0,601,0,0,0,622
2023-02-22 11:26:00,0,470,0,0,0,483
2023-02-22 11:28:00,0,461,0,0,0,478
2023-02-22 11:30:00,0,437,0,0,0,457
2023-02-22 11:32:00,0,634,0,0,0,662
2023-02-22 11:34:00,0,617,0,0,0,647
2023-02-22 11:36:00,0,505,0,0,0,518
2023-02-22 11:38:00,0,497,0,0,0,505
2023-02-22 11:40:00,0,472,0,0,0,480
2023-02-22 11:42:00,0,741,0,0,0,753
2023-02-22 11:44:00,0,645,0,0,0,658
2023-02-22 11:46:00,0,613,0,0,0,614
2023-02-22 11:48:00,0,594,0,0,0,605
2023-02-22 11:50:00,0,506,0,0,0,524
2023-02-22 11:52:00,0,661,0,0,0,683
2023-02-22 11:54:00,0,655,0,0,0,675
2023-02-22 11:56:00,0,476,0,0,0,483
2023-02-22 11:58:00,0,465,0,0,0,474
2023-02-22 12:00:00,0,438,0,0,0,455
2023-02-22 12:02:00,0,554,0,0,0,581
2023-02-22 12:04:00,0,623,0,0,0,648
2023-02-22 12:06:00,0,456,0,0,0,468
2023-02-22 12:08:00,0,459,0,0,0,473
2023-02-22 12:10:00,0,445,0,0,0,456
2023-02-22 12:12:00,0,521,0,0,0,538
2023-02-22 12:14:00,0,624,0,0,0,648
2023-02-22 12:16:00,0,485,0,0,0,493
2023-02-22 12:18:00,0,494,0,0,0,500
2023-02-22 12:20:00,0,443,0,0,0,454
2023-02-22 12:22:00,0,483,0,0,0,498
2023-02-22 12:24:00,0,629,0,0,0,653
2023-02-22 12:26:00,0,455,0,0,0,467
2023-02-22 12:28:00,0,464,0,0,0,476
2023-02-22 12:30:00,0,442,0,0,0,458
2023-02-22 12:32:00,0,459,0,0,0,474
2023-02-22 12:34:00,0,633,0,0,0,657
2023-02-22 12:36:00,0,451,0,0,0,463
2023-02-22 12:38:00,0,469,0,0,0,482
2023-02-22 12:40:00,0,481,0,0,0,490
2023-02-22 12:42:00,0,497,0,0,0,508
