"Time","Read (sda)","Write (sda)"
2023-02-22 11:00:00,0,41688
2023-02-22 11:02:00,0,134030
2023-02-22 11:04:00,0,66742
2023-02-22 11:06:00,0,86494
2023-02-22 11:08:00,0,86721
2023-02-22 11:10:00,0,39595
2023-02-22 11:12:00,0,83445
2023-02-22 11:14:00,0,36682
2023-02-22 11:16:00,0,82079
2023-02-22 11:18:00,45.5,81825
2023-02-22 11:20:00,45.5,38889
2023-02-22 11:22:00,0,82375
2023-02-22 11:24:00,0,38593
2023-02-22 11:26:00,0,80327
2023-02-22 11:28:00,0,81283
2023-02-22 11:30:00,0,36641
2023-02-22 11:32:00,0,80759
2023-02-22 11:34:00,0,38684
2023-02-22 11:36:00,0,79576
2023-02-22 11:38:00,0,81351
2023-02-22 11:40:00,0,38389
2023-02-22 11:42:00,0,91796
2023-02-22 11:44:00,0,46672
2023-02-22 11:46:00,0,92843
2023-02-22 11:48:00,0,96893
2023-02-22 11:50:00,0,51109
2023-02-22 11:52:00,0,94527
2023-02-22 11:54:00,0,42485
2023-02-22 11:56:00,0,86130
2023-02-22 11:58:00,0,87040
2023-02-22 12:00:00,0,40823
2023-02-22 12:02:00,0,85993
2023-02-22 12:04:00,0,38619
2023-02-22 12:06:00,0,79485
2023-02-22 12:08:00,0,84355
2023-02-22 12:10:00,0,35157
2023-02-22 12:12:00,0,82921
2023-02-22 12:14:00,0,40209
2023-02-22 12:16:00,0,81465
2023-02-22 12:18:00,0,87586
2023-02-22 12:20:00,0,40346
2023-02-22 12:22:00,0,87177
2023-02-22 12:24:00,0,41961
2023-02-22 12:26:00,0,86470
2023-02-22 12:28:00,0,86266
2023-02-22 12:30:00,0,40482
2023-02-22 12:32:00,0,85697
2023-02-22 12:34:00,0,41620
2023-02-22 12:36:00,0,84855
2023-02-22 12:38:00,0,82239
2023-02-22 12:40:00,0,38002
2023-02-22 12:42:00,0,80309
2023-02-22 12:44:00,0,39253
2023-02-22 12:46:00,0,81260
2023-02-22 12:48:00,0,83513
2023-02-22 12:50:00,0,35726
2023-02-22 12:52:00,0,81988
2023-02-22 12:54:00,0,39504
2023-02-22 12:56:00,0,80964
2023-02-22 12:58:00,0,84855
2023-02-22 13:00:00,0,36402
2023-02-22 13:02:00,0,221047
2023-02-22 13:04:00,0,181908
2023-02-22 13:06:00,0,85993
2023-02-22 13:08:00,0,86744
2023-02-22 13:10:00,0,41256
