"Time","Load[5m]","Load[1m]","Load[15m]"
2023-02-22 11:00:00,0.720,0.570,0.810
2023-02-22 11:02:00,0.620,0.400,0.770
2023-02-22 11:04:00,0.450,0.140,0.690
2023-02-22 11:06:00,0.580,0.480,0.710
2023-02-22 11:08:00,0.540,0.440,0.680
2023-02-22 11:10:00,0.580,0.730,0.670
2023-02-22 11:12:00,0.470,0.300,0.620
2023-02-22 11:14:00,0.460,0.510,0.590
2023-02-22 11:16:00,0.390,0.250,0.550
2023-02-22 11:18:00,0.990,2.93,0.730
2023-02-22 11:20:00,0.780,0.700,0.680
2023-02-22 11:22:00,0.670,0.620,0.650
2023-02-22 11:24:00,0.610,0.390,0.630
2023-02-22 11:26:00,0.530,0.420,0.600
2023-02-22 11:28:00,0.590,0.700,0.610
2023-02-22 11:30:00,0.510,0.520,0.580
2023-02-22 11:32:00,2.32,7.48,1.18
2023-02-22 11:34:00,1.69,1.26,1.09
2023-02-22 11:36:00,1.36,0.800,1.04
2023-02-22 11:38:00,1.02,0.300,0.950
2023-02-22 11:40:00,1.03,1.22,0.960
2023-02-22 11:42:00,0.880,0.640,0.910
2023-02-22 11:44:00,0.730,0.460,0.850
2023-02-22 11:46:00,0.760,0.670,0.840
2023-02-22 11:48:00,0.720,0.650,0.820
2023-02-22 11:50:00,1.05,1.41,0.930
2023-02-22 11:52:00,0.860,0.690,0.870
2023-02-22 11:54:00,0.690,0.350,0.800
2023-02-22 11:56:00,0.620,0.510,0.760
2023-02-22 11:58:00,0.660,0.690,0.760
2023-02-22 12:00:00,0.690,0.830,0.750
2023-02-22 12:02:00,0.590,0.400,0.710
2023-02-22 12:04:00,0.440,0.160,0.640
2023-02-22 12:06:00,0.410,0.290,0.600
2023-02-22 12:08:00,0.830,1.31,0.740
2023-02-22 12:10:00,0.700,0.620,0.700
2023-02-22 12:12:00,1.04,1.26,0.830
2023-02-22 12:14:00,0.840,0.470,0.780
2023-02-22 12:16:00,0.730,0.600,0.750
2023-02-22 12:18:00,1.30,1.60,0.980
2023-02-22 12:20:00,0.990,0.550,0.900
2023-02-22 12:22:00,0.820,0.520,0.850
2023-02-22 12:24:00,0.630,0.280,0.770
2023-02-22 12:26:00,0.670,0.700,0.770
2023-02-22 12:28:00,0.620,0.630,0.730
2023-02-22 12:30:00,0.730,0.880,0.760
2023-02-22 12:32:00,1.01,1.27,0.860
2023-02-22 12:34:00,0.940,0.810,0.850
2023-02-22 12:36:00,0.800,0.600,0.810
2023-02-22 12:38:00,0.810,0.760,0.810
2023-02-22 12:40:00,0.720,0.560,0.780
2023-02-22 12:42:00,0.560,0.260,0.710
2023-02-22 12:44:00,0.610,0.700,0.710
2023-02-22 12:46:00,0.500,0.300,0.660
