"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc093e65beaf91)","Transmit Total (lxc1f6bef0e6063)","Transmit Total (lxc202aa525757d)","Transmit Total (lxc2186fe715db6)","Transmit Total (lxc251cb791d6cf)","Transmit Total (lxc30d5dc6e6a7f)","Transmit Total (lxc38493e3df8b7)","Transmit Total (lxc4b1723273265)","Transmit Total (lxc552bd85fe518)","Transmit Total (lxc5cd0eb3dd7ff)","Transmit Total (lxc666d4aa5db5f)","Transmit Total (lxc6aa0da5ca5bb)","Transmit Total (lxc74730d5da27f)","Transmit Total (lxc7486feb8d4e4)","Transmit Total (lxc7653615dfc25)","Transmit Total (lxc8decd7df0bc7)","Transmit Total (lxc95a60819221b)","Transmit Total (lxc9c3466347685)","Transmit Total (lxc_health)","Transmit Total (lxca1596bdbcb82)","Transmit Total (lxcaaefc344d727)","Transmit Total (lxcac13f7cf92bb)","Transmit Total (lxcb6afe2ad2cea)","Transmit Total (lxcbc763d04a8b9)","Transmit Total (lxcc2b7b56b7d30)","Transmit Total (lxcc8c81d9b6e00)","Transmit Total (lxcd7e89e4cf975)","Transmit Total (lxcdd052aa191b9)","Transmit Total (lxcfe884270c803)","Transmit Total (lxcff3a5311c61d)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc093e65beaf91)","Receive Total (lxc1f6bef0e6063)","Receive Total (lxc202aa525757d)","Receive Total (lxc2186fe715db6)","Receive Total (lxc251cb791d6cf)","Receive Total (lxc30d5dc6e6a7f)","Receive Total (lxc38493e3df8b7)","Receive Total (lxc4b1723273265)","Receive Total (lxc552bd85fe518)","Receive Total (lxc5cd0eb3dd7ff)","Receive Total (lxc666d4aa5db5f)","Receive Total (lxc6aa0da5ca5bb)","Receive Total (lxc74730d5da27f)","Receive Total (lxc7486feb8d4e4)","Receive Total (lxc7653615dfc25)","Receive Total (lxc8decd7df0bc7)","Receive Total (lxc95a60819221b)","Receive Total (lxc9c3466347685)","Receive Total (lxc_health)","Receive Total (lxca1596bdbcb82)","Receive Total (lxcaaefc344d727)","Receive Total (lxcac13f7cf92bb)","Receive Total (lxcb6afe2ad2cea)","Receive Total (lxcbc763d04a8b9)","Receive Total (lxcc2b7b56b7d30)","Receive Total (lxcc8c81d9b6e00)","Receive Total (lxcd7e89e4cf975)","Receive Total (lxcdd052aa191b9)","Receive Total (lxcfe884270c803)","Receive Total (lxcff3a5311c61d)"
2023-02-22 11:00:00,0,15.4,14804,47220,0,110,119,0,14548,0,0,183,449,0.389,109,1891,0,298,4.14,0,4277,4453,297,32.4,0,38.5,12292,66.1,0,118,0.389,38.5,65.0,19.0,411,15.4,0,11102,37645,0,26.7,20.0,0,14483,0,0.389,226,253,0,241,185,0,447,4.27,0,1376,1371,386,26.2,0.389,19.0,3899,41.8,0,20.4,0.389,19.0,39.6,38.5,6179
2023-02-22 11:02:00,0,15.4,34072,68299,0,126,130,0,14540,0,58.9,182,446,0,106,1889,0,503,4.13,0,4601,4449,297,32.3,0,495,15438,65.7,0,129,0,38.5,66.4,297,1778,15.4,0,12198,42812,0,30.3,21.9,0,14482,0,144,225,249,0,236,187,0,593,4.27,0,1446,1375,385,26.2,0,371,4040,41.7,0,21.9,0,19,41,421,25798
2023-02-22 11:04:00,0,15.4,14929,46390,0,132,130,0,14546,0.389,58.8,198,446,0,105,1713,0.389,493,4.13,0,4268,4262,297,32.3,0.389,492,10453,66.8,0,129,0,38.5,66.1,302,812,15.4,0,11297,35546,0,31.6,22.2,0.389,14489,0.389,144,227,249,0,234,184,0,587,4.66,0,1396,1372,385,26.2,0,380,2888,42.5,0,21.9,0,19,40.6,407,6574
2023-02-22 11:06:00,0,15.4,14807,47398,0,126,130,0.389,14542,0.389,0,212,449,0,103,1905,0.389,297,4.29,0.389,4642,4482,297,32.3,0.389,38.9,15466,67.5,0,129,0,38.9,66.4,19.4,419,15.4,0,11144,42070,0,30.3,21.9,0.389,14486,0.389,0,228,253,0.389,232,195,0.389,447,4.03,0.389,1456,1390,385,26.2,0,19,3974,43.6,0,22.2,0,19.4,41.4,38.9,6282
2023-02-22 11:08:00,0,15.4,14807,46238,0,132,130,0.389,14539,0,0.389,216,435,0.389,193,1704,0,297,4.13,0,4583,4268,297,32.3,0,38.9,13555,66.5,0,129,0.389,38.5,66.1,19,415,15.4,0,11146,40077,0,32.0,21.9,0,14485,0,0,229,244,0.389,266,173,0.389,447,4.27,0.389,1421,1372,385,26.2,0.389,19,2943,42.5,0,22.2,0.389,19,40.6,38.5,6283
2023-02-22 11:10:00,0.389,15.4,14801,47852,0,126,129,0,14547,0,0,224,434,0.389,106,1872,0,297,4.13,0,4261,26805,296,32.3,0,38.5,12224,66.9,0,128,0,38.5,66.1,19,418,15.4,0.389,11145,61053,0,30.3,21.9,0,14485,0,0.389,228,242,0,236,186,0,448,4.27,0,1388,1981,385,26.2,0.389,19,3916,41.7,0,21.9,0.389,19,41,38.5,6282
2023-02-22 11:12:00,0.389,15.8,34148,69208,0,132,136,0,14549,0,62,223,447,0,103,1887,0,500,4.13,0,4664,28430,297,32.1,0,707,17042,65.7,0.389,134,0,38.5,66.1,397,1727,15.8,0.389,12198,69564,0,31.6,22.8,0,14488,0,155,228,250,0,233,177,0,593,4.27,0,1457,2090,385,26.0,0,491,4061,40.6,0,22.8,0,19,40.6,620,25856
2023-02-22 11:14:00,0,15.4,23801,55925,0,132,135,0,14540,0,62,223,449,0,103,1720,0,502,3.90,0,4268,4277,297,32.7,0,707,10447,65.0,0,134,0,38.5,66.4,397,1221,15.4,0,11693,37268,0,31.6,22.8,0,14484,0,155,229,252,0,232,206,0,593,4.03,0,1381,1369,385,26.2,0,491,2844,40.6,0,22.8,0,19,41,620,15487
2023-02-22 11:16:00,0,15.4,14808,47361,0,126,130,0,14533,0,0,222,447,0,104,1865,0,298,4.60,0,4578,4424,297,32.3,0,38.5,15368,65.6,0,129,0,38.5,66.7,19.0,419,15.4,0,11151,42270,0,30.3,21.8,0,14485,0,0,229,249,0,232,201,0,447,4.73,0,1435,1375,385,26.2,0,19.4,3988,41.7,0.389,21.8,0,19.0,41.3,38.5,6282
2023-02-22 11:18:00,0,15.4,14817,46776,0,121,130,0,14550,0,0,223,447,0,9804,1764,0,299,4.83,0,4582,4315,297,32.3,0,38.5,14108,66.1,0,129,0,38.5,66.8,19,418,15.4,0,11160,50056,0,29.0,22.2,0.389,14494,0,0,229,250,0,322,188,0,447,5.36,0,1430,1388,386,26.2,0,19,3284,41,0.389,21.9,0,19,41.4,38.5,6290
