"Time","Load[5m]","Load[1m]","Load[15m]"
2023-02-22 11:00:00,0.720,0.540,0.760
2023-02-22 11:02:00,0.590,0.430,0.710
2023-02-22 11:04:00,0.490,0.230,0.660
2023-02-22 11:06:00,0.540,0.590,0.650
2023-02-22 11:08:00,0.530,0.550,0.630
2023-02-22 11:10:00,0.490,0.420,0.600
2023-02-22 11:12:00,0.420,0.240,0.560
2023-02-22 11:14:00,0.300,0.110,0.500
2023-02-22 11:16:00,0.310,0.220,0.480
2023-02-22 11:18:00,1.05,2.18,0.730
2023-02-22 11:20:00,1.13,1.31,0.810
2023-02-22 11:22:00,1.14,0.980,0.850
2023-02-22 11:24:00,0.940,0.560,0.810
2023-02-22 11:26:00,0.740,0.330,0.760
2023-02-22 11:28:00,0.680,0.350,0.740
2023-02-22 11:30:00,0.900,1.44,0.810
2023-02-22 11:32:00,0.780,0.450,0.780
2023-02-22 11:34:00,0.640,0.310,0.730
2023-02-22 11:36:00,0.730,0.860,0.750
2023-02-22 11:38:00,0.580,0.310,0.690
2023-02-22 11:40:00,0.670,0.950,0.700
2023-02-22 11:42:00,0.690,0.550,0.710
2023-02-22 11:44:00,0.600,0.480,0.670
2023-02-22 11:46:00,0.540,0.490,0.640
2023-02-22 11:48:00,0.460,0.260,0.600
2023-02-22 11:50:00,0.590,0.760,0.630
2023-02-22 11:52:00,0.530,0.440,0.600
2023-02-22 11:54:00,0.380,0.130,0.530
2023-02-22 11:56:00,0.380,0.310,0.520
2023-02-22 11:58:00,0.410,0.410,0.510
2023-02-22 12:00:00,0.330,0.170,0.470
2023-02-22 12:02:00,0.390,0.420,0.470
2023-02-22 12:04:00,0.360,0.270,0.450
2023-02-22 12:06:00,0.370,0.220,0.440
2023-02-22 12:08:00,0.320,0.250,0.410
2023-02-22 12:10:00,0.270,0.160,0.380
2023-02-22 12:12:00,0.230,0.230,0.350
2023-02-22 12:14:00,0.280,0.510,0.350
2023-02-22 12:16:00,0.420,0.590,0.390
2023-02-22 12:18:00,0.540,0.700,0.450
2023-02-22 12:20:00,0.530,0.380,0.450
2023-02-22 12:22:00,0.730,0.910,0.540
2023-02-22 12:24:00,0.650,0.600,0.540
2023-02-22 12:26:00,0.610,0.500,0.540
2023-02-22 12:28:00,0.460,0.200,0.490
2023-02-22 12:30:00,0.570,0.670,0.530
2023-02-22 12:32:00,0.610,0.850,0.550
2023-02-22 12:34:00,0.460,0.220,0.500
2023-02-22 12:36:00,0.380,0.140,0.460
2023-02-22 12:38:00,0.340,0.230,0.440
2023-02-22 12:40:00,0.300,0.310,0.410
