"Time","Receive Errors (cilium_host)","Receive Errors (cilium_net)","Receive Errors (cilium_vxlan)","Receive Errors (eno1)","Receive Errors (eno2)","Receive Errors (lxc0057de7b359b)","Receive Errors (lxc0ed3c8d2b8bf)","Receive Errors (lxc1b4eef799f9f)","Receive Errors (lxc2aa36708b137)","Receive Errors (lxc311bfcb71b98)","Receive Errors (lxc3217b30e5a4e)","Receive Errors (lxc36b6da5da010)","Receive Errors (lxc403df59b7f2f)","Receive Errors (lxc4b0877ec508a)","Receive Errors (lxc4f353ad2ad1b)","Receive Errors (lxc4f7ca766139d)","Receive Errors (lxc538c2623b3c9)","Receive Errors (lxc70b5164e645e)","Receive Errors (lxc71cbdd12cdf0)","Receive Errors (lxc7626ffd02273)","Receive Errors (lxc769b3cde4245)","Receive Errors (lxc8c21dfcb3de5)","Receive Errors (lxc903c94232750)","Receive Errors (lxc_health)","Receive Errors (lxca64c956e0416)","Receive Errors (lxcb65783b18b77)","Receive Errors (lxcbfe61dbe9fb8)","Receive Errors (lxcc139b9659a43)","Receive Errors (lxccec5aff1a071)","Receive Errors (lxcd29782dd3030)","Receive Errors (lxcdf3f3974f060)","Receive Errors (lxce04bc0c65a73)","Receive Errors (lxcf65b7508adc1)","Receive Errors (lxcf8047b4cc192)","Receive Errors (lxcf91586e7c6b7)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc0057de7b359b)","Receive Total (lxc0ed3c8d2b8bf)","Receive Total (lxc1b4eef799f9f)","Receive Total (lxc2aa36708b137)","Receive Total (lxc311bfcb71b98)","Receive Total (lxc3217b30e5a4e)","Receive Total (lxc36b6da5da010)","Receive Total (lxc403df59b7f2f)","Receive Total (lxc4b0877ec508a)","Receive Total (lxc4f353ad2ad1b)","Receive Total (lxc4f7ca766139d)","Receive Total (lxc538c2623b3c9)","Receive Total (lxc70b5164e645e)","Receive Total (lxc71cbdd12cdf0)","Receive Total (lxc7626ffd02273)","Receive Total (lxc769b3cde4245)","Receive Total (lxc8c21dfcb3de5)","Receive Total (lxc903c94232750)","Receive Total (lxc_health)","Receive Total (lxca64c956e0416)","Receive Total (lxcb65783b18b77)","Receive Total (lxcbfe61dbe9fb8)","Receive Total (lxcc139b9659a43)","Receive Total (lxccec5aff1a071)","Receive Total (lxcd29782dd3030)","Receive Total (lxcdf3f3974f060)","Receive Total (lxce04bc0c65a73)","Receive Total (lxcf65b7508adc1)","Receive Total (lxcf8047b4cc192)","Receive Total (lxcf91586e7c6b7)","Transmit Errors (cilium_host)","Transmit Errors (cilium_net)","Transmit Errors (cilium_vxlan)","Transmit Errors (eno1)","Transmit Errors (eno2)","Transmit Errors (lxc0057de7b359b)","Transmit Errors (lxc0ed3c8d2b8bf)","Transmit Errors (lxc1b4eef799f9f)","Transmit Errors (lxc2aa36708b137)","Transmit Errors (lxc311bfcb71b98)","Transmit Errors (lxc3217b30e5a4e)","Transmit Errors (lxc36b6da5da010)","Transmit Errors (lxc403df59b7f2f)","Transmit Errors (lxc4b0877ec508a)","Transmit Errors (lxc4f353ad2ad1b)","Transmit Errors (lxc4f7ca766139d)","Transmit Errors (lxc538c2623b3c9)","Transmit Errors (lxc70b5164e645e)","Transmit Errors (lxc71cbdd12cdf0)","Transmit Errors (lxc7626ffd02273)","Transmit Errors (lxc769b3cde4245)","Transmit Errors (lxc8c21dfcb3de5)","Transmit Errors (lxc903c94232750)","Transmit Errors (lxc_health)","Transmit Errors (lxca64c956e0416)","Transmit Errors (lxcb65783b18b77)","Transmit Errors (lxcbfe61dbe9fb8)","Transmit Errors (lxcc139b9659a43)","Transmit Errors (lxccec5aff1a071)","Transmit Errors (lxcd29782dd3030)","Transmit Errors (lxcdf3f3974f060)","Transmit Errors (lxce04bc0c65a73)","Transmit Errors (lxcf65b7508adc1)","Transmit Errors (lxcf8047b4cc192)","Transmit Errors (lxcf91586e7c6b7)","Receive Dropped (cilium_host)","Receive Dropped (cilium_net)","Receive Dropped (cilium_vxlan)","Receive Dropped (eno1)","Receive Dropped (eno2)","Receive Dropped (lxc0057de7b359b)","Receive Dropped (lxc0ed3c8d2b8bf)","Receive Dropped (lxc1b4eef799f9f)","Receive Dropped (lxc2aa36708b137)","Receive Dropped (lxc311bfcb71b98)","Receive Dropped (lxc3217b30e5a4e)","Receive Dropped (lxc36b6da5da010)","Receive Dropped (lxc403df59b7f2f)","Receive Dropped (lxc4b0877ec508a)","Receive Dropped (lxc4f353ad2ad1b)","Receive Dropped (lxc4f7ca766139d)","Receive Dropped (lxc538c2623b3c9)","Receive Dropped (lxc70b5164e645e)","Receive Dropped (lxc71cbdd12cdf0)","Receive Dropped (lxc7626ffd02273)","Receive Dropped (lxc769b3cde4245)","Receive Dropped (lxc8c21dfcb3de5)","Receive Dropped (lxc903c94232750)","Receive Dropped (lxc_health)","Receive Dropped (lxca64c956e0416)","Receive Dropped (lxcb65783b18b77)","Receive Dropped (lxcbfe61dbe9fb8)","Receive Dropped (lxcc139b9659a43)","Receive Dropped (lxccec5aff1a071)","Receive Dropped (lxcd29782dd3030)","Receive Dropped (lxcdf3f3974f060)","Receive Dropped (lxce04bc0c65a73)","Receive Dropped (lxcf65b7508adc1)","Receive Dropped (lxcf8047b4cc192)","Receive Dropped (lxcf91586e7c6b7)","Transmit Dropped (cilium_host)","Transmit Dropped (cilium_net)","Transmit Dropped (cilium_vxlan)","Transmit Dropped (eno1)","Transmit Dropped (eno2)","Transmit Dropped (lxc0057de7b359b)","Transmit Dropped (lxc0ed3c8d2b8bf)","Transmit Dropped (lxc1b4eef799f9f)","Transmit Dropped (lxc2aa36708b137)","Transmit Dropped (lxc311bfcb71b98)","Transmit Dropped (lxc3217b30e5a4e)","Transmit Dropped (lxc36b6da5da010)","Transmit Dropped (lxc403df59b7f2f)","Transmit Dropped (lxc4b0877ec508a)","Transmit Dropped (lxc4f353ad2ad1b)","Transmit Dropped (lxc4f7ca766139d)","Transmit Dropped (lxc538c2623b3c9)","Transmit Dropped (lxc70b5164e645e)","Transmit Dropped (lxc71cbdd12cdf0)","Transmit Dropped (lxc7626ffd02273)","Transmit Dropped (lxc769b3cde4245)","Transmit Dropped (lxc8c21dfcb3de5)","Transmit Dropped (lxc903c94232750)","Transmit Dropped (lxc_health)","Transmit Dropped (lxca64c956e0416)","Transmit Dropped (lxcb65783b18b77)","Transmit Dropped (lxcbfe61dbe9fb8)","Transmit Dropped (lxcc139b9659a43)","Transmit Dropped (lxccec5aff1a071)","Transmit Dropped (lxcd29782dd3030)","Transmit Dropped (lxcdf3f3974f060)","Transmit Dropped (lxce04bc0c65a73)","Transmit Dropped (lxcf65b7508adc1)","Transmit Dropped (lxcf8047b4cc192)","Transmit Dropped (lxcf91586e7c6b7)","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc0057de7b359b)","Transmit Total (lxc0ed3c8d2b8bf)","Transmit Total (lxc1b4eef799f9f)","Transmit Total (lxc2aa36708b137)","Transmit Total (lxc311bfcb71b98)","Transmit Total (lxc3217b30e5a4e)","Transmit Total (lxc36b6da5da010)","Transmit Total (lxc403df59b7f2f)","Transmit Total (lxc4b0877ec508a)","Transmit Total (lxc4f353ad2ad1b)","Transmit Total (lxc4f7ca766139d)","Transmit Total (lxc538c2623b3c9)","Transmit Total (lxc70b5164e645e)","Transmit Total (lxc71cbdd12cdf0)","Transmit Total (lxc7626ffd02273)","Transmit Total (lxc769b3cde4245)","Transmit Total (lxc8c21dfcb3de5)","Transmit Total (lxc903c94232750)","Transmit Total (lxc_health)","Transmit Total (lxca64c956e0416)","Transmit Total (lxcb65783b18b77)","Transmit Total (lxcbfe61dbe9fb8)","Transmit Total (lxcc139b9659a43)","Transmit Total (lxccec5aff1a071)","Transmit Total (lxcd29782dd3030)","Transmit Total (lxcdf3f3974f060)","Transmit Total (lxce04bc0c65a73)","Transmit Total (lxcf65b7508adc1)","Transmit Total (lxcf8047b4cc192)","Transmit Total (lxcf91586e7c6b7)"
2023-02-22 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,7.45,115,0,0,0,0.923,0.0556,0.311,3.58,0.239,0.539,0,0,2.55,1.59,0.973,0,0.939,0.545,0.00556,0.239,0.333,4.86,0.100,2.88,7.24,0.545,1.39,0,11.0,18.4,0.228,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,8.70,111,0,0,0,1.32,0.0500,0.461,4.00,0.233,0.567,0.00556,0,2.60,1.80,1.17,0,0.989,0.995,0.00556,0.239,0.400,4.12,0.200,2.86,9.37,0.989,1.51,0,11.9,16.9,0.222,0.239
2023-02-22 11:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,32.9,152,0,0,0,0.933,0.0611,0.278,4.15,0.256,0.439,0,0,2.23,1.56,0.839,0,1.07,0.544,0,0.256,0.339,5.24,0.100,2.52,6.95,0.567,26.8,0,10.6,18.6,0.256,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,35.0,150,0,0,0,1.33,0.0556,0.433,4.59,0.256,0.489,0,0,2.58,1.81,1.02,0,1.08,0.994,0,0.256,0.406,4.42,0.200,2.95,9.14,0.989,26.0,0,11.7,17.3,0.256,0.256
2023-02-22 11:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,8.97,114,0,0,0,0.933,0.0778,0.333,3.89,0.267,0.450,0,0,2,1.56,0.817,0,1,0.544,0,0.256,0.339,5.20,0.100,2.40,7.26,0.572,2.17,0,10.9,18.6,0.278,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,10.3,108,0,0,0,1.33,0.0722,0.461,4.32,0.267,0.500,0,0,2.66,1.82,0.994,0,1.03,0.989,0,0.256,0.406,4.38,0.200,2.91,9.37,0.989,2.37,0,11.6,17.0,0.278,0.267
2023-02-22 11:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,7.95,119,0,0.00556,0,0.933,0.0611,0.306,3.62,0.261,0.500,0.00556,0.00556,2.18,1.57,0.806,0.00556,0.917,0.544,0,0.261,0.333,4.93,0.106,2.47,7.35,0.567,1.44,0.00556,10.9,18.5,0.261,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,9.31,115,0,0,0.00556,1.33,0.0556,0.456,4.07,0.261,0.533,0,0.00556,2.72,1.78,0.994,0.00556,0.978,0.994,0,0.256,0.400,4.17,0.200,2.97,9.44,0.989,1.56,0,11.8,17.1,0.261,0.256
2023-02-22 11:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,6.81,117,0,0.00556,0.00556,0.939,0.0833,0.289,3.66,0.261,0.467,0,0.00556,2.07,1.56,0.800,0,0.967,0.539,0.00556,0.261,0.322,4.94,0.100,2.39,7.06,0.567,1.38,0,10.6,18.5,0.272,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,8.15,109,0,0,0,1.33,0.0722,0.450,4.07,0.256,0.511,0.00556,0,2.62,1.77,0.983,0,1.01,0.994,0.00556,0.261,0.394,4.17,0.206,2.86,9.09,0.994,1.51,0.00556,11.7,17.1,0.267,0.261
2023-02-22 11:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,7.44,126,0,0,0,0.939,0.0833,0.322,3.60,0.256,0.472,0,0,1.98,1.56,0.972,0,1.02,0.544,0.00556,0.256,0.322,4.93,0.100,2.48,7.20,0.567,1.33,0,10.7,18.7,0.256,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,8.64,127,0,0,0,1.33,0.0667,0.456,4.04,0.256,0.511,0,0,2.59,1.81,1.14,0,1.04,0.989,0.00556,0.261,0.389,4.17,0.200,2.96,9.30,0.994,1.44,0,11.7,17.2,0.256,0.261
2023-02-22 11:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,31.4,164,0,0,0,0.933,0.0667,0.283,4.15,0.267,0.500,0,0,2.07,1.57,0.856,0,0.950,0.550,0,0.267,0.333,4.93,0.100,2.37,7.20,0.578,27.0,0,11.0,18.6,0.267,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,34.8,171,0,0,0,1.34,0.0611,0.433,4.59,0.267,0.533,0,0,2.86,1.80,1.03,0,1,0.994,0,0.267,0.400,4.18,0.200,3.11,9.19,0.994,24.9,0,11.8,17.2,0.267,0.267
2023-02-22 11:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0.00556,18.8,141,0,0,0,0.933,0.0778,0.278,3.84,0.267,0.467,0,0,1.93,1.57,0.811,0,0.933,0.539,0,0.267,0.333,4.83,0.100,2.37,7.29,0.572,13.5,0,10.8,18.7,0.267,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556,4.37,21.1,123,0,0,0,1.33,0.0722,0.439,4.27,0.267,0.511,0,0,2.80,1.80,1,0,0.994,0.989,0,0.267,0.400,4.09,0.200,3.07,9.31,0.994,12.6,0,11.7,17.0,0.267,0.267
2023-02-22 11:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0.00555,7.97,126,0,0,0,0.939,0.0944,0.294,3.63,0.255,0.450,0,0,1.95,1.55,0.811,0,0.950,0.539,0,0.255,0.333,4.93,0.1000,2.43,7.36,0.555,1.40,0,10.8,18.8,0.255,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555,4.88,9.39,114,0,0.00555,0,1.34,0.0833,0.439,4.07,0.255,0.500,0,0,2.54,1.78,1.01,0,1.000,0.988,0,0.255,0.400,4.18,0.200,2.94,9.50,0.994,1.50,0,11.5,17.2,0.255,0.255
2023-02-22 11:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,6.97,119,0,0,0,0.922,0.0667,0.294,3.63,0.256,0.483,0,0,2.02,1.56,0.811,0,0.983,0.550,0,0.256,0.333,4.93,0.100,2.54,7.06,0.567,1.33,0,10.7,18.6,0.244,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,8.29,117,0,0.00556,0,1.32,0.0611,0.444,4.07,0.256,0.528,0,0,2.62,1.78,1,0,1.02,0.994,0,0.256,0.400,4.19,0.200,2.81,9.07,1,1.46,0,11.5,17.1,0.244,0.256
