,Time,Type,Response,Code
0,2023-02-22 11:00:05.350365,Public,0.016569,200
0,2023-02-22 11:00:05.470862,Public,0.018015,200
0,2023-02-22 11:00:05.589846,Public,0.016654,200
0,2023-02-22 11:00:05.707167,Public,0.014999,200
0,2023-02-22 11:00:05.827147,Public,0.017515,200
0,2023-02-22 11:00:05.947050,Public,0.017199,200
0,2023-02-22 11:00:06.065905,Public,0.016407,200
0,2023-02-22 11:00:06.183477,Public,0.015088,200
0,2023-02-22 11:00:06.302812,Public,0.016905,200
0,2023-02-22 11:00:06.419937,Public,0.014742,200
0,2023-02-22 11:00:06.539259,Public,0.01697,200
0,2023-02-22 11:00:06.658584,Public,0.016862,200
0,2023-02-22 11:00:06.777616,Public,0.016654,200
0,2023-02-22 11:00:06.896878,Public,0.016524,200
0,2023-02-22 11:00:07.017232,Public,0.017892,200
0,2023-02-22 11:00:07.136533,Public,0.016922,200
0,2023-02-22 11:00:07.254961,Public,0.015973,200
0,2023-02-22 11:00:07.374016,Public,0.016602,200
0,2023-02-22 11:00:07.494570,Public,0.018098,200
0,2023-02-22 11:00:07.614651,Public,0.017609,200
0,2023-02-22 11:00:07.733850,Public,0.016784,200
0,2023-02-22 11:00:07.851622,Public,0.015407,200
0,2023-02-22 11:00:07.971031,Public,0.016967,200
0,2023-02-22 11:00:08.091241,Public,0.017709,200
0,2023-02-22 11:00:08.211126,Public,0.017226,200
0,2023-02-22 11:00:08.332341,Public,0.01852,200
0,2023-02-22 11:00:08.452227,Public,0.017448,200
0,2023-02-22 11:00:08.570194,Public,0.015545,200
0,2023-02-22 11:00:08.690198,Public,0.017302,200
0,2023-02-22 11:00:08.808995,Public,0.01633,200
0,2023-02-22 11:00:08.927802,Public,0.01616,200
0,2023-02-22 11:00:09.045337,Public,0.014841,200
0,2023-02-22 11:00:09.164617,Public,0.016916,200
0,2023-02-22 11:00:09.283884,Public,0.016809,200
0,2023-02-22 11:00:09.402832,Public,0.016382,200
0,2023-02-22 11:00:09.520609,Public,0.015445,200
0,2023-02-22 11:00:09.640044,Public,0.016961,200
0,2023-02-22 11:00:09.759062,Public,0.01651,200
