,Time,Type,Response,Code
0,2023-02-23 14:59:18.257456,Public,0.018206,200
0,2023-02-23 14:59:18.376821,Public,0.016788,200
0,2023-02-23 14:59:18.496318,Public,0.017094,200
0,2023-02-23 14:59:18.613720,Public,0.015096,200
0,2023-02-23 14:59:18.732522,Public,0.016479,200
0,2023-02-23 14:59:18.852039,Public,0.016955,200
0,2023-02-23 14:59:18.971117,Public,0.016734,200
0,2023-02-23 14:59:19.089794,Public,0.016341,200
0,2023-02-23 14:59:19.208196,Public,0.016032,200
0,2023-02-23 14:59:19.327137,Public,0.016559,200
0,2023-02-23 14:59:19.446664,Public,0.016899,200
0,2023-02-23 14:59:19.565852,Public,0.016812,200
0,2023-02-23 14:59:19.682841,Public,0.014621,200
0,2023-02-23 14:59:19.802664,Public,0.016964,200
0,2023-02-23 14:59:19.921740,Public,0.016618,200
0,2023-02-23 14:59:20.040821,Public,0.016746,200
0,2023-02-23 14:59:20.158139,Public,0.014985,200
0,2023-02-23 14:59:20.277560,Public,0.017076,200
0,2023-02-23 14:59:20.396688,Public,0.0166,200
0,2023-02-23 14:59:20.516809,Public,0.017782,200
0,2023-02-23 14:59:20.638061,Public,0.018937,200
0,2023-02-23 14:59:20.756371,Public,0.015999,200
0,2023-02-23 14:59:20.873797,Public,0.014933,200
0,2023-02-23 14:59:20.992931,Public,0.016792,200
0,2023-02-23 14:59:21.112301,Public,0.016983,200
0,2023-02-23 14:59:21.231914,Public,0.017289,200
0,2023-02-23 14:59:21.349101,Public,0.014846,200
0,2023-02-23 14:59:21.468173,Public,0.016697,200
0,2023-02-23 14:59:21.587484,Public,0.016807,200
0,2023-02-23 14:59:21.706719,Public,0.016865,200
0,2023-02-23 14:59:21.824275,Public,0.015236,200
0,2023-02-23 14:59:21.943453,Public,0.016841,200
0,2023-02-23 14:59:22.062849,Public,0.017004,200
0,2023-02-23 14:59:22.182114,Public,0.01683,200
0,2023-02-23 14:59:22.299524,Public,0.015035,200
0,2023-02-23 14:59:22.418711,Public,0.016832,200
0,2023-02-23 14:59:22.537611,Public,0.016481,200
0,2023-02-23 14:59:22.657014,Public,0.016522,200
0,2023-02-23 14:59:22.775217,Public,0.015766,200
0,2023-02-23 14:59:22.891951,Public,0.014346,200
0,2023-02-23 14:59:23.010965,Public,0.016565,200
0,2023-02-23 14:59:23.131154,Public,0.017642,200
0,2023-02-23 14:59:23.248143,Public,0.014587,200
0,2023-02-23 14:59:23.366843,Public,0.016353,200
0,2023-02-23 14:59:23.486184,Public,0.01686,200
0,2023-02-23 14:59:23.605376,Public,0.016721,200
0,2023-02-23 14:59:23.723349,Public,0.0155,200
0,2023-02-23 14:59:23.841883,Public,0.016183,200
0,2023-02-23 14:59:23.961357,Public,0.017118,200
0,2023-02-23 14:59:24.080556,Public,0.01675,200
0,2023-02-23 14:59:24.199875,Public,0.017017,200
0,2023-02-23 14:59:24.317796,Public,0.015231,200
0,2023-02-23 14:59:24.436504,Public,0.016301,200
0,2023-02-23 14:59:24.555685,Public,0.016759,200
0,2023-02-23 14:59:24.675800,Public,0.017495,200
0,2023-02-23 14:59:24.795186,Public,0.016927,200
0,2023-02-23 14:59:24.912381,Public,0.014802,200
0,2023-02-23 14:59:25.031562,Public,0.016847,200
0,2023-02-23 14:59:25.150989,Public,0.01689,200
0,2023-02-23 14:59:25.270198,Public,0.016647,200
0,2023-02-23 14:59:25.387496,Public,0.014922,200
0,2023-02-23 14:59:25.506906,Public,0.016974,200
0,2023-02-23 14:59:25.626116,Public,0.016821,200
0,2023-02-23 14:59:25.746273,Public,0.017718,200
0,2023-02-23 14:59:25.864776,Public,0.016119,200
0,2023-02-23 14:59:25.982026,Public,0.014932,200
0,2023-02-23 14:59:26.101313,Public,0.016915,200
0,2023-02-23 14:59:26.220419,Public,0.016709,200
0,2023-02-23 14:59:26.340003,Public,0.017282,200
0,2023-02-23 14:59:26.457328,Public,0.015025,200
0,2023-02-23 14:59:26.576057,Public,0.016407,200
0,2023-02-23 14:59:26.694935,Public,0.016469,200
0,2023-02-23 14:59:26.814022,Public,0.01678,200
0,2023-02-23 14:59:26.931526,Public,0.015157,200
0,2023-02-23 14:59:27.050726,Public,0.01683,200
0,2023-02-23 14:59:27.169944,Public,0.016836,200
0,2023-02-23 14:59:27.289207,Public,0.016697,200
0,2023-02-23 14:59:27.406625,Public,0.015159,200
0,2023-02-23 14:59:27.525631,Public,0.016454,200
0,2023-02-23 14:59:27.645611,Public,0.017258,200
0,2023-02-23 14:59:27.765187,Public,0.016871,200
0,2023-02-23 14:59:27.884483,Public,0.01687,200
0,2023-02-23 14:59:28.003711,Public,0.016805,200
0,2023-02-23 14:59:28.123009,Public,0.016625,200
0,2023-02-23 14:59:28.242454,Public,0.017038,200
0,2023-02-23 14:59:28.361985,Public,0.017154,200
0,2023-02-23 14:59:28.480855,Public,0.016326,200
0,2023-02-23 14:59:28.598439,Public,0.015281,200
0,2023-02-23 14:59:28.717321,Public,0.01651,200
0,2023-02-23 14:59:28.836255,Public,0.016571,200
0,2023-02-23 14:59:28.954984,Public,0.016213,200
0,2023-02-23 14:59:29.072141,Public,0.014789,200
0,2023-02-23 14:59:29.190614,Public,0.016134,200
0,2023-02-23 14:59:29.309993,Public,0.016726,200
0,2023-02-23 14:59:29.428949,Public,0.016512,200
0,2023-02-23 14:59:29.547231,Public,0.015863,200
0,2023-02-23 14:59:29.664649,Public,0.015087,200
0,2023-02-23 14:59:29.783813,Public,0.016544,200
0,2023-02-23 14:59:29.903413,Public,0.017083,200
0,2023-02-23 14:59:30.021558,Public,0.015589,200
0,2023-02-23 14:59:30.139818,Public,0.015907,200
0,2023-02-23 14:59:30.258872,Public,0.016635,200
0,2023-02-23 14:59:30.378363,Public,0.016975,200
0,2023-02-23 14:59:30.497558,Public,0.016843,200
0,2023-02-23 14:59:30.615294,Public,0.015398,200
0,2023-02-23 14:59:30.734318,Public,0.016642,200
0,2023-02-23 14:59:30.853282,Public,0.016482,200
0,2023-02-23 14:59:30.972892,Public,0.017292,200
0,2023-02-23 14:59:31.089862,Public,0.01465,200
0,2023-02-23 14:59:31.209399,Public,0.01692,200
0,2023-02-23 14:59:31.328866,Public,0.01708,200
0,2023-02-23 14:59:31.448106,Public,0.016798,200
0,2023-02-23 14:59:31.565371,Public,0.014918,200
0,2023-02-23 14:59:31.684363,Public,0.016521,200
0,2023-02-23 14:59:31.803196,Public,0.016236,200
0,2023-02-23 14:59:31.921809,Public,0.016106,200
0,2023-02-23 14:59:32.039544,Public,0.01538,200
0,2023-02-23 14:59:32.158677,Public,0.01675,200
0,2023-02-23 14:59:32.278027,Public,0.01697,200
0,2023-02-23 14:59:32.396999,Public,0.016475,200
0,2023-02-23 14:59:32.514686,Public,0.015079,200
0,2023-02-23 14:59:32.632718,Public,0.015728,200
0,2023-02-23 14:59:32.751925,Public,0.016798,200
0,2023-02-23 14:59:32.871402,Public,0.017049,200
0,2023-02-23 14:59:32.990388,Public,0.016342,200
0,2023-02-23 14:59:33.107824,Public,0.015055,200
0,2023-02-23 14:59:33.226521,Public,0.016313,200
0,2023-02-23 14:59:33.345238,Public,0.016131,200
0,2023-02-23 14:59:33.463969,Public,0.01637,200
0,2023-02-23 14:59:33.582071,Public,0.015656,200
0,2023-02-23 14:59:33.700262,Public,0.015755,200
0,2023-02-23 14:59:33.820687,Public,0.017673,200
0,2023-02-23 14:59:33.939196,Public,0.016192,200
0,2023-02-23 14:59:34.057189,Public,0.015642,200
0,2023-02-23 14:59:34.175900,Public,0.016346,200
0,2023-02-23 14:59:34.294547,Public,0.016157,200
0,2023-02-23 14:59:34.413077,Public,0.016192,200
0,2023-02-23 14:59:34.529371,Public,0.013976,200
0,2023-02-23 14:59:34.648576,Public,0.016692,200
0,2023-02-23 14:59:34.768818,Public,0.017627,200
0,2023-02-23 14:59:34.887136,Public,0.015972,200
0,2023-02-23 14:59:35.004342,Public,0.014759,200
0,2023-02-23 14:59:35.122828,Public,0.016151,200
0,2023-02-23 14:59:35.241780,Public,0.016282,200
0,2023-02-23 14:59:35.359163,Public,0.015037,200
0,2023-02-23 14:59:35.478420,Public,0.016765,200
0,2023-02-23 14:59:35.597685,Public,0.016659,200
0,2023-02-23 14:59:35.715482,Public,0.015412,200
0,2023-02-23 14:59:35.832270,Public,0.014462,200
0,2023-02-23 14:59:35.950690,Public,0.016031,200
0,2023-02-23 14:59:36.069941,Public,0.016649,200
0,2023-02-23 14:59:36.188423,Public,0.016184,200
0,2023-02-23 14:59:36.306492,Public,0.015702,200
0,2023-02-23 14:59:36.425813,Public,0.016859,200
0,2023-02-23 14:59:36.544789,Public,0.016519,200
0,2023-02-23 14:59:36.663615,Public,0.01649,200
0,2023-02-23 14:59:36.781284,Public,0.015042,200
0,2023-02-23 14:59:36.900315,Public,0.016581,200
0,2023-02-23 14:59:37.019146,Public,0.016424,200
0,2023-02-23 14:59:37.138574,Public,0.017052,200
0,2023-02-23 14:59:37.255794,Public,0.014855,200
0,2023-02-23 14:59:37.375018,Public,0.016854,200
0,2023-02-23 14:59:37.494114,Public,0.01671,200
0,2023-02-23 14:59:37.613629,Public,0.01696,200
0,2023-02-23 14:59:37.731190,Public,0.015199,200
0,2023-02-23 14:59:37.849312,Public,0.015752,200
0,2023-02-23 14:59:37.968293,Public,0.016596,200
0,2023-02-23 14:59:38.088693,Public,0.017963,200
