"Time","DROPPED","FORWARDED"
2023-03-11 08:00:00,0.0600,94.3
2023-03-11 08:02:00,0.0200,100
2023-03-11 08:04:00,0.120,96.3
2023-03-11 08:06:00,0.120,93.3
2023-03-11 08:08:00,0.140,93.9
2023-03-11 08:10:00,0.140,93.2
2023-03-11 08:12:00,0,107
2023-03-11 08:14:00,0,96.6
2023-03-11 08:16:00,0,93.6
2023-03-11 08:18:00,0,94.4
2023-03-11 08:20:00,0,92.0
2023-03-11 08:22:00,0.0200,125
2023-03-11 08:24:00,0.0400,95.2
2023-03-11 08:26:00,0.0200,94.1
2023-03-11 08:28:00,0.0400,92.6
2023-03-11 08:30:00,0.0200,93.3
2023-03-11 08:32:00,0.0600,154
2023-03-11 08:34:00,0.0200,98.2
2023-03-11 08:36:00,0,95.7
2023-03-11 08:38:00,0,94.2
2023-03-11 08:40:00,0,94.1
2023-03-11 08:42:00,0,184
2023-03-11 08:44:00,0.100,95.9
2023-03-11 08:46:00,0.100,93.2
2023-03-11 08:48:00,0.0200,94.4
2023-03-11 08:50:00,0.100,93.2
2023-03-11 08:52:00,0.0800,214
2023-03-11 08:54:00,0.0800,96.1
2023-03-11 08:56:00,0,93.7
2023-03-11 08:58:00,0,94.3
2023-03-11 09:00:00,0,91.9
2023-03-11 09:02:00,0,227
2023-03-11 09:04:00,0,95.5
2023-03-11 09:06:00,0,95.3
2023-03-11 09:08:00,0,94.1
2023-03-11 09:10:00,0,93.5
2023-03-11 09:12:00,0,215
2023-03-11 09:14:00,0,96.7
2023-03-11 09:16:00,0,93.6
2023-03-11 09:18:00,0.0200,93.9
2023-03-11 09:20:00,0.0200,94.3
2023-03-11 09:22:00,0.0200,177
2023-03-11 09:24:00,0,96.9
2023-03-11 09:26:00,0,93.7
2023-03-11 09:28:00,0,93.8
2023-03-11 09:30:00,0.0600,93.5
2023-03-11 09:32:00,0.0200,153
2023-03-11 09:34:00,0.0400,96.3
2023-03-11 09:36:00,0.200,95.5
2023-03-11 09:38:00,0.100,94.2
2023-03-11 09:40:00,0.100,92.0
2023-03-11 09:42:00,0.140,126
2023-03-11 09:44:00,0.100,96.8
2023-03-11 09:46:00,0.0600,93.5
2023-03-11 09:48:00,0,92.0
2023-03-11 09:50:00,0,91.6
2023-03-11 09:52:00,0,103
2023-03-11 09:54:00,0.0400,97.4
2023-03-11 09:56:00,0,93.2
2023-03-11 09:58:00,0.0200,91.3
2023-03-11 10:00:00,0.0400,91.9
2023-03-11 10:02:00,0.0200,94.6
2023-03-11 10:04:00,0,96.5
2023-03-11 10:06:00,0,92.9
2023-03-11 10:08:00,0,93.7
2023-03-11 10:10:00,0,95.3
2023-03-11 10:12:00,0,96.5
2023-03-11 10:14:00,0,96.4
2023-03-11 10:16:00,0,93.9
2023-03-11 10:18:00,0,93.4
2023-03-11 10:20:00,0.0200,94.0
2023-03-11 10:22:00,0,96.3
2023-03-11 10:24:00,0,95.6
2023-03-11 10:26:00,0.0600,95.6
2023-03-11 10:28:00,0.0400,92.5
2023-03-11 10:30:00,0.0200,94.9
2023-03-11 10:32:00,0.0200,96.5
2023-03-11 10:34:00,0,95.7
2023-03-11 10:36:00,0,96.5
2023-03-11 10:38:00,0,91.9
2023-03-11 10:40:00,0,93.8
2023-03-11 10:42:00,0.0800,97.1
2023-03-11 10:44:00,0.0800,107
2023-03-11 10:46:00,0,91.4
2023-03-11 10:48:00,0.0600,92.4
2023-03-11 10:50:00,0.0400,93.4
2023-03-11 10:52:00,0.0600,94.5
2023-03-11 10:54:00,0.0400,129
2023-03-11 10:56:00,0,91.9
2023-03-11 10:58:00,0,93.6
2023-03-11 11:00:00,0,91.5
2023-03-11 11:02:00,0,95.5
2023-03-11 11:04:00,0,159
2023-03-11 11:06:00,0,94.4
2023-03-11 11:08:00,0,91.5
2023-03-11 11:10:00,0,90.4
2023-03-11 11:12:00,0,96.2
2023-03-11 11:14:00,0,182
2023-03-11 11:16:00,0,94.7
2023-03-11 11:18:00,0,89.8
2023-03-11 11:20:00,0,90.8
2023-03-11 11:22:00,0,93.6
2023-03-11 11:24:00,0,207
2023-03-11 11:26:00,0,94.4
2023-03-11 11:28:00,0,91.3
2023-03-11 11:30:00,0.0400,93.0
2023-03-11 11:32:00,0.0800,94.4
2023-03-11 11:34:00,0.0400,228
2023-03-11 11:36:00,0.140,98.3
2023-03-11 11:38:00,0.0600,94.3
2023-03-11 11:40:00,0.100,93.2
2023-03-11 11:42:00,0.160,97.0
2023-03-11 11:44:00,0.0600,220
2023-03-11 11:46:00,0,96.2
2023-03-11 11:48:00,0,93.3
2023-03-11 11:50:00,0,91.8
2023-03-11 11:52:00,0,98.4
2023-03-11 11:54:00,0.0200,202
2023-03-11 11:56:00,0.0200,94.3
2023-03-11 11:58:00,0.0600,92.1
2023-03-11 12:00:00,0.0400,93.4
2023-03-11 12:02:00,0.0400,98.2
2023-03-11 12:04:00,0,178
2023-03-11 12:06:00,0.0200,93.4
2023-03-11 12:08:00,0,92.5
2023-03-11 12:10:00,0,92.4
2023-03-11 12:12:00,0,96.8
2023-03-11 12:14:00,0,156
2023-03-11 12:16:00,0,92.7
2023-03-11 12:18:00,0.0200,93.1
2023-03-11 12:20:00,0,93.2
2023-03-11 12:22:00,0,97.1
2023-03-11 12:24:00,0.0400,132
2023-03-11 12:26:00,0,92.9
2023-03-11 12:28:00,0.0200,91.7
2023-03-11 12:30:00,0,91.4
2023-03-11 12:32:00,0.0200,95.7
2023-03-11 12:34:00,0,110
2023-03-11 12:36:00,0,93.9
2023-03-11 12:38:00,0,92.2
2023-03-11 12:40:00,0.0600,90.9
2023-03-11 12:42:00,0.100,94.9
2023-03-11 12:44:00,0.0200,92.6
2023-03-11 12:46:00,0.0800,92.3
2023-03-11 12:48:00,0.160,92.0
2023-03-11 12:50:00,0.100,92.8
2023-03-11 12:52:00,0.0800,92.8
2023-03-11 12:54:00,0.0400,93.4
2023-03-11 12:56:00,0,93.2
2023-03-11 12:58:00,0,91.3
2023-03-11 13:00:00,0,90.5
2023-03-11 13:02:00,0,93.4
2023-03-11 13:04:00,0,94.1
2023-03-11 13:06:00,0,92.6
2023-03-11 13:08:00,0,93.2
2023-03-11 13:10:00,0.0600,89.5
2023-03-11 13:12:00,0,93.7
2023-03-11 13:14:00,0,93.5
2023-03-11 13:16:00,0,90.4
2023-03-11 13:18:00,0,92.1
2023-03-11 13:20:00,0,89.5
2023-03-11 13:22:00,0,96.0
2023-03-11 13:24:00,0,92.1
2023-03-11 13:26:00,0,99.3
2023-03-11 13:28:00,0,90.4
2023-03-11 13:30:00,0,92.9
2023-03-11 13:32:00,0.0200,94.2
2023-03-11 13:34:00,0.0800,93.3
2023-03-11 13:36:00,0.0200,110
2023-03-11 13:38:00,0.120,92.1
2023-03-11 13:40:00,0.0200,92.3
2023-03-11 13:42:00,0.0400,96.4
2023-03-11 13:44:00,0,99.1
2023-03-11 13:46:00,0,136
2023-03-11 13:48:00,0,93.3
2023-03-11 13:50:00,0,93.8
2023-03-11 13:52:00,0.0200,96.3
2023-03-11 13:54:00,0.0200,99.4
2023-03-11 13:56:00,0.0200,155
2023-03-11 13:58:00,0.100,93.2
2023-03-11 14:00:00,0.0400,92.7
2023-03-11 14:02:00,0,95.6
2023-03-11 14:04:00,0.0200,96.8
2023-03-11 14:06:00,0,181
