"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-11 08:00:00,4334,3441,3102,6116,172,34525,0,74.9,3012,436,121
2023-03-11 08:04:00,4274,3377,3232,6241,177,33576,0,68.7,3309,436,122
2023-03-11 08:08:00,4743,4086,4071,11036,338,34807,0,521,3934,525,122
2023-03-11 08:12:00,6578,3373,8289,126139,181,35380,0,390,6974,710,670
2023-03-11 08:16:00,4220,3448,3141,6153,174,34029,0,1887,2710,435,123
2023-03-11 08:20:00,4311,3372,2811,6117,190,32642,0,425,2713,427,118
2023-03-11 08:24:00,4368,3405,3222,6176,176,33587,0,110,3081,431,123
2023-03-11 08:28:00,10435,5395,5756,18008,348,32650,0,1742,4526,705,118
2023-03-11 08:32:00,4342,3408,6521,9681,192,32952,0,184,7529,439,559
2023-03-11 08:36:00,4371,3888,4047,9034,1447,34135,0,71.7,3950,590,121
2023-03-11 08:40:00,4287,3404,3053,6154,191,34445,0,109,3024,432,122
2023-03-11 08:44:00,4298,3410,3438,6668,165,33306,0,123,3189,464,121
2023-03-11 08:48:00,4558,3910,3446,10672,177,33708,0,496,3562,502,122
2023-03-11 08:52:00,4305,3428,6450,6358,180,34649,0,683,4831,430,218
2023-03-11 08:56:00,4194,3437,3358,6186,172,33662,0,106,3088,434,122
2023-03-11 09:00:00,4148,3401,2733,6142,172,33954,0,78.8,2796,430,122
2023-03-11 09:04:00,4605,3408,3194,7989,174,32978,0,595,3704,497,122
2023-03-11 09:08:00,4199,4010,3383,9720,177,31658,0,1930,3638,436,122
2023-03-11 09:12:00,4259,3398,5308,6375,178,33968,0,117,5290,431,121
2023-03-11 09:16:00,4328,3461,3387,6144,170,34335,0,71.3,2872,430,119
2023-03-11 09:20:00,4280,3462,3113,6231,185,35086,0,131,3027,446,120
2023-03-11 09:24:00,4778,3388,3634,9247,180,34429,0,546,3473,532,130
