"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-11 08:00:00,1390,1332,3780,1471,148,2774,0,73.2,3922,81.7,562
2023-03-11 08:04:00,1360,1303,3768,1552,148,3174,0,67.3,4163,82.6,564
2023-03-11 08:08:00,1421,1400,5146,2573,161,3028,0,101,5780,87.3,580
2023-03-11 08:12:00,1353,1302,9669,1957,157,2993,0,71.7,8183,93.4,4796
2023-03-11 08:16:00,1359,1352,4255,1550,155,3031,0,103,4094,90.7,578
2023-03-11 08:20:00,1376,1308,4218,1448,162,2808,0,93.6,4072,83.6,556
2023-03-11 08:24:00,1390,1307,4351,1473,147,2920,0,91.8,4164,90.1,577
2023-03-11 08:28:00,1795,1493,6485,4038,166,2795,0,114,6245,94.7,565
2023-03-11 08:32:00,1392,1335,8444,1617,160,3051,0,69.6,9223,85.5,4739
2023-03-11 08:36:00,1439,1356,4870,1653,162,2779,0,70.9,5110,91.6,572
2023-03-11 08:40:00,1365,1332,3696,1515,158,2920,0.236,90.7,3955,84.0,571
2023-03-11 08:44:00,1373,1312,4330,1782,141,3122,0.452,71.6,4088,82.2,558
2023-03-11 08:48:00,1351,1402,4127,2898,156,2800,0.220,78.2,4641,87.7,563
2023-03-11 08:52:00,1387,1347,7371,1594,149,2881,0,91.9,5769,86.2,2559
2023-03-11 08:56:00,1341,1337,4294,1520,156,2896,0,86.9,4449,84.7,568
2023-03-11 09:00:00,1343,1317,4123,1482,145,2941,0,80.4,4057,80.3,580
2023-03-11 09:04:00,1357,1322,4928,2603,147,2870,0,87.5,5512,83.7,573
2023-03-11 09:08:00,1340,1424,4656,1955,152,2881,0,85.2,4936,83.1,564
2023-03-11 09:12:00,1392,1321,6428,1599,161,2957,0,94.7,6639,83.3,577
2023-03-11 09:16:00,1385,1348,4165,1526,148,2898,0,69.9,3995,85.7,563
2023-03-11 09:20:00,1377,1337,3751,1522,158,3217,0,72.6,3993,94.9,563
2023-03-11 09:24:00,1387,1329,4880,3710,152,3106,0,81.0,5348,84.1,597
2023-03-11 09:28:00,1677,1439,4309,1647,160,3000,0,88.2,4510,84.3,548
