"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-11 08:00:00,10.3,18.1,968,46.4,3.21,20.6,0,2.67,698,39.4,18.6
2023-03-11 08:04:00,9.96,17.6,989,47.3,3.19,20.6,0,2.47,721,39.7,18.7
2023-03-11 08:08:00,10.2,19.0,1161,52.3,3.67,21.3,0,3.32,838,38.9,18.7
2023-03-11 08:12:00,9.95,17.9,2094,91.7,3.33,21.4,0,2.63,1392,40.9,61.1
2023-03-11 08:16:00,9.65,17.9,1018,45.2,3.21,21.3,0,3.82,709,37.7,18.8
2023-03-11 08:20:00,10.1,17.6,941,45.4,3.48,19.9,0,3.00,672,37.6,18.2
2023-03-11 08:24:00,10.2,17.7,1001,46.4,3.24,20.4,0,3.17,719,37.0,18.8
2023-03-11 08:28:00,13.4,20.5,1454,74.0,3.64,19.9,0,4.16,958,42.4,18.1
2023-03-11 08:32:00,10.0,17.6,1953,60.3,3.46,20.2,0,2.55,1535,38.3,50.1
2023-03-11 08:36:00,10.2,18.2,1159,54.0,4.06,20.9,0,2.56,847,39.7,18.7
2023-03-11 08:40:00,9.83,17.6,994,46.6,3.42,20.7,0,3.08,736,38.1,18.7
2023-03-11 08:44:00,10.0,17.8,1041,48.5,3.11,20.4,0,2.59,723,39.5,18.6
2023-03-11 08:48:00,9.68,18.7,1041,51.9,3.26,20.7,0,2.87,770,38.6,18.7
2023-03-11 08:52:00,9.80,17.7,1837,46.7,3.28,21.0,0,3.15,1002,37.2,26.8
2023-03-11 08:56:00,9.69,17.7,1017,45.5,3.31,20.9,0,2.96,723,38.7,18.7
2023-03-11 09:00:00,9.48,17.5,925,44.8,3.27,20.3,0,2.74,676,37.9,18.7
2023-03-11 09:04:00,9.70,17.5,1009,48.8,3.23,20.0,0,3.06,795,38.6,18.7
2023-03-11 09:08:00,9.83,19.1,1034,50.3,3.35,19.3,0,4.43,771,38.8,18.6
2023-03-11 09:12:00,9.79,17.5,1532,46.9,3.28,20.6,0,3.29,1101,37.8,18.6
2023-03-11 09:16:00,9.86,17.9,1030,45.0,3.29,21.1,0,2.54,708,37.2,18.3
2023-03-11 09:20:00,9.84,17.9,976,46.0,3.55,21.3,0,2.63,705,37.6,18.4
2023-03-11 09:24:00,9.90,17.4,1098,50.1,3.23,20.9,0,3.05,797,39.0,19.2
2023-03-11 09:28:00,12.0,18.8,1060,49.7,3.54,21.2,0.0143,3.14,762,37.7,18.3
2023-03-11 09:32:00,10.1,17.4,1199,48.0,3.26,19.8,0,2.65,797,39.3,18.2
2023-03-11 09:36:00,9.91,18.0,1039,44.9,3.41,22.4,0.0135,3.00,726,39.5,18.4
2023-03-11 09:40:00,26.4,17.5,1121,47.5,3.08,20.2,0,2.74,833,38.0,18.4
2023-03-11 09:44:00,9.70,17.8,1108,48.7,3.22,21.3,0,3.45,956,41.0,30.9
2023-03-11 09:48:00,9.47,19.0,1022,48.8,3.44,19.3,0,2.59,731,38.3,18.6
2023-03-11 09:52:00,9.51,17.5,1006,46.2,3.40,21.7,0,2.43,722,37.2,18.6
2023-03-11 09:56:00,26.4,18.1,1174,46.4,3.39,21.5,0.0167,2.67,877,39.0,18.5
2023-03-11 10:00:00,10.00,17.8,1048,51.0,3.29,21.5,0,4.13,741,39.7,18.5
2023-03-11 10:04:00,9.86,17.8,1515,46.6,3.34,22.1,0,4.21,852,39.3,54.3
2023-03-11 10:08:00,9.60,18.7,1025,48.5,3.20,20.8,0,4.63,710,37.7,18.5
2023-03-11 10:12:00,26.2,17.5,1114,46.6,3.37,21.2,0,2.67,751,36.0,18.9
2023-03-11 10:16:00,10.1,18.0,1066,48.4,3.27,20.5,0,3.49,729,39.9,18.3
2023-03-11 10:20:00,9.75,17.5,1036,48.5,3.34,21.7,0,3.44,737,37.8,18.4
2023-03-11 10:24:00,10.1,17.6,1655,46.6,3.11,21.0,0,2.52,1151,39.5,58.9
2023-03-11 10:28:00,11.9,18.9,1058,50.7,3.42,20.0,0,2.49,741,38.5,18.3
2023-03-11 10:32:00,9.77,18.1,1014,47.2,3.44,21.2,0,3.12,757,38.9,18.6
2023-03-11 10:36:00,9.90,17.6,1082,48.8,3.39,21.4,0,3.82,808,40.9,18.2
2023-03-11 10:40:00,9.66,18.0,1025,45.3,3.38,21.7,0,2.97,731,37.9,18.2
2023-03-11 10:44:00,9.82,17.4,1684,45.8,3.59,20.6,0.0128,3.08,1261,37.5,58.3
2023-03-11 10:48:00,9.82,18.9,984,49.7,3.37,19.8,0,3.03,729,38.9,18.5
2023-03-11 10:52:00,10.0,17.9,957,47.5,3.26,21.5,0,2.48,681,38.4,18.5
2023-03-11 10:56:00,27.9,17.9,1238,51.1,3.18,20.6,0,3.88,850,40.9,18.6
2023-03-11 11:00:00,9.59,18.0,937,46.0,3.36,21.4,0,2.66,700,38.3,18.4
2023-03-11 11:04:00,9.85,17.4,2021,45.3,3.35,20.6,0,3.24,1451,38.7,43.6
2023-03-11 11:08:00,9.54,18.7,1031,47.9,3.50,21.2,0,2.99,715,36.4,18.4
2023-03-11 11:12:00,9.68,17.6,1018,47.8,3.37,20.9,0,2.53,721,37.8,18.5
2023-03-11 11:16:00,10.2,17.7,1034,49.1,3.26,21.1,0,2.85,738,39.2,18.6
2023-03-11 11:20:00,10.1,18.2,979,46.8,3.52,20.7,0,2.95,715,39.4,18.5
2023-03-11 11:24:00,9.65,17.3,1893,44.5,3.38,20.6,0,2.58,1222,37.3,28.5
2023-03-11 11:28:00,12.3,19.7,1067,51.7,3.43,20.8,0,2.46,703,38.5,18.7
2023-03-11 11:32:00,10.2,17.9,987,51.6,3.44,21.5,0.0185,2.82,723,40.4,18.6
2023-03-11 11:36:00,10.1,17.3,1022,45.1,3.16,20.3,0,3.30,745,39.1,18.8
2023-03-11 11:40:00,28.7,18.0,1183,46.5,3.45,20.6,0.0125,3.80,841,37.7,18.7
2023-03-11 11:44:00,9.73,17.7,1692,45.8,3.32,20.7,0,2.61,1068,37.8,19.0
2023-03-11 11:48:00,10.00,18.9,1006,49.5,3.37,20.5,0,2.38,723,39.1,18.3
2023-03-11 11:52:00,9.76,18.0,1070,51.1,3.39,21.0,0,3.79,769,39.7,18.4
2023-03-11 11:56:00,9.79,17.7,1080,46.3,3.41,21.5,0,2.44,778,38.4,18.5
2023-03-11 12:00:00,9.56,17.9,969,45.1,3.42,20.7,0,2.52,717,39.0,18.5
2023-03-11 12:04:00,9.69,17.7,1265,45.0,3.46,20.5,0,2.71,788,38.2,18.6
2023-03-11 12:08:00,9.98,18.3,1066,50.4,3.34,20.4,0,3.52,694,38.8,18.3
2023-03-11 12:12:00,10.0,17.8,1004,48.2,3.46,20.7,0,2.59,685,39.0,18.2
2023-03-11 12:16:00,9.91,17.8,1056,45.6,3.39,20.6,0,2.73,851,37.7,23.5
2023-03-11 12:20:00,9.57,17.4,941,44.9,3.26,20.6,0,2.60,705,37.0,19.0
2023-03-11 12:24:00,9.65,17.9,1001,45.4,3.41,20.0,0,4.30,829,37.7,18.4
2023-03-11 12:28:00,12.3,18.7,1104,56.3,3.19,21.4,0,2.89,792,39.5,18.3
2023-03-11 12:32:00,9.75,17.5,1015,45.8,3.50,20.1,0,2.66,728,36.8,18.6
2023-03-11 12:36:00,9.55,17.3,1564,43.6,3.29,20.4,0,4.05,732,38.1,32.5
2023-03-11 12:40:00,9.91,17.8,1160,45.9,3.36,20.2,0.0147,4.17,795,38.7,18.2
2023-03-11 12:44:00,10.0,18.0,986,46.4,3.24,20.6,0,2.49,673,39.2,18.7
2023-03-11 12:48:00,9.77,18.6,1050,51.1,3.52,21.4,0,3.13,762,39.0,18.6
2023-03-11 12:52:00,9.84,17.6,996,46.4,3.39,20.9,0,4.50,691,38.0,18.0
2023-03-11 12:56:00,9.54,18.1,1293,45.3,3.16,21.1,0,3.27,896,38.9,53.9
2023-03-11 13:00:00,9.85,17.5,961,45.6,3.05,21.0,0,2.70,703,38.8,18.2
2023-03-11 13:04:00,10.2,17.8,1029,50.9,3.28,20.8,0,2.63,752,39.7,18.5
2023-03-11 13:08:00,9.81,19.1,1024,48.8,3.10,21.2,0,2.85,757,37.3,18.5
2023-03-11 13:12:00,9.81,17.7,956,45.9,3.35,21.4,0,3.38,698,38.1,18.8
2023-03-11 13:16:00,9.80,17.5,1642,45.5,3.21,21.6,0,2.65,951,38.1,60.5
2023-03-11 13:20:00,9.76,17.8,975,45.5,3.31,21.2,0,3.39,687,38.8,18.6
2023-03-11 13:24:00,9.80,17.6,1047,51.1,3.26,20.2,0,3.07,726,38.1,18.3
2023-03-11 13:28:00,12.3,19.0,1038,49.6,3.30,20.2,0,3.02,755,37.2,18.3
2023-03-11 13:32:00,9.63,17.2,1018,47.2,3.17,20.9,0,2.64,755,35.8,18.3
2023-03-11 13:36:00,9.54,17.4,1775,44.6,3.35,20.0,0,2.27,1237,38.3,60.1
2023-03-11 13:40:00,10.0,18.0,1055,47.8,3.27,20.8,0,4.73,757,39.6,18.6
2023-03-11 13:44:00,10.0,17.8,1040,47.3,3.50,21.3,0,3.40,751,40.0,18.7
2023-03-11 13:48:00,9.60,18.6,953,47.5,3.48,20.6,0,2.51,736,37.5,18.5
2023-03-11 13:52:00,9.86,17.7,963,45.9,3.43,20.5,0.0171,2.61,684,36.9,18.9
2023-03-11 13:56:00,9.92,17.4,1821,44.9,3.44,20.5,0,2.51,1236,39.0,51.1
2023-03-11 14:00:00,9.88,17.4,1028,52.0,3.25,21.1,0,2.95,764,38.7,18.4
2023-03-11 14:04:00,24.2,17.6,1168,44.6,3.38,20.2,0,3.04,810,38.3,18.4
2023-03-11 14:08:00,9.85,18.9,1012,49.8,3.49,20.6,0,2.48,712,38.4,18.8
2023-03-11 14:12:00,9.86,17.5,982,45.1,3.42,20.8,0,3.31,723,37.1,18.6
2023-03-11 14:16:00,9.53,17.4,1436,46.6,3.20,20.0,0,3.20,1491,38.1,28.6
2023-03-11 14:20:00,9.68,17.6,1011,49.0,3.32,21.5,0,3.10,741,39.1,18.3
2023-03-11 14:24:00,9.44,17.7,949,45.7,3.16,21.0,0,2.47,676,36.7,18.2
2023-03-11 14:28:00,12.2,18.9,1026,50.1,3.28,20.8,0,2.56,709,37.0,18.4
