"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-11 08:00:00,15976,121581,15609,0,0,0,0,7824
2023-03-11 08:04:00,15828,121092,15500,0,0,0,0,9033
2023-03-11 08:08:00,16743,101245,29880,0,0,0,0,7996
2023-03-11 08:12:00,16467,173385,13419,0,0,0,0,8247
2023-03-11 08:16:00,17001,717756,15543,0,0,0,0,7964
2023-03-11 08:20:00,16343,123381,38668,0,0,0,0,9481
2023-03-11 08:24:00,16787,108498,15327,0,0,0,0,8572
2023-03-11 08:28:00,16834,99344,15540,0,0,0,0,7817
2023-03-11 08:32:00,17255,69042,15559,0,0,0,0,8098
2023-03-11 08:36:00,17010,66992,15652,0,0,0,0,7785
2023-03-11 08:40:00,16566,115609,15640,0,0,0,0,7919
2023-03-11 08:44:00,17306,99623,15748,0,0,0,0,8270
2023-03-11 08:48:00,16915,105126,15250,0,0,0,0,7702
2023-03-11 08:52:00,16172,77703,15686,0,0,0,0,7658
2023-03-11 08:56:00,17744,58698,13448,0,0,0,0,8027
2023-03-11 09:00:00,16794,106076,15669,0,0,0,0,7946
2023-03-11 09:04:00,86596,96414,50441,0,0,0,0,8637
2023-03-11 09:08:00,16452,101593,15919,0,0,0,0,7933
2023-03-11 09:12:00,16888,55253,15085,0,0,0,0,7617
2023-03-11 09:16:00,16242,68986,15744,0,0,0,0,8124
2023-03-11 09:20:00,17274,109184,15431,0,0,0,0,7901
2023-03-11 09:24:00,16949,100622,15384,0,0,0,0,8062
2023-03-11 09:28:00,16604,103987,15732,0,0,0,0,7893
2023-03-11 09:32:00,17058,51044,33040,0,0,0,0,7607
2023-03-11 09:36:00,16457,79536,15550,0,0,0,0,7902
2023-03-11 09:40:00,17623,115217,15595,0,0,0,0,7993
2023-03-11 09:44:00,17102,99575,33061,0,0,0,0,8054
2023-03-11 09:48:00,16464,106831,15353,0,0,0,0,7744
2023-03-11 09:52:00,17036,33391,15720,0,0,0,0,7773
2023-03-11 09:56:00,15952,99415,15313,0,0,0,0,7931
2023-03-11 10:00:00,18189,106223,15603,0,0,0,0,7765
2023-03-11 10:04:00,15596,108375,32966,0,0,0,0,7883
2023-03-11 10:08:00,17912,96278,15861,0,0,0,0,7825
2023-03-11 10:12:00,16435,50070,15400,0,0,0,0,7600
2023-03-11 10:16:00,17159,88844,15560,0,0,0,0,7807
2023-03-11 10:20:00,16506,113075,15411,0,0,0,0,7834
2023-03-11 10:24:00,17073,101056,33360,0,0,0,0,8036
2023-03-11 10:28:00,17424,104077,96162,0,0,0,0,7760
2023-03-11 10:32:00,16437,46899,22419,0,0,0,0,7707
2023-03-11 10:36:00,217354,81265,13440,0,0,0,0,8014
2023-03-11 10:40:00,17873,112355,15432,0,0,0,0,7758
2023-03-11 10:44:00,17075,100203,15725,0,0,0,0,7999
2023-03-11 10:48:00,17001,103839,15572,0,0,0,0,7876
2023-03-11 10:52:00,16959,48424,15456,0,0,0,0,7511
2023-03-11 10:56:00,15022,86370,15358,0,0,0,0,8139
2023-03-11 11:00:00,14127,102193,15695,0,0,0,0,7947
2023-03-11 11:04:00,117393,105121,49763,0,0,0,0,7946
2023-03-11 11:08:00,18025,106235,13854,0,0,0,0,7834
2023-03-11 11:12:00,17589,51455,15526,0,0,0,0,7671
2023-03-11 11:16:00,15943,87040,15712,0,0,0,0,7990
2023-03-11 11:20:00,17693,110152,15602,0,0,0,0,7758
2023-03-11 11:24:00,17049,98275,15440,0,0,0,0,7679
2023-03-11 11:28:00,16704,102909,15573,0,0,0,0,8080
2023-03-11 11:32:00,16091,48454,33935,0,0,0,0,7624
2023-03-11 11:36:00,17476,98333,15460,0,0,0,0,7905
2023-03-11 11:40:00,17251,112956,15669,0,0,0,0,7931
2023-03-11 11:44:00,16733,104683,29505,0,0,0,0,7593
2023-03-11 11:48:00,17010,102814,15615,0,0,0,0,8074
2023-03-11 11:52:00,16889,68719,15442,0,0,0,0,7648
2023-03-11 11:56:00,16093,59059,15700,0,0,0,0,7969
2023-03-11 12:00:00,17387,114885,15490,0,0,0,0,7803
2023-03-11 12:04:00,237666,107615,159042,0,0,0,0,7675
2023-03-11 12:08:00,17537,98364,15694,0,0,0,0,7974
2023-03-11 12:12:00,17389,70263,15370,0,0,0,0,7737
2023-03-11 12:16:00,16262,70803,15407,0,0,0,0,7623
2023-03-11 12:20:00,16427,114134,15551,0,0,0,0,7940
2023-03-11 12:24:00,17487,109648,13501,0,0,0,0,7658
2023-03-11 12:28:00,17021,98067,15763,0,0,0,0,7966
2023-03-11 12:32:00,12951,63296,32905,0,0,0,0,7706
2023-03-11 12:36:00,17249,69551,15830,0,0,0,0,7714
2023-03-11 12:40:00,15333,107571,15354,0,0,0,0,7902
2023-03-11 12:44:00,17708,104148,15600,0,0,0,0,7544
2023-03-11 12:48:00,16645,109973,15744,0,0,0,0,7988
2023-03-11 12:52:00,17331,32914,15710,0,0,0,0,7711
2023-03-11 12:56:00,17341,89329,15355,0,0,0,0,7638
2023-03-11 13:00:00,17038,114453,13852,0,0,0,0,8128
2023-03-11 13:04:00,122052,98966,48640,0,0,0,0,7451
2023-03-11 13:08:00,17876,101509,15669,0,0,0,0,8220
2023-03-11 13:12:00,16129,71597,13695,0,0,0,0,7481
2023-03-11 13:16:00,17752,67242,15197,0,0,0,0,7844
2023-03-11 13:20:00,17590,110446,15701,0,0,0,0,7933
2023-03-11 13:24:00,17214,103044,15662,0,0,0,0,7590
2023-03-11 13:28:00,16700,105861,15538,0,0,0,0,8008
2023-03-11 13:32:00,16050,69805,34248,0,0,0,0,7592
2023-03-11 13:36:00,18006,78315,15794,0,0,0,0,7766
2023-03-11 13:40:00,16658,104966,15418,0,0,0,0,7943
2023-03-11 13:44:00,16480,107687,32657,0,0,0,0,7654
2023-03-11 13:48:00,17142,105566,15452,0,0,0,0,7901
2023-03-11 13:52:00,17320,55329,15444,0,0,0,0,7560
2023-03-11 13:56:00,17498,80604,15874,0,0,0,0,7766
2023-03-11 14:00:00,17485,111119,15486,0,0,0,0,8066
2023-03-11 14:04:00,236644,103995,137281,0,0,0,0,7904
2023-03-11 14:08:00,18406,107015,15635,0,0,0,0,8124
2023-03-11 14:12:00,16889,56570,15396,0,0,0,0,7585
2023-03-11 14:16:00,17361,83421,15504,0,0,0,0,7551
2023-03-11 14:20:00,14454,113999,15770,0,0,0,0,8211
2023-03-11 14:24:00,16878,100462,15741,0,0,0,0,7560
2023-03-11 14:28:00,15273,100282,15629,0,0,0,0,8049
2023-03-11 14:32:00,14356,77295,33112,0,0,0,0,7705
2023-03-11 14:36:00,14874,62469,15803,0,0,0,0,7400
2023-03-11 14:40:00,16259,110624,15429,0,0,0,0,8245
2023-03-11 14:44:00,18712,107636,15455,0,0,0,0,7647
2023-03-11 14:48:00,17058,100106,15745,0,0,0,0,7977
2023-03-11 14:52:00,16589,71230,15988,0,0,0,0,7791
2023-03-11 14:56:00,18174,84689,15608,0,0,0,0,7539
2023-03-11 15:00:00,17014,98047,15383,0,0,0,0,8233
2023-03-11 15:04:00,104174,109109,49711,0,0,0,0,7664
2023-03-11 15:08:00,15938,96795,15663,0,0,0,0,8035
2023-03-11 15:12:00,15919,71965,15454,0,0,0,0,7696
2023-03-11 15:16:00,15188,69788,15714,0,0,0,0,7430
2023-03-11 15:20:00,13440,112801,15540,0,0,0,0,8442
2023-03-11 15:24:00,17346,103989,15778,0,0,0,0,7616
2023-03-11 15:28:00,17259,99133,15451,0,0,0,0,7965
2023-03-11 15:32:00,16203,55917,32913,0,0,0,0,7689
2023-03-11 15:36:00,17877,79404,15978,0,0,0,0,7435
2023-03-11 15:40:00,17539,112896,15688,0,0,0,0,8312
2023-03-11 15:44:00,17594,99931,38796,0,0,0,0,7705
2023-03-11 15:48:00,17576,107754,15573,0,0,0,0,7911
2023-03-11 15:52:00,16048,71900,15581,0,0,0,0,7814
2023-03-11 15:56:00,18176,67158,15379,0,0,0,0,7445
2023-03-11 16:00:00,16173,101583,15525,0,0,0,0,8094
2023-03-11 16:04:00,231303,106048,122780,0,0,0,0,7680
2023-03-11 16:08:00,17202,104641,15765,0,0,0,0,8025
2023-03-11 16:12:00,18306,54964,15765,0,0,0,0,7726
2023-03-11 16:16:00,16854,68372,33071,0,0,0,0,7462
2023-03-11 16:20:00,17225,111376,33107,0,0,0,0,8230
2023-03-11 16:24:00,17005,104585,15428,0,0,0,0,7592
2023-03-11 16:28:00,15937,99592,15516,0,0,0,0,7942
2023-03-11 16:32:00,17498,61030,29805,0,0,0,0,7757
2023-03-11 16:36:00,17149,58037,15839,0,0,0,0,7448
2023-03-11 16:40:00,17125,117454,15297,0,0,0,0,8367
2023-03-11 16:44:00,18801,101936,15878,0,0,0,0,7753
2023-03-11 16:48:00,16122,105091,15684,0,0,0,0,7875
2023-03-11 16:52:00,17583,69941,15571,0,0,0,0,7807
2023-03-11 16:56:00,17368,72140,15684,0,0,0,0,7396
2023-03-11 17:00:00,16491,104100,15420,0,0,0,0,8242
2023-03-11 17:04:00,122863,111942,51153,0,0,0,0,7651
2023-03-11 17:08:00,17181,105370,15554,0,0,0,0,7704
2023-03-11 17:12:00,17166,47895,15642,0,0,0,0,7983
2023-03-11 17:16:00,17160,78523,15871,0,0,0,0,7600
2023-03-11 17:20:00,16673,115565,15702,0,0,0,0,8100
2023-03-11 17:24:00,17240,102030,15938,0,0,0,0,7681
2023-03-11 17:28:00,18045,130802,15477,0,0,0,0,7692
2023-03-11 17:32:00,15757,104751,33367,0,0,0,0,7940
2023-03-11 17:36:00,18264,32498,15659,0,0,0,0,7408
2023-03-11 17:40:00,16490,114216,15663,0,0,0,0,8367
2023-03-11 17:44:00,16793,102432,33418,0,0,0,0,7551
2023-03-11 17:48:00,18122,103266,15534,0,0,0,0,7829
