"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-11 08:00:00,10.9,18.6,1037,50.4,3.50,24.1,0,2.80,731,39.9,18.5
2023-03-11 08:01:00,10.9,18.6,1037,50.4,3.50,24.1,0,2.80,731,39.9,18.5
2023-03-11 08:02:00,10.9,18.6,1037,50.4,3.50,24.1,0,2.80,731,39.9,18.5
2023-03-11 08:03:00,10.9,18.6,1037,50.4,3.50,24.1,0,2.80,731,39.9,18.5
2023-03-11 08:04:00,10.9,18.6,1037,50.4,3.50,24.1,0,2.80,731,39.9,18.5
2023-03-11 08:05:00,10.2,18.4,1210,49.3,3.32,20.8,0.0133,3.30,816,39.0,27.3
2023-03-11 08:06:00,10.2,18.4,1210,49.3,3.32,20.8,0.0133,3.30,816,39.0,27.3
2023-03-11 08:07:00,10.2,18.4,1210,49.3,3.32,20.8,0.0133,3.30,816,39.0,27.3
2023-03-11 08:08:00,10.2,18.4,1210,49.3,3.32,20.8,0.0133,3.30,816,39.0,27.3
2023-03-11 08:09:00,10.2,18.4,1210,49.3,3.32,20.8,0.0133,3.30,816,39.0,27.3
2023-03-11 08:10:00,9.86,18.0,1047,45.8,3.23,21.3,0,2.86,827,39.0,18.1
2023-03-11 08:11:00,9.86,18.0,1047,45.8,3.23,21.3,0,2.86,827,39.0,18.1
2023-03-11 08:12:00,9.86,18.0,1047,45.8,3.23,21.3,0,2.86,827,39.0,18.1
2023-03-11 08:13:00,9.86,18.0,1047,45.8,3.23,21.3,0,2.86,827,39.0,18.1
2023-03-11 08:14:00,9.86,18.0,1047,45.8,3.23,21.3,0,2.86,827,39.0,18.1
2023-03-11 08:15:00,9.85,18.0,1650,90.8,3.61,20.2,0.00333,3.15,1171,39.2,27.3
2023-03-11 08:16:00,9.85,18.0,1650,90.8,3.61,20.2,0.00333,3.15,1171,39.2,27.3
2023-03-11 08:17:00,9.85,18.0,1650,90.8,3.61,20.2,0.00333,3.15,1171,39.2,27.3
2023-03-11 08:18:00,9.85,18.0,1650,90.8,3.61,20.2,0.00333,3.15,1171,39.2,27.3
2023-03-11 08:19:00,9.85,18.0,1650,90.8,3.61,20.2,0.00333,3.15,1171,39.2,27.3
2023-03-11 08:20:00,9.81,18.1,993,50.2,3.28,21.0,0,3.47,721,38.4,18.4
2023-03-11 08:21:00,9.81,18.1,993,50.2,3.28,21.0,0,3.47,721,38.4,18.4
2023-03-11 08:22:00,9.81,18.1,993,50.2,3.28,21.0,0,3.47,721,38.4,18.4
2023-03-11 08:23:00,9.81,18.1,993,50.2,3.28,21.0,0,3.47,721,38.4,18.4
2023-03-11 08:24:00,9.81,18.1,993,50.2,3.28,21.0,0,3.47,721,38.4,18.4
2023-03-11 08:25:00,13.7,18.1,1296,50.9,3.23,20.5,0,3.11,857,38.8,27.3
2023-03-11 08:26:00,13.7,18.1,1296,50.9,3.23,20.5,0,3.11,857,38.8,27.3
2023-03-11 08:27:00,13.7,18.1,1296,50.9,3.23,20.5,0,3.11,857,38.8,27.3
2023-03-11 08:28:00,13.7,18.1,1296,50.9,3.23,20.5,0,3.11,857,38.8,27.3
2023-03-11 08:29:00,13.7,18.1,1296,50.9,3.23,20.5,0,3.11,857,38.8,27.3
2023-03-11 08:30:00,10.5,18.1,1091,54.7,3.65,17.2,0,3.15,871,39.0,18.1
2023-03-11 08:31:00,10.5,18.1,1091,54.7,3.65,17.2,0,3.15,871,39.0,18.1
