".+",".+"
2023-03-11 08:00:00,1.32 MB/s
2023-03-11 08:20:00,1.28 MB/s
2023-03-11 08:40:00,1.37 MB/s
2023-03-11 09:00:00,1.29 MB/s
2023-03-11 09:20:00,1.33 MB/s
2023-03-11 09:40:00,1.32 MB/s
2023-03-11 10:00:00,1.42 MB/s
2023-03-11 10:20:00,1.29 MB/s
2023-03-11 10:40:00,1.29 MB/s
2023-03-11 11:00:00,1.37 MB/s
2023-03-11 11:20:00,1.29 MB/s
2023-03-11 11:40:00,1.36 MB/s
2023-03-11 12:00:00,1.38 MB/s
2023-03-11 12:20:00,1.35 MB/s
2023-03-11 12:40:00,1.41 MB/s
2023-03-11 13:00:00,1.39 MB/s
2023-03-11 13:20:00,1.43 MB/s
2023-03-11 13:40:00,1.53 MB/s
2023-03-11 14:00:00,1.55 MB/s
2023-03-11 14:20:00,1.60 MB/s
2023-03-11 14:40:00,1.64 MB/s
2023-03-11 15:00:00,1.64 MB/s
2023-03-11 15:20:00,1.64 MB/s
2023-03-11 15:40:00,1.60 MB/s
2023-03-11 16:00:00,1.62 MB/s
2023-03-11 16:20:00,1.67 MB/s
2023-03-11 16:40:00,1.69 MB/s
2023-03-11 17:00:00,1.54 MB/s
2023-03-11 17:20:00,1.64 MB/s
2023-03-11 17:40:00,1.67 MB/s
2023-03-11 18:00:00,1.66 MB/s
2023-03-11 18:20:00,1.72 MB/s
2023-03-11 18:40:00,1.70 MB/s
2023-03-11 19:00:00,1.61 MB/s
2023-03-11 19:20:00,1.67 MB/s
2023-03-11 19:40:00,1.61 MB/s
2023-03-11 20:00:00,1.68 MB/s
2023-03-11 20:20:00,1.64 MB/s
2023-03-11 20:40:00,1.55 MB/s
2023-03-11 21:00:00,1.34 MB/s
2023-03-11 21:20:00,1.31 MB/s
2023-03-11 21:40:00,1.28 MB/s
2023-03-11 22:00:00,1.37 MB/s
2023-03-11 22:20:00,1.30 MB/s
2023-03-11 22:40:00,1.27 MB/s
2023-03-11 23:00:00,1.29 MB/s
2023-03-11 23:20:00,1.34 MB/s
2023-03-11 23:40:00,1.35 MB/s
2023-03-12 00:00:00,1.22 MB/s
2023-03-12 00:20:00,1.23 MB/s
2023-03-12 00:40:00,1.24 MB/s
2023-03-12 01:00:00,1.37 MB/s
2023-03-12 01:20:00,1.27 MB/s
2023-03-12 01:40:00,1.35 MB/s
2023-03-12 02:00:00,1.28 MB/s
2023-03-12 02:20:00,1.30 MB/s
2023-03-12 02:40:00,1.36 MB/s
2023-03-12 03:00:00,1.25 MB/s
2023-03-12 03:20:00,1.28 MB/s
2023-03-12 03:40:00,1.36 MB/s
2023-03-12 04:00:00,1.45 MB/s
2023-03-12 04:20:00,1.33 MB/s
2023-03-12 04:40:00,1.49 MB/s
2023-03-12 05:00:00,1.53 MB/s
2023-03-12 05:20:00,1.59 MB/s
2023-03-12 05:40:00,1.64 MB/s
2023-03-12 06:00:00,1.59 MB/s
2023-03-12 06:20:00,1.54 MB/s
2023-03-12 06:40:00,1.65 MB/s
2023-03-12 07:00:00,1.62 MB/s
2023-03-12 07:20:00,1.48 MB/s
2023-03-12 07:40:00,1.62 MB/s
2023-03-12 08:00:00,1.59 MB/s
2023-03-12 08:20:00,1.61 MB/s
2023-03-12 08:40:00,1.55 MB/s
2023-03-12 09:00:00,1.66 MB/s
2023-03-12 09:20:00,1.55 MB/s
2023-03-12 09:40:00,1.62 MB/s
2023-03-12 10:00:00,1.59 MB/s
2023-03-12 10:20:00,1.71 MB/s
2023-03-12 10:40:00,1.65 MB/s
2023-03-12 11:00:00,1.79 MB/s
2023-03-12 11:20:00,1.60 MB/s
2023-03-12 11:40:00,1.48 MB/s
2023-03-12 12:00:00,1.45 MB/s
2023-03-12 12:20:00,1.47 MB/s
2023-03-12 12:40:00,1.35 MB/s
2023-03-12 13:00:00,1.37 MB/s
2023-03-12 13:20:00,1.30 MB/s
2023-03-12 13:40:00,1.31 MB/s
2023-03-12 14:00:00,1.35 MB/s

