"Time","Read","Write"
2023-03-11 08:00:00,0,445827
2023-03-11 08:02:00,0,531108
2023-03-11 08:04:00,0,521830
2023-03-11 08:06:00,0,456292
2023-03-11 08:08:00,0,518349
2023-03-11 08:10:00,0,434969
2023-03-11 08:12:00,0,622911
2023-03-11 08:14:00,0,1380853
2023-03-11 08:16:00,0,452767
2023-03-11 08:18:00,45.5,522198
2023-03-11 08:20:00,45.5,465283
2023-03-11 08:22:00,0,526950
2023-03-11 08:24:00,0,545428
2023-03-11 08:26:00,0,438090
2023-03-11 08:28:00,0,594534
2023-03-11 08:30:00,0,538146
2023-03-11 08:32:00,0,521812
2023-03-11 08:34:00,0,594375
2023-03-11 08:36:00,0,551731
2023-03-11 08:38:00,0,685352
2023-03-11 08:40:00,683,497394
2023-03-11 08:42:00,0,535620
2023-03-11 08:44:00,0,509736
2023-03-11 08:46:00,0,469652
2023-03-11 08:48:00,0,534574
2023-03-11 08:50:00,0,444188
2023-03-11 08:52:00,0,482122
2023-03-11 08:54:00,0,503285
2023-03-11 08:56:00,0,442482
2023-03-11 08:58:00,0,512898
2023-03-11 09:00:00,0,434631
2023-03-11 09:02:00,0,624139
2023-03-11 09:04:00,0,621705
2023-03-11 09:06:00,0,447625
2023-03-11 09:08:00,0,515049
2023-03-11 09:10:00,0,445144
2023-03-11 09:12:00,0,482577
2023-03-11 09:14:00,0,502374
2023-03-11 09:16:00,0,447309
2023-03-11 09:18:00,0,517166
2023-03-11 09:20:00,0,445278
2023-03-11 09:22:00,0,480119
2023-03-11 09:24:00,0,499197
2023-03-11 09:26:00,0,444325
2023-03-11 09:28:00,0,516210
2023-03-11 09:30:00,0,442664
2023-03-11 09:32:00,0,511499
2023-03-11 09:34:00,0,520829
2023-03-11 09:36:00,0,445577
2023-03-11 09:38:00,0,517279
2023-03-11 09:40:00,0,441144
2023-03-11 09:42:00,0,509884
2023-03-11 09:44:00,0,524902
2023-03-11 09:46:00,0,439569
2023-03-11 09:48:00,0,512046
2023-03-11 09:50:00,0,440366
2023-03-11 09:52:00,0,490701
2023-03-11 09:54:00,0,495479
2023-03-11 09:56:00,0,439433
2023-03-11 09:58:00,3937,509451
2023-03-11 10:00:00,0,442032
2023-03-11 10:02:00,0,522513
2023-03-11 10:04:00,0,524265
2023-03-11 10:06:00,0,446305
2023-03-11 10:08:00,0,519009
2023-03-11 10:10:00,0,435928
2023-03-11 10:12:00,0,486218
2023-03-11 10:14:00,0,506884
2023-03-11 10:16:00,0,450423
2023-03-11 10:18:00,0,521353
2023-03-11 10:20:00,0,444188
2023-03-11 10:22:00,0,508268
2023-03-11 10:24:00,0,528134
2023-03-11 10:26:00,0,447784
2023-03-11 10:28:00,0,657317
2023-03-11 10:30:00,0,443051
2023-03-11 10:32:00,0,496777
2023-03-11 10:34:00,71908,824957
2023-03-11 10:36:00,71908,755689
2023-03-11 10:38:00,0,508769
2023-03-11 10:40:00,0,437688
2023-03-11 10:42:00,0,492840
2023-03-11 10:44:00,0,504127
2023-03-11 10:46:00,0,436943
2023-03-11 10:48:00,0,513252
2023-03-11 10:50:00,0,439068
2023-03-11 10:52:00,0,487128
2023-03-11 10:54:00,0,496344
2023-03-11 10:56:00,0,445668
2023-03-11 10:58:00,0,507062
2023-03-11 11:00:00,0,436338
2023-03-11 11:02:00,0,663484
2023-03-11 11:04:00,0,676075
2023-03-11 11:06:00,0,443529
2023-03-11 11:08:00,0,516733
2023-03-11 11:10:00,0,440798
2023-03-11 11:12:00,0,490636
2023-03-11 11:14:00,0,502647
2023-03-11 11:16:00,0,449692
2023-03-11 11:18:00,0,521717
2023-03-11 11:20:00,0,438977
2023-03-11 11:22:00,0,490519
2023-03-11 11:24:00,0,506834
2023-03-11 11:26:00,0,439706
2023-03-11 11:28:00,0,510635
2023-03-11 11:30:00,0,444325
2023-03-11 11:32:00,0,510225
2023-03-11 11:34:00,0,562199
2023-03-11 11:36:00,6258,481212
