"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 08:00:00,1.90,0.910,2.17
2023-03-11 08:02:00,1.93,1.43,2.14
2023-03-11 08:04:00,3.02,4.21,2.53
2023-03-11 08:06:00,3.36,3.28,2.73
2023-03-11 08:08:00,2.58,1.37,2.51
2023-03-11 08:10:00,1.94,0.740,2.28
2023-03-11 08:12:00,2.46,3.55,2.41
2023-03-11 08:14:00,2.79,3.45,2.52
2023-03-11 08:16:00,2.50,1.80,2.47
2023-03-11 08:18:00,2.66,3.21,2.50
2023-03-11 08:20:00,2.72,2.83,2.54
2023-03-11 08:22:00,2.14,1.32,2.35
2023-03-11 08:24:00,1.92,1.46,2.23
2023-03-11 08:26:00,1.99,1.93,2.22
2023-03-11 08:28:00,2.15,2.17,2.25
2023-03-11 08:30:00,1.91,1.28,2.15
2023-03-11 08:32:00,1.74,1.38,2.06
2023-03-11 08:34:00,2.21,2.34,2.21
2023-03-11 08:36:00,1.94,1.45,2.11
2023-03-11 08:38:00,1.82,1.59,2.02
2023-03-11 08:40:00,2.45,2.76,2.25
2023-03-11 08:42:00,2.34,2.13,2.23
2023-03-11 08:44:00,2.53,2.44,2.31
2023-03-11 08:46:00,2.20,1.55,2.22
2023-03-11 08:48:00,2.02,1.60,2.14
2023-03-11 08:50:00,1.81,1.50,2.05
2023-03-11 08:52:00,1.67,1.58,1.95
2023-03-11 08:54:00,2.81,5.65,2.31
2023-03-11 08:56:00,2.75,2.89,2.35
2023-03-11 08:58:00,2.89,3.90,2.44
2023-03-11 09:00:00,2.38,1.76,2.29
2023-03-11 09:02:00,2.75,4.15,2.42
2023-03-11 09:04:00,2.42,2.46,2.33
2023-03-11 09:06:00,2.02,1.26,2.20
2023-03-11 09:08:00,1.96,1.32,2.16
2023-03-11 09:10:00,1.88,1.68,2.10
2023-03-11 09:12:00,2.39,2.52,2.29
2023-03-11 09:14:00,3.27,5.24,2.61
2023-03-11 09:16:00,2.59,1.55,2.45
2023-03-11 09:18:00,2.33,1.49,2.37
2023-03-11 09:20:00,1.95,1.13,2.22
2023-03-11 09:22:00,1.60,0.880,2.06
2023-03-11 09:24:00,1.47,1.05,1.95
2023-03-11 09:26:00,1.41,1.35,1.87
2023-03-11 09:28:00,1.54,1.95,1.84
2023-03-11 09:30:00,1.49,1.10,1.79
2023-03-11 09:32:00,1.41,1.17,1.73
2023-03-11 09:34:00,1.50,1.67,1.72
2023-03-11 09:36:00,2.53,4.75,2.05
2023-03-11 09:38:00,2.17,1.75,1.97
2023-03-11 09:40:00,2.20,1.67,2.01
2023-03-11 09:42:00,1.69,0.880,1.84
2023-03-11 09:44:00,1.66,1.37,1.80
2023-03-11 09:46:00,2.07,3.07,1.93
2023-03-11 09:48:00,2.16,2.58,1.98
2023-03-11 09:50:00,2.21,2.36,2.01
2023-03-11 09:52:00,2.37,2.71,2.09
2023-03-11 09:54:00,1.81,1.03,1.91
2023-03-11 09:56:00,2.61,4.18,2.16
2023-03-11 09:58:00,3.30,5.61,2.45
2023-03-11 10:00:00,2.89,2.33,2.40
2023-03-11 10:02:00,3.08,2.78,2.54
2023-03-11 10:04:00,3.08,2.96,2.61
2023-03-11 10:06:00,2.66,1.95,2.51
2023-03-11 10:08:00,2.15,1.12,2.33
2023-03-11 10:10:00,1.89,1.15,2.22
2023-03-11 10:12:00,1.49,0.830,2.02
2023-03-11 10:14:00,1.34,0.920,1.91
2023-03-11 10:16:00,1.28,1.08,1.81
2023-03-11 10:18:00,1.72,2,1.92
2023-03-11 10:20:00,2.11,2.25,2.04
2023-03-11 10:22:00,1.79,1.36,1.95
2023-03-11 10:24:00,2.25,2.61,2.10
2023-03-11 10:26:00,2.55,3.14,2.22
2023-03-11 10:28:00,2.33,2.01,2.17
2023-03-11 10:30:00,2.56,2.03,2.30
2023-03-11 10:32:00,2.22,1.66,2.20
2023-03-11 10:34:00,1.96,1.51,2.10
2023-03-11 10:36:00,2.23,2.50,2.18
2023-03-11 10:38:00,2.43,2.90,2.24
2023-03-11 10:40:00,2.17,1.90,2.17
2023-03-11 10:42:00,1.88,1.37,2.06
2023-03-11 10:44:00,1.78,1.34,2
2023-03-11 10:46:00,2.11,2,2.10
2023-03-11 10:48:00,1.82,1.40,2
2023-03-11 10:50:00,1.47,0.870,1.84
2023-03-11 10:52:00,1.68,1.82,1.87
2023-03-11 10:54:00,2.87,4,2.29
2023-03-11 10:56:00,3.13,2.89,2.48
