"Time","Transmit Total","Receive Total"
2023-03-11 08:00:00,439109,309097
2023-03-11 08:02:00,564748,458388
2023-03-11 08:04:00,520965,395187
2023-03-11 08:06:00,432418,323218
2023-03-11 08:08:00,478709,341823
2023-03-11 08:10:00,455246,325017
2023-03-11 08:12:00,700651,597598
2023-03-11 08:14:00,1007240,890580
2023-03-11 08:16:00,408270,294322
2023-03-11 08:18:00,451627,322950
2023-03-11 08:20:00,432963,314442
2023-03-11 08:22:00,606542,461713
2023-03-11 08:24:00,617877,479094
2023-03-11 08:26:00,405952,295241
2023-03-11 08:28:00,573719,401441
2023-03-11 08:30:00,547761,358503
2023-03-11 08:32:00,515185,405812
2023-03-11 08:34:00,916438,598640
2023-03-11 08:36:00,716571,395743
2023-03-11 08:38:00,482060,322680
2023-03-11 08:40:00,452988,318456
2023-03-11 08:42:00,489194,381921
2023-03-11 08:44:00,637582,489662
2023-03-11 08:46:00,448128,318502
2023-03-11 08:48:00,417799,306074
2023-03-11 08:50:00,426425,312668
2023-03-11 08:52:00,456174,348233
2023-03-11 08:54:00,577598,457241
2023-03-11 08:56:00,416033,301590
2023-03-11 08:58:00,432176,312046
2023-03-11 09:00:00,433578,312526
2023-03-11 09:02:00,458643,341071
2023-03-11 09:04:00,626965,490514
2023-03-11 09:06:00,461990,314301
2023-03-11 09:08:00,416512,306216
2023-03-11 09:10:00,430318,310515
2023-03-11 09:12:00,425415,317985
2023-03-11 09:14:00,574735,456885
2023-03-11 09:16:00,433520,315009
2023-03-11 09:18:00,406702,295432
2023-03-11 09:20:00,440021,313962
2023-03-11 09:22:00,412234,306377
2023-03-11 09:24:00,581998,459517
2023-03-11 09:26:00,494758,366384
2023-03-11 09:28:00,415325,299831
2023-03-11 09:30:00,429098,310151
2023-03-11 09:32:00,408902,295563
2023-03-11 09:34:00,566333,450271
2023-03-11 09:36:00,458965,344469
2023-03-11 09:38:00,445516,312054
2023-03-11 09:40:00,457635,345049
2023-03-11 09:42:00,476275,334949
2023-03-11 09:44:00,575285,467779
2023-03-11 09:46:00,467044,349692
2023-03-11 09:48:00,408183,294566
2023-03-11 09:50:00,421459,303359
2023-03-11 09:52:00,417884,302827
2023-03-11 09:54:00,553766,440114
2023-03-11 09:56:00,546427,399424
2023-03-11 09:58:00,466538,335046
2023-03-11 10:00:00,437603,315736
2023-03-11 10:02:00,431225,327835
2023-03-11 10:04:00,555369,440235
2023-03-11 10:06:00,513065,400849
2023-03-11 10:08:00,413802,298145
2023-03-11 10:10:00,429617,310798
2023-03-11 10:12:00,472236,335926
2023-03-11 10:14:00,622026,474527
2023-03-11 10:16:00,524680,407871
2023-03-11 10:18:00,430541,307104
2023-03-11 10:20:00,424984,321365
2023-03-11 10:22:00,426775,314181
2023-03-11 10:24:00,560623,455915
2023-03-11 10:26:00,534992,418935
2023-03-11 10:28:00,423143,305346
2023-03-11 10:30:00,416753,298663
2023-03-11 10:32:00,425789,309424
2023-03-11 10:34:00,554164,444361
2023-03-11 10:36:00,590459,458563
2023-03-11 10:38:00,478764,333960
2023-03-11 10:40:00,419148,301399
2023-03-11 10:42:00,432241,329260
2023-03-11 10:44:00,552615,435403
2023-03-11 10:46:00,564137,452287
2023-03-11 10:48:00,425610,307991
2023-03-11 10:50:00,407504,293192
2023-03-11 10:52:00,422704,310399
2023-03-11 10:54:00,549351,425947
2023-03-11 10:56:00,592242,477599
2023-03-11 10:58:00,495781,348073
2023-03-11 11:00:00,421604,314239
2023-03-11 11:02:00,424500,311485
2023-03-11 11:04:00,516910,406140
2023-03-11 11:06:00,555730,443852
2023-03-11 11:08:00,429336,311455
2023-03-11 11:10:00,409423,293358
2023-03-11 11:12:00,441049,317801
2023-03-11 11:14:00,537161,417693
2023-03-11 11:16:00,611531,473101
2023-03-11 11:18:00,437865,330572
2023-03-11 11:20:00,408075,294122
2023-03-11 11:22:00,419599,307069
2023-03-11 11:24:00,474779,358514
2023-03-11 11:26:00,559615,444761
2023-03-11 11:28:00,433746,316087
2023-03-11 11:30:00,428725,303175
2023-03-11 11:32:00,431765,321867
2023-03-11 11:34:00,494688,367687
2023-03-11 11:36:00,573557,461541
2023-03-11 11:38:00,433612,313694
2023-03-11 11:40:00,461017,322500
2023-03-11 11:42:00,471463,335971
2023-03-11 11:44:00,473101,349750
2023-03-11 11:46:00,545909,434089
2023-03-11 11:48:00,443510,317161
2023-03-11 11:50:00,414720,304823
2023-03-11 11:52:00,426422,310450
2023-03-11 11:54:00,454243,345173
2023-03-11 11:56:00,547460,433946
2023-03-11 11:58:00,484558,342311
2023-03-11 12:00:00,419434,299798
2023-03-11 12:02:00,424500,307810
2023-03-11 12:04:00,429309,311193
2023-03-11 12:06:00,560141,440889
2023-03-11 12:08:00,449297,336010
2023-03-11 12:10:00,422814,305121
2023-03-11 12:12:00,417239,318801
2023-03-11 12:14:00,432247,313281
2023-03-11 12:16:00,543863,432811
2023-03-11 12:18:00,455014,336386
2023-03-11 12:20:00,434607,310214
2023-03-11 12:22:00,451290,319877
2023-03-11 12:24:00,493182,330855
2023-03-11 12:26:00,565190,447245
2023-03-11 12:28:00,476497,356388
2023-03-11 12:30:00,440072,326048
2023-03-11 12:32:00,402606,292736
2023-03-11 12:34:00,432186,313119
2023-03-11 12:36:00,553776,440642
2023-03-11 12:38:00,494254,370247
2023-03-11 12:40:00,451273,333850
2023-03-11 12:42:00,466370,324491
2023-03-11 12:44:00,436615,323077
2023-03-11 12:46:00,555753,441714
2023-03-11 12:48:00,505314,399571
2023-03-11 12:50:00,424881,307525
2023-03-11 12:52:00,405228,294164
2023-03-11 12:54:00,430965,312239
2023-03-11 12:56:00,570570,450070
2023-03-11 12:58:00,515053,398270
2023-03-11 13:00:00,497680,344104
2023-03-11 13:02:00,412335,305840
2023-03-11 13:04:00,451994,323085
2023-03-11 13:06:00,580099,464573
2023-03-11 13:08:00,522598,406168
2023-03-11 13:10:00,428478,310438
2023-03-11 13:12:00,403838,294654
2023-03-11 13:14:00,447722,320954
2023-03-11 13:16:00,567503,450422
2023-03-11 13:18:00,543831,420225
2023-03-11 13:20:00,434795,320998
2023-03-11 13:22:00,412037,298435
2023-03-11 13:24:00,429440,314492
2023-03-11 13:26:00,561502,447440
2023-03-11 13:28:00,598249,458705
2023-03-11 13:30:00,436807,314930
2023-03-11 13:32:00,428940,306185
2023-03-11 13:34:00,425606,309813
2023-03-11 13:36:00,560614,441256
2023-03-11 13:38:00,560439,456137
2023-03-11 13:40:00,428338,310903
2023-03-11 13:42:00,422101,310491
2023-03-11 13:44:00,420124,304046
2023-03-11 13:46:00,540379,426007
2023-03-11 13:48:00,602557,465749
2023-03-11 13:50:00,468486,318262
2023-03-11 13:52:00,413875,300593
2023-03-11 13:54:00,440700,312828
2023-03-11 13:56:00,552812,439545
2023-03-11 13:58:00,562822,445849
2023-03-11 14:00:00,438718,320293
2023-03-11 14:02:00,422540,305847
2023-03-11 14:04:00,457959,320910
2023-03-11 14:06:00,558010,422485
2023-03-11 14:08:00,574285,449331
2023-03-11 14:10:00,423862,308046
2023-03-11 14:12:00,428243,311864
2023-03-11 14:14:00,422162,312963
2023-03-11 14:16:00,487272,375098
2023-03-11 14:18:00,560773,448403
2023-03-11 14:20:00,421491,304356
2023-03-11 14:22:00,423806,309869
2023-03-11 14:24:00,408050,294301
2023-03-11 14:26:00,533932,388337
2023-03-11 14:28:00,600550,454144
2023-03-11 14:30:00,430798,309674
2023-03-11 14:32:00,435787,330835
2023-03-11 14:34:00,413623,298555
2023-03-11 14:36:00,458314,349747
2023-03-11 14:38:00,566248,447851
2023-03-11 14:40:00,412929,299616
2023-03-11 14:42:00,426458,312005
2023-03-11 14:44:00,430136,306046
2023-03-11 14:46:00,454767,342767
2023-03-11 14:48:00,609967,472612
2023-03-11 14:50:00,467276,336382
2023-03-11 14:52:00,424211,311818
2023-03-11 14:54:00,415106,303816
2023-03-11 14:56:00,426234,314774
2023-03-11 14:58:00,583356,461046
2023-03-11 15:00:00,421821,302629
2023-03-11 15:02:00,437034,316927
2023-03-11 15:04:00,410663,295540
2023-03-11 15:06:00,429966,308474
2023-03-11 15:08:00,583942,472797
2023-03-11 15:10:00,426442,312406
2023-03-11 15:12:00,433779,329553
2023-03-11 15:14:00,421119,302639
2023-03-11 15:16:00,411087,299399
2023-03-11 15:18:00,588255,470701
2023-03-11 15:20:00,496074,353515
2023-03-11 15:22:00,421953,308293
2023-03-11 15:24:00,425813,303482
2023-03-11 15:26:00,416488,313887
2023-03-11 15:28:00,598904,469931
2023-03-11 15:30:00,459245,345555
2023-03-11 15:32:00,421458,307828
2023-03-11 15:34:00,429710,309077
2023-03-11 15:36:00,407266,295014
2023-03-11 15:38:00,590160,463069
2023-03-11 15:40:00,468627,352592
2023-03-11 15:42:00,432625,316007
2023-03-11 15:44:00,443179,333725
2023-03-11 15:46:00,402337,292130
2023-03-11 15:48:00,623150,486444
2023-03-11 15:50:00,491661,373334
2023-03-11 15:52:00,421943,308493
2023-03-11 15:54:00,429092,311771
2023-03-11 15:56:00,418074,298159
2023-03-11 15:58:00,587754,472451
2023-03-11 16:00:00,529170,402448
2023-03-11 16:02:00,423700,321986
2023-03-11 16:04:00,434964,314695
2023-03-11 16:06:00,396588,287995
2023-03-11 16:08:00,568174,450524
2023-03-11 16:10:00,579984,435895
2023-03-11 16:12:00,433701,301543
2023-03-11 16:14:00,451053,321870
2023-03-11 16:16:00,409174,303489
2023-03-11 16:18:00,585490,463124
2023-03-11 16:20:00,558947,445116
2023-03-11 16:22:00,408280,297917
2023-03-11 16:24:00,448569,325306
2023-03-11 16:26:00,417113,297397
2023-03-11 16:28:00,574928,456023
2023-03-11 16:30:00,573073,449144
2023-03-11 16:32:00,420954,302001
2023-03-11 16:34:00,432253,312959
2023-03-11 16:36:00,416832,300345
2023-03-11 16:38:00,613146,484070
2023-03-11 16:40:00,625864,481758
2023-03-11 16:42:00,406120,299378
2023-03-11 16:44:00,429655,310674
2023-03-11 16:46:00,405553,293312
2023-03-11 16:48:00,538567,422453
2023-03-11 16:50:00,590424,461782
2023-03-11 16:52:00,403159,294358
2023-03-11 16:54:00,435428,315373
2023-03-11 16:56:00,422542,317777
2023-03-11 16:58:00,526020,411711
2023-03-11 17:00:00,579079,462017
2023-03-11 17:02:00,399326,290513
2023-03-11 17:04:00,477452,337327
2023-03-11 17:06:00,415109,301088
2023-03-11 17:08:00,537567,413484
