"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-03-11 08:00:00,0,484,0,0,0,517
2023-03-11 08:02:00,0,666,0,0,0,693
2023-03-11 08:04:00,0,597,0,0,0,626
2023-03-11 08:06:00,0,489,0,0,0,502
2023-03-11 08:08:00,0,518,0,0,0,533
2023-03-11 08:10:00,0,508,0,0,0,523
2023-03-11 08:12:00,0,784,0,0,0,725
2023-03-11 08:14:00,0,999,0,0,0,787
2023-03-11 08:16:00,0,476,0,0,0,488
2023-03-11 08:18:00,0,501,0,0,0,517
2023-03-11 08:20:00,0,488,0,0,0,508
2023-03-11 08:22:00,0,668,0,0,0,705
2023-03-11 08:24:00,0,696,0,0,0,733
2023-03-11 08:26:00,0,475,0,0,0,488
2023-03-11 08:28:00,0,592,0,0,0,604
2023-03-11 08:30:00,0,560,0,0,0,598
2023-03-11 08:32:00,0,620,0,0,0,647
2023-03-11 08:34:00,0,813,0,0,0,852
2023-03-11 08:36:00,0,589,0,0,0,646
2023-03-11 08:38:00,0,526,0,0,0,560
2023-03-11 08:40:00,0,501,0,0,0,524
2023-03-11 08:42:00,0,582,0,0,0,603
2023-03-11 08:44:00,0,709,0,0,0,740
2023-03-11 08:46:00,0,498,0,0,0,521
2023-03-11 08:48:00,0,486,0,0,0,500
2023-03-11 08:50:00,0,482,0,0,0,500
2023-03-11 08:52:00,0,530,0,0,0,554
2023-03-11 08:54:00,0,664,0,0,0,695
2023-03-11 08:56:00,0,477,0,0,0,496
2023-03-11 08:58:00,0,485,0,0,0,503
2023-03-11 09:00:00,0,484,0,0,0,507
2023-03-11 09:02:00,0,513,0,0,0,544
2023-03-11 09:04:00,0,703,0,0,0,728
2023-03-11 09:06:00,0,495,0,0,0,523
2023-03-11 09:08:00,0,484,0,0,0,499
2023-03-11 09:10:00,0,490,0,0,0,506
2023-03-11 09:12:00,0,501,0,0,0,516
2023-03-11 09:14:00,0,668,0,0,0,700
2023-03-11 09:16:00,0,488,0,0,0,507
2023-03-11 09:18:00,0,481,0,0,0,489
2023-03-11 09:20:00,0,487,0,0,0,508
2023-03-11 09:22:00,0,473,0,0,0,488
2023-03-11 09:24:00,0,666,0,0,0,698
2023-03-11 09:26:00,0,545,0,0,0,551
2023-03-11 09:28:00,0,485,0,0,0,499
2023-03-11 09:30:00,0,486,0,0,0,508
2023-03-11 09:32:00,0,470,0,0,0,493
2023-03-11 09:34:00,0,661,0,0,0,691
2023-03-11 09:36:00,0,523,0,0,0,533
2023-03-11 09:38:00,0,489,0,0,0,510
2023-03-11 09:40:00,0,516,0,0,0,519
2023-03-11 09:42:00,0,517,0,0,0,531
2023-03-11 09:44:00,0,673,0,0,0,697
2023-03-11 09:46:00,0,537,0,0,0,556
2023-03-11 09:48:00,0,472,0,0,0,489
2023-03-11 09:50:00,0,479,0,0,0,500
2023-03-11 09:52:00,0,475,0,0,0,496
2023-03-11 09:54:00,0,656,0,0,0,687
2023-03-11 09:56:00,0,598,0,0,0,621
2023-03-11 09:58:00,0,518,0,0,0,530
2023-03-11 10:00:00,0,491,0,0,0,514
2023-03-11 10:02:00,0,491,0,0,0,504
2023-03-11 10:04:00,0,661,0,0,0,687
2023-03-11 10:06:00,0,606,0,0,0,621
2023-03-11 10:08:00,0,478,0,0,0,495
2023-03-11 10:10:00,0,491,0,0,0,505
2023-03-11 10:12:00,0,520,0,0,0,530
2023-03-11 10:14:00,0,688,0,0,0,722
2023-03-11 10:16:00,0,618,0,0,0,641
2023-03-11 10:18:00,0,487,0,0,0,507
2023-03-11 10:20:00,0,488,0,0,0,498
2023-03-11 10:22:00,0,484,0,0,0,505
2023-03-11 10:24:00,0,662,0,0,0,691
2023-03-11 10:26:00,0,624,0,0,0,648
2023-03-11 10:28:00,0,489,0,0,0,503
2023-03-11 10:30:00,0,477,0,0,0,500
2023-03-11 10:32:00,0,482,0,0,0,506
2023-03-11 10:34:00,0,657,0,0,0,686
2023-03-11 10:36:00,0,661,0,0,0,689
2023-03-11 10:38:00,0,524,0,0,0,540
2023-03-11 10:40:00,0,479,0,0,0,495
2023-03-11 10:42:00,0,490,0,0,0,500
2023-03-11 10:44:00,0,645,0,0,0,678
2023-03-11 10:46:00,0,661,0,0,0,685
2023-03-11 10:48:00,0,490,0,0,0,508
2023-03-11 10:50:00,0,472,0,0,0,493
2023-03-11 10:52:00,0,483,0,0,0,501
2023-03-11 10:54:00,0,629,0,0,0,665
2023-03-11 10:56:00,0,690,0,0,0,705
2023-03-11 10:58:00,0,530,0,0,0,548
2023-03-11 11:00:00,0,484,0,0,0,501
2023-03-11 11:02:00,0,482,0,0,0,503
2023-03-11 11:04:00,0,610,0,0,0,639
2023-03-11 11:06:00,0,661,0,0,0,686
2023-03-11 11:08:00,0,490,0,0,0,506
2023-03-11 11:10:00,0,475,0,0,0,489
2023-03-11 11:12:00,0,490,0,0,0,510
2023-03-11 11:14:00,0,617,0,0,0,638
2023-03-11 11:16:00,0,693,0,0,0,718
2023-03-11 11:18:00,0,504,0,0,0,508
2023-03-11 11:20:00,0,477,0,0,0,495
2023-03-11 11:22:00,0,480,0,0,0,500
2023-03-11 11:24:00,0,542,0,0,0,570
2023-03-11 11:26:00,0,657,0,0,0,683
2023-03-11 11:28:00,0,499,0,0,0,512
2023-03-11 11:30:00,0,477,0,0,0,503
2023-03-11 11:32:00,0,486,0,0,0,504
2023-03-11 11:34:00,0,545,0,0,0,573
2023-03-11 11:36:00,0,670,0,0,0,690
2023-03-11 11:38:00,0,494,0,0,0,510
2023-03-11 11:40:00,0,511,0,0,0,526
2023-03-11 11:42:00,0,520,0,0,0,531
2023-03-11 11:44:00,0,522,0,0,0,551
2023-03-11 11:46:00,0,651,0,0,0,676
2023-03-11 11:48:00,0,493,0,0,0,514
2023-03-11 11:50:00,0,474,0,0,0,497
2023-03-11 11:52:00,0,482,0,0,0,504
2023-03-11 11:54:00,0,511,0,0,0,529
2023-03-11 11:56:00,0,651,0,0,0,679
2023-03-11 11:58:00,0,528,0,0,0,545
2023-03-11 12:00:00,0,477,0,0,0,501
2023-03-11 12:02:00,0,475,0,0,0,498
2023-03-11 12:04:00,0,483,0,0,0,503
2023-03-11 12:06:00,0,653,0,0,0,682
2023-03-11 12:08:00,0,515,0,0,0,525
2023-03-11 12:10:00,0,484,0,0,0,500
2023-03-11 12:12:00,0,485,0,0,0,490
2023-03-11 12:14:00,0,487,0,0,0,508
2023-03-11 12:16:00,0,651,0,0,0,676
2023-03-11 12:18:00,0,528,0,0,0,538
2023-03-11 12:20:00,0,484,0,0,0,503
2023-03-11 12:22:00,0,503,0,0,0,515
2023-03-11 12:24:00,0,509,0,0,0,541
2023-03-11 12:26:00,0,655,0,0,0,686
2023-03-11 12:28:00,0,545,0,0,0,561
2023-03-11 12:30:00,0,501,0,0,0,515
2023-03-11 12:32:00,0,468,0,0,0,485
2023-03-11 12:34:00,0,484,0,0,0,504
2023-03-11 12:36:00,0,653,0,0,0,678
2023-03-11 12:38:00,0,558,0,0,0,574
2023-03-11 12:40:00,0,511,0,0,0,516
2023-03-11 12:42:00,0,505,0,0,0,523
2023-03-11 12:44:00,0,489,0,0,0,507
2023-03-11 12:46:00,0,656,0,0,0,684
2023-03-11 12:48:00,0,596,0,0,0,606
2023-03-11 12:50:00,0,477,0,0,0,499
2023-03-11 12:52:00,0,464,0,0,0,483
2023-03-11 12:54:00,0,482,0,0,0,502
2023-03-11 12:56:00,0,661,0,0,0,691
2023-03-11 12:58:00,0,609,0,0,0,626
2023-03-11 13:00:00,0,520,0,0,0,545
2023-03-11 13:02:00,0,472,0,0,0,490
2023-03-11 13:04:00,0,498,0,0,0,520
2023-03-11 13:06:00,0,673,0,0,0,699
2023-03-11 13:08:00,0,618,0,0,0,638
2023-03-11 13:10:00,0,487,0,0,0,502
2023-03-11 13:12:00,0,468,0,0,0,485
2023-03-11 13:14:00,0,490,0,0,0,516
2023-03-11 13:16:00,0,667,0,0,0,693
2023-03-11 13:18:00,0,641,0,0,0,663
2023-03-11 13:20:00,0,489,0,0,0,504
2023-03-11 13:22:00,0,467,0,0,0,489
2023-03-11 13:24:00,0,483,0,0,0,501
2023-03-11 13:26:00,0,656,0,0,0,683
2023-03-11 13:28:00,0,683,0,0,0,706
2023-03-11 13:30:00,0,488,0,0,0,510
2023-03-11 13:32:00,0,475,0,0,0,500
2023-03-11 13:34:00,0,489,0,0,0,504
2023-03-11 13:36:00,0,645,0,0,0,671
2023-03-11 13:38:00,0,666,0,0,0,683
2023-03-11 13:40:00,0,490,0,0,0,507
2023-03-11 13:42:00,0,487,0,0,0,502
2023-03-11 13:44:00,0,477,0,0,0,500
2023-03-11 13:46:00,0,629,0,0,0,657
2023-03-11 13:48:00,0,690,0,0,0,713
2023-03-11 13:50:00,0,488,0,0,0,526
