"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 08:00:00,0.310,0.0700,0.340
2023-03-11 08:02:00,0.370,0.220,0.360
2023-03-11 08:04:00,0.280,0.140,0.330
2023-03-11 08:06:00,0.230,0.0900,0.310
2023-03-11 08:08:00,0.160,0.0200,0.270
2023-03-11 08:10:00,0.190,0.240,0.270
2023-03-11 08:12:00,0.170,0.140,0.250
2023-03-11 08:14:00,0.110,0.0200,0.210
2023-03-11 08:16:00,0.140,0.140,0.210
2023-03-11 08:18:00,0.870,2.52,0.450
2023-03-11 08:20:00,1.15,1.66,0.610
2023-03-11 08:22:00,0.830,0.400,0.560
2023-03-11 08:24:00,0.690,0.340,0.530
2023-03-11 08:26:00,0.630,0.580,0.530
2023-03-11 08:28:00,0.560,0.480,0.510
2023-03-11 08:30:00,0.540,0.250,0.520
2023-03-11 08:32:00,0.440,0.260,0.480
2023-03-11 08:34:00,0.480,0.480,0.490
2023-03-11 08:36:00,0.410,0.290,0.460
2023-03-11 08:38:00,0.310,0.0800,0.410
2023-03-11 08:40:00,0.630,0.970,0.520
2023-03-11 08:42:00,0.540,0.380,0.500
2023-03-11 08:44:00,0.440,0.210,0.470
2023-03-11 08:46:00,0.330,0.120,0.420
2023-03-11 08:48:00,0.320,0.370,0.400
2023-03-11 08:50:00,0.300,0.230,0.380
2023-03-11 08:52:00,0.200,0.0300,0.330
2023-03-11 08:54:00,0.860,2.96,0.530
2023-03-11 08:56:00,1.14,1.67,0.680
2023-03-11 08:58:00,0.960,0.650,0.670
2023-03-11 09:00:00,0.740,0.390,0.620
2023-03-11 09:02:00,0.790,0.570,0.660
2023-03-11 09:04:00,0.590,0.160,0.600
2023-03-11 09:06:00,0.470,0.200,0.560
2023-03-11 09:08:00,0.380,0.200,0.510
2023-03-11 09:10:00,0.250,0.0200,0.440
2023-03-11 09:12:00,0.240,0.150,0.420
2023-03-11 09:14:00,0.300,0.330,0.420
2023-03-11 09:16:00,0.310,0.290,0.410
2023-03-11 09:18:00,0.320,0.300,0.400
2023-03-11 09:20:00,0.220,0.0700,0.350
