,Time,Type,Response,Code
0,2023-03-11 08:00:00.176212,Public,0.022465,200
0,2023-03-11 08:00:00.296111,Public,0.017118,200
0,2023-03-11 08:00:00.413294,Public,0.014841,200
0,2023-03-11 08:00:00.532082,Public,0.016435,200
0,2023-03-11 08:00:00.651192,Public,0.016564,200
0,2023-03-11 08:00:00.768472,Public,0.01494,200
0,2023-03-11 08:00:00.887598,Public,0.016682,200
0,2023-03-11 08:00:01.006352,Public,0.016312,200
0,2023-03-11 08:00:01.125360,Public,0.016602,200
0,2023-03-11 08:00:01.243698,Public,0.015942,200
0,2023-03-11 08:00:01.362877,Public,0.016864,200
0,2023-03-11 08:00:01.483129,Public,0.017836,200
0,2023-03-11 08:00:01.602477,Public,0.01691,200
0,2023-03-11 08:00:01.720102,Public,0.015202,200
0,2023-03-11 08:00:01.838049,Public,0.015543,200
0,2023-03-11 08:00:01.957293,Public,0.016811,200
0,2023-03-11 08:00:02.076808,Public,0.016814,200
0,2023-03-11 08:00:02.194692,Public,0.015501,200
0,2023-03-11 08:00:02.313164,Public,0.016098,200
0,2023-03-11 08:00:02.433130,Public,0.017525,200
0,2023-03-11 08:00:02.553021,Public,0.017202,200
0,2023-03-11 08:00:02.671787,Public,0.016194,200
0,2023-03-11 08:00:02.789297,Public,0.015114,200
0,2023-03-11 08:00:02.908653,Public,0.016965,200
0,2023-03-11 08:00:03.028151,Public,0.017052,200
0,2023-03-11 08:00:03.147851,Public,0.016762,200
0,2023-03-11 08:00:03.267322,Public,0.01691,200
0,2023-03-11 08:00:03.384693,Public,0.014942,200
0,2023-03-11 08:00:03.503909,Public,0.016777,200
0,2023-03-11 08:00:03.623549,Public,0.017143,200
0,2023-03-11 08:00:03.742791,Public,0.01672,200
0,2023-03-11 08:00:03.860546,Public,0.015347,200
0,2023-03-11 08:00:03.979137,Public,0.01616,200
0,2023-03-11 08:00:04.098512,Public,0.016908,200
0,2023-03-11 08:00:04.218793,Public,0.0176,200
0,2023-03-11 08:00:04.338793,Public,0.017592,200
0,2023-03-11 08:00:04.460479,Public,0.019279,200
0,2023-03-11 08:00:04.581547,Public,0.018668,200
0,2023-03-11 08:00:04.700648,Public,0.016716,200
0,2023-03-11 08:00:04.819026,Public,0.015964,200
0,2023-03-11 08:00:04.938367,Public,0.016926,200
0,2023-03-11 08:00:05.057614,Public,0.01688,200
0,2023-03-11 08:00:05.177154,Public,0.0171,200
0,2023-03-11 08:00:05.295256,Public,0.01573,200
0,2023-03-11 08:00:05.413396,Public,0.0157,200
0,2023-03-11 08:00:05.534089,Public,0.018231,200
0,2023-03-11 08:00:05.653268,Public,0.01646,200
0,2023-03-11 08:00:05.772473,Public,0.016868,200
0,2023-03-11 08:00:05.890300,Public,0.015069,200
0,2023-03-11 08:00:06.009764,Public,0.017025,200
0,2023-03-11 08:00:06.129372,Public,0.017197,200
0,2023-03-11 08:00:06.249922,Public,0.018037,200
0,2023-03-11 08:00:06.369773,Public,0.017409,200
0,2023-03-11 08:00:06.489154,Public,0.017009,200
0,2023-03-11 08:00:06.607236,Public,0.015701,200
0,2023-03-11 08:00:06.725723,Public,0.016108,200
0,2023-03-11 08:00:06.845127,Public,0.016931,200
0,2023-03-11 08:00:06.965081,Public,0.017488,200
0,2023-03-11 08:00:07.084300,Public,0.016824,200
0,2023-03-11 08:00:07.201778,Public,0.015054,200
0,2023-03-11 08:00:07.322981,Public,0.018754,200
0,2023-03-11 08:00:07.442464,Public,0.016872,200
0,2023-03-11 08:00:07.561916,Public,0.016825,200
0,2023-03-11 08:00:07.681951,Public,0.017651,200
0,2023-03-11 08:00:07.800447,Public,0.016142,200
0,2023-03-11 08:00:07.919121,Public,0.016221,200
0,2023-03-11 08:00:08.038810,Public,0.017284,200
0,2023-03-11 08:00:08.158152,Public,0.016862,200
0,2023-03-11 08:00:08.277179,Public,0.016635,200
0,2023-03-11 08:00:08.394421,Public,0.014878,200
0,2023-03-11 08:00:08.513800,Public,0.016996,200
0,2023-03-11 08:00:08.633267,Public,0.016958,200
0,2023-03-11 08:00:08.752684,Public,0.017008,200
0,2023-03-11 08:00:08.870416,Public,0.015344,200
0,2023-03-11 08:00:08.990292,Public,0.017484,200
0,2023-03-11 08:00:09.110263,Public,0.017438,200
0,2023-03-11 08:00:09.230098,Public,0.017166,200
0,2023-03-11 08:00:09.350092,Public,0.01759,200
0,2023-03-11 08:00:09.469352,Public,0.016904,200
0,2023-03-11 08:00:09.586970,Public,0.015025,200
0,2023-03-11 08:00:09.705975,Public,0.0166,200
0,2023-03-11 08:00:09.825671,Public,0.017073,200
0,2023-03-11 08:00:09.945228,Public,0.017037,200
0,2023-03-11 08:00:10.064635,Public,0.016854,200
0,2023-03-11 08:00:10.182768,Public,0.015621,200
0,2023-03-11 08:00:10.302365,Public,0.017168,200
0,2023-03-11 08:00:10.421562,Public,0.016725,200
0,2023-03-11 08:00:10.542591,Public,0.018509,200
0,2023-03-11 08:00:10.663005,Public,0.018011,200
0,2023-03-11 08:00:10.782275,Public,0.016848,200
0,2023-03-11 08:00:10.900434,Public,0.015405,200
0,2023-03-11 08:00:11.019007,Public,0.016196,200
0,2023-03-11 08:00:11.138645,Public,0.016916,200
0,2023-03-11 08:00:11.258605,Public,0.017435,200
0,2023-03-11 08:00:11.377636,Public,0.016575,200
0,2023-03-11 08:00:11.496189,Public,0.016181,200
0,2023-03-11 08:00:11.615539,Public,0.016968,200
0,2023-03-11 08:00:11.735465,Public,0.017148,200
0,2023-03-11 08:00:11.854929,Public,0.016854,200
0,2023-03-11 08:00:11.973092,Public,0.015536,200
0,2023-03-11 08:00:12.091491,Public,0.015994,200
0,2023-03-11 08:00:12.210897,Public,0.017012,200
0,2023-03-11 08:00:12.331062,Public,0.017596,200
0,2023-03-11 08:00:12.450310,Public,0.016675,200
0,2023-03-11 08:00:12.568276,Public,0.015594,200
0,2023-03-11 08:00:12.686852,Public,0.01615,200
0,2023-03-11 08:00:12.803411,Public,0.014146,200
0,2023-03-11 08:00:12.920841,Public,0.014894,200
0,2023-03-11 08:00:13.040834,Public,0.017506,200
0,2023-03-11 08:00:13.160326,Public,0.017017,200
0,2023-03-11 08:00:13.280051,Public,0.016708,200
0,2023-03-11 08:00:13.399363,Public,0.016918,200
0,2023-03-11 08:00:13.517018,Public,0.015265,200
0,2023-03-11 08:00:13.636018,Public,0.016597,200
0,2023-03-11 08:00:13.755739,Public,0.017281,200
0,2023-03-11 08:00:13.875807,Public,0.017583,200
0,2023-03-11 08:00:13.995034,Public,0.016836,200
0,2023-03-11 08:00:14.112255,Public,0.014834,200
0,2023-03-11 08:00:14.231760,Public,0.017061,200
0,2023-03-11 08:00:14.352498,Public,0.018259,200
0,2023-03-11 08:00:14.471930,Public,0.01703,200
0,2023-03-11 08:00:14.593491,Public,0.019238,200
0,2023-03-11 08:00:14.713562,Public,0.017695,200
0,2023-03-11 08:00:14.831084,Public,0.015175,200
0,2023-03-11 08:00:14.954379,Public,0.020788,200
0,2023-03-11 08:00:15.072617,Public,0.015247,200
0,2023-03-11 08:00:15.192678,Public,0.017283,200
0,2023-03-11 08:00:15.312355,Public,0.017151,200
0,2023-03-11 08:00:15.432022,Public,0.016981,200
0,2023-03-11 08:00:15.551062,Public,0.016685,200
0,2023-03-11 08:00:15.668958,Public,0.015452,200
0,2023-03-11 08:00:15.789481,Public,0.018128,200
0,2023-03-11 08:00:15.909091,Public,0.01705,200
0,2023-03-11 08:00:16.028825,Public,0.016772,200
0,2023-03-11 08:00:16.148206,Public,0.017016,200
0,2023-03-11 08:00:16.265677,Public,0.015088,200
0,2023-03-11 08:00:16.384960,Public,0.016881,200
0,2023-03-11 08:00:16.503778,Public,0.01635,200
