,Time,Type,Response,Code
0,2023-03-12 10:18:04.873530,Public,0.017044,200
0,2023-03-12 10:18:04.993668,Public,0.017377,200
0,2023-03-12 10:18:05.113136,Public,0.016978,200
0,2023-03-12 10:18:05.232500,Public,0.016896,200
0,2023-03-12 10:18:05.351681,Public,0.016803,200
0,2023-03-12 10:18:05.468727,Public,0.014664,200
0,2023-03-12 10:18:05.587744,Public,0.016623,200
0,2023-03-12 10:18:05.707253,Public,0.017006,200
0,2023-03-12 10:18:05.826437,Public,0.01681,200
0,2023-03-12 10:18:05.943854,Public,0.014948,200
0,2023-03-12 10:18:06.063277,Public,0.017082,200
0,2023-03-12 10:18:06.182424,Public,0.016674,200
0,2023-03-12 10:18:06.301896,Public,0.017131,200
0,2023-03-12 10:18:06.418859,Public,0.014643,200
0,2023-03-12 10:18:06.538442,Public,0.017051,200
0,2023-03-12 10:18:06.657954,Public,0.016933,200
0,2023-03-12 10:18:06.777036,Public,0.016588,200
0,2023-03-12 10:18:06.895123,Public,0.01554,200
0,2023-03-12 10:18:07.014530,Public,0.017058,200
0,2023-03-12 10:18:07.133560,Public,0.016657,200
0,2023-03-12 10:18:07.254051,Public,0.018016,200
0,2023-03-12 10:18:07.373904,Public,0.016893,200
0,2023-03-12 10:18:07.492587,Public,0.016161,200
0,2023-03-12 10:18:07.610162,Public,0.015188,200
0,2023-03-12 10:18:07.729209,Public,0.01668,200
0,2023-03-12 10:18:07.848541,Public,0.016797,200
0,2023-03-12 10:18:07.966588,Public,0.015701,200
0,2023-03-12 10:18:08.085108,Public,0.016168,200
0,2023-03-12 10:18:08.204392,Public,0.016932,200
0,2023-03-12 10:18:08.324428,Public,0.017235,200
0,2023-03-12 10:18:08.443964,Public,0.016932,200
0,2023-03-12 10:18:08.561434,Public,0.015102,200
0,2023-03-12 10:18:08.680390,Public,0.01657,200
0,2023-03-12 10:18:08.799578,Public,0.016645,200
0,2023-03-12 10:18:08.919236,Public,0.017238,200
0,2023-03-12 10:18:09.036301,Public,0.014768,200
0,2023-03-12 10:18:09.154775,Public,0.016119,200
0,2023-03-12 10:18:09.273828,Public,0.016445,200
0,2023-03-12 10:18:09.391456,Public,0.015264,200
0,2023-03-12 10:18:09.510535,Public,0.016707,200
0,2023-03-12 10:18:09.630293,Public,0.01735,200
0,2023-03-12 10:18:09.750039,Public,0.017334,200
0,2023-03-12 10:18:09.869557,Public,0.017163,200
0,2023-03-12 10:18:09.986931,Public,0.015048,200
