"Time","DELETE /v1/endpoint","DELETE /v1/endpoint","DELETE /v1/endpoint","GET /v1/cluster","GET /v1/cluster","GET /v1/cluster","GET /v1/config","GET /v1/config","GET /v1/config","GET /v1/healthz","GET /v1/healthz","GET /v1/healthz","POST /v1/ipam","POST /v1/ipam","POST /v1/ipam","PUT /v1/endpoint","PUT /v1/endpoint","PUT /v1/endpoint"
2023-03-04 11:00:00,,,,0.0000643,0.0000858,,,,,0.00118,0.00188,0.00198,,,,,,
2023-03-04 11:02:00,,,,0.0000621,0.0000850,,,,,0.00131,0.00187,0.00209,,,,,,
2023-03-04 11:04:00,,,,0.0000606,0.0000840,,,,,0.00129,0.00191,0.00199,,,,,,
2023-03-04 11:06:00,,,,0.0000651,0.0000840,,,,,0.00130,0.00184,0.00183,,,,,,
2023-03-04 11:08:00,,,,0.0000676,0.0000870,,,,,0.00122,0.00185,0.00188,,,,,,
2023-03-04 11:10:00,,,,0.0000535,0.000122,,,,0.000523,0.00123,0.00192,0.00200,,,,,,
2023-03-04 11:12:00,,,,0.0000663,0.000107,,,,0.000709,0.00111,0.00192,0.00183,,,,,,
2023-03-04 11:14:00,,,,0.0000714,0.0000878,,,,,0.00133,0.00210,0.00200,,,,,,
2023-03-04 11:16:00,,,,0.0000867,0.0000814,,,,,0.00133,0.00184,0.00201,,,,,,
2023-03-04 11:18:00,,,,0.0000560,0.0000877,,,,,0.00129,0.00197,0.00168,,,,,,
2023-03-04 11:20:00,,,,0.0000549,0.0000922,,,,,0.00135,0.00185,0.00194,,,,,,
2023-03-04 11:22:00,,,,0.0000631,0.0000874,,,,,0.00122,0.00185,0.00200,,,,,,
2023-03-04 11:24:00,,,,0.0000620,0.0000855,,,,,0.00123,0.00205,0.00206,,,,,,
2023-03-04 11:26:00,,,,0.0000678,0.0000795,,,,,0.00111,0.00187,0.00191,,,,,,
2023-03-04 11:28:00,,,,0.0000560,0.000101,,,,,0.00121,0.00187,0.00190,,,,,,
2023-03-04 11:30:00,,,,0.0000296,0.0000848,,,,,0.00134,0.00189,0.00216,,,,,,
2023-03-04 11:32:00,,,,0.0000535,0.000175,,,,,0.00138,0.00192,0.00197,,,,,,
2023-03-04 11:34:00,,,,0.0000590,0.0000898,,,,,0.00119,0.00196,0.00193,,,,,,
2023-03-04 11:36:00,,,,0.0000414,0.0000885,,,,,0.00117,0.00192,0.00201,,,,,,
2023-03-04 11:38:00,,,,0.0000602,0.0000896,,,,,0.00124,0.00185,0.00183,,,,,,
2023-03-04 11:40:00,,,,0.0000633,0.0000954,,,,,0.00127,0.00209,0.00197,,,,,,
2023-03-04 11:42:00,,,,0.0000326,0.0000613,,,,,0.00104,0.00185,0.00199,,,,,,
2023-03-04 11:44:00,,,,0.0000613,0.0000947,,,,,0.00136,0.00203,0.00187,,,,,,
2023-03-04 11:46:00,,,,0.0000603,0.0000777,,,,,0.00130,0.00185,0.00184,,,,,,
2023-03-04 11:48:00,,,,0.0000619,0.0000863,,,,,0.00133,0.00204,0.00210,,,,,,
2023-03-04 11:50:00,,,,0.0000763,0.0000843,,,,,0.00133,0.00203,0.00205,,,,,,
2023-03-04 11:52:00,,,,0.0000649,0.0000846,,,,,0.00130,0.00188,0.00204,,,,,,
2023-03-04 11:54:00,,,,0.0000550,0.0000870,,,,,0.00133,0.00194,0.00207,,,,,,
2023-03-04 11:56:00,,,,0.0000651,0.0000915,,,,,0.00109,0.00207,0.00161,,,,,,
2023-03-04 11:58:00,,,,0.0000630,0.0000913,,,,,0.00126,0.00194,0.00223,,,,,,
2023-03-04 12:00:00,,,,0.0000637,0.0000936,,,,,0.00125,0.00202,0.00189,,,,,,
2023-03-04 12:02:00,,,,0.000100,0.0000858,,,,,0.00133,0.00187,0.00196,,,,,,
2023-03-04 12:04:00,,,,0.0000620,0.0000856,,,,,0.00105,0.00200,0.00206,,,,,,
2023-03-04 12:06:00,,,,0.0000602,0.0000868,,,,,0.00138,0.00191,0.00201,,,,,,
2023-03-04 12:08:00,,,,0.0000609,0.0000963,,,,,0.00132,0.00193,0.00207,,,,,,
