"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-04 11:00:00,135,187,109,133,186,118
2023-03-04 11:02:00,111,179,112,119,182,119
2023-03-04 11:04:00,145,231,173,146,230,181
2023-03-04 11:06:00,129,186,110,130,185,121
2023-03-04 11:08:00,113,184,109,123,185,115
2023-03-04 11:10:00,151,248,155,164,249,179
2023-03-04 11:12:00,179,248,150,178,233,154
2023-03-04 11:14:00,120,185,108,136,183,113
2023-03-04 11:16:00,178,205,112,164,214,122
2023-03-04 11:18:00,122,186,111,128,187,116
2023-03-04 11:20:00,126,197,109,137,193,121
2023-03-04 11:22:00,215,260,131,215,236,121
2023-03-04 11:24:00,121,182,108,123,183,114
2023-03-04 11:26:00,107,178,106,120,177,113
2023-03-04 11:28:00,126,189,110,128,187,115
2023-03-04 11:30:00,125,190,112,137,189,121
2023-03-04 11:32:00,250,305,128,261,265,121
2023-03-04 11:34:00,122,176,105,115,176,111
2023-03-04 11:36:00,107,176,110,117,176,117
2023-03-04 11:38:00,122,179,106,127,179,114
2023-03-04 11:40:00,131,189,113,131,189,118
2023-03-04 11:42:00,304,352,128,318,302,121
2023-03-04 11:44:00,117,178,107,119,176,114
2023-03-04 11:46:00,120,176,107,123,173,116
2023-03-04 11:48:00,121,179,108,134,188,120
2023-03-04 11:50:00,128,188,112,132,190,122
2023-03-04 11:52:00,320,369,129,316,318,122
2023-03-04 11:54:00,113,177,109,132,189,129
2023-03-04 11:56:00,125,179,111,136,192,130
2023-03-04 11:58:00,130,186,108,133,186,114
2023-03-04 12:00:00,115,180,109,127,180,119
2023-03-04 12:02:00,295,364,130,301,309,122
2023-03-04 12:04:00,123,180,109,135,192,127
2023-03-04 12:06:00,117,187,110,134,185,119
2023-03-04 12:08:00,192,207,109,169,217,113
2023-03-04 12:10:00,117,175,108,124,176,114
2023-03-04 12:12:00,245,316,107,257,277,113
2023-03-04 12:14:00,121,184,112,120,181,119
2023-03-04 12:16:00,127,190,113,136,191,120
2023-03-04 12:18:00,117,187,110,131,187,117
2023-03-04 12:20:00,132,181,111,130,182,116
2023-03-04 12:22:00,182,259,107,192,236,112
2023-03-04 12:24:00,110,181,105,121,180,114
2023-03-04 12:26:00,125,188,109,128,186,117
2023-03-04 12:28:00,118,193,109,128,190,119
2023-03-04 12:30:00,115,178,110,121,181,117
2023-03-04 12:32:00,154,223,106,153,211,113
2023-03-04 12:34:00,111,177,105,118,177,113
2023-03-04 12:36:00,113,183,108,124,181,118
2023-03-04 12:38:00,125,188,112,126,191,119
2023-03-04 12:40:00,112,180,110,126,180,116
2023-03-04 12:42:00,113,192,104,123,188,116
2023-03-04 12:44:00,126,181,107,137,189,128
2023-03-04 12:46:00,103,175,105,122,181,122
2023-03-04 12:48:00,124,180,105,128,185,114
2023-03-04 12:50:00,135,182,110,133,185,119
2023-03-04 12:52:00,177,198,104,169,205,113
2023-03-04 12:54:00,123,184,106,122,182,114
2023-03-04 12:56:00,117,175,109,116,176,113
2023-03-04 12:58:00,115,179,109,125,181,115
2023-03-04 13:00:00,124,180,106,124,181,115
2023-03-04 13:02:00,121,182,108,127,185,119
2023-03-04 13:04:00,113,183,105,126,181,111
2023-03-04 13:06:00,117,174,107,120,176,113
2023-03-04 13:08:00,114,179,107,126,187,122
2023-03-04 13:10:00,115,182,106,130,181,117
2023-03-04 13:12:00,123,185,109,125,186,119
2023-03-04 13:14:00,118,183,106,123,185,116
2023-03-04 13:16:00,110,177,109,120,180,113
2023-03-04 13:18:00,183,201,108,168,212,115
2023-03-04 13:20:00,122,180,105,128,180,115
2023-03-04 13:22:00,108,179,109,117,178,115
2023-03-04 13:24:00,114,178,105,113,179,112
2023-03-04 13:26:00,104,179,109,120,177,117
2023-03-04 13:28:00,123,188,107,130,187,114
2023-03-04 13:30:00,131,185,112,130,187,115
2023-03-04 13:32:00,112,180,107,119,179,113
2023-03-04 13:34:00,140,203,105,144,192,110
2023-03-04 13:36:00,115,175,108,117,176,113
2023-03-04 13:38:00,174,208,109,168,217,115
2023-03-04 13:40:00,123,183,111,137,194,125
2023-03-04 13:42:00,116,174,106,115,175,114
2023-03-04 13:44:00,177,241,131,191,218,126
2023-03-04 13:46:00,114,174,104,115,173,111
2023-03-04 13:48:00,133,199,110,134,194,120
2023-03-04 13:50:00,118,187,110,125,186,119
2023-03-04 13:52:00,119,175,106,119,173,117
2023-03-04 13:54:00,228,272,130,228,242,121
2023-03-04 13:56:00,104,170,103,112,172,109
2023-03-04 13:58:00,125,191,108,125,189,117
2023-03-04 14:00:00,127,182,108,127,183,117
