"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-04 11:00:00,899624,957663,332200,1332020,1429862,408152
2023-03-04 11:02:00,555502,802996,332912,1028912,1384712,378431
2023-03-04 11:04:00,927897,1875908,387076,1375339,1704231,2446915
2023-03-04 11:06:00,857698,833046,330566,1093736,1405464,404048
2023-03-04 11:08:00,608513,828094,331046,1028766,1438540,369293
2023-03-04 11:10:00,936248,4343445,368314,3542268,3261221,4845563
2023-03-04 11:12:00,1059135,1713565,374707,1555671,1665408,1547390
2023-03-04 11:14:00,552825,836823,328593,1120861,1394821,369509
2023-03-04 11:16:00,866718,1489223,332384,2373968,1403430,431134
2023-03-04 11:18:00,797027,848149,332020,1060604,1447887,377355
2023-03-04 11:20:00,651935,1130256,334468,1456505,1519446,446957
2023-03-04 11:22:00,1258863,1544694,372113,1753481,1515704,398378
2023-03-04 11:24:00,721979,840364,330233,1111383,1373327,368836
2023-03-04 11:26:00,540880,833368,328902,1088100,1376501,372379
2023-03-04 11:28:00,968353,941047,332607,1098412,1506814,459048
2023-03-04 11:30:00,658553,1057416,334819,1363651,1517147,453979
2023-03-04 11:32:00,1157200,2024976,370688,2075083,1543025,397325
2023-03-04 11:34:00,856550,846185,327506,1032065,1388653,438378
2023-03-04 11:36:00,542126,788874,331655,1017537,1370720,405514
2023-03-04 11:38:00,718069,835841,329546,1028621,1463424,374701
2023-03-04 11:40:00,897368,1055334,333828,1276726,1513272,443592
2023-03-04 11:42:00,1391062,2602600,373361,2471301,1606200,397605
2023-03-04 11:44:00,822385,805872,329393,1020935,1382789,376554
2023-03-04 11:46:00,836836,788156,330601,1023767,1367467,375887
2023-03-04 11:48:00,610429,813513,330228,1039963,1438677,372922
2023-03-04 11:50:00,849581,1031692,336456,1370961,1462011,424968
2023-03-04 11:52:00,1669920,2737826,372755,2434490,1560279,375830
2023-03-04 11:54:00,558026,797543,330876,1033244,1387628,384825
2023-03-04 11:56:00,893255,871969,333084,1112032,1456073,422764
2023-03-04 11:58:00,971328,910018,329678,1112583,1518323,388863
2023-03-04 12:00:00,559615,883783,333391,1195659,1384581,388705
2023-03-04 12:02:00,1617476,2742225,374442,2336977,1566433,381419
2023-03-04 12:04:00,846176,800088,330942,1048546,1430680,388089
2023-03-04 12:06:00,647253,962129,332456,1180537,1510347,409703
2023-03-04 12:08:00,1004015,1579071,330569,2448105,1531772,388293
2023-03-04 12:10:00,713656,869127,331230,1191384,1357406,383492
2023-03-04 12:12:00,1114876,2328785,329264,2006020,1507128,368130
2023-03-04 12:14:00,842594,854028,334661,1023581,1387620,479338
2023-03-04 12:16:00,830100,1006262,333195,1244502,1523767,431862
2023-03-04 12:18:00,643899,909253,331869,1102875,1496833,400962
2023-03-04 12:20:00,843068,934549,334178,1293032,1378438,392851
2023-03-04 12:22:00,832673,1745556,328392,1491751,1458278,367876
2023-03-04 12:24:00,513505,806443,327310,937801,1388830,367947
2023-03-04 12:26:00,890411,966872,330821,1084715,1515248,424941
2023-03-04 12:28:00,637284,933378,332110,1025360,1569565,403132
2023-03-04 12:30:00,497795,877921,333211,1115478,1366828,395632
2023-03-04 12:32:00,945576,1332818,329474,1194809,1414953,366818
2023-03-04 12:34:00,489573,799260,327579,935127,1360354,395564
2023-03-04 12:36:00,642204,885924,331483,1005918,1458939,403213
2023-03-04 12:38:00,921041,868013,334404,949929,1510432,386702
2023-03-04 12:40:00,508488,892707,333211,1118198,1380852,397137
2023-03-04 12:42:00,633377,1034007,327736,1016777,1453726,368030
2023-03-04 12:44:00,844010,870874,329456,1029712,1442487,400518
2023-03-04 12:46:00,506073,795195,328542,927951,1385512,394894
2023-03-04 12:48:00,855345,835968,328607,948987,1459351,376690
2023-03-04 12:50:00,806374,936045,334746,1219447,1395723,389020
2023-03-04 12:52:00,641081,1541372,326853,2424477,1457496,396219
2023-03-04 12:54:00,851452,891122,329507,1017118,1453149,391684
2023-03-04 12:56:00,782443,786569,331740,927434,1369364,376144
2023-03-04 12:58:00,545901,814022,330890,943754,1417645,376768
2023-03-04 13:00:00,802148,885722,330038,1126299,1426714,371176
2023-03-04 13:02:00,893662,955008,330366,1087253,1512243,426223
2023-03-04 13:04:00,565289,923305,326868,1095078,1454395,387575
2023-03-04 13:06:00,800235,809673,328779,966550,1381179,372443
2023-03-04 13:08:00,745215,819682,330573,941841,1480179,377591
2023-03-04 13:10:00,509849,885323,330493,1122718,1379773,370467
2023-03-04 13:12:00,896706,961888,332346,1087821,1517685,429330
2023-03-04 13:14:00,777816,889276,329414,1095212,1456594,392767
2023-03-04 13:16:00,516096,801109,330467,936505,1390686,375176
2023-03-04 13:18:00,916020,1500096,332618,2283731,1478235,377163
2023-03-04 13:20:00,641099,930865,329969,1212648,1375942,374719
2023-03-04 13:22:00,506037,866373,329768,1002387,1440478,422737
2023-03-04 13:24:00,750937,800291,328427,931290,1380451,367294
2023-03-04 13:26:00,466899,807622,332834,928795,1388825,390191
2023-03-04 13:28:00,641532,991359,330739,1121311,1521400,406436
2023-03-04 13:30:00,811908,975312,334084,1201694,1450794,379625
2023-03-04 13:32:00,510489,869842,330049,1004421,1444110,390685
2023-03-04 13:34:00,650726,876422,328128,1126150,1405019,364688
2023-03-04 13:36:00,753747,795993,330793,926245,1382107,375384
2023-03-04 13:38:00,649891,1611783,330802,2390529,1570702,407070
2023-03-04 13:40:00,630846,971865,332377,1221451,1444647,410910
2023-03-04 13:42:00,757474,787394,327952,925967,1380669,366824
2023-03-04 13:44:00,765990,1291755,375371,1494039,1443196,467685
2023-03-04 13:46:00,770447,793612,326980,952384,1378783,362292
2023-03-04 13:48:00,965606,1021359,331679,1120771,1610768,435693
2023-03-04 13:50:00,544009,1307255,335444,1321070,1496918,959120
2023-03-04 13:52:00,771562,781818,329083,964014,1368082,377363
2023-03-04 13:54:00,1206041,1613527,374819,1707163,1497059,377691
2023-03-04 13:56:00,471295,774121,325819,948783,1359258,359318
2023-03-04 13:58:00,938101,1003868,331685,1110662,1583051,432919
2023-03-04 14:00:00,824229,948709,330870,1226629,1395611,400602
2023-03-04 14:02:00,479142,757220,276427,973085,1316430,328818
2023-03-04 14:04:00,1434692,2127945,684145,2150287,1473685,390740
2023-03-04 14:06:00,823936,773570,641583,2294052,1340587,377952
2023-03-04 14:08:00,610487,894044,638632,1046534,1474340,391343
2023-03-04 14:10:00,784446,894177,638619,1141736,1331661,460851
2023-03-04 14:12:00,772867,758967,639974,952342,1325333,379092
2023-03-04 14:14:00,1295376,2469468,682877,2345631,1499672,386272
2023-03-04 14:16:00,821042,766293,642011,1036009,1327775,366869
2023-03-04 14:18:00,794821,891166,642184,1047405,1477406,390072
2023-03-04 14:20:00,497766,911995,643505,1240234,1336931,395872
2023-03-04 14:22:00,783248,759708,641418,955137,1329808,381620
2023-03-04 14:24:00,1547632,2853454,687631,2462044,1592277,506630
2023-03-04 14:26:00,533482,852185,641393,1047752,1394969,391320
2023-03-04 14:28:00,891017,1469271,639488,2309271,1426235,369354
2023-03-04 14:30:00,676562,865369,643333,1134540,1380632,397895
2023-03-04 14:32:00,473034,756995,638764,951362,1317930,375744
2023-03-04 14:34:00,1698320,2909360,681035,2504944,1678152,434298
2023-03-04 14:36:00,719906,861054,638147,1044924,1408053,390198
2023-03-04 14:38:00,542987,1074222,639453,969501,1390377,923323
2023-03-04 14:40:00,775261,854782,643366,1137745,1321578,401532
2023-03-04 14:42:00,665183,807315,639871,951585,1333841,452957
2023-03-04 14:44:00,1217761,2630195,645160,2231609,1608313,424163
2023-03-04 14:46:00,874409,1518286,638078,2382191,1421738,388388
2023-03-04 14:48:00,737992,801150,638009,955819,1405302,375572
2023-03-04 14:50:00,483950,942356,643879,1300327,1327206,407349
2023-03-04 14:52:00,778025,772556,636561,951562,1332344,366463
2023-03-04 14:54:00,1215190,2189077,640291,1896796,1577359,428069
2023-03-04 14:56:00,494623,806659,637438,962849,1375611,365432
2023-03-04 14:58:00,857306,867581,642928,1049592,1405106,425604
2023-03-04 15:00:00,659635,864374,641175,1131115,1325256,396883
2023-03-04 15:02:00,528707,771775,637861,1043348,1325743,378854
2023-03-04 15:04:00,1111126,1684458,647364,1529188,1474649,401927
2023-03-04 15:06:00,483763,758705,640281,964844,1324775,381217
2023-03-04 15:08:00,533816,791977,642068,959333,1379032,381556
2023-03-04 15:10:00,817642,949311,642486,1224330,1387888,428141
2023-03-04 15:12:00,556669,1518157,636421,2385078,1402826,391670
2023-03-04 15:14:00,722370,1225395,638501,1165041,1405783,366389
2023-03-04 15:16:00,821977,758490,639072,958635,1327217,378148
2023-03-04 15:18:00,653229,825814,637477,1033266,1436678,376920
2023-03-04 15:20:00,665431,1013139,645486,1450151,1418553,429108
2023-03-04 15:22:00,885795,848952,641824,1099802,1391378,395471
2023-03-04 15:24:00,557518,878809,636093,1091891,1338844,458603
2023-03-04 15:26:00,542095,749714,641665,1029106,1355984,382503
2023-03-04 15:28:00,904908,807136,637976,1030033,1393603,377712
2023-03-04 15:30:00,661365,1040776,638671,1446348,1479201,443404
2023-03-04 15:32:00,605919,846524,637537,1099800,1404117,395055
2023-03-04 15:34:00,845046,763427,639440,1028856,1332135,380039
2023-03-04 15:36:00,552231,758810,637495,1029257,1333209,381520
2023-03-04 15:38:00,626724,810792,642058,1033527,1413991,382151
2023-03-04 15:40:00,902004,1057591,645108,1281571,1499805,477778
2023-03-04 15:42:00,544293,878962,637808,1018470,1394782,469311
2023-03-04 15:44:00,639239,778275,641334,1072340,1349157,383946
2023-03-04 15:46:00,851715,767547,640937,1032995,1339362,381666
2023-03-04 15:48:00,682376,823648,639288,1107797,1419838,388955
2023-03-04 15:50:00,704483,1006577,645084,1382966,1424927,430780
2023-03-04 15:52:00,837036,785141,636081,1031455,1371630,369515
2023-03-04 15:54:00,562531,799858,642359,1035626,1388500,383272
2023-03-04 15:56:00,895991,895949,642079,1112942,1461490,419959
2023-03-04 15:58:00,961420,918514,636610,1107195,1520364,391931
2023-03-04 16:00:00,595792,1567233,639468,2540328,1450823,386470
2023-03-04 16:02:00,660812,785588,641310,1028603,1377444,377023
2023-03-04 16:04:00,843070,788915,638731,1046856,1375563,382046
2023-03-04 16:06:00,681380,881235,640187,1236722,1444181,416263
2023-03-04 16:08:00,965302,923413,637985,1107220,1527792,393097
2023-03-04 16:10:00,856906,934853,639441,1350180,1392188,391534
2023-03-04 16:12:00,553325,789208,639750,1021371,1384369,375869
2023-03-04 16:14:00,848716,825744,643252,1028340,1425184,459575
2023-03-04 16:16:00,1122372,973308,667171,1496626,1514138,470722
2023-03-04 16:18:00,660691,914306,636558,1116347,1511551,398314
2023-03-04 16:20:00,859006,948545,643024,1297162,1399698,398327
2023-03-04 16:22:00,825020,773126,645512,1024443,1357256,371124
2023-03-04 16:24:00,545888,1059643,646597,1036746,1371656,936987
2023-03-04 16:26:00,1246761,1321644,689046,1715703,1564331,451665
2023-03-04 16:28:00,946741,1588130,637528,2361309,1540015,394491
2023-03-04 16:30:00,562209,889250,639974,1211153,1383768,389809
2023-03-04 16:32:00,849445,782390,642624,1029429,1383658,380290
2023-03-04 16:34:00,807674,783134,642735,1033169,1370225,382122
2023-03-04 16:36:00,1125572,1618180,681200,1992119,1540494,404716
2023-03-04 16:38:00,897511,872122,638139,1020791,1439872,463251
2023-03-04 16:40:00,800847,873227,641043,1201303,1364280,387635
2023-03-04 16:42:00,600845,873308,645139,1114429,1457758,418921
2023-03-04 16:44:00,907779,879088,637301,1126107,1434484,384180
2023-03-04 16:46:00,1477223,2048985,686342,2176074,1592160,413796
2023-03-04 16:48:00,668808,909522,329566,2360128,1502099,365195
2023-03-04 16:50:00,855605,1012111,332987,1295687,1427026,392183
2023-03-04 16:52:00,903256,943843,332337,1185653,1474037,409348
2023-03-04 16:54:00,594244,996105,331533,1193982,1526607,405346
2023-03-04 16:56:00,1684644,2363308,373526,2457752,1570136,377384
2023-03-04 16:58:00,866722,904053,639413,1021214,1477302,369236
2023-03-04 17:00:00,541821,950557,331317,1195864,1401567,383944
2023-03-04 17:02:00,942348,1032270,333497,1195123,1544471,436201
2023-03-04 17:04:00,868986,1001176,639586,1217743,1485110,403585
2023-03-04 17:06:00,1386047,2756915,374787,2459376,1595388,388799
2023-03-04 17:08:00,911985,912420,330107,1021714,1489181,366439
2023-03-04 17:10:00,727515,964294,331104,1196216,1413364,386329
2023-03-04 17:12:00,657858,1032124,334186,1174226,1555700,432508
2023-03-04 17:14:00,883535,939713,330944,1113323,1466878,400959
2023-03-04 17:16:00,1558611,2821317,378082,2437544,1615352,388638
2023-03-04 17:18:00,641255,921898,328885,1018660,1510392,363040
2023-03-04 17:20:00,847092,1007600,333418,1289631,1416234,392828
2023-03-04 17:22:00,871977,940401,330301,1103194,1479024,399993
2023-03-04 17:24:00,565519,965742,332720,1031813,1496625,402670
2023-03-04 17:26:00,1527514,2820646,371561,2186787,1605834,371192
2023-03-04 17:28:00,868373,941517,329872,1128359,1535665,395790
2023-03-04 17:30:00,619376,906757,338833,1290019,1398391,403126
2023-03-04 17:32:00,856179,811599,334590,1028492,1392808,403033
2023-03-04 17:34:00,736707,794347,333131,1032440,1387726,378102
2023-03-04 17:36:00,1091436,2273500,328804,2004303,1509055,376687
2023-03-04 17:38:00,1019447,929733,328477,1178922,1524035,397432
2023-03-04 17:40:00,817268,1683580,337596,2707841,1466923,422438
2023-03-04 17:42:00,542682,787044,332306,1157592,1365634,375830
2023-03-04 17:44:00,845318,813316,331977,1046164,1380295,378742
2023-03-04 17:46:00,1087115,1870720,331994,1653386,1463892,408036
2023-03-04 17:48:00,719406,998121,333695,1186009,1582807,435700
2023-03-04 17:50:00,895247,1025972,333634,1374607,1445525,415492
2023-03-04 17:52:00,729325,845388,328835,1104667,1387496,364789
2023-03-04 17:54:00,558446,800938,331483,1054665,1429711,376114
2023-03-04 17:56:00,1053049,1495328,333622,1388559,1453426,377000
2023-03-04 17:58:00,897155,999552,333717,1188573,1579846,434437
2023-03-04 18:00:00,589074,962859,331762,1275414,1430234,408614
2023-03-04 18:02:00,853100,799351,330300,1013458,1386154,368678
2023-03-04 18:04:00,679215,807397,331128,1053712,1375156,375595
2023-03-04 18:06:00,554988,1106009,331184,1108770,1408135,379400
2023-03-04 18:08:00,923037,1197840,333960,1102546,1532747,976507
2023-03-04 18:10:00,672459,964463,331842,1193882,1436720,409288
2023-03-04 18:12:00,517573,800659,333064,1017081,1389246,368673
2023-03-04 18:14:00,859549,845752,333500,1181087,1394862,379772
2023-03-04 18:16:00,751805,819461,335524,1022461,1363164,465291
2023-03-04 18:18:00,596708,923039,332153,1042911,1579140,390565
2023-03-04 18:20:00,813158,961524,335452,1291234,1399231,395471
2023-03-04 18:22:00,806220,1467710,331448,2367788,1401445,377300
2023-03-04 18:24:00,561359,951820,333456,1230464,1457827,411613
2023-03-04 18:26:00,844646,872535,333163,1108276,1439046,397773
2023-03-04 18:28:00,813139,811270,327702,1012969,1421014,364835
2023-03-04 18:30:00,514934,897469,333879,1193849,1392113,387905
2023-03-04 18:32:00,810238,842180,330083,1023014,1392288,376869
2023-03-04 18:34:00,875101,973014,331410,1187466,1522509,434312
2023-03-04 18:36:00,540027,864118,322271,1094815,1432639,390922
2023-03-04 18:38:00,869216,830852,329550,1029955,1452516,364464
2023-03-04 18:40:00,815568,900088,334656,2546381,1396738,397823
2023-03-04 18:42:00,509771,795948,331054,1022749,1381601,375513
2023-03-04 18:44:00,893733,961213,334874,1188134,1507531,433339
2023-03-04 18:46:00,812274,875045,328764,1168338,1394948,390122
2023-03-04 18:48:00,589744,816630,326151,1017063,1418555,360816
2023-03-04 18:50:00,794003,920676,335049,1296397,1327817,401484
