"Time","avg","min","max"
2023-03-04 11:00:00,103,103,103
2023-03-04 11:02:00,100,100,100
2023-03-04 11:04:00,109,109,109
2023-03-04 11:06:00,102,102,102
2023-03-04 11:08:00,106,106,106
2023-03-04 11:10:00,106,106,106
2023-03-04 11:12:00,109,109,109
2023-03-04 11:14:00,106,106,106
2023-03-04 11:16:00,103,103,103
2023-03-04 11:18:00,104,104,104
2023-03-04 11:20:00,105,105,105
2023-03-04 11:22:00,136,136,136
2023-03-04 11:24:00,106,106,106
2023-03-04 11:26:00,103,103,103
2023-03-04 11:28:00,107,107,107
2023-03-04 11:30:00,105,105,105
2023-03-04 11:32:00,164,164,164
2023-03-04 11:34:00,105,105,105
2023-03-04 11:36:00,101,101,101
2023-03-04 11:38:00,104,104,104
2023-03-04 11:40:00,106,106,106
2023-03-04 11:42:00,198,198,198
2023-03-04 11:44:00,105,105,105
2023-03-04 11:46:00,102,102,102
2023-03-04 11:48:00,105,105,105
2023-03-04 11:50:00,106,106,106
2023-03-04 11:52:00,227,227,227
2023-03-04 11:54:00,105,105,105
2023-03-04 11:56:00,105,105,105
2023-03-04 11:58:00,105,105,105
2023-03-04 12:00:00,103,103,103
2023-03-04 12:02:00,234,234,234
2023-03-04 12:04:00,106,106,106
2023-03-04 12:06:00,102,102,102
2023-03-04 12:08:00,106,106,106
2023-03-04 12:10:00,103,103,103
2023-03-04 12:12:00,217,217,217
2023-03-04 12:14:00,105,105,105
2023-03-04 12:16:00,102,102,102
2023-03-04 12:18:00,104,104,104
2023-03-04 12:20:00,103,103,103
2023-03-04 12:22:00,177,177,177
2023-03-04 12:24:00,105,105,105
2023-03-04 12:26:00,103,103,103
2023-03-04 12:28:00,107,107,107
2023-03-04 12:30:00,102,102,102
2023-03-04 12:32:00,152,152,152
2023-03-04 12:34:00,103,103,103
2023-03-04 12:36:00,102,102,102
2023-03-04 12:38:00,105,105,105
2023-03-04 12:40:00,103,103,103
2023-03-04 12:42:00,132,132,132
2023-03-04 12:44:00,106,106,106
2023-03-04 12:46:00,103,103,103
2023-03-04 12:48:00,106,106,106
2023-03-04 12:50:00,105,105,105
2023-03-04 12:52:00,108,108,108
2023-03-04 12:54:00,107,107,107
2023-03-04 12:56:00,103,103,103
2023-03-04 12:58:00,104,104,104
2023-03-04 13:00:00,106,106,106
2023-03-04 13:02:00,104,104,104
2023-03-04 13:04:00,107,107,107
2023-03-04 13:06:00,102,102,102
2023-03-04 13:08:00,104,104,104
2023-03-04 13:10:00,104,104,104
2023-03-04 13:12:00,107,107,107
2023-03-04 13:14:00,104,104,104
2023-03-04 13:16:00,103,103,103
2023-03-04 13:18:00,105,105,105
2023-03-04 13:20:00,102,102,102
2023-03-04 13:22:00,102,102,102
2023-03-04 13:24:00,105,105,105
2023-03-04 13:26:00,101,101,101
2023-03-04 13:28:00,104,104,104
2023-03-04 13:30:00,103,103,103
2023-03-04 13:32:00,103,103,103
2023-03-04 13:34:00,105,105,105
2023-03-04 13:36:00,101,101,101
2023-03-04 13:38:00,104,104,104
2023-03-04 13:40:00,103,103,103
2023-03-04 13:42:00,100,100,100
2023-03-04 13:44:00,125,125,125
2023-03-04 13:46:00,101,101,101
2023-03-04 13:48:00,106,106,106
2023-03-04 13:50:00,103,103,103
2023-03-04 13:52:00,100,100,100
2023-03-04 13:54:00,149,149,149
2023-03-04 13:56:00,98.9,98.9,98.9
2023-03-04 13:58:00,104,104,104
