"Time","AVG_resident_memory_bytes","MAX_resident_memory_bytes_max","MIN_resident_memory_bytes_min"
2023-03-04 11:00:00,68968448,68968448,68968448
2023-03-04 11:02:00,68075520,68075520,68075520
2023-03-04 11:04:00,67837952,67837952,67837952
2023-03-04 11:06:00,66494464,66494464,66494464
2023-03-04 11:08:00,67145728,67145728,67145728
2023-03-04 11:10:00,67416064,67416064,67416064
2023-03-04 11:12:00,67416064,67416064,67416064
2023-03-04 11:14:00,68222976,68222976,68222976
2023-03-04 11:16:00,68284416,68284416,68284416
2023-03-04 11:18:00,69021696,69021696,69021696
2023-03-04 11:20:00,65372160,65372160,65372160
2023-03-04 11:22:00,67022848,67022848,67022848
2023-03-04 11:24:00,68362240,68362240,68362240
2023-03-04 11:26:00,65323008,65323008,65323008
2023-03-04 11:28:00,65826816,65826816,65826816
2023-03-04 11:30:00,65544192,65544192,65544192
2023-03-04 11:32:00,66625536,66625536,66625536
2023-03-04 11:34:00,67702784,67702784,67702784
2023-03-04 11:36:00,67969024,67969024,67969024
2023-03-04 11:38:00,68780032,68780032,68780032
2023-03-04 11:40:00,68059136,68059136,68059136
2023-03-04 11:42:00,66306048,66306048,66306048
2023-03-04 11:44:00,66748416,66748416,66748416
2023-03-04 11:46:00,66019328,66019328,66019328
2023-03-04 11:48:00,65888256,65888256,65888256
2023-03-04 11:50:00,66699264,66699264,66699264
2023-03-04 11:52:00,68587520,68587520,68587520
2023-03-04 11:54:00,67948544,67948544,67948544
2023-03-04 11:56:00,69959680,69959680,69959680
2023-03-04 11:58:00,68001792,68001792,68001792
2023-03-04 12:00:00,68591616,68591616,68591616
2023-03-04 12:02:00,68546560,68546560,68546560
2023-03-04 12:04:00,68661248,68661248,68661248
2023-03-04 12:06:00,67260416,67260416,67260416
2023-03-04 12:08:00,67158016,67158016,67158016
2023-03-04 12:10:00,67354624,67354624,67354624
2023-03-04 12:12:00,65236992,65236992,65236992
2023-03-04 12:14:00,65929216,65929216,65929216
2023-03-04 12:16:00,66998272,66998272,66998272
2023-03-04 12:18:00,67084288,67084288,67084288
2023-03-04 12:20:00,66646016,66646016,66646016
2023-03-04 12:22:00,67448832,67448832,67448832
2023-03-04 12:24:00,68255744,68255744,68255744
2023-03-04 12:26:00,67338240,67338240,67338240
2023-03-04 12:28:00,65708032,65708032,65708032
2023-03-04 12:30:00,67244032,67244032,67244032
2023-03-04 12:32:00,66961408,66961408,66961408
2023-03-04 12:34:00,67403776,67403776,67403776
2023-03-04 12:36:00,68214784,68214784,68214784
2023-03-04 12:38:00,66138112,66138112,66138112
2023-03-04 12:40:00,67952640,67952640,67952640
