"Time","Cluster","172.16.66.87:9796","172.16.66.90:9796","172.16.66.91:9796"
2023-03-04 11:00:00,0.0220,0.0222,0.0327,0.0112
2023-03-04 11:02:00,0.0205,0.0216,0.0256,0.0143
2023-03-04 11:04:00,0.0202,0.0207,0.0258,0.0141
2023-03-04 11:06:00,0.0225,0.0221,0.0327,0.0125
2023-03-04 11:08:00,0.0176,0.0217,0.0202,0.0108
2023-03-04 11:10:00,0.0206,0.0233,0.0258,0.0126
2023-03-04 11:12:00,0.0219,0.0209,0.0328,0.0121
2023-03-04 11:14:00,0.0172,0.0221,0.0184,0.0112
2023-03-04 11:16:00,0.0132,0.0228,0.0316,-0.015
2023-03-04 11:18:00,0.0222,0.0220,0.0323,0.0123
2023-03-04 11:20:00,0.0166,0.0201,0.0170,0.0128
2023-03-04 11:22:00,0.0215,0.0209,0.0326,0.0111
2023-03-04 11:24:00,0.0215,0.0203,0.0352,0.00910
2023-03-04 11:26:00,0.0170,0.0216,0.0187,0.0106
2023-03-04 11:28:00,0.0215,0.0208,0.0327,0.0109
2023-03-04 11:30:00,0.0207,0.0203,0.0308,0.0109
2023-03-04 11:32:00,0.0179,0.0229,0.0193,0.0116
2023-03-04 11:34:00,0.0212,0.0202,0.0327,0.0107
2023-03-04 11:36:00,0.0198,0.0195,0.0294,0.0106
2023-03-04 11:38:00,0.0186,0.0217,0.0234,0.0108
2023-03-04 11:40:00,0.0218,0.0211,0.0335,0.0109
2023-03-04 11:42:00,0.0201,0.0224,0.0272,0.0106
2023-03-04 11:44:00,0.0181,0.0202,0.0235,0.0106
2023-03-04 11:46:00,0.0215,0.0202,0.0336,0.0106
2023-03-04 11:48:00,0.0195,0.0210,0.0255,0.0121
2023-03-04 11:50:00,0.0196,0.0207,0.0260,0.0123
2023-03-04 11:52:00,0.0220,0.0218,0.0334,0.0109
2023-03-04 11:54:00,0.0189,0.0209,0.0251,0.0107
2023-03-04 11:56:00,0.0194,0.0207,0.0266,0.0107
2023-03-04 11:58:00,0.0218,0.0218,0.0328,0.0107
2023-03-04 12:00:00,0.0167,0.0182,0.0212,0.0107
2023-03-04 12:02:00,0.0228,0.0266,0.0311,0.0106
2023-03-04 12:04:00,0.0214,0.0201,0.0333,0.0107
2023-03-04 12:06:00,0.0173,0.0208,0.0188,0.0123
2023-03-04 12:08:00,0.0239,0.0210,0.0402,0.0106
2023-03-04 12:10:00,0.0215,0.0206,0.0332,0.0107
2023-03-04 12:12:00,0.0170,0.0215,0.0172,0.0124
2023-03-04 12:14:00,0.0209,0.0188,0.0329,0.0112
2023-03-04 12:16:00,0.0211,0.0209,0.0317,0.0107
2023-03-04 12:18:00,0.0137,0.0217,0.00877,0.0107
2023-03-04 12:20:00,0.0221,0.0229,0.0325,0.0110
2023-03-04 12:22:00,0.0205,0.0202,0.0308,0.0106
2023-03-04 12:24:00,0.0174,0.0246,0.0168,0.0107
2023-03-04 12:26:00,0.0131,-0.0040,0.0323,0.0111
2023-03-04 12:28:00,0.0195,0.0192,0.0287,0.0106
2023-03-04 12:30:00,0.0169,0.0202,0.0212,0.00940
2023-03-04 12:32:00,0.0219,0.0213,0.0333,0.0109
2023-03-04 12:34:00,0.0195,0.0195,0.0284,0.0105
2023-03-04 12:36:00,0.0171,0.0203,0.0205,0.0105
2023-03-04 12:38:00,0.0222,0.0216,0.0345,0.0105
2023-03-04 12:40:00,0.0185,0.0203,0.0280,0.00738
2023-03-04 12:42:00,0.0177,0.0200,0.0225,0.0106
2023-03-04 12:44:00,0.0213,0.0202,0.0330,0.0106
2023-03-04 12:46:00,0.0193,0.0203,0.0268,0.0107
2023-03-04 12:48:00,0.0188,0.0214,0.0242,0.0107
2023-03-04 12:50:00,0.0225,0.0205,0.0361,0.0109
2023-03-04 12:52:00,0.0172,0.0197,0.0261,0.00585
2023-03-04 12:54:00,0.0217,0.0264,0.0276,0.0112
2023-03-04 12:56:00,0.0213,0.0201,0.0329,0.0108
2023-03-04 12:58:00,0.0176,0.0217,0.0204,0.0107
