"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-04 11:00:00,0.00307,0.00807,0.720,0.110,0.00429,0.0306,0.000203,0.0982,0.110,0.0720,0.125
2023-03-04 11:02:00,0.00455,0.00809,0.175,0.104,0.00406,0.0315,0.000341,0.0969,0.179,0.0767,0.235
2023-03-04 11:04:00,0.00307,0.00554,0.680,0.0940,0.00401,0.0281,0.000396,0.0984,0.0921,0.0684,0.133
2023-03-04 11:06:00,0.00938,0.00896,0.659,0.129,0.00460,0.0311,0.000158,0.102,0.0973,0.0718,0.128
2023-03-04 11:08:00,0.00465,0.00584,0.141,0.110,0.00411,0.0291,0.000217,0.0986,0.0980,0.0746,0.128
2023-03-04 11:10:00,0.00437,0.00881,0.676,0.106,0.00419,0.0297,0.000147,0.0984,0.0955,0.0747,0.126
2023-03-04 11:12:00,0.00314,0.00967,0.705,0.0957,0.00368,0.0310,0.000319,0.0975,0.128,0.0716,0.139
2023-03-04 11:14:00,0.00312,0.00929,0.401,0.112,0.00363,0.0333,0.000188,0.0967,0.0934,0.0795,0.132
2023-03-04 11:16:00,0.00316,0.00723,0.794,0.103,0.00357,0.0286,0.000303,0.143,0.0920,0.0699,0.128
2023-03-04 11:18:00,0.0200,0.00666,0.491,0.102,0.00372,0.0307,0,0.123,0.0908,0.0752,0.126
2023-03-04 11:20:00,0.00325,0.00691,0.489,0.114,0.00383,0.0294,0.000414,0.137,0.0942,0.0733,0.127
2023-03-04 11:22:00,0.00308,0.00658,0.718,0.0890,0.00368,0.0301,0.000185,0.110,0.111,0.0722,0.129
2023-03-04 11:24:00,0.00325,0.00938,0.588,0.0990,0.00365,0.0305,0.000164,0.0949,0.0907,0.0750,0.134
2023-03-04 11:26:00,0.00323,0.0100,0.568,0.120,0.00349,0.0281,0.000338,0.0998,0.0930,0.0723,0.128
2023-03-04 11:28:00,0.00297,0.00717,0.833,0.0943,0.00359,0.0316,0.000173,0.101,0.0908,0.0718,0.128
2023-03-04 11:30:00,0.00322,0.00726,0.453,0.116,0.00359,0.0314,0.000393,0.0994,0.0932,0.0742,0.130
2023-03-04 11:32:00,0.00299,0.00671,0.631,0.101,0.00353,0.0317,0.000170,0.0969,0.0974,0.0716,0.127
2023-03-04 11:34:00,0.00305,0.00633,0.811,0.0962,0.00374,0.0293,0.000217,0.0978,0.0928,0.0731,0.123
2023-03-04 11:36:00,0.00868,0.00739,0.429,0.119,0.00364,0.0317,0.000325,0.0980,0.0889,0.0757,0.134
2023-03-04 11:38:00,0.00382,0.00747,0.714,0.0978,0.00361,0.0320,0.000291,0.118,0.0915,0.0757,0.128
2023-03-04 11:40:00,0.00424,0.00647,0.751,0.104,0.00357,0.0309,0.000381,0.0971,0.0938,0.0729,0.128
2023-03-04 11:42:00,0.0203,0.00698,0.309,0.109,0.00344,0.0337,0.000382,0.0979,0.0916,0.0734,0.128
2023-03-04 11:44:00,0.00411,0.00654,0.678,0.101,0.00351,0.0295,0.000363,0.0987,0.0927,0.0719,0.129
2023-03-04 11:46:00,0.00389,0.00736,0.704,0.106,0.00379,0.0312,0.000333,0.0984,0.0899,0.0724,0.127
2023-03-04 11:48:00,0.00441,0.00693,0.210,0.109,0.00374,0.0308,0.000373,0.0977,0.0911,0.0729,0.135
2023-03-04 11:50:00,0.00397,0.00655,0.678,0.100,0.00349,0.0283,0.000313,0.0985,0.0941,0.0749,0.123
2023-03-04 11:52:00,0.00420,0.00696,0.793,0.105,0.00367,0.0295,0.000186,0.0974,0.0886,0.0759,0.130
2023-03-04 11:54:00,0.00469,0.00634,0.158,0.110,0.00343,0.0327,0.000405,0.0984,0.0902,0.0784,0.135
2023-03-04 11:56:00,0.00407,0.00732,0.759,0.106,0.00368,0.0309,0.000301,0.0933,0.0899,0.0787,0.128
2023-03-04 11:58:00,0.00389,0.00683,0.663,0.0969,0.00349,0.0299,0.000199,0.117,0.0905,0.0767,0.129
2023-03-04 12:00:00,0.00414,0.00667,0.237,0.116,0.00356,0.0315,0.000188,0.0991,0.0919,0.0776,0.130
2023-03-04 12:02:00,0.00427,0.00674,0.700,0.0975,0.00359,0.0325,0.000306,0.0990,0.0900,0.0780,0.127
2023-03-04 12:04:00,0.00424,0.00693,0.531,0.101,0.00369,0.0309,0.000162,0.119,0.100,0.0770,0.149
2023-03-04 12:06:00,0.00927,0.00718,0.482,0.123,0.00362,0.0297,0.000357,0.0962,0.0910,0.0756,0.130
2023-03-04 12:08:00,0.00419,0.00715,0.723,0.0944,0.00359,0.0285,0.000321,0.0937,0.0913,0.0746,0.127
2023-03-04 12:10:00,0.00317,0.00683,0.344,0.108,0.00368,0.0303,0.000179,0.0963,0.0957,0.0768,0.132
2023-03-04 12:12:00,0.00329,0.00675,0.446,0.106,0.00367,0.0316,0.000274,0.129,0.0916,0.0776,0.130
2023-03-04 12:14:00,0.00302,0.00695,0.708,0.0946,0.00350,0.0307,0.000307,0.123,0.129,0.0772,0.167
