"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-04 11:00:00,9.90,18.3,1089,56.7,3.17,22.0,0,7.43,746,38.1,18.5
2023-03-04 11:04:00,9.41,18.1,1268,58.2,3.89,22.6,0,6.76,869,40.8,18.0
2023-03-04 11:08:00,10.00,17.7,1005,46.4,3.37,20.3,0,7.31,712,38.6,18.7
2023-03-04 11:12:00,10.3,18.4,1781,67.3,4.18,22.0,0,7.59,1263,40.2,51.8
2023-03-04 11:16:00,9.40,17.8,1070,49.2,3.41,22.1,0,7.04,742,38.0,18.4
2023-03-04 11:20:00,10.4,19.0,1052,54.5,3.37,20.2,0,7.40,743,39.8,18.2
2023-03-04 11:24:00,9.62,17.8,1012,45.9,3.33,22.9,0,8.85,693,38.8,18.5
2023-03-04 11:28:00,9.66,17.4,1030,43.6,3.50,21.8,0,9.16,708,36.8,18.8
2023-03-04 11:32:00,9.82,17.7,1844,46.2,3.46,21.1,0.0154,6.71,1418,37.4,57.9
2023-03-04 11:36:00,9.63,17.7,991,46.8,3.26,22.1,0,7.27,705,38.2,18.5
2023-03-04 11:40:00,9.79,18.9,1061,49.8,3.10,21.6,0,7.92,735,38.2,18.3
2023-03-04 11:44:00,9.56,17.6,938,45.3,3.44,21.8,0,7.05,673,36.9,18.7
2023-03-04 11:48:00,9.94,17.8,1066,46.1,3.14,21.6,0,7.39,749,38.2,18.6
2023-03-04 11:52:00,9.91,17.8,1810,43.8,3.33,20.4,0,7.10,1377,36.1,59.0
2023-03-04 11:56:00,9.83,17.7,1105,49.5,3.20,21.9,0,7.64,768,39.7,18.3
2023-03-04 12:00:00,9.75,18.4,1025,47.4,3.29,21.7,0,7.22,715,37.8,18.2
2023-03-04 12:04:00,9.83,18.0,1050,45.0,3.32,22.7,0,9.39,741,37.1,18.4
2023-03-04 12:08:00,23.9,17.7,1235,47.6,3.42,19.7,0,7.03,848,36.8,18.6
2023-03-04 12:12:00,9.88,17.5,1454,43.9,3.22,20.4,0,7.62,1154,38.1,30.1
2023-03-04 12:16:00,9.92,17.9,1082,49.5,3.47,20.7,0.0143,7.88,749,40.3,18.5
2023-03-04 12:20:00,9.85,19.1,1058,49.5,3.45,20.0,0,6.85,748,37.1,18.5
2023-03-04 12:24:00,10.1,17.9,987,47.5,3.24,21.2,0,7.03,695,38.5,18.7
2023-03-04 12:28:00,9.46,17.4,1001,45.7,3.28,19.7,0,8.57,720,39.0,18.6
2023-03-04 12:32:00,9.93,17.5,1096,47.3,3.46,19.8,0,7.17,791,39.0,20.9
2023-03-04 12:36:00,9.72,17.5,985,46.5,3.45,21.3,0,7.48,717,38.5,18.4
2023-03-04 12:40:00,9.74,19.1,993,47.6,3.11,22.9,0,7.07,716,38.0,18.4
2023-03-04 12:44:00,9.67,17.9,1084,47.2,3.30,20.3,0,7.61,741,38.1,18.5
2023-03-04 12:48:00,9.83,17.7,1046,43.4,3.16,20.2,0,7.15,732,37.3,18.2
2023-03-04 12:52:00,9.78,17.6,1048,48.7,3.16,20.7,0,7.50,769,39.0,18.3
2023-03-04 12:56:00,9.80,17.5,987,44.6,3.27,22.1,0,6.85,684,36.1,18.5
2023-03-04 13:00:00,9.96,18.5,1022,48.2,3.04,20.6,0,8.61,714,38.4,18.5
2023-03-04 13:04:00,9.89,17.9,966,46.0,3.22,21.7,0,7.42,687,37.3,19.6
2023-03-04 13:08:00,9.69,17.3,1030,44.2,3.13,21.9,0,8.21,725,37.7,18.5
2023-03-04 13:12:00,9.72,17.5,1018,47.8,3.25,21.5,0,7.66,725,40.1,18.5
2023-03-04 13:16:00,9.56,17.5,972,44.1,3.43,20.9,0,7.41,681,36.6,18.5
2023-03-04 13:20:00,10.1,19.2,1088,52.1,3.30,20.8,0,7.01,737,39.0,18.7
2023-03-04 13:24:00,9.59,18.0,1326,46.0,3.18,19.3,0.0168,7.44,962,38.0,38.8
