"Time","172.16.66.87:10250 DELETE ","172.16.66.87:10250 GET ","172.16.66.87:10250 PATCH ","172.16.66.87:10250 POST ","172.16.66.87:10250 PUT ","172.16.66.90:10250 DELETE ","172.16.66.90:10250 GET ","172.16.66.90:10250 PATCH ","172.16.66.90:10250 POST ","172.16.66.90:10250 PUT ","172.16.66.91:10250 DELETE ","172.16.66.91:10250 GET ","172.16.66.91:10250 PATCH ","172.16.66.91:10250 POST ","172.16.66.91:10250 PUT "
2023-03-04 11:00:00,,0.0537,0.0248,0.0692,0.0248,,0.0246,0.0248,0.0970,0.0964,,0.0246,0.0248,0.0975,0.0248
2023-03-04 11:02:00,,0.0585,0.0248,0.0943,0.0248,,0.0244,0.0248,0.0957,0.0978,,0.0943,0.0248,0.0974,0.0248
2023-03-04 11:04:00,0.0962,0.0533,0.0248,0.0954,0.0248,,0.0245,0.0248,0.0940,0.0986,,0.0955,,0.0969,0.0248
2023-03-04 11:06:00,0.0983,0.0573,0.0248,0.0902,0.0963,,0.0247,,0.0933,0.0987,,0.0828,0.0248,0.0978,0.0248
2023-03-04 11:08:00,0.0986,0.0554,0.0248,0.0850,0.0973,,0.0248,0.0248,0.0940,0.0966,,0.0242,0.0248,0.0981,0.0248
2023-03-04 11:10:00,0.0985,0.0443,0.0248,0.0224,0.0903,,0.0248,0.0248,0.0248,0.0248,,0.0246,0.0248,0.0970,0.0248
2023-03-04 11:12:00,0.0985,0.0505,0.0248,0.0846,0.0820,,0.0248,0.0248,0.0248,0.0248,,0.0247,0.0248,0.0948,0.0248
2023-03-04 11:14:00,0.0985,0.0534,0.0248,0.0891,0.0981,,0.0248,0.0248,0.0247,0.0248,,0.0247,,0.0248,0.0248
2023-03-04 11:16:00,,0.0474,0.0248,0.0239,0.0991,,0.0247,,0.0978,0.0248,,0.0246,0.0248,0.0248,0.0248
2023-03-04 11:18:00,,0.0437,0.0248,0.0700,0.0992,,0.0246,0.0248,0.0983,0.0248,,0.0247,0.0248,0.0248,0.0248
2023-03-04 11:20:00,,0.0436,0.0248,0.0700,0.0991,,0.0246,0.0248,0.0955,0.0248,,0.0247,0.0248,0.0962,0.0248
2023-03-04 11:22:00,,0.0342,0.0248,0.0230,0.0980,,0.0247,0.0248,0.0247,0.0248,,0.0248,0.0248,0.0948,0.0248
2023-03-04 11:24:00,,0.0344,0.0248,0.0236,0.0906,,0.0248,0.0248,0.0248,0.0248,,0.0248,,0.0248,0.0248
2023-03-04 11:26:00,,0.0436,0.0248,0.0745,0.0977,,0.0248,,0.0962,0.0248,,0.0246,0.0248,0.0955,0.0248
2023-03-04 11:28:00,,0.0535,0.0248,0.0850,0.0989,,0.0248,0.0248,0.0948,0.0248,,0.0247,0.0248,0.0974,0.0248
2023-03-04 11:30:00,,0.0532,0.0248,0.0700,0.0990,,0.0248,0.0248,0.0248,0.0248,,0.0955,0.0248,0.0978,0.0248
2023-03-04 11:32:00,,0.0414,0.0248,0.0238,0.0981,,0.0248,0.0248,0.0980,0.0248,,0.0983,0.0248,0.0983,0.0248
2023-03-04 11:34:00,,0.0436,0.0248,0.0790,0.0813,,0.0248,0.0248,0.0983,0.0248,,0.0971,,0.0978,0.0248
2023-03-04 11:36:00,,0.0436,0.0248,0.0861,0.0248,,0.0248,,0.0962,0.0248,,0.0248,0.0248,0.0248,0.0248
2023-03-04 11:38:00,,0.0474,0.0248,0.0625,0.0978,,0.0248,0.0248,0.0974,0.0248,,0.0247,0.0248,0.0247,0.0248
2023-03-04 11:40:00,,0.0507,0.0248,0.0831,0.0988,,0.0248,0.0248,0.0955,0.0248,,0.0943,,0.0248,0.0248
2023-03-04 11:42:00,,0.0475,0.0248,0.0850,0.0984,,0.0248,,0.0940,0.0248,,0.0957,0.0248,0.0925,0.0248
2023-03-04 11:44:00,,0.0536,0.0248,0.0737,0.0976,,0.0248,0.0248,0.0973,0.0248,,0.0820,0.0248,0.0925,0.0820
2023-03-04 11:46:00,,0.0585,0.0248,0.0854,0.0935,,0.0248,0.0248,0.0970,0.0248,,0.0246,0.0248,0.0245,0.0914
2023-03-04 11:48:00,,0.0586,0.0248,0.0842,0.0248,,0.0248,0.0248,0.0973,0.0248,,0.0247,0.0248,0.0247,0.0828
2023-03-04 11:50:00,,0.0536,0.0248,0.0943,0.0248,,0.0248,0.0248,0.0978,0.0248,,0.0248,,0.0976,0.0248
2023-03-04 11:52:00,,0.0506,0.0248,0.0957,0.0248,,0.0248,,0.0976,0.0248,,0.0248,0.0248,0.0976,0.0248
2023-03-04 11:54:00,,0.0586,0.0248,0.0928,0.0248,,0.0248,0.0248,0.0970,0.0248,,0.0248,0.0248,0.0963,0.0248
2023-03-04 11:56:00,,0.0507,0.0248,0.0670,0.0248,,0.0248,0.0248,0.0947,0.0248,,0.0248,0.0248,0.0970,0.0248
2023-03-04 11:58:00,,0.0474,0.0248,0.0230,0.0248,,0.0248,0.0248,0.0955,0.0248,,0.0247,0.0248,0.0248,0.0248
2023-03-04 12:00:00,,0.0507,0.0248,0.0790,0.0805,,0.0248,0.0248,0.0974,0.0248,,0.0245,,0.0248,0.0248
2023-03-04 12:02:00,,0.0437,0.0248,0.0730,0.0910,,0.0248,,0.0948,0.0248,,0.0247,0.0248,0.0248,0.0248
2023-03-04 12:04:00,,0.0342,0.0248,0.0236,0.0963,,0.0248,0.0248,0.0248,0.0248,,0.0248,0.0248,0.0955,0.0248
2023-03-04 12:06:00,,0.0394,0.0248,0.0715,0.0979,,0.0248,0.0248,0.0247,0.0248,,0.0246,0.0248,0.0970,0.0248
