"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-04 11:00:00,9.89,17.9,1056,51.4,3.28,21.5,0,13.3,726,38.4,19.0
2023-03-04 11:01:00,9.89,17.9,1056,51.4,3.28,21.5,0,13.3,726,38.4,19.0
2023-03-04 11:02:00,9.89,17.9,1056,51.4,3.28,21.5,0,13.3,726,38.4,19.0
2023-03-04 11:03:00,9.89,17.9,1056,51.4,3.28,21.5,0,13.3,726,38.4,19.0
2023-03-04 11:04:00,9.89,17.9,1056,51.4,3.28,21.5,0,13.3,726,38.4,19.0
2023-03-04 11:05:00,10.7,18.3,1312,54.6,3.60,21.5,0,13.1,931,39.3,27.1
2023-03-04 11:06:00,10.7,18.3,1312,54.6,3.60,21.5,0,13.1,931,39.3,27.1
2023-03-04 11:07:00,10.7,18.3,1312,54.6,3.60,21.5,0,13.1,931,39.3,27.1
2023-03-04 11:08:00,10.7,18.3,1312,54.6,3.60,21.5,0,13.1,931,39.3,27.1
2023-03-04 11:09:00,10.7,18.3,1312,54.6,3.60,21.5,0,13.1,931,39.3,27.1
2023-03-04 11:10:00,10.1,18.3,1200,54.2,4.71,21.1,0,13.2,831,42.5,18.5
2023-03-04 11:11:00,10.1,18.3,1200,54.2,4.71,21.1,0,13.2,831,42.5,18.5
2023-03-04 11:12:00,10.1,18.3,1200,54.2,4.71,21.1,0,13.2,831,42.5,18.5
2023-03-04 11:13:00,10.1,18.3,1200,54.2,4.71,21.1,0,13.2,831,42.5,18.5
2023-03-04 11:14:00,10.1,18.3,1200,54.2,4.71,21.1,0,13.2,831,42.5,18.5
2023-03-04 11:15:00,10.2,18.1,1285,59.9,3.43,20.5,0,13.8,911,38.3,26.9
2023-03-04 11:16:00,10.2,18.1,1285,59.9,3.43,20.5,0,13.8,911,38.3,26.9
2023-03-04 11:17:00,10.2,18.1,1285,59.9,3.43,20.5,0,13.8,911,38.3,26.9
2023-03-04 11:18:00,10.2,18.1,1285,59.9,3.43,20.5,0,13.8,911,38.3,26.9
2023-03-04 11:19:00,10.2,18.1,1285,59.9,3.43,20.5,0,13.8,911,38.3,26.9
2023-03-04 11:20:00,13.4,18.4,1066,50.8,3.39,21.1,0.00333,13.9,750,38.1,18.5
2023-03-04 11:21:00,13.4,18.4,1066,50.8,3.39,21.1,0.00333,13.9,750,38.1,18.5
2023-03-04 11:22:00,13.4,18.4,1066,50.8,3.39,21.1,0.00333,13.9,750,38.1,18.5
2023-03-04 11:23:00,13.4,18.4,1066,50.8,3.39,21.1,0.00333,13.9,750,38.1,18.5
2023-03-04 11:24:00,13.4,18.4,1066,50.8,3.39,21.1,0.00333,13.9,750,38.1,18.5
2023-03-04 11:25:00,9.71,17.5,1199,46.7,3.39,21.8,0.00667,13.5,866,38.7,26.9
2023-03-04 11:26:00,9.71,17.5,1199,46.7,3.39,21.8,0.00667,13.5,866,38.7,26.9
2023-03-04 11:27:00,9.71,17.5,1199,46.7,3.39,21.8,0.00667,13.5,866,38.7,26.9
2023-03-04 11:28:00,9.71,17.5,1199,46.7,3.39,21.8,0.00667,13.5,866,38.7,26.9
2023-03-04 11:29:00,9.71,17.5,1199,46.7,3.39,21.8,0.00667,13.5,866,38.7,26.9
2023-03-04 11:30:00,9.79,17.7,1000,47.6,3.27,21.1,0.00333,13.9,706,38.2,18.6
2023-03-04 11:31:00,9.79,17.7,1000,47.6,3.27,21.1,0.00333,13.9,706,38.2,18.6
2023-03-04 11:32:00,9.79,17.7,1000,47.6,3.27,21.1,0.00333,13.9,706,38.2,18.6
2023-03-04 11:33:00,9.79,17.7,1000,47.6,3.27,21.1,0.00333,13.9,706,38.2,18.6
2023-03-04 11:34:00,9.79,17.7,1000,47.6,3.27,21.1,0.00333,13.9,706,38.2,18.6
2023-03-04 11:35:00,10.3,18.6,1198,45.4,3.27,20.7,0.00333,13.5,859,36.9,26.7
2023-03-04 11:36:00,10.3,18.6,1198,45.4,3.27,20.7,0.00333,13.5,859,36.9,26.7
2023-03-04 11:37:00,10.3,18.6,1198,45.4,3.27,20.7,0.00333,13.5,859,36.9,26.7
2023-03-04 11:38:00,10.3,18.6,1198,45.4,3.27,20.7,0.00333,13.5,859,36.9,26.7
2023-03-04 11:39:00,10.3,18.6,1198,45.4,3.27,20.7,0.00333,13.5,859,36.9,26.7
2023-03-04 11:40:00,9.65,17.5,1022,46.0,3.29,21.6,0,13.5,733,37.7,18.7
2023-03-04 11:41:00,9.65,17.5,1022,46.0,3.29,21.6,0,13.5,733,37.7,18.7
2023-03-04 11:42:00,9.65,17.5,1022,46.0,3.29,21.6,0,13.5,733,37.7,18.7
2023-03-04 11:43:00,9.65,17.5,1022,46.0,3.29,21.6,0,13.5,733,37.7,18.7
2023-03-04 11:44:00,9.65,17.5,1022,46.0,3.29,21.6,0,13.5,733,37.7,18.7
2023-03-04 11:45:00,13.4,18.1,1204,47.6,3.36,21.1,0,12.9,859,38.2,27.1
2023-03-04 11:46:00,13.4,18.1,1204,47.6,3.36,21.1,0,12.9,859,38.2,27.1
2023-03-04 11:47:00,13.4,18.1,1204,47.6,3.36,21.1,0,12.9,859,38.2,27.1
2023-03-04 11:48:00,13.4,18.1,1204,47.6,3.36,21.1,0,12.9,859,38.2,27.1
2023-03-04 11:49:00,13.4,18.1,1204,47.6,3.36,21.1,0,12.9,859,38.2,27.1
2023-03-04 11:50:00,9.49,17.9,1041,48.5,3.33,20.9,0,13.4,724,38.9,18.5
2023-03-04 11:51:00,9.49,17.9,1041,48.5,3.33,20.9,0,13.4,724,38.9,18.5
2023-03-04 11:52:00,9.49,17.9,1041,48.5,3.33,20.9,0,13.4,724,38.9,18.5
