"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-04 11:00:00,1365,2679,986780,8023,448,6068,0.233,1116,638489,3109,8144
2023-03-04 11:01:00,1365,2679,986780,8023,448,6068,0.233,1116,638489,3109,8144
2023-03-04 11:02:00,1365,2679,986780,8023,448,6068,0.233,1116,638489,3109,8144
2023-03-04 11:03:00,1365,2679,986780,8023,448,6068,0.233,1116,638489,3109,8144
2023-03-04 11:04:00,1365,2679,986780,8023,448,6068,0.233,1116,638489,3109,8144
2023-03-04 11:05:00,1485,2717,1226735,8284,479,6043,0,1102,859060,3207,20356
2023-03-04 11:06:00,1485,2717,1226735,8284,479,6043,0,1102,859060,3207,20356
2023-03-04 11:07:00,1485,2717,1226735,8284,479,6043,0,1102,859060,3207,20356
2023-03-04 11:08:00,1485,2717,1226735,8284,479,6043,0,1102,859060,3207,20356
2023-03-04 11:09:00,1485,2717,1226735,8284,479,6043,0,1102,859060,3207,20356
2023-03-04 11:10:00,1358,2654,1365175,8018,527,5992,0,1106,970674,3211,7741
2023-03-04 11:11:00,1358,2654,1365175,8018,527,5992,0,1106,970674,3211,7741
2023-03-04 11:12:00,1358,2654,1365175,8018,527,5992,0,1106,970674,3211,7741
2023-03-04 11:13:00,1358,2654,1365175,8018,527,5992,0,1106,970674,3211,7741
2023-03-04 11:14:00,1358,2654,1365175,8018,527,5992,0,1106,970674,3211,7741
2023-03-04 11:15:00,1418,2699,1173871,8376,467,5825,0,1139,817411,3187,20295
2023-03-04 11:16:00,1418,2699,1173871,8376,467,5825,0,1139,817411,3187,20295
2023-03-04 11:17:00,1418,2699,1173871,8376,467,5825,0,1139,817411,3187,20295
2023-03-04 11:18:00,1418,2699,1173871,8376,467,5825,0,1139,817411,3187,20295
2023-03-04 11:19:00,1418,2699,1173871,8376,467,5825,0,1139,817411,3187,20295
2023-03-04 11:20:00,1751,2743,1005348,7961,465,6134,0,1163,674341,3154,7855
2023-03-04 11:21:00,1751,2743,1005348,7961,465,6134,0,1163,674341,3154,7855
2023-03-04 11:22:00,1751,2743,1005348,7961,465,6134,0,1163,674341,3154,7855
2023-03-04 11:23:00,1751,2743,1005348,7961,465,6134,0,1163,674341,3154,7855
2023-03-04 11:24:00,1751,2743,1005348,7961,465,6134,0,1163,674341,3154,7855
2023-03-04 11:25:00,1367,2640,1084318,7683,463,6060,0,1124,750998,3062,20507
2023-03-04 11:26:00,1367,2640,1084318,7683,463,6060,0,1124,750998,3062,20507
2023-03-04 11:27:00,1367,2640,1084318,7683,463,6060,0,1124,750998,3062,20507
2023-03-04 11:28:00,1367,2640,1084318,7683,463,6060,0,1124,750998,3062,20507
2023-03-04 11:29:00,1367,2640,1084318,7683,463,6060,0,1124,750998,3062,20507
2023-03-04 11:30:00,1370,2646,936292,7777,451,6074,0.467,1156,619050,3066,7931
2023-03-04 11:31:00,1370,2646,936292,7777,451,6074,0.467,1156,619050,3066,7931
2023-03-04 11:32:00,1370,2646,936292,7777,451,6074,0.467,1156,619050,3066,7931
2023-03-04 11:33:00,1370,2646,936292,7777,451,6074,0.467,1156,619050,3066,7931
2023-03-04 11:34:00,1370,2646,936292,7777,451,6074,0.467,1156,619050,3066,7931
2023-03-04 11:35:00,1463,2822,1081473,7001,453,5716,0.467,1145,756270,3033,20155
2023-03-04 11:36:00,1463,2822,1081473,7001,453,5716,0.467,1145,756270,3033,20155
2023-03-04 11:37:00,1463,2822,1081473,7001,453,5716,0.467,1145,756270,3033,20155
2023-03-04 11:38:00,1463,2822,1081473,7001,453,5716,0.467,1145,756270,3033,20155
2023-03-04 11:39:00,1463,2822,1081473,7001,453,5716,0.467,1145,756270,3033,20155
2023-03-04 11:40:00,1359,2632,955956,7751,451,6182,0.233,1137,641430,3074,7999
2023-03-04 11:41:00,1359,2632,955956,7751,451,6182,0.233,1137,641430,3074,7999
2023-03-04 11:42:00,1359,2632,955956,7751,451,6182,0.233,1137,641430,3074,7999
2023-03-04 11:43:00,1359,2632,955956,7751,451,6182,0.233,1137,641430,3074,7999
2023-03-04 11:44:00,1359,2632,955956,7751,451,6182,0.233,1137,641430,3074,7999
2023-03-04 11:45:00,1771,2717,1101037,7558,465,5893,0,1073,762441,3069,20496
2023-03-04 11:46:00,1771,2717,1101037,7558,465,5893,0,1073,762441,3069,20496
2023-03-04 11:47:00,1771,2717,1101037,7558,465,5893,0,1073,762441,3069,20496
