".+",".+"
2023-03-04 11:00:00,1.34 MB/s
2023-03-04 11:20:00,1.34 MB/s
2023-03-04 11:40:00,1.32 MB/s
2023-03-04 12:00:00,1.27 MB/s
2023-03-04 12:20:00,1.31 MB/s
2023-03-04 12:40:00,1.28 MB/s
2023-03-04 13:00:00,1.33 MB/s
2023-03-04 13:20:00,1.33 MB/s
2023-03-04 13:40:00,1.35 MB/s
2023-03-04 14:00:00,1.30 MB/s
2023-03-04 14:20:00,1.31 MB/s
2023-03-04 14:40:00,1.33 MB/s
2023-03-04 15:00:00,1.28 MB/s
2023-03-04 15:20:00,1.30 MB/s
2023-03-04 15:40:00,1.30 MB/s
2023-03-04 16:00:00,1.37 MB/s
2023-03-04 16:20:00,1.44 MB/s
2023-03-04 16:40:00,1.46 MB/s
2023-03-04 17:00:00,1.50 MB/s
2023-03-04 17:20:00,1.59 MB/s
2023-03-04 17:40:00,1.57 MB/s
2023-03-04 18:00:00,1.58 MB/s
2023-03-04 18:20:00,1.54 MB/s
2023-03-04 18:40:00,1.58 MB/s
2023-03-04 19:00:00,1.50 MB/s
2023-03-04 19:20:00,1.54 MB/s
2023-03-04 19:40:00,1.50 MB/s
2023-03-04 20:00:00,1.60 MB/s
2023-03-04 20:20:00,1.61 MB/s
2023-03-04 20:40:00,1.55 MB/s
2023-03-04 21:00:00,1.52 MB/s
2023-03-04 21:20:00,1.55 MB/s
2023-03-04 21:40:00,1.53 MB/s
2023-03-04 22:00:00,1.56 MB/s
2023-03-04 22:20:00,1.52 MB/s
2023-03-04 22:40:00,1.51 MB/s
2023-03-04 23:00:00,1.54 MB/s
2023-03-04 23:20:00,1.46 MB/s
2023-03-04 23:40:00,1.38 MB/s
2023-03-05 00:00:00,1.33 MB/s
2023-03-05 00:20:00,1.28 MB/s
2023-03-05 00:40:00,1.29 MB/s
2023-03-05 01:00:00,1.29 MB/s
2023-03-05 01:20:00,1.28 MB/s
2023-03-05 01:40:00,1.28 MB/s
2023-03-05 02:00:00,1.29 MB/s
2023-03-05 02:20:00,1.29 MB/s
2023-03-05 02:40:00,1.29 MB/s
2023-03-05 03:00:00,1.33 MB/s
2023-03-05 03:20:00,1.35 MB/s
2023-03-05 03:40:00,1.31 MB/s
2023-03-05 04:00:00,1.29 MB/s
2023-03-05 04:20:00,1.29 MB/s
2023-03-05 04:40:00,1.31 MB/s
2023-03-05 05:00:00,1.28 MB/s
2023-03-05 05:20:00,1.31 MB/s
2023-03-05 05:40:00,1.36 MB/s
2023-03-05 06:00:00,1.28 MB/s
2023-03-05 06:20:00,1.30 MB/s
2023-03-05 06:40:00,1.30 MB/s
2023-03-05 07:00:00,1.28 MB/s
2023-03-05 07:20:00,1.38 MB/s
2023-03-05 07:40:00,1.52 MB/s
2023-03-05 08:00:00,1.49 MB/s
2023-03-05 08:20:00,1.52 MB/s
2023-03-05 08:40:00,1.56 MB/s
2023-03-05 09:00:00,1.58 MB/s
2023-03-05 09:20:00,1.53 MB/s
2023-03-05 09:40:00,1.52 MB/s
2023-03-05 10:00:00,1.62 MB/s
2023-03-05 10:20:00,1.58 MB/s
2023-03-05 10:40:00,1.56 MB/s
2023-03-05 11:00:00,1.56 MB/s
2023-03-05 11:20:00,1.50 MB/s
2023-03-05 11:40:00,1.51 MB/s
2023-03-05 12:00:00,1.55 MB/s
2023-03-05 12:20:00,1.51 MB/s
2023-03-05 12:40:00,1.54 MB/s
2023-03-05 13:00:00,1.60 MB/s
2023-03-05 13:20:00,1.61 MB/s
2023-03-05 13:40:00,1.52 MB/s
2023-03-05 14:00:00,1.53 MB/s
2023-03-05 14:20:00,1.52 MB/s
2023-03-05 14:40:00,1.52 MB/s
2023-03-05 15:00:00,1.53 MB/s
2023-03-05 15:20:00,1.33 MB/s
2023-03-05 15:40:00,1.28 MB/s
2023-03-05 16:00:00,1.31 MB/s
2023-03-05 16:20:00,1.29 MB/s
2023-03-05 16:40:00,1.35 MB/s
2023-03-05 17:00:00,1.40 MB/s

