".+",".+"
2023-03-04 11:00:00,1.66 MB/s
2023-03-04 11:20:00,1.71 MB/s
2023-03-04 11:40:00,1.63 MB/s
2023-03-04 12:00:00,1.57 MB/s
2023-03-04 12:20:00,1.62 MB/s
2023-03-04 12:40:00,1.58 MB/s
2023-03-04 13:00:00,1.67 MB/s
2023-03-04 13:20:00,1.68 MB/s
2023-03-04 13:40:00,1.70 MB/s
2023-03-04 14:00:00,1.60 MB/s
2023-03-04 14:20:00,1.62 MB/s
2023-03-04 14:40:00,1.66 MB/s
2023-03-04 15:00:00,1.58 MB/s
2023-03-04 15:20:00,1.59 MB/s
2023-03-04 15:40:00,1.60 MB/s
2023-03-04 16:00:00,1.70 MB/s
2023-03-04 16:20:00,1.77 MB/s
2023-03-04 16:40:00,1.76 MB/s
2023-03-04 17:00:00,1.82 MB/s
2023-03-04 17:20:00,1.96 MB/s
2023-03-04 17:40:00,1.94 MB/s
2023-03-04 18:00:00,1.96 MB/s
2023-03-04 18:20:00,1.87 MB/s
2023-03-04 18:40:00,1.94 MB/s
2023-03-04 19:00:00,1.82 MB/s
2023-03-04 19:20:00,1.88 MB/s
2023-03-04 19:40:00,1.82 MB/s
2023-03-04 20:00:00,1.99 MB/s
2023-03-04 20:20:00,1.98 MB/s
2023-03-04 20:40:00,1.92 MB/s
2023-03-04 21:00:00,1.85 MB/s
2023-03-04 21:20:00,1.88 MB/s
2023-03-04 21:40:00,1.84 MB/s
2023-03-04 22:00:00,1.93 MB/s
2023-03-04 22:20:00,1.85 MB/s
2023-03-04 22:40:00,1.83 MB/s
2023-03-04 23:00:00,1.88 MB/s
2023-03-04 23:20:00,1.80 MB/s
2023-03-04 23:40:00,1.71 MB/s
2023-03-05 00:00:00,1.63 MB/s
2023-03-05 00:20:00,1.58 MB/s
2023-03-05 00:40:00,1.59 MB/s
2023-03-05 01:00:00,1.60 MB/s
2023-03-05 01:20:00,1.59 MB/s
2023-03-05 01:40:00,1.58 MB/s
2023-03-05 02:00:00,1.59 MB/s
2023-03-05 02:20:00,1.60 MB/s
2023-03-05 02:40:00,1.59 MB/s
2023-03-05 03:00:00,1.68 MB/s
2023-03-05 03:20:00,1.71 MB/s
2023-03-05 03:40:00,1.62 MB/s
2023-03-05 04:00:00,1.61 MB/s
2023-03-05 04:20:00,1.60 MB/s
2023-03-05 04:40:00,1.61 MB/s
2023-03-05 05:00:00,1.58 MB/s
2023-03-05 05:20:00,1.60 MB/s
2023-03-05 05:40:00,1.71 MB/s
2023-03-05 06:00:00,1.59 MB/s
2023-03-05 06:20:00,1.60 MB/s
2023-03-05 06:40:00,1.62 MB/s
2023-03-05 07:00:00,1.59 MB/s
2023-03-05 07:20:00,1.69 MB/s
2023-03-05 07:40:00,1.89 MB/s
2023-03-05 08:00:00,1.82 MB/s
2023-03-05 08:20:00,1.85 MB/s
2023-03-05 08:40:00,1.93 MB/s
2023-03-05 09:00:00,1.97 MB/s
2023-03-05 09:20:00,1.90 MB/s
2023-03-05 09:40:00,1.86 MB/s
2023-03-05 10:00:00,1.99 MB/s
2023-03-05 10:20:00,1.96 MB/s
2023-03-05 10:40:00,1.92 MB/s
2023-03-05 11:00:00,1.88 MB/s
2023-03-05 11:20:00,1.83 MB/s
2023-03-05 11:40:00,1.83 MB/s
2023-03-05 12:00:00,1.90 MB/s
2023-03-05 12:20:00,1.85 MB/s
2023-03-05 12:40:00,1.86 MB/s
2023-03-05 13:00:00,1.97 MB/s
2023-03-05 13:20:00,1.99 MB/s
2023-03-05 13:40:00,1.85 MB/s
2023-03-05 14:00:00,1.85 MB/s
2023-03-05 14:20:00,1.85 MB/s
2023-03-05 14:40:00,1.88 MB/s
2023-03-05 15:00:00,1.90 MB/s
2023-03-05 15:20:00,1.63 MB/s
2023-03-05 15:40:00,1.59 MB/s
2023-03-05 16:00:00,1.64 MB/s
2023-03-05 16:20:00,1.59 MB/s
2023-03-05 16:40:00,1.68 MB/s
2023-03-05 17:00:00,1.75 MB/s

