"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-7bbf9dc945-wgc5n","carts-db-ff8647ccb-625wk","catalogue-6479dbb5bd-ztk4n","catalogue-db-6b55d8cdb7-8f5px","cert-manager-5fdbd97fb5-k5sgc","cert-manager-cainjector-7c44879bc4-8f46r","cert-manager-webhook-5db84854c8-prk9f","cilium-96sjj","cilium-kqw9v","cilium-nz7k5","cilium-operator-d7fc69fd7-dqw9c","coredns-7b5bbc6644-8s9sw","csi-attacher-59db6bb96c-cspqm","csi-attacher-59db6bb96c-nflgg","csi-attacher-59db6bb96c-qp9gf","csi-provisioner-6d44d79b88-55sxw","csi-provisioner-6d44d79b88-5vvcp","csi-provisioner-6d44d79b88-m2bpr","csi-resizer-74cc7c9c95-5mn8f","csi-resizer-74cc7c9c95-xvkt5","csi-resizer-74cc7c9c95-zwwhb","csi-snapshotter-7f7685dfdb-dvf79","csi-snapshotter-7f7685dfdb-qlqr8","csi-snapshotter-7f7685dfdb-xj5hp","deathstar-f694cf746-9r77t","deathstar-f694cf746-v6ngk","engine-image-ei-87057037-796m4","engine-image-ei-87057037-p2lq2","engine-image-ei-87057037-w4xvv","falco-8kjnl","falco-falcosidekick-5b8c958b97-7gh7g","falco-falcosidekick-5b8c958b97-xkck5","falco-falcosidekick-bb977cdb8-x879q","falco-falcosidekick-bb977cdb8-xswp7","falco-falcosidekick-ui-5854bc5d66-dzkn8","falco-falcosidekick-ui-5854bc5d66-m7c99","falco-falcosidekick-ui-5854bc5d66-mh4l7","falco-falcosidekick-ui-5854bc5d66-nxwsj","falco-fz542","falco-h68pg","falco-jdbll","falco-tzbrf","falco-z6wn2","fleet-agent-86bcc7466d-cw5jt","fleet-controller-7bbd96b579-lbk6x","front-end-7f5c844b4c-76psx","gitjob-5bd78d7cd9-ghsfh","grafana-84476dcf4b-b2rzw","hubble-relay-6565cf56c6-rk28p","hubble-ui-64bd8dcbf5-9bglp","instance-manager-e-5cbcfde887818f02479ecd49ddfb14d5","instance-manager-e-b6b3dc1cc7a5c320053b73fa4f3cb7a1","instance-manager-e-fbeef6d22336c3aa6e333b77d368076e","instance-manager-r-5cbcfde887818f02479ecd49ddfb14d5","instance-manager-r-b6b3dc1cc7a5c320053b73fa4f3cb7a1","instance-manager-r-fbeef6d22336c3aa6e333b77d368076e","local-path-provisioner-687d6d7765-4lwrj","longhorn-admission-webhook-65dddb89d6-2rbwq","longhorn-admission-webhook-65dddb89d6-z9nxp","longhorn-conversion-webhook-dff96899b-vmqdl","longhorn-conversion-webhook-dff96899b-xb65d","longhorn-csi-plugin-62jm8","longhorn-csi-plugin-9q2xk","longhorn-csi-plugin-nmpsg","longhorn-driver-deployer-5b7f74f969-rcpsf","longhorn-manager-2ttvr","longhorn-manager-4lsj6","longhorn-manager-s4fc2","longhorn-recovery-backend-dbb6555bf-pjmtl","longhorn-recovery-backend-dbb6555bf-wb6xh","longhorn-ui-d455dd57-4hs7c","longhorn-ui-d455dd57-4z5ch","metrics-server-667586758d-k64jw","orders-74f65597c5-45fqh","orders-db-795cb4dcd8-t59bb","payment-c7df5b49-r6bss","prometheus-7dbb447479-79nfm","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-2m9fz","pushprox-k3s-server-client-v8dk9","pushprox-k3s-server-client-zfx6n","pushprox-k3s-server-proxy-695c9cdf7d-9bqfv","queue-master-9fc44d68d-bfj7q","rabbitmq-6576689cc9-hfjgj","rancher-7c5dbf46fc-27f7d","rancher-7c5dbf46fc-rb98c","rancher-7c5dbf46fc-rls52","rancher-monitoring-grafana-586df56bff-4glt8","rancher-monitoring-kube-state-metrics-77ddfd789b-z7zbc","rancher-monitoring-operator-ff6cfcc76-5kv2w","rancher-monitoring-prometheus-adapter-79d8db9697-xq2qk","rancher-monitoring-prometheus-node-exporter-f46wj","rancher-monitoring-prometheus-node-exporter-zmmz4","rancher-monitoring-prometheus-node-exporter-zq2bg","rancher-webhook-577b778f8f-k28js","session-db-695f7fd48f-nr9fx","shipping-79c568cddc-6z99f","svclb-traefik-9c583342-4hg85","svclb-traefik-9c583342-cbx5c","svclb-traefik-9c583342-r4n55","tiefighter","traefik-64b96ccbcd-h7528","ubuntu","user-79dddf5cc9-mz6gj","user-db-b8dfb847c-q49p8","xwing"
2023-03-04 11:00:00,216,37.2,19.6,311,0.233,212,162,155,171060,108487,51034,112183,380,121,125,461,454,115,119,120,456,113,459,125,115,0,0,0,0,0,1126,190,196,73.8,76.5,3.38,21.7,21.0,3.52,198,195,1315,194,870,4340,4425,437,2591,77.4,83.7,0,65.0,64.6,66.3,68.4,67.2,65.5,4.22,1874,1849,33.3,34.2,87.9,90.3,89.2,0,1842,1832,1820,1799,1917,0,0,1964,39.8,18.4,298,71281,45464,52002,113828,172108,17683,3.77,4.51,8132,15310,8267,104,1490,308,23208,49985,115943,164234,2074,0.360,0,0,0,0,0,174,0,411,147,0
2023-03-04 11:02:00,216,37.2,19.6,311,0.233,212,162,155,171060,108487,51034,112183,380,121,125,461,454,115,119,120,456,113,459,125,115,0,0,0,0,0,1126,190,196,73.8,76.5,3.38,21.7,21.0,3.52,198,195,1315,194,870,4340,4425,437,2591,77.4,83.7,0,65.0,64.6,66.3,68.4,67.2,65.5,4.22,1874,1849,33.3,34.2,87.9,90.3,89.2,0,1842,1832,1820,1799,1917,0,0,1964,39.8,18.4,298,71281,45464,52002,113828,172108,17683,3.77,4.51,8132,15310,8267,104,1490,308,23208,49985,115943,164234,2074,0.360,0,0,0,0,0,174,0,411,147,0
2023-03-04 11:04:00,216,37.2,19.6,311,0.233,212,162,155,171060,108487,51034,112183,380,121,125,461,454,115,119,120,456,113,459,125,115,0,0,0,0,0,1126,190,196,73.8,76.5,3.38,21.7,21.0,3.52,198,195,1315,194,870,4340,4425,437,2591,77.4,83.7,0,65.0,64.6,66.3,68.4,67.2,65.5,4.22,1874,1849,33.3,34.2,87.9,90.3,89.2,0,1842,1832,1820,1799,1917,0,0,1964,39.8,18.4,298,71281,45464,52002,113828,172108,17683,3.77,4.51,8132,15310,8267,104,1490,308,23208,49985,115943,164234,2074,0.360,0,0,0,0,0,174,0,411,147,0
2023-03-04 11:06:00,199,334,210,407,37.6,741,430,160,187496,146696,85023,140424,449,124,124,446,438,125,122,126,433,126,451,128,132,0,0,0,0,0,1126,190,197,73.8,76.5,3.38,21.7,21.0,3.52,189,189,1315,194,870,5579,4877,1229,2867,103,90.3,0,67.2,66.3,65.7,63.1,67.2,69.2,3.82,2336,2297,209,206,92.4,88.6,91.3,0,2174,2158,2233,2220,2198,0,0,1979,39.8,20.3,289,71007,40494,84700,144373,194787,17693,4.07,4.44,9747,17448,9716,157,1819,26589,18348,84789,139241,194605,2304,35.4,0,0,0.233,0,0,13580,0,419,175,0
2023-03-04 11:08:00,199,334,210,407,37.6,741,430,160,187496,146696,85023,140424,449,124,124,446,438,125,122,126,433,126,451,128,132,0,0,0,0,0,1126,190,197,73.8,76.5,3.38,21.7,21.0,3.52,189,189,1315,194,870,5579,4877,1229,2867,103,90.3,0,67.2,66.3,65.7,63.1,67.2,69.2,3.82,2336,2297,209,206,92.4,88.6,91.3,0,2174,2158,2233,2220,2198,0,0,1979,39.8,20.3,289,71007,40494,84700,144373,194787,17693,4.07,4.44,9747,17448,9716,157,1819,26589,18348,84789,139241,194605,2304,35.4,0,0,0.233,0,0,13580,0,419,175,0
2023-03-04 11:10:00,222,38.5,19,303,0,5995,4400,156,198307,115619,108500,115874,384,131,125,437,447,122,125,127,441,123,490,122,125,0,0,0,0,0,1126,192,187,73.8,76.5,3.38,21.7,21.0,3.52,195,198,1315,195,870,7186,7321,410,5431,77.0,87.2,0.233,68.4,65.9,66.8,65.0,66.3,63.0,4.52,7565,7583,2858,2846,89.9,90.1,92.4,0,4838,4805,4848,4842,4799,0,0,1956,35.9,18.4,307,70052,42735,108253,111871,190103,16338,3.77,4.79,17826,26301,17394,104,3703,23094,25072,110008,117820,188583,4914,0.360,0,0,0,0.233,0,5807,0,409,142,0
2023-03-04 11:12:00,222,38.5,19,303,0,5995,4400,156,198307,115619,108500,115874,384,131,125,437,447,122,125,127,441,123,490,122,125,0,0,0,0,0,1126,192,187,73.8,76.5,3.38,21.7,21.0,3.52,195,198,1315,195,870,7186,7321,410,5431,77.0,87.2,0.233,68.4,65.9,66.8,65.0,66.3,63.0,4.52,7565,7583,2858,2846,89.9,90.1,92.4,0,4838,4805,4848,4842,4799,0,0,1956,35.9,18.4,307,70052,42735,108253,111871,190103,16338,3.77,4.79,17826,26301,17394,104,3703,23094,25072,110008,117820,188583,4914,0.360,0,0,0,0.233,0,5807,0,409,142,0
2023-03-04 11:14:00,222,38.5,19,303,0,5995,4400,156,198307,115619,108500,115874,384,131,125,437,447,122,125,127,441,123,490,122,125,0,0,0,0,0,1126,192,187,73.8,76.5,3.38,21.7,21.0,3.52,195,198,1315,195,870,7186,7321,410,5431,77.0,87.2,0.233,68.4,65.9,66.8,65.0,66.3,63.0,4.52,7565,7583,2858,2846,89.9,90.1,92.4,0,4838,4805,4848,4842,4799,0,0,1956,35.9,18.4,307,70052,42735,108253,111871,190103,16338,3.77,4.79,17826,26301,17394,104,3703,23094,25072,110008,117820,188583,4914,0.360,0,0,0,0.233,0,5807,0,409,142,0
2023-03-04 11:16:00,197,387,215,420,37.2,633,426,148,191367,140327,67202,141015,441,121,124,454,454,125,122,123,439,127,468,125,125,0,0,0,0,0,1126,189,200,73.8,76.5,3.38,21.7,21.0,3.52,195,994,1315,1131,870,4681,4662,1201,2826,101,87.4,0,63.9,68.1,64.6,67.0,64.0,67.0,4.57,2215,2255,206,206,88.4,88.6,88.6,0,2069,2078,1964,2079,2073,0,0.233,1971,39.8,19,299,67787,42775,68685,142829,190330,19004,4.31,4.44,11562,18374,11882,161,1664,9306,18882,66593,141277,193859,2200,31.4,0,0,0,0,0,13558,0,409,141,0
2023-03-04 11:18:00,197,387,215,420,37.2,633,426,148,191367,140327,67202,141015,441,121,124,454,454,125,122,123,439,127,468,125,125,0,0,0,0,0,1126,189,200,73.8,76.5,3.38,21.7,21.0,3.52,195,994,1315,1131,870,4681,4662,1201,2826,101,87.4,0,63.9,68.1,64.6,67.0,64.0,67.0,4.57,2215,2255,206,206,88.4,88.6,88.6,0,2069,2078,1964,2079,2073,0,0.233,1971,39.8,19,299,67787,42775,68685,142829,190330,19004,4.31,4.44,11562,18374,11882,161,1664,9306,18882,66593,141277,193859,2200,31.4,0,0,0,0,0,13558,0,409,141,0
2023-03-04 11:20:00,214,38.5,20.3,300,0,223,167,156,166368,109587,49922,115031,373,128,127,446,447,122,125,123,456,129,468,132,132,0,0.233,0,0,0,1126,197,192,73.8,76.5,3.38,21.7,21.0,3.52,624,2314,1315,307,870,18330,4656,418,2559,80.1,87.2,0,66.1,65.9,66.6,69.2,66.3,66.6,5.76,1846,1848,34.6,32.8,88.2,93.0,91.3,0,1798,1860,1927,1832,1752,0,0,2005,37.5,19,294,69841,41283,49071,112850,168247,17762,3.85,4.55,7998,15406,7891,104,1526,313,18331,50890,109951,173192,2087,0.360,0,0,0,0,0,181,0,409,144,0
2023-03-04 11:22:00,214,38.5,20.3,300,0,223,167,156,166368,109587,49922,115031,373,128,127,446,447,122,125,123,456,129,468,132,132,0,0.233,0,0,0,1126,197,192,73.8,76.5,3.38,21.7,21.0,3.52,624,2314,1315,307,870,18330,4656,418,2559,80.1,87.2,0,66.1,65.9,66.6,69.2,66.3,66.6,5.76,1846,1848,34.6,32.8,88.2,93.0,91.3,0,1798,1860,1927,1832,1752,0,0,2005,37.5,19,294,69841,41283,49071,112850,168247,17762,3.85,4.55,7998,15406,7891,104,1526,313,18331,50890,109951,173192,2087,0.360,0,0,0,0,0,181,0,409,144,0
2023-03-04 11:24:00,214,38.5,20.3,300,0,223,167,156,166368,109587,49922,115031,373,128,127,446,447,122,125,123,456,129,468,132,132,0,0.233,0,0,0,1126,197,192,73.8,76.5,3.38,21.7,21.0,3.52,624,2314,1315,307,870,18330,4656,418,2559,80.1,87.2,0,66.1,65.9,66.6,69.2,66.3,66.6,5.76,1846,1848,34.6,32.8,88.2,93.0,91.3,0,1798,1860,1927,1832,1752,0,0,2005,37.5,19,294,69841,41283,49071,112850,168247,17762,3.85,4.55,7998,15406,7891,104,1526,313,18331,50890,109951,173192,2087,0.360,0,0,0,0,0,181,0,409,144,0
2023-03-04 11:26:00,221,427,226,412,37.2,230,161,159,198628,139588,51163,138511,451,138,142,467,446,135,138,140,456,136,459,139,135,0.233,0,0,0,0.233,1126,191,196,73.8,76.5,3.38,21.7,21.0,3.52,1129,194,1315,343,870,4317,4301,1214,2575,104,83.7,0,65.0,63.7,68.7,66.1,66.4,68.3,3.74,1848,1839,31.5,30.6,90.9,88.4,87.3,0.233,1870,1767,1829,1840,1887,0,0,1901,39.8,19,298,72288,45016,51131,138658,197586,17706,4.41,4.27,6653,13462,7069,152,1489,173,23169,49702,141282,191866,2023,29.4,0.233,0.233,0,0,0.233,13173,0,397,140,0
2023-03-04 11:28:00,221,427,226,412,37.2,230,161,159,198628,139588,51163,138511,451,138,142,467,446,135,138,140,456,136,459,139,135,0.233,0,0,0,0.233,1126,191,196,73.8,76.5,3.38,21.7,21.0,3.52,1129,194,1315,343,870,4317,4301,1214,2575,104,83.7,0,65.0,63.7,68.7,66.1,66.4,68.3,3.74,1848,1839,31.5,30.6,90.9,88.4,87.3,0.233,1870,1767,1829,1840,1887,0,0,1901,39.8,19,298,72288,45016,51131,138658,197586,17706,4.41,4.27,6653,13462,7069,152,1489,173,23169,49702,141282,191866,2023,29.4,0.233,0.233,0,0,0.233,13173,0,397,140,0
2023-03-04 11:30:00,234,38.5,20.5,309,0,215,156,153,148385,113609,49337,113430,386,131,131,461,423,135,125,129,448,129,466,135,132,0,0,0.233,0,0,1126,182,196,73.8,76.5,3.38,21.7,21.0,3.52,1677,310,1315,1097,870,4366,4530,424,2452,79.2,89.4,0,67.2,68.8,66.6,63.9,66.4,63.7,4.58,1756,1812,33.4,33.3,90.9,90.3,91.8,0,1781,1904,1758,1800,1884,0.233,0,1961,38.5,19.2,292,69903,40031,49425,111042,157320,17708,3.49,4.51,7177,13767,6728,105,1443,305,17077,50665,109442,155965,2024,0.360,0,0,0,0,0,176,0.233,404,145,0
2023-03-04 11:32:00,234,38.5,20.5,309,0,215,156,153,148385,113609,49337,113430,386,131,131,461,423,135,125,129,448,129,466,135,132,0,0,0.233,0,0,1126,182,196,73.8,76.5,3.38,21.7,21.0,3.52,1677,310,1315,1097,870,4366,4530,424,2452,79.2,89.4,0,67.2,68.8,66.6,63.9,66.4,63.7,4.58,1756,1812,33.4,33.3,90.9,90.3,91.8,0,1781,1904,1758,1800,1884,0.233,0,1961,38.5,19.2,292,69903,40031,49425,111042,157320,17708,3.49,4.51,7177,13767,6728,105,1443,305,17077,50665,109442,155965,2024,0.360,0,0,0,0,0,176,0.233,404,145,0
2023-03-04 11:34:00,234,38.5,20.5,309,0,215,156,153,148385,113609,49337,113430,386,131,131,461,423,135,125,129,448,129,466,135,132,0,0,0.233,0,0,1126,182,196,73.8,76.5,3.38,21.7,21.0,3.52,1677,310,1315,1097,870,4366,4530,424,2452,79.2,89.4,0,67.2,68.8,66.6,63.9,66.4,63.7,4.58,1756,1812,33.4,33.3,90.9,90.3,91.8,0,1781,1904,1758,1800,1884,0.233,0,1961,38.5,19.2,292,69903,40031,49425,111042,157320,17708,3.49,4.51,7177,13767,6728,105,1443,305,17077,50665,109442,155965,2024,0.360,0,0,0,0,0,176,0.233,404,145,0
2023-03-04 11:36:00,212,435,231,417,37.2,230,159,151,186080,143544,55344,135996,441,128,128,438,439,122,129,126,447,126,460,122,132,0,0,0,0,0,1126,200,194,73.8,76.5,3.38,21.7,21.0,3.52,386,197,1315,952,870,5238,4690,1188,2678,100,87.2,0,68.4,64.4,64.8,66.1,65.7,67.9,4.56,1808,1678,32.4,32.9,85.2,87.1,89.0,0,1869,1719,1870,1758,1765,0,0,1916,38.5,19,301,68289,44017,57616,143053,185107,17707,4.07,4.25,6642,13697,7080,5926,1481,306,17716,55266,142201,177868,1654,29.4,0,0,0,0,0,13274,0,387,138,0.233
2023-03-04 11:38:00,212,435,231,417,37.2,230,159,151,186080,143544,55344,135996,441,128,128,438,439,122,129,126,447,126,460,122,132,0,0,0,0,0,1126,200,194,73.8,76.5,3.38,21.7,21.0,3.52,386,197,1315,952,870,5238,4690,1188,2678,100,87.2,0,68.4,64.4,64.8,66.1,65.7,67.9,4.56,1808,1678,32.4,32.9,85.2,87.1,89.0,0,1869,1719,1870,1758,1765,0,0,1916,38.5,19,301,68289,44017,57616,143053,185107,17707,4.07,4.25,6642,13697,7080,5926,1481,306,17716,55266,142201,177868,1654,29.4,0,0,0,0,0,13274,0,387,138,0.233
2023-03-04 11:40:00,231,41.1,19,290,0.233,214,161,155,168429,112664,51082,116265,390,121,127,446,462,125,125,126,434,123,465,125,125,0,0,0,0.233,0,1126,191,196,73.8,76.5,3.38,21.7,21.0,3.52,157,306,1315,516,870,4291,4326,426,2557,79.8,86.8,0,64.7,67.2,64.6,65.9,66.6,66.6,4.70,1840,1789,31.1,31.2,91.6,93.7,91.3,0,1698,1819,1860,1825,1793,0,0,1962,39.8,19,306,71682,42011,48569,113787,151628,16353,3.63,4.55,6656,13499,6629,103,1502,169,23266,49251,115240,169071,2077,0.593,0,0,0,0,0,152,0,416,145,0
2023-03-04 11:42:00,231,41.1,19,290,0.233,214,161,155,168429,112664,51082,116265,390,121,127,446,462,125,125,126,434,123,465,125,125,0,0,0,0.233,0,1126,191,196,73.8,76.5,3.38,21.7,21.0,3.52,157,306,1315,516,870,4291,4326,426,2557,79.8,86.8,0,64.7,67.2,64.6,65.9,66.6,66.6,4.70,1840,1789,31.1,31.2,91.6,93.7,91.3,0,1698,1819,1860,1825,1793,0,0,1962,39.8,19,306,71682,42011,48569,113787,151628,16353,3.63,4.55,6656,13499,6629,103,1502,169,23266,49251,115240,169071,2077,0.593,0,0,0,0,0,152,0,416,145,0
2023-03-04 11:44:00,231,41.1,19,290,0.233,214,161,155,168429,112664,51082,116265,390,121,127,446,462,125,125,126,434,123,465,125,125,0,0,0,0.233,0,1126,191,196,73.8,76.5,3.38,21.7,21.0,3.52,157,306,1315,516,870,4291,4326,426,2557,79.8,86.8,0,64.7,67.2,64.6,65.9,66.6,66.6,4.70,1840,1789,31.1,31.2,91.6,93.7,91.3,0,1698,1819,1860,1825,1793,0,0,1962,39.8,19,306,71682,42011,48569,113787,151628,16353,3.63,4.55,6656,13499,6629,103,1502,169,23266,49251,115240,169071,2077,0.593,0,0,0,0,0,152,0,416,145,0
2023-03-04 11:46:00,215,458,240,427,37.2,221,170,156,199319,138344,49216,133341,418,135,124,468,438,129,129,126,447,130,467,135,132,0,0,0,0,0,1126,185,189,73.8,76.5,3.38,21.7,21.0,3.52,183,182,1315,182,870,18348,4617,1201,2521,100,89.6,0,65.5,65.2,68.9,66.3,66.1,62.0,5.77,1699,1868,32.0,32.0,92.4,93.3,91.1,0,1828,1876,1814,1779,1921,0,0,1989,35.9,19,289,69965,41940,49839,137755,200124,17713,3.71,4.97,7584,13286,7331,157,1437,308,17731,50257,135044,199585,2018,28.9,0,0,0,0,0,13312,0,407,144,0
2023-03-04 11:48:00,215,458,240,427,37.2,221,170,156,199319,138344,49216,133341,418,135,124,468,438,129,129,126,447,130,467,135,132,0,0,0,0,0,1126,185,189,73.8,76.5,3.38,21.7,21.0,3.52,183,182,1315,182,870,18348,4617,1201,2521,100,89.6,0,65.5,65.2,68.9,66.3,66.1,62.0,5.77,1699,1868,32.0,32.0,92.4,93.3,91.1,0,1828,1876,1814,1779,1921,0,0,1989,35.9,19,289,69965,41940,49839,137755,200124,17713,3.71,4.97,7584,13286,7331,157,1437,308,17731,50257,135044,199585,2018,28.9,0,0,0,0,0,13312,0,407,144,0
2023-03-04 11:50:00,236,38.5,18.4,300,0,223,162,155,148002,108056,49889,118465,393,127,131,439,462,122,118,123,449,119,473,129,122,0,0,0,0,0,1126,197,196,73.8,76.5,3.38,21.7,21.0,3.52,269,154,1315,201,870,4202,4527,423,2539,81.6,81.5,0,68.6,64.6,66.1,66.6,67.2,68.3,4.16,1875,1826,33.4,31.6,86.4,87.9,89.8,0,1896,1798,1797,1904,1768,0,0,1951,39.8,18.4,299,69087,42070,49242,111580,168977,19070,3.93,4.55,6854,15371,6889,115,1549,310,20536,48933,115043,148038,2026,0.360,0,0,0,0,0,181,0,408,137,0
2023-03-04 11:52:00,236,38.5,18.4,300,0,223,162,155,148002,108056,49889,118465,393,127,131,439,462,122,118,123,449,119,473,129,122,0,0,0,0,0,1126,197,196,73.8,76.5,3.38,21.7,21.0,3.52,269,154,1315,201,870,4202,4527,423,2539,81.6,81.5,0,68.6,64.6,66.1,66.6,67.2,68.3,4.16,1875,1826,33.4,31.6,86.4,87.9,89.8,0,1896,1798,1797,1904,1768,0,0,1951,39.8,18.4,299,69087,42070,49242,111580,168977,19070,3.93,4.55,6854,15371,6889,115,1549,310,20536,48933,115043,148038,2026,0.360,0,0,0,0,0,181,0,408,137,0
