"Time","172.16.66.87:10250","172.16.66.90:10250","172.16.66.91:10250"
2023-03-04 11:00:00,16910,488,530
2023-03-04 11:04:00,16913,484,531
2023-03-04 11:08:00,16897,485,528
2023-03-04 11:12:00,16530,485,529
2023-03-04 11:16:00,16520,487,528
2023-03-04 11:20:00,16521,485,528
2023-03-04 11:24:00,16379,484,526
2023-03-04 11:28:00,16321,484,529
2023-03-04 11:32:00,16310,485,529
2023-03-04 11:36:00,16185,484,528
2023-03-04 11:40:00,16060,483,528
2023-03-04 11:44:00,15724,483,528
2023-03-04 11:48:00,15720,484,529
2023-03-04 11:52:00,15716,484,525
2023-03-04 11:56:00,15717,485,525
2023-03-04 12:00:00,15650,484,529
2023-03-04 12:04:00,15578,484,528
2023-03-04 12:08:00,15355,487,529
2023-03-04 12:12:00,15324,484,528
2023-03-04 12:16:00,14869,485,528
2023-03-04 12:20:00,14739,484,528
2023-03-04 12:24:00,14741,484,525
2023-03-04 12:28:00,14745,483,528
2023-03-04 12:32:00,14736,485,525
2023-03-04 12:36:00,14737,483,528
2023-03-04 12:40:00,14737,487,526
2023-03-04 12:44:00,14688,483,528
2023-03-04 12:48:00,14692,485,526
2023-03-04 12:52:00,14685,483,526
2023-03-04 12:56:00,14685,486,528
2023-03-04 13:00:00,14684,483,528
2023-03-04 13:04:00,14690,483,528
2023-03-04 13:08:00,14692,485,529
2023-03-04 13:12:00,14689,483,528
2023-03-04 13:16:00,14686,487,525
2023-03-04 13:20:00,14686,484,525
2023-03-04 13:24:00,14688,484,528
2023-03-04 13:28:00,14694,485,529
2023-03-04 13:32:00,14686,485,528
2023-03-04 13:36:00,14684,485,525
2023-03-04 13:40:00,14686,484,528
2023-03-04 13:44:00,14688,485,528
2023-03-04 13:48:00,14691,485,528
2023-03-04 13:52:00,14684,483,531
2023-03-04 13:56:00,14688,485,528
2023-03-04 14:00:00,14684,484,527
2023-03-04 14:04:00,14688,485,529
2023-03-04 14:08:00,14689,485,525
2023-03-04 14:12:00,14686,483,525
2023-03-04 14:16:00,14685,485,528
2023-03-04 14:20:00,14684,485,528
2023-03-04 14:24:00,14688,484,526
2023-03-04 14:28:00,14694,487,529
2023-03-04 14:32:00,14686,485,528
2023-03-04 14:36:00,14684,487,528
2023-03-04 14:40:00,14684,485,525
2023-03-04 14:44:00,14690,485,529
2023-03-04 14:48:00,14696,485,528
2023-03-04 14:52:00,14683,486,528
2023-03-04 14:56:00,14684,487,529
2023-03-04 15:00:00,14684,484,525
2023-03-04 15:04:00,14688,485,528
2023-03-04 15:08:00,14697,483,528
2023-03-04 15:12:00,14684,484,529
2023-03-04 15:16:00,14684,485,529
2023-03-04 15:20:00,14684,484,529
2023-03-04 15:24:00,14688,485,528
2023-03-04 15:28:00,14691,483,528
2023-03-04 15:32:00,14684,485,528
2023-03-04 15:36:00,14684,483,525
2023-03-04 15:40:00,14684,485,525
2023-03-04 15:44:00,14688,485,526
2023-03-04 15:48:00,14692,487,529
2023-03-04 15:52:00,14686,484,528
2023-03-04 15:56:00,14689,483,529
2023-03-04 16:00:00,14686,487,525
2023-03-04 16:04:00,14688,483,528
2023-03-04 16:08:00,14692,484,528
2023-03-04 16:12:00,14684,483,529
2023-03-04 16:16:00,14682,485,525
2023-03-04 16:20:00,14684,485,528
2023-03-04 16:24:00,14690,483,531
2023-03-04 16:28:00,14692,484,528
2023-03-04 16:32:00,14687,484,529
2023-03-04 16:36:00,14684,484,528
2023-03-04 16:40:00,14684,487,526
2023-03-04 16:44:00,14694,487,527
2023-03-04 16:48:00,14684,484,529
2023-03-04 16:52:00,14684,483,526
2023-03-04 16:56:00,14686,487,528
2023-03-04 17:00:00,14684,484,529
2023-03-04 17:04:00,14692,487,528
2023-03-04 17:08:00,14706,483,528
2023-03-04 17:12:00,14684,489,528
2023-03-04 17:16:00,14688,487,528
2023-03-04 17:20:00,14684,485,529
2023-03-04 17:24:00,14684,485,528
2023-03-04 17:28:00,14692,483,525
