"Time","Read","Write"
2023-03-04 11:00:00,0,598039
2023-03-04 11:02:00,0,665327
2023-03-04 11:04:00,0,434244
2023-03-04 11:06:00,0,632036
2023-03-04 11:08:00,0,445465
2023-03-04 11:10:00,0,587344
2023-03-04 11:12:00,0,595586
2023-03-04 11:14:00,0,595035
2023-03-04 11:16:00,0,598403
2023-03-04 11:18:00,0,477321
2023-03-04 11:20:00,0,592077
2023-03-04 11:22:00,0,495933
2023-03-04 11:24:00,0,451630
2023-03-04 11:26:00,0,527405
2023-03-04 11:28:00,0,407557
2023-03-04 11:30:00,0,553370
2023-03-04 11:32:00,0,522551
2023-03-04 11:34:00,0,414629
2023-03-04 11:36:00,0,515436
2023-03-04 11:38:00,0,401499
2023-03-04 11:40:00,0,541840
2023-03-04 11:42:00,0,520260
2023-03-04 11:44:00,0,443096
2023-03-04 11:46:00,0,515595
2023-03-04 11:48:00,0,407211
2023-03-04 11:50:00,0,550275
2023-03-04 11:52:00,0,498999
2023-03-04 11:54:00,0,422798
2023-03-04 11:56:00,0,518827
2023-03-04 11:58:00,0,396561
2023-03-04 12:00:00,0,547499
2023-03-04 12:02:00,0,519846
2023-03-04 12:04:00,0,421114
2023-03-04 12:06:00,0,517621
2023-03-04 12:08:00,0,390717
2023-03-04 12:10:00,0,542948
2023-03-04 12:12:00,0,489586
2023-03-04 12:14:00,0,429287
2023-03-04 12:16:00,0,522194
2023-03-04 12:18:00,0,392038
2023-03-04 12:20:00,0,550428
2023-03-04 12:22:00,0,524151
2023-03-04 12:24:00,0,425879
2023-03-04 12:26:00,0,527246
2023-03-04 12:28:00,0,398996
2023-03-04 12:30:00,0,557033
2023-03-04 12:32:00,0,500713
2023-03-04 12:34:00,0,426348
2023-03-04 12:36:00,0,547089
2023-03-04 12:38:00,0,401112
2023-03-04 12:40:00,0,543744
2023-03-04 12:42:00,0,530637
2023-03-04 12:44:00,0,430808
2023-03-04 12:46:00,0,523878
2023-03-04 12:48:00,0,393921
2023-03-04 12:50:00,0,545018
2023-03-04 12:52:00,0,502459
2023-03-04 12:54:00,0,423617
2023-03-04 12:56:00,0,527178
2023-03-04 12:58:00,0,401795
2023-03-04 13:00:00,0,553051
2023-03-04 13:02:00,0,709313
2023-03-04 13:04:00,0,573690
2023-03-04 13:06:00,0,623298
2023-03-04 13:08:00,0,391487
2023-03-04 13:10:00,0,542060
2023-03-04 13:12:00,0,789750
2023-03-04 13:14:00,0,418042
2023-03-04 13:16:00,0,521742
2023-03-04 13:18:00,0,404933
2023-03-04 13:20:00,0,547089
2023-03-04 13:22:00,0,512014
2023-03-04 13:24:00,0,414635
2023-03-04 13:26:00,0,519919
2023-03-04 13:28:00,0,394999
2023-03-04 13:30:00,0,548007
2023-03-04 13:32:00,0,517757
2023-03-04 13:34:00,0,450583
2023-03-04 13:36:00,0,517370
2023-03-04 13:38:00,0,401203
2023-03-04 13:40:00,0,549797
2023-03-04 13:42:00,0,492476
2023-03-04 13:44:00,0,416836
2023-03-04 13:46:00,0,520511
2023-03-04 13:48:00,0,393057
2023-03-04 13:50:00,0,541514
2023-03-04 13:52:00,0,495275
2023-03-04 13:54:00,0,412040
2023-03-04 13:56:00,0,514276
2023-03-04 13:58:00,0,398814
2023-03-04 14:00:00,0,544161
