"Time","Transmit Total","Receive Total"
2023-03-04 11:00:00,454906,330423
2023-03-04 11:02:00,552567,427161
2023-03-04 11:04:00,456320,336001
2023-03-04 11:06:00,588674,400127
2023-03-04 11:08:00,436288,319951
2023-03-04 11:10:00,781092,469221
2023-03-04 11:12:00,942630,597308
2023-03-04 11:14:00,587067,411416
2023-03-04 11:16:00,482023,350465
2023-03-04 11:18:00,486408,344110
2023-03-04 11:20:00,449284,326979
2023-03-04 11:22:00,552436,427488
2023-03-04 11:24:00,512066,384872
2023-03-04 11:26:00,439905,318945
2023-03-04 11:28:00,439162,320983
2023-03-04 11:30:00,444731,325970
2023-03-04 11:32:00,566061,438906
2023-03-04 11:34:00,535868,406340
2023-03-04 11:36:00,447377,325225
2023-03-04 11:38:00,432772,317804
2023-03-04 11:40:00,436761,320433
2023-03-04 11:42:00,575999,437176
2023-03-04 11:44:00,528546,412088
2023-03-04 11:46:00,436100,317630
2023-03-04 11:48:00,435541,320098
2023-03-04 11:50:00,437466,320009
2023-03-04 11:52:00,512636,400872
2023-03-04 11:54:00,524867,411093
2023-03-04 11:56:00,437320,320914
2023-03-04 11:58:00,439022,323815
2023-03-04 12:00:00,434425,318599
2023-03-04 12:02:00,491956,386503
2023-03-04 12:04:00,530273,415050
2023-03-04 12:06:00,448979,326011
2023-03-04 12:08:00,507990,360111
2023-03-04 12:10:00,480738,342520
2023-03-04 12:12:00,471166,366229
2023-03-04 12:14:00,530956,412164
2023-03-04 12:16:00,438142,317954
2023-03-04 12:18:00,437120,320991
2023-03-04 12:20:00,436092,317932
2023-03-04 12:22:00,461859,350365
2023-03-04 12:24:00,576089,435568
2023-03-04 12:26:00,464609,320811
2023-03-04 12:28:00,439309,322786
2023-03-04 12:30:00,440827,323375
2023-03-04 12:32:00,445475,334419
2023-03-04 12:34:00,531746,414104
2023-03-04 12:36:00,437998,316790
2023-03-04 12:38:00,437611,323914
2023-03-04 12:40:00,437023,322701
2023-03-04 12:42:00,444352,327625
2023-03-04 12:44:00,536039,418236
2023-03-04 12:46:00,431665,315368
2023-03-04 12:48:00,434250,321921
2023-03-04 12:50:00,439297,322552
2023-03-04 12:52:00,465551,345230
2023-03-04 12:54:00,586879,446263
2023-03-04 12:56:00,442407,322592
2023-03-04 12:58:00,432185,317131
2023-03-04 13:00:00,458015,328658
2023-03-04 13:02:00,437537,316863
2023-03-04 13:04:00,540814,423291
2023-03-04 13:06:00,469904,339944
2023-03-04 13:08:00,434017,318756
2023-03-04 13:10:00,440316,322571
2023-03-04 13:12:00,436746,318581
