"Time","Receive Errors (172.16.66.87:9796)","Receive Errors (172.16.66.90:9796)","Receive Errors (172.16.66.91:9796)","Receive Total (172.16.66.87:9796)","Receive Total (172.16.66.90:9796)","Receive Total (172.16.66.91:9796)","Transmit Errors (172.16.66.87:9796)","Transmit Errors (172.16.66.90:9796)","Transmit Errors (172.16.66.91:9796)","Receive Dropped (172.16.66.87:9796)","Receive Dropped (172.16.66.90:9796)","Receive Dropped (172.16.66.91:9796)","Transmit Dropped (172.16.66.87:9796)","Transmit Dropped (172.16.66.90:9796)","Transmit Dropped (172.16.66.91:9796)","Transmit Total (172.16.66.87:9796)","Transmit Total (172.16.66.90:9796)","Transmit Total (172.16.66.91:9796)"
2023-03-04 11:00:00,0,0,0,212,167,125,0,0,0,0,0,0,0,0,0,214,157,154
2023-03-04 11:02:00,0,0,0,284,231,134,0,0,0,0,0,0,0,0,0,297,220,163
2023-03-04 11:04:00,0,0,0,230,168,129,0,0,0,0,0,0,0,0,0,228,159,160
2023-03-04 11:06:00,0,0,0,233,181,178,0,0,0,0,0,0,0,0,0,268,168,180
2023-03-04 11:08:00,0,0,0,208,160,121,0,0,0,0,0,0,0,0,0,206,153,152
2023-03-04 11:10:00,0,0,0,227,200,203,0,0,0,0,0,0,0,0,0,320,165,174
2023-03-04 11:12:00,0,0,0,310,271,234,0,0,0,0,0,0,0,0,0,429,233,193
2023-03-04 11:14:00,0,0,0,296,188,157,0,0,0,0,0,0,0,0,0,321,180,176
2023-03-04 11:16:00,0,0,0,215,192,128,0,0,0,0,0,0,0,0,0,218,170,157
2023-03-04 11:18:00,0,0,0,217,186,125,0,0,0,0,0,0,0,0,0,224,166,153
2023-03-04 11:20:00,0,0,0,211,166,121,0,0,0,0,0,0,0,0,0,210,155,151
2023-03-04 11:22:00,0,0,0,279,229,129,0,0,0,0,0,0,0,0,0,293,217,159
2023-03-04 11:24:00,0,0,0,271,191,125,0,0,0,0,0,0,0,0,0,281,183,156
2023-03-04 11:26:00,0,0,0,205,163,119,0,0,0,0,0,0,0,0,0,207,152,149
2023-03-04 11:28:00,0,0,0,204,157,119,0,0,0,0,0,0,0,0,0,204,149,147
2023-03-04 11:30:00,0,0,0,206,164,120,0,0,0,0,0,0,0,0,0,208,155,150
2023-03-04 11:32:00,0,0,0,279,230,136,0,0,0,0,0,0,0,0,0,297,219,160
2023-03-04 11:34:00,0,0,0,274,205,132,0,0,0,0,0,0,0,0,0,288,196,156
2023-03-04 11:36:00,0,0,0,207,164,120,0,0,0,0,0,0,0,0,0,208,152,149
2023-03-04 11:38:00,0,0,0,205,155,120,0,0,0,0,0,0,0,0,0,203,148,149
2023-03-04 11:40:00,0,0,0,204,164,119,0,0,0,0,0,0,0,0,0,202,155,148
2023-03-04 11:42:00,0,0,0,266,254,120,0,0,0,0,0,0,0,0,0,284,231,150
2023-03-04 11:44:00,0,0,0,273,221,124,0,0,0,0,0,0,0,0,0,283,212,155
2023-03-04 11:46:00,0,0,0,204,160,120,0,0,0,0,0,0,0,0,0,205,150,149
2023-03-04 11:48:00,0,0,0,206,162,124,0,0,0,0,0,0,0,0,0,203,153,151
2023-03-04 11:50:00,0,0,0,208,167,124,0,0,0,0,0,0,0,0,0,206,155,151
2023-03-04 11:52:00,0,0,0,245,228,120,0,0,0,0,0,0,0,0,0,251,215,149
2023-03-04 11:54:00,0,0,0,275,225,127,0,0,0,0,0,0,0,0,0,280,213,155
2023-03-04 11:56:00,0,0,0,217,176,132,0,0,0,0,0,0,0,0,0,206,151,149
2023-03-04 11:58:00,0,0,0,214,165,130,0,0,0,0,0,0,0,0,0,204,153,151
