"Time","Read (sda)","Write (sda)"
2023-03-04 11:00:00,0,83581
2023-03-04 11:02:00,0,89953
2023-03-04 11:04:00,0,46808
2023-03-04 11:06:00,0,106382
2023-03-04 11:08:00,0,52932
2023-03-04 11:10:00,0,94254
2023-03-04 11:12:00,0,109614
2023-03-04 11:14:00,0,57936
2023-03-04 11:16:00,0,90362
2023-03-04 11:18:00,0,44601
2023-03-04 11:20:00,0,90431
2023-03-04 11:22:00,0,91664
2023-03-04 11:24:00,0,45579
2023-03-04 11:26:00,0,88974
2023-03-04 11:28:00,0,43600
2023-03-04 11:30:00,0,88565
2023-03-04 11:32:00,0,91432
2023-03-04 11:34:00,0,46239
2023-03-04 11:36:00,0,90180
2023-03-04 11:38:00,0,43145
2023-03-04 11:40:00,0,88724
2023-03-04 11:42:00,0,88337
2023-03-04 11:44:00,0,45284
2023-03-04 11:46:00,0,89839
2023-03-04 11:48:00,0,43213
2023-03-04 11:50:00,0,88929
2023-03-04 11:52:00,0,90658
2023-03-04 11:54:00,0,45693
2023-03-04 11:56:00,0,88041
2023-03-04 11:58:00,0,42780
2023-03-04 12:00:00,0,90431
2023-03-04 12:02:00,0,90654
2023-03-04 12:04:00,0,46854
2023-03-04 12:06:00,0,89543
2023-03-04 12:08:00,0,42101
2023-03-04 12:10:00,0,87177
2023-03-04 12:12:00,0,90954
2023-03-04 12:14:00,0,43556
2023-03-04 12:16:00,0,87996
2023-03-04 12:18:00,0,45534
2023-03-04 12:20:00,0,90863
2023-03-04 12:22:00,0,91159
2023-03-04 12:24:00,0,45102
2023-03-04 12:26:00,0,90431
2023-03-04 12:28:00,0,43941
2023-03-04 12:30:00,0,88678
2023-03-04 12:32:00,0,90726
2023-03-04 12:34:00,0,45397
2023-03-04 12:36:00,0,89475
2023-03-04 12:38:00,0,44760
2023-03-04 12:40:00,0,90453
2023-03-04 12:42:00,0,89270
2023-03-04 12:44:00,0,45124
2023-03-04 12:46:00,0,90772
2023-03-04 12:48:00,0,42075
2023-03-04 12:50:00,0,88246
2023-03-04 12:52:00,0,89953
2023-03-04 12:54:00,0,44146
2023-03-04 12:56:00,0,90840
2023-03-04 12:58:00,0,42985
2023-03-04 13:00:00,0,88792
2023-03-04 13:02:00,0,88656
2023-03-04 13:04:00,0,45306
2023-03-04 13:06:00,0,90727
2023-03-04 13:08:00,0,42985
2023-03-04 13:10:00,0,87495
2023-03-04 13:12:00,0,89366
2023-03-04 13:14:00,0,44373
2023-03-04 13:16:00,0,91455
2023-03-04 13:18:00,0,43509
2023-03-04 13:20:00,0,88792
2023-03-04 13:22:00,0,88383
2023-03-04 13:24:00,0,42098
2023-03-04 13:26:00,0,86494
2023-03-04 13:28:00,0,38821
2023-03-04 13:30:00,0,84059
2023-03-04 13:32:00,0,86153
2023-03-04 13:34:00,0,42712
2023-03-04 13:36:00,0,88087
2023-03-04 13:38:00,0,41984
2023-03-04 13:40:00,0,87131
2023-03-04 13:42:00,0,86926
2023-03-04 13:44:00,0,42280
2023-03-04 13:46:00,0,89065
2023-03-04 13:48:00,0,42530
2023-03-04 13:50:00,0,87518
2023-03-04 13:52:00,0,90453
2023-03-04 13:54:00,0,44533
2023-03-04 13:56:00,0,90021
2023-03-04 13:58:00,0,43691
2023-03-04 14:00:00,0,88087
2023-03-04 14:02:00,0,89247
2023-03-04 14:04:00,0,43031
2023-03-04 14:06:00,0,90066
2023-03-04 14:08:00,0,44260
2023-03-04 14:10:00,0,90558
2023-03-04 14:12:00,0,89407
2023-03-04 14:14:00,0,43372
2023-03-04 14:16:00,0,90959
2023-03-04 14:18:00,0,44578
2023-03-04 14:20:00,0,89793
2023-03-04 14:22:00,0,89634
2023-03-04 14:24:00,0,43622
2023-03-04 14:26:00,0,91841
2023-03-04 14:28:00,0,44669
2023-03-04 14:30:00,0,88132
2023-03-04 14:32:00,0,90044
2023-03-04 14:34:00,0,43941
2023-03-04 14:36:00,0,89862
2023-03-04 14:38:00,0,44601
2023-03-04 14:40:00,0,90176
2023-03-04 14:42:00,0,90681
2023-03-04 14:44:00,0,44305
2023-03-04 14:46:00,0,90203
2023-03-04 14:48:00,0,43486
2023-03-04 14:50:00,0,88314
2023-03-04 14:52:00,0,89065
2023-03-04 14:54:00,0,44260
2023-03-04 14:56:00,0,89361
2023-03-04 14:58:00,0,42373
2023-03-04 15:00:00,0,88314
2023-03-04 15:02:00,0,89338
2023-03-04 15:04:00,0,43463
2023-03-04 15:06:00,0,90180
2023-03-04 15:08:00,0,44942
2023-03-04 15:10:00,0,88610
2023-03-04 15:12:00,0,90362
2023-03-04 15:14:00,0,44578
2023-03-04 15:16:00,0,87609
2023-03-04 15:18:00,0,41961
2023-03-04 15:20:00,0,87268
2023-03-04 15:22:00,0,88929
2023-03-04 15:24:00,0,44851
2023-03-04 15:26:00,0,89316
2023-03-04 15:28:00,0,43008
2023-03-04 15:30:00,0,88633
2023-03-04 15:32:00,0,90863
2023-03-04 15:34:00,0,44282
2023-03-04 15:36:00,0,90135
2023-03-04 15:38:00,0,43236
2023-03-04 15:40:00,0,89361
2023-03-04 15:42:00,0,89611
2023-03-04 15:44:00,0,43645
2023-03-04 15:46:00,0,90135
2023-03-04 15:48:00,0,44806
2023-03-04 15:50:00,0,89634
2023-03-04 15:52:00,0,90499
2023-03-04 15:54:00,0,42940
2023-03-04 15:56:00,0,89611
2023-03-04 15:58:00,0,44237
2023-03-04 16:00:00,0,90886
2023-03-04 16:02:00,0,90271
2023-03-04 16:04:00,0,43008
2023-03-04 16:06:00,0,89566
2023-03-04 16:08:00,0,44965
2023-03-04 16:10:00,0,88883
2023-03-04 16:12:00,0,89293
2023-03-04 16:14:00,0,45557
2023-03-04 16:16:00,0,90590
2023-03-04 16:18:00,91.0,47354
2023-03-04 16:20:00,91.0,93548
2023-03-04 16:22:00,0,89520
2023-03-04 16:24:00,0,44965
2023-03-04 16:26:00,0,90567
2023-03-04 16:28:00,0,44692
2023-03-04 16:30:00,0,90522
2023-03-04 16:32:00,0,90249
2023-03-04 16:34:00,0,44464
2023-03-04 16:36:00,0,89884
2023-03-04 16:38:00,0,43649
2023-03-04 16:40:00,0,90681
2023-03-04 16:42:00,0,91386
2023-03-04 16:44:00,0,44876
2023-03-04 16:46:00,0,91182
2023-03-04 16:48:00,0,44851
2023-03-04 16:50:00,0,90340
2023-03-04 16:52:00,0,88997
2023-03-04 16:54:00,0,43622
2023-03-04 16:56:00,0,89834
2023-03-04 16:58:00,0,45807
2023-03-04 17:00:00,0,90158
2023-03-04 17:02:00,0,89343
2023-03-04 17:04:00,0,43531
2023-03-04 17:06:00,0,89247
2023-03-04 17:08:00,0,44237
2023-03-04 17:10:00,0,88815
2023-03-04 17:12:00,0,89748
2023-03-04 17:14:00,0,43211
2023-03-04 17:16:00,0,90112
2023-03-04 17:18:00,0,45352
2023-03-04 17:20:00,0,90722
2023-03-04 17:22:00,0,91045
2023-03-04 17:24:00,0,45375
2023-03-04 17:26:00,0,90762
2023-03-04 17:28:00,0,45739
2023-03-04 17:30:00,0,91500
2023-03-04 17:32:00,0,90199
2023-03-04 17:34:00,0,44396
2023-03-04 17:36:00,0,89498
2023-03-04 17:38:00,0,44305
2023-03-04 17:40:00,0,90180
2023-03-04 17:42:00,3914,92342
2023-03-04 17:44:00,0,44055
2023-03-04 17:46:00,0,89202
2023-03-04 17:48:00,0,45420
2023-03-04 17:50:00,0,90704
2023-03-04 17:52:00,0,90999
2023-03-04 17:54:00,0,45397
2023-03-04 17:56:00,0,89834
2023-03-04 17:58:00,0,44373
2023-03-04 18:00:00,0,88860
2023-03-04 18:02:00,0,89229
2023-03-04 18:04:00,0,45033
2023-03-04 18:06:00,0,89293
2023-03-04 18:08:00,0,44603
2023-03-04 18:10:00,0,90453
2023-03-04 18:12:00,0,89657
2023-03-04 18:14:00,0,43807
2023-03-04 18:16:00,0,88883
2023-03-04 18:18:00,0,44419
2023-03-04 18:20:00,0,91109
2023-03-04 18:22:00,0,90590
