"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-04 11:00:00,0.220,0.210,0.450
2023-03-04 11:02:00,0.150,0.0600,0.400
2023-03-04 11:04:00,0.150,0.120,0.360
2023-03-04 11:06:00,0.240,0.500,0.370
2023-03-04 11:08:00,0.790,1.62,0.560
2023-03-04 11:10:00,0.740,0.770,0.560
2023-03-04 11:12:00,0.520,0.150,0.500
2023-03-04 11:14:00,0.360,0.0600,0.440
2023-03-04 11:16:00,0.320,0.220,0.410
2023-03-04 11:18:00,0.250,0.140,0.370
2023-03-04 11:20:00,0.280,0.220,0.370
2023-03-04 11:22:00,0.230,0.110,0.340
2023-03-04 11:24:00,0.230,0.150,0.330
2023-03-04 11:26:00,0.180,0.140,0.290
2023-03-04 11:28:00,0.160,0.0900,0.260
2023-03-04 11:30:00,0.110,0.0300,0.230
2023-03-04 11:32:00,0.0800,0.0200,0.210
2023-03-04 11:34:00,0.120,0.190,0.200
2023-03-04 11:36:00,0.150,0.190,0.190
2023-03-04 11:38:00,0.160,0.140,0.190
2023-03-04 11:40:00,0.210,0.330,0.200
2023-03-04 11:42:00,0.210,0.240,0.190
2023-03-04 11:44:00,0.280,0.310,0.220
2023-03-04 11:46:00,0.200,0.0900,0.190
2023-03-04 11:48:00,0.170,0.140,0.180
2023-03-04 11:50:00,0.120,0.0400,0.160
2023-03-04 11:52:00,0.110,0.110,0.150
2023-03-04 11:54:00,0.210,0.500,0.180
2023-03-04 11:56:00,0.240,0.350,0.190
2023-03-04 11:58:00,0.180,0.150,0.170
2023-03-04 12:00:00,0.160,0.0900,0.170
2023-03-04 12:02:00,0.170,0.150,0.170
2023-03-04 12:04:00,0.180,0.260,0.180
2023-03-04 12:06:00,0.180,0.180,0.180
2023-03-04 12:08:00,0.240,0.490,0.200
2023-03-04 12:10:00,0.750,1.59,0.390
2023-03-04 12:12:00,0.730,0.790,0.430
2023-03-04 12:14:00,0.540,0.220,0.390
2023-03-04 12:16:00,0.420,0.140,0.370
2023-03-04 12:18:00,0.300,0.0700,0.330
2023-03-04 12:20:00,0.300,0.170,0.330
2023-03-04 12:22:00,0.270,0.230,0.310
2023-03-04 12:24:00,0.380,0.670,0.340
2023-03-04 12:26:00,0.490,0.660,0.390
2023-03-04 12:28:00,0.980,2.62,0.560
2023-03-04 12:30:00,0.770,0.580,0.540
2023-03-04 12:32:00,0.570,0.260,0.490
2023-03-04 12:34:00,0.430,0.150,0.440
2023-03-04 12:36:00,0.350,0.210,0.410
2023-03-04 12:38:00,0.240,0.0400,0.360
2023-03-04 12:40:00,0.240,0.240,0.350
2023-03-04 12:42:00,0.250,0.240,0.340
2023-03-04 12:44:00,0.270,0.430,0.330
2023-03-04 12:46:00,0.220,0.190,0.310
2023-03-04 12:48:00,0.170,0.140,0.270
2023-03-04 12:50:00,0.160,0.110,0.260
2023-03-04 12:52:00,0.190,0.270,0.260
2023-03-04 12:54:00,0.900,3.22,0.490
2023-03-04 12:56:00,0.710,0.600,0.470
2023-03-04 12:58:00,0.480,0.100,0.410
2023-03-04 13:00:00,0.780,0.990,0.530
2023-03-04 13:02:00,0.550,0.200,0.470
2023-03-04 13:04:00,0.390,0.100,0.420
2023-03-04 13:06:00,0.360,0.250,0.400
2023-03-04 13:08:00,0.270,0.0900,0.360
2023-03-04 13:10:00,0.190,0.0600,0.320
2023-03-04 13:12:00,0.250,0.320,0.330
2023-03-04 13:14:00,0.220,0.160,0.300
2023-03-04 13:16:00,0.200,0.210,0.280
2023-03-04 13:18:00,0.170,0.100,0.260
2023-03-04 13:20:00,0.270,0.740,0.280
2023-03-04 13:22:00,0.260,0.330,0.270
2023-03-04 13:24:00,0.210,0.0900,0.250
2023-03-04 13:26:00,0.180,0.160,0.230
2023-03-04 13:28:00,0.160,0.130,0.220
2023-03-04 13:30:00,0.130,0.0600,0.190
2023-03-04 13:32:00,0.790,2.68,0.400
2023-03-04 13:34:00,0.570,0.490,0.360
2023-03-04 13:36:00,0.400,0.120,0.330
2023-03-04 13:38:00,0.370,0.340,0.320
2023-03-04 13:40:00,0.370,0.420,0.330
2023-03-04 13:42:00,0.330,0.340,0.310
2023-03-04 13:44:00,0.310,0.240,0.310
2023-03-04 13:46:00,0.260,0.170,0.280
2023-03-04 13:48:00,0.250,0.210,0.270
2023-03-04 13:50:00,0.220,0.150,0.260
2023-03-04 13:52:00,0.190,0.210,0.240
2023-03-04 13:54:00,0.840,1.87,0.470
2023-03-04 13:56:00,0.740,0.580,0.480
2023-03-04 13:58:00,0.580,0.310,0.450
2023-03-04 14:00:00,0.430,0.140,0.420
2023-03-04 14:02:00,0.360,0.280,0.390
2023-03-04 14:04:00,0.350,0.300,0.370
2023-03-04 14:06:00,0.330,0.330,0.360
2023-03-04 14:08:00,0.400,0.630,0.380
2023-03-04 14:10:00,0.990,1.42,0.610
2023-03-04 14:12:00,0.910,0.870,0.630
2023-03-04 14:14:00,1.29,1.47,0.820
2023-03-04 14:16:00,0.900,0.300,0.730
2023-03-04 14:18:00,0.650,0.100,0.660
2023-03-04 14:20:00,0.470,0.0800,0.590
2023-03-04 14:22:00,0.330,0.0500,0.520
2023-03-04 14:24:00,0.270,0.170,0.470
2023-03-04 14:26:00,0.240,0.240,0.430
2023-03-04 14:28:00,0.200,0.130,0.390
2023-03-04 14:30:00,0.170,0.110,0.350
2023-03-04 14:32:00,0.140,0.0800,0.320
2023-03-04 14:34:00,0.150,0.190,0.300
2023-03-04 14:36:00,0.240,0.310,0.310
2023-03-04 14:38:00,0.290,0.430,0.320
2023-03-04 14:40:00,0.350,0.350,0.340
2023-03-04 14:42:00,0.260,0.120,0.310
2023-03-04 14:44:00,0.210,0.0800,0.280
2023-03-04 14:46:00,0.260,0.360,0.280
2023-03-04 14:48:00,0.270,0.270,0.280
2023-03-04 14:50:00,0.220,0.140,0.260
2023-03-04 14:52:00,0.200,0.170,0.250
2023-03-04 14:54:00,0.170,0.190,0.230
2023-03-04 14:56:00,0.200,0.230,0.230
2023-03-04 14:58:00,0.180,0.160,0.220
2023-03-04 15:00:00,0.130,0.0300,0.190
2023-03-04 15:02:00,0.170,0.100,0.200
2023-03-04 15:04:00,0.140,0.0600,0.180
2023-03-04 15:06:00,0.150,0.180,0.180
2023-03-04 15:08:00,0.150,0.160,0.170
2023-03-04 15:10:00,0.160,0.220,0.170
