"Time","idle","iowait","irq","nice","softirq","steal","system","user"
2023-03-04 11:00:00,0.978,0.0000139,0,0,0.000176,0,0.00463,0.0147
2023-03-04 11:02:00,0.978,0.00000926,0,0,0.000236,0,0.00455,0.0140
2023-03-04 11:04:00,0.979,0.0000139,0,0,0.000208,0,0.00458,0.0135
2023-03-04 11:06:00,0.978,0.0000278,0,0,0.000157,0,0.00465,0.0149
2023-03-04 11:08:00,0.978,0.0000324,0,0,0.000167,0,0.00436,0.0149
2023-03-04 11:10:00,0.977,0.0000231,0,0,0.000190,0,0.00502,0.0155
2023-03-04 11:12:00,0.979,0.0000231,0,0,0.000282,0,0.00517,0.0167
2023-03-04 11:14:00,0.978,0.0000278,0,0,0.000144,0,0.00477,0.0147
2023-03-04 11:16:00,0.977,0.0000139,0,0,0.000176,0,0.00445,0.0137
2023-03-04 11:18:00,0.978,0.0000185,0,0,0.000171,0,0.00461,0.0152
2023-03-04 11:20:00,0.980,0.0000139,0,0,0.000213,0,0.00469,0.0145
2023-03-04 11:22:00,0.979,0.0000231,0,0,0.000305,0,0.00486,0.0155
2023-03-04 11:24:00,0.980,0.00000926,0,0,0.000181,0,0.00451,0.0134
2023-03-04 11:26:00,0.978,0.0000139,0,0,0.000162,0,0.00455,0.0135
2023-03-04 11:28:00,0.979,0.0000185,0,0,0.000176,0,0.00467,0.0152
2023-03-04 11:30:00,0.980,0.0000185,0,0,0.000162,0,0.00477,0.0136
2023-03-04 11:32:00,0.977,0.0000185,0,0,0.000361,0,0.00480,0.0152
2023-03-04 11:34:00,0.980,0.0000185,0,0,0.000171,0,0.00448,0.0132
2023-03-04 11:36:00,0.980,0.0000139,0,0,0.000167,0,0.00455,0.0126
2023-03-04 11:38:00,0.978,0.0000231,0,0,0.000181,0,0.00466,0.0147
2023-03-04 11:40:00,0.979,0.0000185,0,0,0.000130,0,0.00465,0.0139
2023-03-04 11:42:00,0.978,0.0000231,0,0,0.000315,0,0.00473,0.0145
2023-03-04 11:44:00,0.980,0.00000926,0,0,0.000190,0,0.00462,0.0132
2023-03-04 11:46:00,0.980,0.0000139,0,0,0.000185,0,0.00452,0.0139
2023-03-04 11:48:00,0.979,0.0000139,0,0,0.000199,0,0.00470,0.0154
2023-03-04 11:50:00,0.979,0.0000139,0,0,0.000171,0,0.00463,0.0135
2023-03-04 11:52:00,0.978,0,0,0,0.000329,0,0.00469,0.0143
2023-03-04 11:54:00,0.979,0.00000926,0,0,0.000176,0,0.00452,0.0132
2023-03-04 11:56:00,0.979,0.0000185,0,0,0.000194,0,0.00444,0.0137
2023-03-04 11:58:00,0.978,0.0000139,0,0,0.000157,0,0.00458,0.0148
2023-03-04 12:00:00,0.982,0.0000278,0,0,0.000181,0,0.00461,0.0135
2023-03-04 12:02:00,0.973,0.0000139,0,0,0.000208,0,0.00458,0.0136
2023-03-04 12:04:00,0.980,0.0000185,0,0,0.000190,0,0.00449,0.0134
2023-03-04 12:06:00,0.979,0.0000139,0,0,0.000148,0,0.00457,0.0137
2023-03-04 12:08:00,0.979,0.0000324,0,0,0.000231,0,0.00448,0.0158
2023-03-04 12:10:00,0.979,0.0000139,0,0,0.000194,0,0.00459,0.0135
2023-03-04 12:12:00,0.979,0.0000139,0,0,0.000213,0,0.00449,0.0143
2023-03-04 12:14:00,0.981,0.00000462,0,0,0.000162,0,0.00460,0.0134
2023-03-04 12:16:00,0.979,0.0000278,0,0,0.000194,0,0.00444,0.0141
2023-03-04 12:18:00,0.978,0.0000139,0,0,0.000185,0,0.00437,0.0149
2023-03-04 12:20:00,0.977,0.00000463,0,0,0.000194,0,0.00453,0.0134
2023-03-04 12:22:00,0.980,0.0000231,0,0,0.000162,0,0.00460,0.0135
2023-03-04 12:24:00,0.975,0.00000927,0,0,0.000130,0,0.00458,0.0136
2023-03-04 12:26:00,1.00,0.00000462,0,0,0.000171,0,0.00461,0.0138
2023-03-04 12:28:00,0.981,0.0000185,0,0,0.000162,0,0.00456,0.0147
2023-03-04 12:30:00,0.980,0.00000463,0,0,0.000190,0,0.00450,0.0133
2023-03-04 12:32:00,0.979,0.0000278,0,0,0.000222,0,0.00446,0.0135
2023-03-04 12:34:00,0.980,0.0000139,0,0,0.000167,0,0.00448,0.0132
2023-03-04 12:36:00,0.980,0.00000926,0,0,0.000162,0,0.00453,0.0131
2023-03-04 12:38:00,0.978,0.00000926,0,0,0.000190,0,0.00446,0.0147
2023-03-04 12:40:00,0.980,0.0000185,0,0,0.000167,0,0.00467,0.0132
2023-03-04 12:42:00,0.980,0.0000185,0,0,0.000194,0,0.00446,0.0129
2023-03-04 12:44:00,0.980,0.0000231,0,0,0.000144,0,0.00463,0.0133
2023-03-04 12:46:00,0.980,0.0000139,0,0,0.000171,0,0.00435,0.0134
2023-03-04 12:48:00,0.979,0.0000185,0,0,0.000130,0,0.00454,0.0145
2023-03-04 12:50:00,0.980,0.0000185,0,0,0.000176,0,0.00488,0.0134
2023-03-04 12:52:00,0.980,0.0000185,0,0,0.000167,0,0.00455,0.0138
2023-03-04 12:54:00,0.974,0.00000463,0,0,0.000157,0,0.00473,0.0137
2023-03-04 12:56:00,0.980,0.00000926,0,0,0.000153,0,0.00441,0.0131
2023-03-04 12:58:00,0.978,0.0000231,0,0,0.000148,0,0.00443,0.0146
