"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-04 11:00:00,0.530,0.350,0.870
2023-03-04 11:02:00,0.600,0.500,0.850
2023-03-04 11:04:00,0.490,0.300,0.780
2023-03-04 11:06:00,0.470,0.350,0.740
2023-03-04 11:08:00,0.620,0.720,0.760
2023-03-04 11:10:00,0.450,0.180,0.680
2023-03-04 11:12:00,0.970,2.64,0.820
2023-03-04 11:14:00,1.42,2.85,0.990
2023-03-04 11:16:00,1.16,1,0.950
2023-03-04 11:18:00,0.830,0.240,0.850
2023-03-04 11:20:00,0.820,0.590,0.850
2023-03-04 11:22:00,0.850,0.920,0.850
2023-03-04 11:24:00,0.670,0.450,0.780
2023-03-04 11:26:00,0.830,1.11,0.830
2023-03-04 11:28:00,1.31,1.43,1.02
2023-03-04 11:30:00,0.960,0.350,0.920
2023-03-04 11:32:00,0.830,0.470,0.880
2023-03-04 11:34:00,0.680,0.210,0.830
2023-03-04 11:36:00,0.730,0.500,0.840
2023-03-04 11:38:00,1.09,1.31,0.960
2023-03-04 11:40:00,0.800,0.330,0.870
2023-03-04 11:42:00,0.630,0.200,0.800
2023-03-04 11:44:00,0.650,0.610,0.790
2023-03-04 11:46:00,0.500,0.280,0.710
2023-03-04 11:48:00,1.17,2.52,0.930
2023-03-04 11:50:00,1.35,1.57,1.03
2023-03-04 11:52:00,1.21,1.10,1.01
2023-03-04 11:54:00,1,0.670,0.960
2023-03-04 11:56:00,0.940,0.850,0.940
2023-03-04 11:58:00,0.930,0.870,0.930
2023-03-04 12:00:00,0.740,0.640,0.860
2023-03-04 12:02:00,0.690,0.540,0.820
2023-03-04 12:04:00,0.780,0.870,0.830
2023-03-04 12:06:00,0.890,1.31,0.860
2023-03-04 12:08:00,0.760,0.500,0.820
2023-03-04 12:10:00,0.660,0.360,0.780
2023-03-04 12:12:00,0.510,0.300,0.700
2023-03-04 12:14:00,0.520,0.420,0.690
2023-03-04 12:16:00,0.550,0.650,0.680
2023-03-04 12:18:00,0.540,0.460,0.660
2023-03-04 12:20:00,0.490,0.370,0.620
2023-03-04 12:22:00,0.370,0.210,0.560
2023-03-04 12:24:00,0.360,0.370,0.530
2023-03-04 12:26:00,0.420,0.500,0.530
2023-03-04 12:28:00,0.650,0.950,0.610
2023-03-04 12:30:00,1.50,3.74,0.910
2023-03-04 12:32:00,1.99,2.54,1.17
2023-03-04 12:34:00,1.70,0.890,1.17
2023-03-04 12:36:00,1.34,0.880,1.09
2023-03-04 12:38:00,1.05,0.490,1.02
2023-03-04 12:40:00,0.770,0.200,0.920
2023-03-04 12:42:00,0.600,0.190,0.840
2023-03-04 12:44:00,0.450,0.0900,0.750
2023-03-04 12:46:00,0.430,0.300,0.710
2023-03-04 12:48:00,0.330,0.120,0.640
2023-03-04 12:50:00,0.360,0.340,0.610
2023-03-04 12:52:00,0.330,0.250,0.570
2023-03-04 12:54:00,0.460,0.720,0.580
2023-03-04 12:56:00,0.750,0.930,0.690
2023-03-04 12:58:00,0.580,0.370,0.630
2023-03-04 13:00:00,0.620,0.640,0.640
2023-03-04 13:02:00,0.490,0.270,0.590
2023-03-04 13:04:00,0.500,0.370,0.580
2023-03-04 13:06:00,0.410,0.230,0.530
2023-03-04 13:08:00,0.470,0.450,0.540
2023-03-04 13:10:00,1.32,4.03,0.820
2023-03-04 13:12:00,1.21,1.36,0.840
2023-03-04 13:14:00,1.08,0.830,0.830
2023-03-04 13:16:00,1.10,0.960,0.880
2023-03-04 13:18:00,0.860,0.450,0.810
2023-03-04 13:20:00,0.610,0.130,0.730
2023-03-04 13:22:00,0.510,0.210,0.680
2023-03-04 13:24:00,0.470,0.440,0.640
2023-03-04 13:26:00,0.480,0.400,0.620
2023-03-04 13:28:00,0.390,0.280,0.570
2023-03-04 13:30:00,0.520,0.940,0.580
2023-03-04 13:32:00,1.53,2.93,0.950
2023-03-04 13:34:00,1.81,2.12,1.13
2023-03-04 13:36:00,1.41,0.830,1.07
2023-03-04 13:38:00,1.68,1.83,1.21
2023-03-04 13:40:00,1.49,1.23,1.19
2023-03-04 13:42:00,1.10,0.370,1.08
2023-03-04 13:44:00,0.830,0.270,0.980
2023-03-04 13:46:00,0.660,0.310,0.900
2023-03-04 13:48:00,0.830,0.960,0.930
2023-03-04 13:50:00,0.670,0.370,0.860
2023-03-04 13:52:00,0.680,0.640,0.840
2023-03-04 13:54:00,0.750,1.05,0.840
2023-03-04 13:56:00,0.580,0.260,0.770
2023-03-04 13:58:00,0.460,0.160,0.700
2023-03-04 14:00:00,0.480,0.500,0.670
2023-03-04 14:02:00,0.430,0.350,0.630
2023-03-04 14:04:00,0.400,0.390,0.590
2023-03-04 14:06:00,0.410,0.360,0.570
2023-03-04 14:08:00,0.420,0.530,0.550
2023-03-04 14:10:00,0.360,0.250,0.510
2023-03-04 14:12:00,0.470,0.690,0.530
2023-03-04 14:14:00,0.910,1.75,0.680
2023-03-04 14:16:00,1.84,2.86,1.07
2023-03-04 14:18:00,1.50,1.20,1.03
2023-03-04 14:20:00,1.11,0.460,0.940
2023-03-04 14:22:00,0.870,0.310,0.880
2023-03-04 14:24:00,0.750,0.590,0.830
2023-03-04 14:26:00,0.590,0.350,0.750
2023-03-04 14:28:00,0.430,0.170,0.680
2023-03-04 14:30:00,0.430,0.440,0.640
2023-03-04 14:32:00,0.430,0.410,0.620
2023-03-04 14:34:00,0.490,0.550,0.620
2023-03-04 14:36:00,0.550,0.660,0.630
2023-03-04 14:38:00,0.550,0.690,0.620
2023-03-04 14:40:00,0.450,0.320,0.570
2023-03-04 14:42:00,0.470,0.540,0.560
2023-03-04 14:44:00,0.370,0.230,0.510
2023-03-04 14:46:00,0.320,0.160,0.470
2023-03-04 14:48:00,0.290,0.240,0.440
2023-03-04 14:50:00,0.280,0.350,0.420
2023-03-04 14:52:00,0.220,0.110,0.380
2023-03-04 14:54:00,0.520,1.04,0.460
2023-03-04 14:56:00,0.720,0.980,0.550
2023-03-04 14:58:00,0.560,0.300,0.510
2023-03-04 15:00:00,0.640,0.690,0.540
2023-03-04 15:02:00,0.520,0.330,0.510
2023-03-04 15:04:00,0.500,0.370,0.510
2023-03-04 15:06:00,0.430,0.270,0.480
2023-03-04 15:08:00,0.430,0.610,0.470
2023-03-04 15:10:00,0.410,0.480,0.450
2023-03-04 15:12:00,0.510,0.610,0.480
2023-03-04 15:14:00,0.410,0.250,0.440
2023-03-04 15:16:00,0.940,2.09,0.630
2023-03-04 15:18:00,1.55,2.93,0.890
2023-03-04 15:20:00,1.19,0.700,0.840
2023-03-04 15:22:00,1.14,1.05,0.870
2023-03-04 15:24:00,0.910,0.600,0.810
2023-03-04 15:26:00,0.810,0.600,0.790
2023-03-04 15:28:00,0.590,0.220,0.710
2023-03-04 15:30:00,0.520,0.380,0.670
2023-03-04 15:32:00,0.600,0.710,0.670
2023-03-04 15:34:00,0.600,0.540,0.660
2023-03-04 15:36:00,0.800,1.15,0.730
2023-03-04 15:38:00,0.690,0.600,0.700
2023-03-04 15:40:00,0.950,1.59,0.780
2023-03-04 15:42:00,0.980,1.02,0.810
2023-03-04 15:44:00,0.720,0.320,0.740
2023-03-04 15:46:00,0.710,0.610,0.730
2023-03-04 15:48:00,0.820,1.10,0.760
2023-03-04 15:50:00,0.690,0.440,0.720
2023-03-04 15:52:00,0.590,0.440,0.680
2023-03-04 15:54:00,0.450,0.280,0.610
2023-03-04 15:56:00,0.570,0.900,0.630
2023-03-04 15:58:00,0.830,1.34,0.720
2023-03-04 16:00:00,1.22,1.96,0.880
2023-03-04 16:02:00,1.11,1.04,0.880
2023-03-04 16:04:00,1.08,0.620,0.910
2023-03-04 16:06:00,0.980,0.770,0.900
2023-03-04 16:08:00,0.740,0.270,0.820
2023-03-04 16:10:00,0.560,0.210,0.740
2023-03-04 16:12:00,0.590,0.410,0.730
2023-03-04 16:14:00,0.430,0.170,0.650
2023-03-04 16:16:00,0.440,0.470,0.630
2023-03-04 16:18:00,0.430,0.260,0.600
2023-03-04 16:20:00,0.370,0.250,0.560
2023-03-04 16:22:00,0.340,0.240,0.520
2023-03-04 16:24:00,0.510,0.620,0.570
2023-03-04 16:26:00,0.540,0.760,0.560
2023-03-04 16:28:00,0.510,0.540,0.550
2023-03-04 16:30:00,0.480,0.440,0.530
2023-03-04 16:32:00,0.350,0.110,0.480
2023-03-04 16:34:00,0.670,0.550,0.600
2023-03-04 16:36:00,0.470,0.150,0.530
2023-03-04 16:38:00,0.650,1.11,0.590
2023-03-04 16:40:00,0.750,0.830,0.630
2023-03-04 16:42:00,0.780,0.890,0.660
2023-03-04 16:44:00,1.29,3.60,0.830
2023-03-04 16:46:00,1.04,0.960,0.790
2023-03-04 16:48:00,0.940,0.740,0.790
2023-03-04 16:50:00,0.750,0.450,0.730
2023-03-04 16:52:00,0.850,0.670,0.780
2023-03-04 16:54:00,0.730,0.530,0.740
2023-03-04 16:56:00,0.620,0.420,0.700
2023-03-04 16:58:00,0.490,0.210,0.640
2023-03-04 17:00:00,0.830,1.55,0.740
2023-03-04 17:02:00,1.41,2.27,0.970
2023-03-04 17:04:00,1.28,0.850,0.990
2023-03-04 17:06:00,1.16,0.980,0.980
2023-03-04 17:08:00,0.900,0.560,0.900
2023-03-04 17:10:00,0.710,0.380,0.830
2023-03-04 17:12:00,0.760,0.650,0.840
2023-03-04 17:14:00,0.750,0.600,0.820
2023-03-04 17:16:00,0.690,0.540,0.790
2023-03-04 17:18:00,0.660,0.550,0.770
2023-03-04 17:20:00,0.860,1.28,0.830
2023-03-04 17:22:00,0.730,0.640,0.780
2023-03-04 17:24:00,0.630,0.350,0.740
2023-03-04 17:26:00,0.670,0.740,0.740
2023-03-04 17:28:00,0.580,0.540,0.690
2023-03-04 17:30:00,0.490,0.280,0.650
2023-03-04 17:32:00,0.500,0.340,0.630
2023-03-04 17:34:00,0.510,0.540,0.620
2023-03-04 17:36:00,0.460,0.400,0.590
2023-03-04 17:38:00,0.420,0.250,0.560
2023-03-04 17:40:00,0.580,1.22,0.590
2023-03-04 17:42:00,0.920,1.60,0.710
2023-03-04 17:44:00,3.01,6.04,1.52
2023-03-04 17:46:00,2.64,2.15,1.57
2023-03-04 17:48:00,1.94,0.700,1.44
2023-03-04 17:50:00,1.51,0.640,1.34
2023-03-04 17:52:00,1.21,0.430,1.25
2023-03-04 17:54:00,0.850,0.190,1.11
2023-03-04 17:56:00,0.690,0.270,1.02
2023-03-04 17:58:00,0.540,0.190,0.920
2023-03-04 18:00:00,0.440,0.200,0.840
2023-03-04 18:02:00,0.390,0.190,0.770
2023-03-04 18:04:00,0.450,0.420,0.750
2023-03-04 18:06:00,0.470,0.390,0.720
2023-03-04 18:08:00,0.570,0.770,0.720
2023-03-04 18:10:00,0.430,0.250,0.650
2023-03-04 18:12:00,0.930,1.18,0.820
2023-03-04 18:14:00,0.690,0.310,0.750
2023-03-04 18:16:00,0.600,0.300,0.710
2023-03-04 18:18:00,0.570,0.410,0.680
