,Time,Type,Response,Code
0,2023-03-04 15:03:38.768301,Public,0.016514,200
0,2023-03-04 15:03:38.884169,Public,0.013198,200
0,2023-03-04 15:03:39.000770,Public,0.014239,200
0,2023-03-04 15:03:39.119634,Public,0.01644,200
0,2023-03-04 15:03:39.238112,Public,0.016155,200
0,2023-03-04 15:03:39.355258,Public,0.014791,200
0,2023-03-04 15:03:39.473698,Public,0.016066,200
0,2023-03-04 15:03:39.593044,Public,0.016774,200
0,2023-03-04 15:03:39.710230,Public,0.014879,200
0,2023-03-04 15:03:39.829172,Public,0.016615,200
0,2023-03-04 15:03:39.947836,Public,0.016358,200
0,2023-03-04 15:03:40.066987,Public,0.016585,200
0,2023-03-04 15:03:40.183526,Public,0.014281,200
0,2023-03-04 15:03:40.302359,Public,0.016469,200
0,2023-03-04 15:03:40.421899,Public,0.016905,200
0,2023-03-04 15:03:40.541111,Public,0.016727,200
0,2023-03-04 15:03:40.658349,Public,0.014693,200
0,2023-03-04 15:03:40.777180,Public,0.016496,200
0,2023-03-04 15:03:40.896107,Public,0.016537,200
0,2023-03-04 15:03:41.012550,Public,0.014144,200
0,2023-03-04 15:03:41.130931,Public,0.016106,200
0,2023-03-04 15:03:41.249926,Public,0.016451,200
0,2023-03-04 15:03:41.367151,Public,0.014886,200
0,2023-03-04 15:03:41.485454,Public,0.015781,200
0,2023-03-04 15:03:41.604428,Public,0.016492,200
0,2023-03-04 15:03:41.722997,Public,0.016257,200
0,2023-03-04 15:03:41.840338,Public,0.015002,200
0,2023-03-04 15:03:41.959064,Public,0.016323,200
0,2023-03-04 15:03:42.077683,Public,0.015976,200
0,2023-03-04 15:03:42.194081,Public,0.014082,200
0,2023-03-04 15:03:42.312774,Public,0.016324,200
0,2023-03-04 15:03:42.431509,Public,0.016232,200
0,2023-03-04 15:03:42.550934,Public,0.01693,200
0,2023-03-04 15:03:42.668266,Public,0.015003,200
0,2023-03-04 15:03:42.787468,Public,0.016846,200
0,2023-03-04 15:03:42.906921,Public,0.017125,200
