"Time","(1 - (avg(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode=""idle""}[5m])))) * 100"
2023-03-11 09:20:00,3.19
2023-03-11 09:40:00,3.46
2023-03-11 10:00:00,3.49
2023-03-11 10:20:00,3.55
2023-03-11 10:40:00,3.61
2023-03-11 11:00:00,3.66
2023-03-11 11:20:00,4.25
2023-03-11 11:40:00,4.13
2023-03-11 12:00:00,4.49
2023-03-11 12:20:00,4.54
2023-03-11 12:40:00,4.82
2023-03-11 13:00:00,5.02
2023-03-11 13:20:00,5.11
2023-03-11 13:40:00,5.39
2023-03-11 14:00:00,5.52
2023-03-11 14:20:00,5.88
2023-03-11 14:40:00,5.79
2023-03-11 15:00:00,5.75
2023-03-11 15:20:00,6.12
2023-03-11 15:40:00,5.98
2023-03-11 16:00:00,6.29
2023-03-11 16:20:00,6.37
2023-03-11 16:40:00,6.52
2023-03-11 17:00:00,6.31
2023-03-11 17:20:00,6.74
2023-03-11 17:40:00,6.84
2023-03-11 18:00:00,7.03
2023-03-11 18:20:00,7.02
2023-03-11 18:40:00,7.19
2023-03-11 19:00:00,7.25
2023-03-11 19:20:00,7.15
2023-03-11 19:40:00,7.27
2023-03-11 20:00:00,7.11
2023-03-11 20:20:00,7.17
2023-03-11 20:40:00,7.45
2023-03-11 21:00:00,7.31
2023-03-11 21:20:00,7.47
2023-03-11 21:40:00,7.48
2023-03-11 22:00:00,7.51
2023-03-11 22:20:00,7.61
2023-03-11 22:40:00,7.50
2023-03-11 23:00:00,7.60
2023-03-11 23:20:00,7.36
2023-03-11 23:40:00,7.57
2023-03-12 00:00:00,7.36
2023-03-12 00:20:00,7.30
2023-03-12 00:40:00,7.22
2023-03-12 01:00:00,7.38
2023-03-12 01:20:00,7.40
2023-03-12 01:40:00,7.26
2023-03-12 02:00:00,7.34
2023-03-12 02:20:00,7.09
2023-03-12 02:40:00,6.92
2023-03-12 03:00:00,6.83
2023-03-12 03:20:00,6.78
2023-03-12 03:40:00,6.79
2023-03-12 04:00:00,6.97
2023-03-12 04:20:00,6.83
2023-03-12 04:40:00,6.77
2023-03-12 05:00:00,7.19
2023-03-12 05:20:00,7.00
2023-03-12 05:40:00,7.31
2023-03-12 06:00:00,6.87
2023-03-12 06:20:00,7.06
2023-03-12 06:40:00,6.90
2023-03-12 07:00:00,7.17
2023-03-12 07:20:00,7.03
2023-03-12 07:40:00,6.97
2023-03-12 08:00:00,6.98
2023-03-12 08:20:00,6.78
2023-03-12 08:40:00,6.67
2023-03-12 09:00:00,7.02
2023-03-12 09:20:00,6.76
2023-03-12 09:40:00,6.84
2023-03-12 10:00:00,6.52
2023-03-12 10:20:00,6.92
2023-03-12 10:40:00,7.04
2023-03-12 11:00:00,6.71
2023-03-12 11:20:00,6.91
2023-03-12 11:40:00,7.25
2023-03-12 12:00:00,7.27
2023-03-12 12:20:00,6.95
2023-03-12 12:40:00,7.06
2023-03-12 13:00:00,7.30
2023-03-12 13:20:00,7.31
2023-03-12 13:40:00,7.12
2023-03-12 14:00:00,7.36
2023-03-12 14:20:00,7.25
2023-03-12 14:40:00,7.26
2023-03-12 15:00:00,7.29
2023-03-12 15:20:00,7.24

