"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:28:00,1429,1308,5470,1573,148,3278,0,5600,78.0,567
2023-03-11 09:32:00,1362,1325,8213,1824,144,2924,0,8790,70.8,2475
2023-03-11 09:36:00,1395,1315,5642,2150,152,3138,0,5682,70.8,560
2023-03-11 09:40:00,1402,1332,7056,2343,146,2693,0,6472,78.2,559
2023-03-11 09:44:00,3123,1474,7814,2179,190,2936,0,8872,78.1,557
2023-03-11 09:48:00,1406,1365,6336,1664,155,3181,0,6235,75.3,560
2023-03-11 09:52:00,1395,1323,9475,1925,145,2750,0,10277,73.4,4732
2023-03-11 09:56:00,1432,1348,5522,2168,163,2959,0.218,5622,74.6,571
2023-03-11 10:00:00,1371,1335,6704,2595,154,2750,0,6868,71.1,569
2023-03-11 10:04:00,1387,1365,5914,1752,152,2802,0,5746,72.6,553
2023-03-11 10:08:00,1374,1361,5615,1564,153,3012,0,5441,73.6,579
2023-03-11 10:12:00,1354,1345,7708,2062,159,2920,0,7820,75.1,3866
2023-03-11 10:16:00,1390,1308,5511,2111,134,2881,0,5684,74.9,574
2023-03-11 10:20:00,1348,1344,5842,1658,150,3103,0.246,5772,78.3,569
2023-03-11 10:24:00,1362,1392,5900,1562,145,2812,0,5862,72.6,578
2023-03-11 10:28:00,1360,1354,6178,1757,145,3061,0,6348,71.9,567
2023-03-11 10:32:00,1360,1342,6473,2161,154,2898,0,6045,70.0,1936
2023-03-11 10:36:00,1442,1370,5370,1882,156,2918,0,5363,79.2,567
2023-03-11 10:40:00,3165,1361,6277,1645,139,3046,0,6378,79.4,566
2023-03-11 10:44:00,1433,1488,5816,1685,140,2993,0,5678,79.4,561
2023-03-11 10:48:00,1374,1348,5803,1987,149,3020,0,5669,77.1,575
2023-03-11 10:52:00,1378,1346,5489,1989,144,2986,0,5722,75.6,580
2023-03-11 10:56:00,1400,1364,5514,1605,159,2893,0,5568,75.7,575
2023-03-11 11:00:00,1476,1331,5503,1794,156,2887,0,5717,75.2,549
2023-03-11 11:04:00,1348,1423,6114,1851,158,3040,0,6125,77.0,748
2023-03-11 11:08:00,1364,1323,5614,1929,153,2915,0,5811,72.3,565
2023-03-11 11:12:00,1353,1330,5926,1840,141,2921,0,6009,71.9,565
2023-03-11 11:16:00,1402,1317,5641,1531,151,2809,0,5793,69.5,566
2023-03-11 11:20:00,1365,1332,5164,1604,157,2972,0,5464,72.7,574
2023-03-11 11:24:00,1387,1421,7493,1675,161,2746,0.192,8000,75.8,2290
2023-03-11 11:28:00,1434,1349,6185,1882,143,2926,0,6422,71.8,572
2023-03-11 11:32:00,1382,1325,5393,1822,143,2940,0,5623,73.9,558
2023-03-11 11:36:00,1418,1368,5928,1573,146,3224,0,5660,73.6,569
2023-03-11 11:40:00,1355,1325,5394,1585,145,2964,0,5739,70.6,573
2023-03-11 11:44:00,1432,1401,8953,2133,142,2928,0,8989,74.2,3587
2023-03-11 11:48:00,1379,1317,5489,2088,154,2983,0,5654,77.9,553
