"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:30:00,59772928,92848128,1810522112,780288000,104181760,238800896,18644992,944685056,602406912,2002661376
2023-03-11 09:32:00,47632384,90529792,1824206848,782123008,105332736,247869440,18653184,968044544,605974528,2026938368
2023-03-11 09:34:00,47403008,90701824,1965666304,749223936,106582016,231804928,18661376,983408640,603815936,2027626496
2023-03-11 09:36:00,47439872,91062272,1835405312,773349376,103444480,250384384,18694144,979034112,603295744,2029047808
2023-03-11 09:38:00,47448064,90423296,1991614464,772993024,105693184,260055040,18829312,986230784,604962816,2029596672
2023-03-11 09:40:00,47562752,90775552,1848492032,769937408,108212224,262213632,18833408,1007149056,606322688,2029641728
2023-03-11 09:42:00,54530048,104054784,1880657920,820908032,125337600,265846784,18833408,1010741248,665735168,2034208768
2023-03-11 09:44:00,86802432,104820736,1842941952,822947840,126730240,267292672,18833408,1023488000,644419584,2034253824
2023-03-11 09:46:00,52498432,93335552,1886674944,808669184,114151424,279785472,18833408,1016221696,615264256,2035122176
2023-03-11 09:48:00,49790976,90808320,1911689216,800583680,107638784,278888448,18870272,1020219392,615813120,2034933760
2023-03-11 09:50:00,45703168,90890240,1788837888,764149760,106283008,246468608,18776064,995061760,609361920,2036461568
2023-03-11 09:52:00,46170112,90959872,1832280064,762253312,105918464,267685888,18808832,999485440,607428608,2027675648
2023-03-11 09:54:00,46460928,91123712,1916125184,745529344,105480192,276783104,18817024,1006727168,609058816,2028068864
2023-03-11 09:56:00,46825472,91287552,1871040512,766279680,104022016,249024512,18886656,1024479232,609452032,2028072960
2023-03-11 09:58:00,47046656,90951680,2022137856,766869504,104460288,252223488,18886656,1021722624,610152448,2027233280
2023-03-11 10:00:00,60764160,92684288,1846636544,773369856,105066496,245850112,18853888,1014132736,611491840,2027970560
2023-03-11 10:02:00,55021568,91217920,2194542592,775356416,103931904,254783488,18866176,1043152896,611274752,2029539328
2023-03-11 10:04:00,47415296,91545600,1859858432,751255552,105205760,259137536,18866176,1034158080,611950592,2031206400
