"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:28:00,9.95,17.5,1245,49.6,3.32,20.8,0,1656,28.1,18.4
2023-03-11 09:32:00,10.2,18.1,2235,52.1,3.25,20.2,0,3005,30.2,52.7
2023-03-11 09:36:00,10.4,18.0,1307,53.9,3.34,19.7,0,1744,30.5,18.4
2023-03-11 09:40:00,10.4,17.9,1506,67.7,3.36,19.8,0,1868,30.6,18.1
2023-03-11 09:44:00,26.2,20.0,1610,85.4,4.31,19.9,0,2149,31.8,18.6
2023-03-11 09:48:00,10.4,18.2,1405,51.3,3.41,20.3,0.0169,1789,29.4,18.3
2023-03-11 09:52:00,10.2,18.1,2412,51.7,3.29,19.6,0,3326,30.3,58.4
2023-03-11 09:56:00,10.5,17.8,1301,53.1,3.49,19.7,0,1721,30.1,18.1
2023-03-11 10:00:00,9.67,17.9,1484,99.8,3.47,19.4,0,1936,29.8,18.2
2023-03-11 10:04:00,9.93,18.4,1327,54.1,3.36,20.5,0,1758,29.1,18.3
2023-03-11 10:08:00,9.68,17.9,1255,49.5,3.40,20.0,0,1643,28.4,18.5
2023-03-11 10:12:00,9.77,17.9,1819,51.2,3.48,20.3,0,2380,28.9,40.0
2023-03-11 10:16:00,10.0,17.5,1301,50.3,3.08,20.3,0,1733,29.4,18.5
2023-03-11 10:20:00,9.70,18.0,1302,52.9,3.32,20.9,0,1721,28.4,18.5
2023-03-11 10:24:00,9.65,18.6,1351,49.1,3.29,20.1,0,1771,29.2,18.4
2023-03-11 10:28:00,9.68,17.9,1304,50.9,3.21,19.7,0,1726,29.1,18.5
2023-03-11 10:32:00,10.2,18.1,1434,51.7,3.29,19.7,0,1748,30.1,24.7
2023-03-11 10:36:00,9.85,17.9,1293,50.0,3.23,20.6,0,1693,30.0,18.4
2023-03-11 10:40:00,27.1,18.3,1371,52.8,3.20,20.3,0,1839,30.2,18.3
2023-03-11 10:44:00,10.2,19.5,1322,51.6,3.09,19.4,0.0201,1763,30.1,18.2
2023-03-11 10:48:00,10.1,17.9,1296,52.6,3.31,20.4,0,1706,29.9,18.5
2023-03-11 10:52:00,9.86,17.6,1246,50.9,3.23,19.8,0,1669,28.9,18.4
2023-03-11 10:56:00,10.2,18.4,1312,50.2,3.47,19.9,0,1714,29.9,18.5
2023-03-11 11:00:00,10.1,17.9,1273,54.7,3.43,20.6,0,1726,29.0,18.3
2023-03-11 11:04:00,9.93,19.4,1453,53.1,3.38,19.7,0.0354,1916,30.1,28.1
2023-03-11 11:08:00,9.75,17.3,1251,50.7,3.43,20.5,0,1682,30.0,18.6
2023-03-11 11:12:00,9.60,17.6,1305,49.4,3.11,20.2,0,1732,29.1,18.3
2023-03-11 11:16:00,10.2,17.7,1292,48.7,3.28,20.6,0,1705,29.2,18.5
