"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:28:00,1429,2615,1154084,6292,444,6556,0,1422486,2575,7936
2023-03-11 09:32:00,1362,2650,1733028,7295,431,5848,0,2232722,2338,34645
2023-03-11 09:36:00,1395,2631,1190444,8601,457,6275,0,1443313,2335,7847
2023-03-11 09:40:00,1402,2664,1488876,9373,438,5385,0,1643886,2582,7821
2023-03-11 09:44:00,3123,2948,1648658,8718,571,5872,0,2253479,2577,7798
2023-03-11 09:48:00,1406,2730,1336969,6658,464,6363,0,1583718,2484,7836
2023-03-11 09:52:00,1395,2646,1999177,7699,434,5499,0,2610461,2422,66247
2023-03-11 09:56:00,1432,2696,1165192,8671,489,5917,1.09,1428013,2462,7997
2023-03-11 10:00:00,1371,2671,1414648,10378,462,5500,0,1744421,2345,7964
2023-03-11 10:04:00,1387,2729,1247924,7009,457,5604,0,1459577,2395,7742
2023-03-11 10:08:00,1374,2723,1184823,6255,458,6023,0,1382037,2427,8100
2023-03-11 10:12:00,1354,2690,1626456,8248,477,5839,0,1986244,2479,54125
2023-03-11 10:16:00,1390,2617,1162797,8445,401,5762,0,1443629,2471,8038
2023-03-11 10:20:00,1348,2688,1232623,6632,450,6206,1.23,1466099,2585,7969
2023-03-11 10:24:00,1362,2785,1244961,6248,436,5623,0,1488955,2395,8091
2023-03-11 10:28:00,1360,2708,1303609,7030,434,6122,0,1612424,2373,7941
2023-03-11 10:32:00,1360,2684,1365816,8643,463,5796,0,1535426,2309,27098
2023-03-11 10:36:00,1442,2741,1133164,7529,467,5835,0,1362110,2613,7934
2023-03-11 10:40:00,3165,2722,1324434,6580,417,6093,0,1620033,2621,7930
2023-03-11 10:44:00,1433,2975,1227176,6741,421,5986,0,1442189,2622,7853
2023-03-11 10:48:00,1374,2696,1224384,7948,447,6041,0,1440017,2545,8053
2023-03-11 10:52:00,1378,2693,1158276,7954,432,5973,0,1453289,2495,8122
2023-03-11 10:56:00,1400,2727,1163526,6422,478,5786,0,1414226,2496,8047
2023-03-11 11:00:00,1476,2662,1161089,7175,467,5774,0,1452120,2483,7690
2023-03-11 11:04:00,1348,2846,1290022,7404,474,6080,0,1555743,2542,10476
2023-03-11 11:08:00,1364,2645,1184610,7717,458,5830,0,1476117,2385,7905
2023-03-11 11:12:00,1353,2659,1250314,7361,422,5843,0,1526368,2373,7904
2023-03-11 11:16:00,1402,2633,1190306,6123,453,5617,0,1471488,2294,7920
2023-03-11 11:20:00,1365,2665,1089678,6417,470,5945,0,1387763,2399,8041
2023-03-11 11:24:00,1387,2842,1580925,6701,482,5491,0.958,2031925,2502,32062
2023-03-11 11:28:00,1434,2698,1305124,7529,428,5851,0,1631223,2370,8008
2023-03-11 11:32:00,1382,2649,1137959,7286,428,5880,0,1428163,2437,7817
2023-03-11 11:36:00,1418,2736,1250846,6292,437,6448,0,1437639,2429,7961
2023-03-11 11:40:00,1355,2649,1138117,6340,434,5928,0,1457737,2330,8023
2023-03-11 11:44:00,1432,2803,1889128,8532,425,5855,0,2283267,2448,50213
2023-03-11 11:48:00,1379,2634,1158096,8351,463,5966,0,1436039,2569,7749
2023-03-11 11:52:00,1388,2664,1178691,6313,450,5986,0,1430018,2449,8117
2023-03-11 11:56:00,1337,2621,1219086,6189,421,5536,0,1418089,2352,7733
2023-03-11 12:00:00,1364,2646,1191897,7987,450,5933,0,1471868,2439,7778
2023-03-11 12:04:00,1381,2786,1969455,8769,437,6110,0,2650917,2507,64219
2023-03-11 12:08:00,1404,2658,1218956,7532,425,5662,0,1432791,2416,7973
2023-03-11 12:12:00,1418,2589,1195796,6185,424,5570,0,1435632,2314,7860
