"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:30:00,3679,2880,2558,10253,402,25833,0,2480,598,77.7
2023-03-11 09:32:00,3679,2880,2558,10253,402,25833,0,2480,598,77.7
2023-03-11 09:34:00,3679,2880,2558,10253,402,25833,0,2480,598,77.7
2023-03-11 09:36:00,3177,2868,3069,10126,399,25587,0.0667,3130,599,123
2023-03-11 09:38:00,3177,2868,3069,10126,399,25587,0.0667,3130,599,123
2023-03-11 09:40:00,3303,3044,2950,12047,567,26428,0,2782,657,76.9
2023-03-11 09:42:00,3303,3044,2950,12047,567,26428,0,2782,657,76.9
2023-03-11 09:44:00,3303,3044,2950,12047,567,26428,0,2782,657,76.9
2023-03-11 09:46:00,11431,4424,3800,16162,2165,25992,0.0333,3487,1141,124
2023-03-11 09:48:00,11431,4424,3800,16162,2165,25992,0.0333,3487,1141,124
2023-03-11 09:50:00,3086,2865,2631,11092,403,25850,0.0333,2593,602,76.5
2023-03-11 09:52:00,3086,2865,2631,11092,403,25850,0.0333,2593,602,76.5
2023-03-11 09:54:00,3086,2865,2631,11092,403,25850,0.0333,2593,602,76.5
2023-03-11 09:56:00,3159,2862,3047,10067,398,26033,0.0333,3029,594,126
2023-03-11 09:58:00,3159,2862,3047,10067,398,26033,0.0333,3029,594,126
2023-03-11 10:00:00,3562,2828,2547,11884,403,25707,0,2550,600,76.6
2023-03-11 10:02:00,3562,2828,2547,11884,403,25707,0,2550,600,76.6
2023-03-11 10:04:00,3562,2828,2547,11884,403,25707,0,2550,600,76.6
2023-03-11 10:06:00,3183,2877,3072,10678,400,26214,0.0667,3041,599,126
2023-03-11 10:08:00,3183,2877,3072,10678,400,26214,0.0667,3041,599,126
2023-03-11 10:10:00,9856,2812,2508,10238,401,25954,0,2501,599,77.6
2023-03-11 10:12:00,9856,2812,2508,10238,401,25954,0,2501,599,77.6
2023-03-11 10:14:00,9856,2812,2508,10238,401,25954,0,2501,599,77.6
2023-03-11 10:16:00,3084,2966,3066,10295,402,25706,0,3044,600,125
2023-03-11 10:18:00,3084,2966,3066,10295,402,25706,0,3044,600,125
2023-03-11 10:20:00,3121,2797,2499,10152,398,26217,0,2478,600,77.5
2023-03-11 10:22:00,3121,2797,2499,10152,398,26217,0,2478,600,77.5
2023-03-11 10:24:00,3121,2797,2499,10152,398,26217,0,2478,600,77.5
2023-03-11 10:26:00,3144,2886,3113,10147,402,25431,0,3109,601,125
2023-03-11 10:28:00,3144,2886,3113,10147,402,25431,0,3109,601,125
2023-03-11 10:30:00,3596,2879,2582,10247,401,26498,0,2542,601,77.1
2023-03-11 10:32:00,3596,2879,2582,10247,401,26498,0,2542,601,77.1
2023-03-11 10:34:00,3596,2879,2582,10247,401,26498,0,2542,601,77.1
2023-03-11 10:36:00,3181,2827,3044,10158,402,25520,0,3043,595,123
2023-03-11 10:38:00,3181,2827,3044,10158,402,25520,0,3043,595,123
2023-03-11 10:40:00,9898,2886,2535,10173,399,26141,0,2497,601,77.5
2023-03-11 10:42:00,9898,2886,2535,10173,399,26141,0,2497,601,77.5
2023-03-11 10:44:00,9898,2886,2535,10173,399,26141,0,2497,601,77.5
2023-03-11 10:46:00,3123,2777,3054,10191,403,25517,0.0667,3016,603,125
2023-03-11 10:48:00,3123,2777,3054,10191,403,25517,0.0667,3016,603,125
2023-03-11 10:50:00,3087,2894,2461,10232,399,26409,0,2538,595,77.3
2023-03-11 10:52:00,3087,2894,2461,10232,399,26409,0,2538,595,77.3
2023-03-11 10:54:00,3087,2894,2461,10232,399,26409,0,2538,595,77.3
2023-03-11 10:56:00,3178,2904,3093,10152,400,25794,0.0333,3021,596,125
2023-03-11 10:58:00,3178,2904,3093,10152,400,25794,0.0333,3021,596,125
2023-03-11 11:00:00,10308,2834,2509,10266,401,25692,0,2496,597,77.1
2023-03-11 11:02:00,10308,2834,2509,10266,401,25692,0,2496,597,77.1
